States	4A1_1A1	1B1_4A1	5B1_1A1	5B1_1B1	6B1_1A1	6B1_1B1	1B2_4A1	5B2_1A1	5B2_1B2	6B2_1A1	6B2_1B2	1A2_5B1	1A2_6B1	1A2_5B2	1A2_6B2	2A2_5B1	2A2_6B1	2A2_5B2	2A2_6B2	5A2_1B1	5A2_1B2	5A2_1A2	5A2_2A2	6A2_1B1	6A2_1B2	6A2_1A2	6A2_2A2
750 Broad	8.421268980541205e-10	1.2199942468535923e-09	8.714323760990921e-10	1.2380321778514955e-09	1.0135285672713482e-09	1.3280718838330435e-09	1.2199915077256358e-09	8.714295587679401e-10	1.238025564265554e-09	1.0135276501749022e-09	1.328067822457457e-09	1.2364429813352901e-09	1.3244502724315339e-09	1.2364408340783457e-09	1.3244432512524377e-09	1.0651597455192081e-09	1.1755203733258092e-09	1.0651571358479557e-09	1.1755156042130181e-09	1.215410402736849e-09	1.215406721020518e-09	1.2131561919257364e-09	1.0353621772570888e-09	1.211118559944244e-09	1.2111161133203434e-09	1.208810248049093e-09	1.0299123063632229e-09
750 Shift	5.635014110017687e-10	7.271768368660545e-10	5.793874396323895e-10	7.33613974846272e-10	6.462498819296429e-10	7.608098947232312e-10	7.271754090010879e-10	5.79386589204521e-10	7.336117305373202e-10	6.4624938035787e-10	7.608076993416665e-10	7.328896165759305e-10	7.594401154100983e-10	7.328891948545378e-10	7.594495478009799e-10	6.723269448702043e-10	7.132166972074722e-10	6.723256049086234e-10	7.132161139059911e-10	7.256847510531312e-10	7.256837422119602e-10	7.247495950919189e-10	6.622765463611026e-10	7.239185351334326e-10	7.239169827701827e-10	7.230391199097355e-10	6.589548714802499e-10
800 Broad	8.57962529279053e-10	1.2433300163424106e-09	8.87865520834357e-10	1.2617057493320799e-09	1.0327020000529778e-09	1.3536391518357738e-09	1.243327183057417e-09	8.878626200205322e-10	1.2616989830771968e-09	1.032701007082686e-09	1.3536350686919432e-09	1.2600792278807657e-09	1.3499200271200238e-09	1.2600770413105677e-09	1.349913084747256e-09	1.085135334554854e-09	1.1977499921822173e-09	1.085132646502723e-09	1.1977451316901572e-09	1.238629537016418e-09	1.238625811461746e-09	1.2363405933402079e-09	1.0547773651917542e-09	1.2342597959013393e-09	1.234257236568861e-09	1.2319192367340529e-09	1.049250521368276e-09
800 Shift	5.761433632089089e-10	7.454794705813463e-10	5.924810020968794e-10	7.521364847904958e-10	6.614521659615932e-10	7.806638904103188e-10	7.454780089400457e-10	5.924800663890795e-10	7.52134272603324e-10	6.614516195254275e-10	7.806618403639482e-10	7.514127407323734e-10	7.792587287757197e-10	7.514122803811604e-10	7.792682421286219e-10	6.883695056739343e-10	7.309035908788336e-10	6.883681429441217e-10	7.309031370674588e-10	7.439033887695415e-10	7.439023259571068e-10	7.429576456686056e-10	6.779933537645767e-10	7.420457678784521e-10	7.420441884387239e-10	7.411490386524147e-10	6.746189482043997e-10
850 Broad	8.730640967257508e-10	1.2655779689360957e-09	9.035354609122901e-10	1.2842722819752816e-09	1.0509847940554172e-09	1.3780126984767892e-09	1.2655750479879416e-09	9.035324799106755e-10	1.284265381558139e-09	1.050983729578747e-09	1.378008569922832e-09	1.2826155907213396e-09	1.3742019636397394e-09	1.2826133680077774e-09	1.3741950958669782e-09	1.1041714914769202e-09	1.2189404154760452e-09	1.1041687294796817e-09	1.2189354756222678e-09	1.2607677772013817e-09	1.2607640078341957e-09	1.258444483261553e-09	1.0732838510803471e-09	1.2563242885686466e-09	1.2563216242013713e-09	1.253952296929204e-09	1.0676885815413102e-09
850 Shift	5.882178845756499e-10	7.62964913565017e-10	6.049874948564487e-10	7.69838235809603e-10	6.759740556218417e-10	7.996276583931482e-10	7.629634201569698e-10	6.049864780912867e-10	7.698360713442103e-10	6.759734669334399e-10	7.996257528286996e-10	7.691115351336061e-10	7.981961718858647e-10	7.691110384687952e-10	7.982057574947973e-10	7.036971849186122e-10	7.478032239615905e-10	7.036958007692932e-10	7.478028897603974e-10	7.613088379516817e-10	7.613077239762651e-10	7.60352608274958e-10	6.929995269104439e-10	7.593644774843597e-10	7.593628711431121e-10	7.58450584005691e-10	6.895894160712786e-10
900 Broad	8.874895016033386e-10	1.2868246030344874e-09	9.185025368144498e-10	1.3058207122952233e-09	1.0684474000978633e-09	1.4012887495325888e-09	1.2868215999440226e-09	9.184994788661856e-10	1.3058136969042828e-09	1.0684462681539125e-09	1.4012845539207293e-09	1.3041399269542611e-09	1.3973909529700894e-09	1.3041376711345315e-09	1.3973841558541775e-09	1.1223430677025386e-09	1.2391747505774323e-09	1.1223402358443839e-09	1.239169741421444e-09	1.2819111403471194e-09	1.2819073273429936e-09	1.2795537568989673e-09	1.0909548795931234e-09	1.2773976179331535e-09	1.2773948553625149e-09	1.274995080430339e-09	1.0852986525451232e-09
900 Shift	5.997694008416713e-10	7.796972757072673e-10	6.169528294849347e-10	7.867840859086278e-10	6.89868951125467e-10	8.177712194919652e-10	7.79695752626326e-10	6.16951735619841e-10	7.867819808762298e-10	6.89868322554458e-10	8.177694544777273e-10	7.860508031306114e-10	8.163216325708293e-10	7.860502718316531e-10	8.16331282848296e-10	7.183661837408799e-10	7.639772685397697e-10	7.183647793505202e-10	7.639770450600956e-10	7.779649554639217e-10	7.779637927462716e-10	7.769983077691008e-10	7.073510188021772e-10	7.759382105044841e-10	7.759365775145771e-10	7.750072811799259e-10	7.039199574204238e-10
950 Broad	9.012847600047427e-10	1.3071387477737692e-09	9.328147340525764e-10	1.3264218458791175e-09	1.0851458140642906e-09	1.423543812014286e-09	1.3071356672145214e-09	9.328116023230465e-10	1.3264147346595267e-09	1.0851446183933308e-09	1.423539529992354e-09	1.3247220934656313e-09	1.4195624599314005e-09	1.324719807380869e-09	1.4195557298058194e-09	1.1397095911531082e-09	1.258519113107412e-09	1.139706693219021e-09	1.2585140431439169e-09	1.3021280346929648e-09	1.3021241783601155e-09	1.299736754755316e-09	1.1078486940549351e-09	1.2975478262900281e-09	1.2975449716636774e-09	1.2951156986340027e-09	1.1021379910454444e-09
950 Shift	6.108332991824646e-10	7.957277892586287e-10	6.284135872624535e-10	8.030257230519724e-10	7.031794601923607e-10	8.351507772085405e-10	7.957262386284563e-10	6.284124200076845e-10	8.030236857542642e-10	7.031787939044376e-10	8.351491464489185e-10	8.022822988385431e-10	8.336904874327827e-10	8.02281734054251e-10	8.33700195682221e-10	7.32421298467213e-10	7.794750132351727e-10	7.324198748822687e-10	7.794748924295005e-10	7.939228073044225e-10	7.939215979363871e-10	7.929457513991127e-10	7.21092713124784e-10	7.918177677689875e-10	7.918161084568131e-10	7.908699161385013e-10	7.17653258231816e-10
1000 Broad	9.144864266527162e-10	1.3265751715604551e-09	9.465101981690756e-10	1.3461320303175593e-09	1.1011245282435177e-09	1.4448386922949984e-09	1.3265720174820207e-09	9.46506995739001e-10	1.346124841859255e-09	1.1011232723175224e-09	1.4448343069204366e-09	1.3444176092108098e-09	1.440776507746975e-09	1.3444152954691477e-09	1.4407698412222732e-09	1.1563184137164496e-09	1.2770260875537945e-09	1.1563154532375394e-09	1.2770209640183147e-09	1.3214728517727197e-09	1.3214689525457046e-09	1.3190478497899096e-09	1.1240115848234642e-09	1.3168290015989275e-09	1.3168260605054573e-09	1.3143683052867751e-09	1.118252007721406e-09
1000 Shift	6.214377623577699e-10	8.110974199751741e-10	6.393989105416269e-10	8.186043395106201e-10	7.159395805780839e-10	8.51811472482161e-10	8.110958438976078e-10	6.393976733816641e-10	8.186023753443141e-10	7.159388785669826e-10	8.518099679493398e-10	8.178473677024184e-10	8.503470809268798e-10	8.178467701581867e-10	8.503568411679535e-10	7.458982302582657e-10	7.943358611804231e-10	7.458967884224167e-10	7.943358357226812e-10	8.092232487394713e-10	8.092219945377678e-10	8.082357253854064e-10	7.342606179505387e-10	8.070437744463065e-10	8.070420892077282e-10	8.0607910543868e-10	7.308232681499525e-10
