R	4A1_1A1	1B1_4A1	5B1_1A1	5B1_1B1	6B1_1A1	6B1_1B1	1B2_4A1	5B2_1A1	5B2_1B2	6B2_1A1	6B2_1B2	1A2_5B1	1A2_6B1	1A2_5B2	1A2_6B2	2A2_5B1	2A2_6B1	2A2_5B2	2A2_6B2	5A2_1B1	5A2_1B2	5A2_1A2	5A2_2A2	6A2_1B1	6A2_1B2	6A2_1A2	6A2_2A2
2.88	11135.354812281177	11109.86722349102	11072.47094128668	11046.983352496522	11241.475185376345	11215.987596586187	11109.871612987103	11072.47094128668	11046.987741992605	11241.475185376345	11215.99198608227	11072.47094128668	11241.475185376345	11072.47094128668	11241.475185376345	11037.559111893643	11206.563355983308	11037.559111893643	11206.563355983308	11122.980832631612	11122.985222127696	11148.46842142177	11113.556592028734	11332.57471478032	11332.579104276403	11358.062303570478	11323.15047417744
2.91	11171.157708655315	11141.267458812945	11106.039585951497	11076.149336109127	11282.084576167763	11252.194326325392	11141.271848309014	11106.039585951497	11076.153725605196	11282.084576167763	11252.198715821462	11106.039585951497	11282.084576167763	11106.039585951497	11282.084576167763	11064.888092843059	11240.933083059324	11064.888092843059	11240.933083059324	11154.44691034485	11154.45129984092	11184.33716018722	11143.185667078782	11367.38778061133	11367.3921701074	11397.278030453701	11356.126537345262
2.94	11206.069538048338	11172.487724920225	11139.085880981773	11105.50406785366	11321.282745066637	11287.700931938525	11172.492114416309	11139.085880981773	11105.508457349744	11321.280550343552	11287.703126711524	11139.085880981773	11321.282745066637	11139.085880981773	11321.280550343552	11092.651633505404	11274.848497590268	11092.651633505404	11274.846302867183	11185.706681891927	11185.71107138801	11219.288495020039	11172.85424754367	11401.74872869518	11401.753118191264	11435.330541823292	11388.896294346923
2.97	11240.336112041288	11203.587280010019	11171.789795592107	11135.040963560838	11359.361593387788	11322.612761356519	11203.591669506102	11171.789795592107	11135.045353056921	11359.361593387788	11322.617150852602	11171.789795592107	11359.361593387788	11171.789795592107	11359.361593387788	11120.781696841077	11308.353494636758	11120.781696841077	11308.353494636758	11216.839158152434	11216.843547648517	11253.587990183703	11202.579891432673	11435.70145394282	11435.705843438904	11472.45028597409	11421.44218722306
3.01	11284.465875896	11244.435898138297	11214.223020558464	11174.193042800762	11407.90279731182	11367.872819554119	11244.440287634381	11214.223020558464	11174.197432296845	11407.90279731182	11367.877209050203	11214.223020558464	11407.90279731182	11214.223020558464	11407.90279731182	11158.436959114668	11352.116735868025	11158.436959114668	11352.116735868025	11257.718502753283	11257.722892249367	11297.748480510985	11241.96241906719	11479.892670692774	11479.897060188858	11519.922648450476	11464.13658700668
3.04	11316.64305140065	11274.66633367751	11245.35988631504	11203.3831685919	11442.933142999274	11400.956425276134	11274.670723173593	11245.35988631504	11203.387558087983	11442.933142999274	11400.960814772217	11245.35988631504	11442.933142999274	11245.35988631504	11442.933142999274	11186.722849436483	11384.296106120717	11186.722849436483	11384.296106120717	11287.968690999915	11287.973080495998	11329.945408723055	11271.308371844498	11512.284931330782	11512.289320826865	11554.261649053922	11495.624612175365
3.08	11358.356399583427	11314.384657462913	11285.929771691619	11241.958029571106	11487.901299931982	11443.929557811469	11314.389046958982	11285.929771691619	11241.962419067175	11487.901299931982	11443.933947307538	11285.929771691619	11487.901299931982	11285.929771691619	11487.901299931982	11224.35396950657	11426.325497746933	11224.35396950657	11426.325497746933	11327.695793777486	11327.700183273555	11371.667535898	11310.09173371295	11554.448202512664	11554.452592008733	11598.419944633177	11536.844142448128
3.12	11398.733147257153	11353.337014780802	11325.395699651897	11279.999567175546	11530.981975071423	11485.585842595072	11353.341404276885	11325.395699651897	11280.00395667163	11530.981975071423	11485.590232091155	11325.395699651897	11530.981975071423	11325.395699651897	11530.981975071423	11261.712940994228	11467.299216413754	11261.712940994228	11467.299216413754	11366.645956347318	11366.650345843402	11412.04208882367	11348.359330166	11595.382415739688	11595.386805235772	11640.77854821604	11577.09578955837
3.16	11437.793047179148	11391.450979045636	11363.733528017328	11317.391459883816	11572.26295823943	11525.920890105917	11391.45536854172	11363.733528017328	11317.3958493799	11572.26295823943	11525.925279602001	11363.733528017328	11572.26295823943	11363.733528017328	11572.26295823943	11298.643936988155	11507.173367210256	11298.643936988155	11507.173367210256	11404.75114162	11404.755531116083	11451.093209753511	11386.003618724339	11635.052455118057	11635.05684461414	11681.394523251569	11616.304932222396
3.2	11475.54926776282	11428.612423409228	11400.947646259025	11354.010801905431	11611.834234005859	11564.897389652266	11428.616812905297	11400.947646259025	11354.0151914015	11611.8364287539	11564.903973896377	11400.947646259025	11611.834234005859	11400.947646259025	11611.8364287539	11334.975767240932	11545.862354987767	11334.975767240932	11545.864549735808	11441.941117683164	11441.945507179233	11488.877962036757	11422.906083018665	11673.385894012361	11673.39028350843	11720.322738365954	11654.350859347862
3.24	11512.014977546307	11464.865242782427	11436.974406808571	11389.824672044691	11649.737502608477	11602.587767844598	11464.871827001596	11436.974406808571	11389.83125626386	11649.737502608477	11602.594352063767	11436.974406808571	11649.737502608477	11436.974406808571	11649.737502608477	11370.686484297126	11583.449580097033	11370.686484297126	11583.449580097033	11478.178573845042	11478.18515806421	11525.328308608921	11459.040386097477	11710.46832749636	11710.47491171553	11757.61806226024	11691.330139748796
3.28	11547.19895547186	11500.117257847349	11471.829172777492	11424.74747515298	11686.040801161682	11638.95910353717	11500.121647343432	11471.829172777492	11424.751864649064	11686.040801161682	11638.963493033254	11471.829172777492	11686.040801161682	11471.829172777492	11686.040801161682	11405.642208601086	11619.853836985276	11405.642208601086	11619.853836985276	11513.417420421712	11513.421809917796	11560.499118046224	11494.312153869818	11746.242692170883	11746.247081666967	11793.324389795394	11727.137425618988
3.33	11589.40392684155	11542.72825728028	11513.748827126401	11467.07315756513	11729.250966310778	11682.575296749506	11542.732646751407	11513.748827126401	11467.077547036257	11729.25316105882	11682.581880968675	11513.748827126401	11729.250966310778	11513.748827126401	11729.25316105882	11448.167612935256	11663.669752119633	11448.167612935256	11663.671946867675	11556.004277626198	11556.008667097325	11602.67994718747	11537.098732996325	11789.11925589222	11789.123645363346	11835.79492545349	11770.213711262346
3.37	11621.756682014835	11575.620920047484	11545.958923801765	11499.823161834414	11762.139239606855	11716.003477639504	11575.625309543568	11545.958923801765	11499.827551330498	11762.141434354882	11716.010061883615	11545.958923801765	11762.139239606855	11545.958923801765	11762.141434354882	11481.17879202182	11697.35910782691	11481.17879202182	11697.361302574936	11588.874992962883	11588.879382458967	11635.010754930234	11570.230623150288	11821.950465789108	11821.954855285192	11868.08622775646	11803.306095976513
3.42	11660.465422524736	11615.211948546304	11584.58206921292	11539.328595234489	11801.225476480395	11755.972002501963	11615.21853279043	11584.58206921292	11539.335179478614	11801.227671228437	11755.98078149413	11584.58206921292	11801.225476480395	11584.58206921292	11801.227671228437	11521.114395688623	11737.757802956097	11521.114395688623	11737.75999770414	11628.439684510158	11628.446268754284	11673.69315848859	11610.225484964292	11861.16399792429	11861.170582168415	11906.417471902721	11842.949798378424
3.47	11697.280096972288	11653.095464466445	11621.39674363553	11577.212111129687	11838.136719741946	11793.952087236103	11653.102048685614	11621.39674363553	11577.218695348856	11838.136719741946	11793.958671455272	11621.39674363553	11838.136719741946	11621.39674363553	11838.136719741946	11559.511482201255	11776.25145830767	11559.511482201255	11776.25145830767	11666.292473957728	11666.299058176897	11710.477106463572	11648.591845029296	11898.37153197176	11898.378116190928	11942.556164477603	11880.670903043327
3.53	11739.00002937422	11696.283682135137	11663.219829145484	11620.503481906402	11879.65912499484	11836.942777755758	11696.290266379263	11663.219829145484	11620.510066150528	11879.65912499484	11836.949361999883	11663.219829145484	11879.65912499484	11663.219829145484	11879.65912499484	11603.500782306088	11819.940078155443	11603.500782306088	11819.940078155443	11709.447770455707	11709.454354699832	11752.164117694789	11692.445070855392	11940.414092086226	11940.420676330352	11983.130439325309	11923.411392485912
3.58	11771.837823515249	11730.431739808715	11696.217839743811	11654.811756037278	11912.104059560894	11870.69797585436	11730.431739808715	11696.217839743811	11654.811756037278	11912.106254308936	11870.700170602402	11696.217839743811	11912.104059560894	11696.217839743811	11912.106254308936	11638.419195918308	11854.30541573539	11638.419195918308	11854.307610483433	11743.56510168167	11743.56510168167	11784.971185388204	11727.1725415627	11973.357234033421	11973.357234033421	12014.763317739955	11956.964673914452
3.64	11808.83246715246	11769.116338115113	11733.482437190454	11693.766308153106	11948.39199487782	11908.675865840472	11769.125117082323	11733.482437190454	11693.775087120317	11948.394189625862	11908.686839555725	11733.482437190454	11948.39199487782	11733.482437190454	11948.394189625862	11678.163856705127	11893.073414392493	11678.163856705127	11893.075609140535	11782.212389296314	11782.221168263524	11821.928518333661	11766.609937848334	12010.334319711255	12010.343098678466	12050.050448748603	11994.731868263276
3.7	11843.388747637306	11805.426220887486	11768.383292843282	11730.420766093463	11982.022092437881	11944.059565688061	11805.426220887486	11768.383292843282	11730.420766093463	11982.022092437881	11944.059565688061	11768.383292843282	11982.022092437881	11768.383292843282	11982.022092437881	11715.610618064515	11929.249417659114	11715.610618064515	11929.249417659114	11818.482766628906	11818.482766628906	11856.445293378725	11803.672618599958	12044.684294029954	12044.684294029954	12082.646820779773	12029.874146001006
