3A2_5B1	3A2_6B1	3A2_5B2	3A2_6B2	5A2_3A2	6A2_3A2
2.17e-08	1504206906623446.8	1583371839808094.0	1504206079774528.2	1583371426383634.8	1492522713827166.0	1576399441836318.0
2.1800000000000003e-08	1516949465193870.8	1592601946965322.8	1516948638344952.2	1592601120116404.2	1506338521442858.0	1584712574266937.0
2.19e-08	1528796960524617.8	1601829987000252.5	1528796133675699.0	1601829160151336.5	1519090588771139.5	1592960799113868.8
2.2000000000000002e-08	1540240127049210.8	1610931519244686.5	1540239300200292.2	1610930692395768.0	1531366804922935.2	1601072180563521.0
2.21e-08	1551300462834827.5	1619929282039169.2	1551299635985908.8	1619928868614710.0	1543184120291666.2	1609093435560976.8
2.2200000000000004e-08	1561992851143190.0	1628829476736489.8	1561992024294271.5	1628828649887571.2	1554559071836898.0	1617052263512096.5
2.23e-08	1572328867840363.2	1637627142243139.2	1572328454415904.0	1637626315394220.8	1565507783103138.5	1624960653712102.5
2.2400000000000002e-08	1582318435127462.5	1646310289273306.0	1582318021703003.0	1646309462424387.2	1576045550785982.0	1632818192750632.8
2.25e-08	1591969821465472.8	1654864861395373.5	1591969408041013.5	1654864034546454.8	1586188911840287.8	1640618265831637.8
2.2599999999999997e-08	1601290881928515.0	1663274735069534.8	1601290055079596.2	1663273908220616.2	1595951509273209.8	1648346816542310.8
2.27e-08	1610289884991674.5	1671527507576117.0	1610289471567215.2	1671526680731896.8	1605349053200095.5	1655990201880195.8
2.29e-08	1627356033129655.8	1687515032155560.5	1627355619705196.5	1687513791886881.0	1623102312243995.5	1670960703098513.5
2.2999999999999998e-08	1635442195710795.8	1695234074113069.0	1635441782286336.5	1695233247264150.2	1631486140200728.8	1678262186676575.2
2.3100000000000002e-08	1643243509065181.5	1702763354389528.2	1643243095640722.2	1702762527540609.8	1639558659784119.2	1685426826871458.0
2.32e-08	1650769068530909.2	1710099565598660.8	1650769068530909.2	1710099565598660.8	1647331446879022.0	1692447182042896.5
2.33e-08	1658030863393793.5	1717244361428904.5	1658030863393793.5	1717244361428904.5	1654818144469088.8	1699317050828699.5
2.3500000000000002e-08	1671801194356578.8	1730960533834539.8	1671801194356578.8	1730960533834539.8	1668976680693519.8	1712592099684216.0
2.36e-08	1678333295631850.2	1737540178885017.0	1678333295631850.2	1737540178885017.0	1675674151616157.0	1718996866324769.0
2.37e-08	1684641734443920.5	1743934196494331.8	1684641734443920.5	1743934196494331.8	1682128529149508.8	1725244945217501.0
2.3799999999999998e-08	1690736019564747.5	1750058661572476.2	1690736019564747.5	1750058661572476.2	1688348495202518.8	1731334682669278.2
2.4e-08	1702318096599517.5	1753079138278775.5	1702318096599517.5	1753079138278775.5	1700128602402825.5	1743058150760978.2
2.41e-08	1707825732873401.0	1754371915533254.8	1707825732873401.0	1754371915533254.8	1705706107353905.0	1748697255909472.5
2.4300000000000003e-08	1718323811841061.8	1757012455462387.8	1718323811841061.8	1757012455462387.8	1716282736903004.8	1759551706474227.8
2.44e-08	1723330378065246.5	1758360218127636.8	1723330378065246.5	1758360218127636.8	1721296331342994.8	1764775320370270.0
2.46e-08	1732898666157463.8	1761112795991200.5	1732898252733004.2	1761112795991200.5	1730810460873366.5	1774837236876619.8
2.4700000000000003e-08	1737474857872169.8	1762517611194216.5	1737474444447710.5	1762517611194216.5	1735324638966195.8	1779684221391173.2
2.49e-08	1746247717930070.8	1765389255208016.8	1746247717930070.8	1765389255208016.8	1743899468867962.2	1789034221542855.8
2.5e-08	1750456375587283.8	1766856497447964.0	1750456375587283.8	1766856497447964.0	1747971696557053.0	1793545919084231.0
2.52e-08	1758545432139641.5	1769857543218781.8	1758545018715182.2	1769857543218781.8	1755715957387772.0	1802264620589683.2
2.5400000000000002e-08	1766213209497117.5	1772967732952815.5	1766213209497117.5	1772967732952815.5	1762962455555067.0	1807811118729825.5
2.55e-08	1769873666758588.8	1774588355549610.2	1769873666758588.8	1774588355549610.2	1766409172540357.8	1809871624603364.0
