R	8B1_9A1	8B2_9A1
Intensities	1.918671654845598e-10	1.918671654845598e-10
2.12	1276.6510015346867	1276.6510015346867
2.13	1283.1101398795436	1283.1101398795436
2.15	1184.10074477343	1184.10074477343
2.16	1123.0780186456104	1123.0780186456104
2.17	1008.8326947648748	1008.8326947648748
2.19	966.3424063993589	966.3424063993589
2.2	918.6988537254801	918.7010484735074
2.22	833.138863935761	833.138863935761
2.23	795.665765624828	795.6679603728844
2.25	731.1029137262813	731.1029137262813
2.26	703.453499837342	703.453499837342
2.28	655.5224353946396	655.5246301426814
2.3	615.0995980369917	615.0995980369917
2.31	597.1443785603624	597.1443785603624
2.33	565.5575898046809	565.5575898046809
2.35	568.5995081692963	568.5995081692963
2.36	582.797321993814	582.797321993814
2.38	609.0289297710551	609.0289297710551
2.4	631.5623900433857	631.5623900433857
2.42	650.5425560567382	650.5425560567382
2.44	666.4017928009707	666.4017928009707
2.46	679.412248858469	679.412248858469
2.48	689.846072761793	689.8482675098348
2.5	698.3375462207187	698.3375462207187
2.52	705.0315224312799	705.0315224312799
2.54	710.1869814876991	710.1869814876991
2.56	714.023398019388	714.023398019388
2.59	717.7237402723549	717.7237402723549
2.61	719.0493670411961	719.0493670411961
2.63	719.622195830787	719.6243905788142
2.66	719.284204881973	719.2863996300148
2.68	718.5292121546809	718.5314069027227
2.71	716.3849450402195	716.3849450402195
2.73	714.50185271808	714.5040474411653
2.76	711.11316443744	711.1153591605253
2.79	707.1648158305034	707.1670105535886
2.82	702.7599600052927	702.7621547533345
2.85	697.979802564485	697.9819973125268
2.88	692.887991151365	692.887991151365
2.91	687.5328101729247	687.5350049209665
2.94	681.9625440611126	681.9625440611126
2.97	676.2035297674884	676.2057245155302
3.01	668.2892746191937	668.2892746191937
3.04	662.20982736109	662.20982736109
3.08	653.9641655081068	653.9641655081068
3.12	645.5912083934963	645.5912083934963
3.16	637.1567983586865	637.1567983586865
3.2	628.6938566243043	628.691661876248
3.24	620.3099257445283	620.3099257445283
3.28	612.0664586645435	612.0664586645435
3.33	602.1374263865	602.1374263865
3.37	594.662120497087	594.662120497087
3.42	586.2628264059895	586.2628264059895
3.47	579.6127451063221	579.6127451063221
3.53	575.9387398298713	575.9387398298713
3.58	579.2308592715563	579.2308592715563
3.64	593.3321042321622	593.3321042321622
3.7	616.2891505270964	616.2891505270964
3.77	649.0128178698069	649.0128178698069
3.83	679.3288485077646	679.3288485077646
3.9	715.4126724315283	715.4126724315283
3.98	756.0242579460319	756.0242579460319
4.06	794.6430138361466	794.6430138361466
4.14	830.2966675181233	830.2966675181233
4.23	865.9130104584619	865.9130104584619
4.32	895.9568925389613	895.9568925389613
4.42	922.2938481473102	922.2938481473102
4.53	942.8673999659659	942.8673999659659
4.64	955.8449348527502	955.8449348527502
4.76	963.566052323149	963.566052323149
4.89	967.0886201344838	967.0886201344838
5.03	967.8458076098177	967.8458076098177
5.19	967.03814097945	967.03814097945
5.35	965.8112777976057	965.8112777976057
5.54	964.6831782027439	964.6831782027439
5.74	964.2069182521082	964.2069182521082
5.96	964.507598484226	964.507598484226
6.21	965.508402817446	965.508402817446
6.5	966.9525458807038	966.9547406287456
6.82	968.37035196746	968.37035196746
7.19	969.5225937907526	969.5225937907526
7.62	971.0984216366778	971.0984216366778
8.14	972.2791951346153	972.2791951346153
8.76	972.9661507225246	972.9661507225246
9.55	973.304141646382	973.304141646382
10.56	973.4248527137825	973.4270474368823
11.96	973.4511896653275	973.4511896653275
14.03	973.4533844133693	973.4533844133693
17.58	973.451189640371	973.451189640371
25.83	973.4555791614112	973.4533844133693
