5A1_4A1	6A1_4A1	5B1_5A1	5B1_6A1	6B1_5A1	6B1_6A1	7B1_4A1	7B1_5B1	7B1_6B1	5B2_5A1	5B2_6A1	6B2_5A1	6B2_6A1	7B2_4A1	7B2_5B2	7B2_6B2	5A2_7B1	5A2_7B2	6A2_7B1	6A2_7B2	7A2_5B1	7A2_6B1	7A2_5B2	7A2_6B2	7A2_5A2	7A2_6A2
Intensities	1.0000000000000001e-16	7.951272039999999e-06	2.5714026809999997e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	2.5713012640000004e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	3.8105928999999994e-09	3.8093584e-09	4.6063368999999995e-07	4.6063368999999995e-07	2.9785397759999993e-07	2.3106287609999998e-07	2.9785397759999993e-07	2.3106287609999998e-07	8.190757802499999e-06	1.0000000000000001e-16
2.5400000000000002e-08	45600268239030.484	36250681525967.92	34227383807570.3	24877797094507.74	40981907272651.21	31632320559588.652	68373736518348.22	57000852086888.04	63755375551968.95	34227383807570.3	24877797094507.74	40981907272651.21	31632320559588.652	68373323102937.42	57000438671477.25	63754962136558.16	67006129484877.695	67005716069466.9	19363546041862.625	19363132626451.832	34843385765505.586	41597909230586.5	34843385765505.586	41597909230586.5	44848663163495.24	2793920279519.8267
2.55e-08	44346352854357.09	37235871224423.03	34732174684516.25	27621693054582.188	39446863475746.1	32336381845812.043	69023225821438.305	59409047651597.46	64123736442827.32	34732174684516.25	27621693054582.188	39446863475746.1	32336381845812.043	69022812387193.125	59408634217352.28	64123323008582.13	67588230663415.734	67587817229170.55	19358998359334.83	19358584925089.645	35283269048033.016	39997957839262.87	35283269048033.016	39997957839262.87	43462452059851.28	4766780244229.623
2.57e-08	42265589207281.85	39236844020938.26	35277894534689.12	32249149348345.52	37251581330220.5	34222836143876.9	70386698606626.22	63399003934033.484	65372690729564.86	37251581330220.5	34222836143876.9	35278307968934.305	32249562782590.703	70386698606626.22	65372690729564.86	63399417368278.664	68816927180665.15	68816927180665.15	19339154005254.75	19339154005254.75	35699587143614.02	37673273939145.4	37673273939145.4	35700000577859.2	41117510390245.69	8360262785164.712
2.59e-08	41261795419816.17	40705739958358.08	38238424746821.945	37682369285363.86	34251362428764.645	33695306967306.55	71826241428339.45	68802870755345.234	64815808437287.93	38238424746821.945	37682369285363.86	34251362428764.645	33695306967306.55	71825828012931.4	68802457339937.19	64815395021879.88	70127068247786.52	70126654832378.48	19316415686798.7	19316002271390.65	37979621237638.23	33992558919580.92	37979621237638.23	33992558919580.92	39303818730079.516	11506833830908.309
2.61e-08	39599416983041.94	43294601862171.51	38885846935189.3	42581031814318.875	31769577376497.812	35464762255627.38	73321183082841.97	72607613034989.33	65491343476297.84	38885846935189.3	42581031814318.875	31769577376497.812	35464762255627.38	73321183082841.97	72607613034989.33	65491343476297.84	71500876644259.66	71500876644259.66	19292023650193.566	19292023650193.566	39067340123943.8	31951070565252.31	39067340123943.8	31951070565252.31	37960603733214.125	14248249260851.967
2.63e-08	38879645553346.81	45317899561734.734	40200122231753.414	46638376240141.336	30097690159254.457	36535944167642.375	74850025516741.73	76170502195148.33	66068070122649.375	40200122231753.414	46638376240141.336	30097690159254.457	36535944167642.375	74849612101333.67	76170088779740.28	66067656707241.32	72919334827991.66	72918921412583.61	19267631632422.83	19267218217014.777	40275365437459.9	30172933364960.945	40275365437459.9	30172933364960.945	37024198070303.234	16627505125265.602
2.65e-08	38476143618021.695	47312257579836.555	41545404362175.94	50381518323990.805	28685846753938.598	37521960715753.46	76391270695486.58	79460531439640.83	66600973831403.484	41545404362175.94	50381518323990.805	28686260188183.78	37522374149998.65	76390857280078.53	79460118024232.78	66600973850240.62	74363011897984.77	74362598482576.72	19243653030062.88	19243239614654.83	41528453991314.445	28668896383077.11	41528453991314.445	28669309817322.29	36430934449658.39	18688424418263.504
2.67e-08	38328137774419.26	49260725507941.23	42892340191913.15	53824927925435.12	27505520875657.004	38438108609178.97	77924247358834.56	82488449776328.45	67101630460072.305	42892340191913.15	53824927925435.12	27505520875657.004	38438108609178.97	77923833943423.77	82488036360917.66	67101217044661.516	75811236631671.28	75810823216260.48	19220501277361.645	19220087861950.85	42796425801310.49	27409606485054.34	42796425801310.49	27409606485054.34	36119212656653.32	20471522697656.32
2.69e-08	38390564819869.86	51148833505318.03	44232247790151.91	56990516475600.07	26533147318623.387	39291416004071.555	79431178323934.25	85272861294216.3	67573760822687.77	44232247790151.91	56990516475600.07	26533147318623.387	39291416004071.555	79430764908523.45	85272447878805.5	67573347407276.98	77246645223939.05	77246231808528.25	19199830073625.594	19199416658214.8	44057782814055.99	26358682342527.477	44057782814055.99	26358682342527.477	36031566743778.75	22015248406534.703
2.71e-08	38592729231197.54	52963352033980.05	45525851901819.84	59896474704602.34	25712500419224.15	40083123222006.65	80898833996290.05	87831956666912.34	68018605184316.65	45525851901819.84	59896474704602.34	25712500419224.15	40083123222006.65	80898420580879.25	87831543251501.55	68018191768905.86	78653527531319.06	78653114115908.27	19181225984615.02	19180812569204.23	45296814942590.63	25483463459994.938	45296814942590.63	25483463459994.938	36118385806997.34	23353915739706.69
2.7400000000000004e-08	39092145575959.72	55529062185089.5	47377578589665.87	63814495198795.65	24728550985835.8	41165467594965.586	83000682262509.39	91286115276215.53	68637087672385.47	47377578589665.87	63814495198795.65	24728550985835.8	41165467594965.586	83000268847098.6	91285701860804.75	68636674256974.67	80683853443543.61	80683440028132.81	19158074231911.047	19157660816500.254	47085701150740.875	24436673546910.81	47085701150740.875	24436673546910.81	36483439318068.95	25042339893563.613
2.76e-08	39510530786263.47	57126946442853.26	48542194362152.74	66158610018742.53	24203915754812.516	41820331411402.31	84324879773787.81	93356543349677.08	69018264742336.85	48542194362152.74	66158610018742.53	24203915754812.516	41820331411402.31	84324466339542.62	93356129915431.89	69017851308091.67	81970842776798.14	81970429342552.97	19146084940148.266	19145671505903.082	48218483277387.63	23880204670047.406	48218483277387.63	23880204670047.406	36832782704508.695	25991975132141.18
2.7900000000000002e-08	40207150463251.875	59349514589365.45	50173152568497.65	69315516694611.23	23568069442797.152	42710433568910.734	86184874939361.92	96150877044607.69	69545793918907.2	50173152568497.65	69315516694611.23	23568069442797.152	42710433568910.734	86184048089703.2	96150050194948.98	69544967069248.484	83787428401343.03	83786601551684.31	19134095648388.23	19133268798729.516	49813887005020.6	23208803879320.11	49813887005020.6	23208803879320.11	37450438361755.93	27202894391198.863
2.81e-08	40692510382694.14	60714641055028.18	51179840320342.05	71201970992676.08	23224100569706.78	43246231242040.82	87337501420086.02	97824831357733.9	69869091607098.66	51179840320342.05	71201970992676.08	23224100569706.78	43246231242040.82	87337087985838.1	97824417923485.98	69868678172850.73	84917316563613.81	84916903129365.88	19129547984697.566	19129134550449.645	50804037782574.42	22848298031939.164	50804037782574.42	22848298031939.164	37896522988454.32	27891245590461.92
2.84e-08	41421377120933.45	62589519495580.92	52569358822609.91	73737501197257.38	22800340827219.266	43968483201866.734	88935385677849.77	100083367379526.22	70314349384135.58	52569358822609.91	73737501197257.38	22800340827219.266	43968483201866.734	88934972243604.6	100082953945281.03	70313935949890.4	86489568519702.92	86489155085457.75	19128307700790.926	19127894266545.746	52175365630079.63	22406347634689.0	52175365630079.63	22406347634689.0	38581566770256.34	28779694048655.656
2.8700000000000002e-08	42126678691058.0	64266367773083.12	53816659428872.63	75956348510897.75	22461333052067.48	44601022134092.59	90379889578661.72	102069870316476.34	70714543939671.2	53816659428872.63	75956348510897.75	22461746467478.273	44601435549503.38	90379476163253.67	102069456901068.3	70714543939673.94	87914641500685.47	87914228085277.42	19133682214140.305	19133268798732.254	53411503775398.43	22056177398593.277	53411503775398.43	22056590814004.066	39256274959607.54	29524684326937.617
2.89e-08	42574417035902.73	65279670322178.05	54572398752685.0	77277652038960.31	22271984800995.684	44977238087271.0	91261309843034.0	103259291559816.28	70958877608126.95	54572398752685.0	77277652038960.31	22271984800995.684	44977238087271.0	91260896427623.22	103258878144405.48	70958464192716.17	88786552984591.36	88786139569180.58	19141123842212.42	19140710426801.63	54162695435520.13	21862281483830.82	54162695435520.13	21862281483830.82	39689956860295.23	29955472282083.72
2.92e-08	43204475419163.41	66651825019341.98	55598930858606.734	79046280458785.3	22030131681510.59	45477481281689.16	92466854626419.31	104861310065862.64	71292510888766.5	55598930858606.734	79046280458785.3	22030131681510.59	45477481281689.16	92466441192171.39	104860896631614.72	71292097454518.58	89981348741277.92	89980935307030.0	19157247401092.203	19156833966844.28	55185920142815.23	21617120965719.082	55185920142815.23	21617120965719.082	40305958818230.51	30518142521955.21
2.96e-08	43957734175170.72	68227797789468.52	56780910455040.15	81050974069337.95	21766780508636.207	46036844122934.01	93872910065303.48	106696086345172.92	71681956398768.97	56780910455040.15	81050974069337.95	21767193942884.13	46037257557181.94	93872910065303.48	106696086345172.92	71682369833016.89	91378308871617.9	91378308871617.9	19187840763028.42	19187840763028.42	56368313173496.57	21354183227092.625	56368313173496.57	21354596661340.55	41050535699941.555	31139932408647.926
2.99e-08	44455496820623.69	69236552674870.055	57540370574055.555	82321426428301.92	21602237690745.94	46383293544992.305	94790298223795.75	107875171977227.62	71937039093918.0	57540370574055.555	82321426428301.92	21602237690745.94	46383293544992.305	94790298223795.75	107875171977227.62	71937039093918.0	92290735932171.58	92290735932171.58	19217607312980.19	19217607312980.19	57129840426069.11	21191707542759.492	57129840426069.11	21191707542759.492	41545404381013.07	31527724238178.324
3.02e-08	44896206952807.09	70111771557399.85	58200608922676.055	83416173527268.81	21457952680012.59	46673517284605.35	95601849795808.19	108906251765677.14	72163595523013.69	58200608922676.055	83416173527268.81	21457952680012.59	46673517284605.35	95601436380400.14	108905838350269.1	72163182107605.64	93098566690149.33	93098153274741.28	19253575207102.918	19253161791694.867	57793386154479.11	21050729911815.645	57793386154479.11	21050729911815.645	41985701078951.29	31859290404095.125
3.06e-08	45397276996883.96	71089933062030.77	58942291802331.375	84634947867478.19	21288035367610.08	46980691432756.89	96533294360785.97	110078309166233.39	72424052731512.1	58942291802331.375	84634947867478.19	21288035367610.08	46980691432756.89	96533294360785.97	110078309166233.39	72424052731512.1	94026703856503.22	94026703856503.22	19309387474140.113	19309387474140.113	58541270397139.78	20887013962418.49	58541270397139.78	20887013962418.49	42489665087409.61	32227651294953.492
3.09e-08	45712306188512.93	71696839692584.73	59405326837562.77	85389860341634.58	21173516869156.97	47158050373228.77	97131105663958.61	110824126313008.47	72592316344602.66	59405326837562.77	85389860341634.58	21173516869156.97	47158050373228.77	97131105663958.61	110824126313008.47	72592316344602.66	94623688310017.14	94623688310017.14	19356931244612.09	19356931244612.09	59009679945717.82	20777869977312.016	59009679945717.82	20777869977312.016	42809241942726.5	32457515122678.555
3.13e-08	46056275061600.555	72355424323056.14	59910944545330.305	86210093806785.89	21032125822805.074	47331275084260.664	97808707817685.78	111663377301415.53	72784558578890.3	59910944545330.305	86210093806785.89	21032125822805.074	47331275084260.664	97808707817685.78	111663377301415.53	72784558578890.3	95301703879157.84	95301703879157.84	19428867051691.938	19428867051691.938	59523979565458.625	20645160842933.39	59523979565458.625	20645160842933.39	43162306143200.94	32710530684264.973
3.17e-08	46322106783445.6	72861455465068.86	60299976658764.6	86839325340387.86	20897349554866.58	47436698236489.836	98365176694554.66	112343046569873.67	72940419465975.64	60299976658764.6	86839325340387.86	20897349554866.58	47436698236489.836	98365176694554.66	112343046569873.67	72940419465975.64	95851971393021.38	95851971393021.38	19508657902251.95	19508657902251.95	59921693572029.06	20519066468131.035	59921693572029.06	20519066468131.035	43430618395176.77	32912695095592.652
3.2200000000000004e-08	46555691406365.48	73306299826700.48	60655521408204.22	87406129828539.22	20740248383877.34	47490856804212.34	98912136809791.56	113011966811630.3	73096693787303.42	60655521408204.22	87406129828539.22	20740248383877.34	47490856804212.34	98912550225199.61	113012380227038.34	73097107202711.47	96402652341127.34	96403065756535.39	19620282417486.473	19620695832894.52	60288400782412.62	20373127758085.734	60288400782412.62	20373127758085.734	43679086311909.664	33103283611731.215
3.26e-08	46672690434949.375	73532856236961.77	60844869659276.016	87705035461288.4	20617874841946.805	47478040643959.195	99247423789745.78	113419603014072.42	73192608196743.22	60844869659276.016	87705035461288.4	20617874841946.805	47478040643959.195	99247837205153.84	113420016429480.48	73193021612151.27	96741246700871.08	96741660116279.12	19718677375896.93	19719090791304.98	60487257795110.914	20260262977781.707	60487257795110.914	20260262977781.707	43808901481909.57	33213667843064.58
3.31e-08	46739251728679.84	73675487567214.83	60974684848115.8	87910920686650.78	20463254219930.97	47399490058465.945	99555424749876.3	113790857869312.25	73279427241127.42	60974684848115.8	87910920686650.78	20462840804520.18	47399076643055.16	99555838184121.48	113791271303557.44	73279427259961.81	97052968493876.16	97053381928121.34	19851799925686.348	19852213359931.527	60632369655502.984	20120939027318.156	60632369655502.984	20120525611907.363	43894480280066.89	33306688288122.92
3.3599999999999996e-08	46733877196498.81	73682102345630.97	61009412458334.63	87957637607466.78	20311527562293.85	47259752711426.0	99755108612236.06	114030643874071.88	73332758978031.1	61009412458334.63	87957637607466.78	20311527562293.85	47259752711426.0	99755522027644.11	114031057289479.92	73333172393439.14	97257200019923.83	97257613435331.89	19997325239155.246	19997738654563.297	60678673160908.195	19980788264867.414	60678673160908.195	19980788264867.414	43905229306760.16	33354645474008.426
3.42e-08	46643337338077.18	73535750220174.88	60940370634467.89	87832783516565.58	20128380674221.92	47020793556319.62	99871280809998.38	114168314106389.08	73356324146143.11	60940370634467.89	87832783516565.58	20128380674221.92	47020793556319.62	99871694225406.42	114168727521797.12	73356737561551.17	97379573561854.38	97379986977262.42	20187086905637.836	20187500321045.887	60622447478460.2	19810457518214.242	60622447478460.2	19810457518214.242	43833706933925.49	33358779722291.04
3.48e-08	46472593157181.56	73244699630905.86	60767559338852.27	87539665812576.56	19941512953283.656	46713619427007.945	99869213676438.5	114164179858109.2	73338133472540.6	60767559338852.27	87539665812576.56	19941512953283.656	46713619427007.945	99868800261027.7	114163766442698.42	73337720057129.8	97384121225547.77	97383707810136.98	20392558696755.02	20392145281344.23	60462038908852.555	19635992523283.938	60462038908852.555	19635992523283.938	43681980276291.12	33309582252501.633
3.54e-08	46233634020912.31	72829621800394.34	60505861884124.234	87101849663606.27	19749684172075.59	46345671951557.625	99762550259142.56	114034778122354.48	73278600410305.84	60505861884124.234	87101849663606.27	19749684172075.59	46345671951557.625	99762550259142.56	114034778122354.48	73278600410305.84	97284072586662.5	97284072586662.5	20613740612504.066	20613740612504.066	60212330745887.29	19456153033838.65	60212330745887.29	19456153033838.65	43461625210195.305	33208706763963.125
3.61e-08	45881396651259.46	72209485594176.45	60105253894340.69	86433342837257.69	19520233778601.195	45848322721518.19	99516976306785.64	113740833549866.88	73155813434127.38	60105253894340.69	86433342837257.69	19520233778601.195	45848322721518.19	99516976306785.64	113740833549866.88	73155813434127.38	97046767130868.06	97046767130868.06	20890321342205.25	20890321342205.25	59824952331767.68	19239932216028.19	59824952331767.68	19239932216028.19	43130885912768.87	33025559875893.94
3.6800000000000005e-08	45460530891987.79	71461601332675.9	59614932876959.836	85616003317647.95	19283755191302.61	45284825631990.72	99147375132023.38	113301777116995.42	72970599431338.2	59614932876959.836	85616003317647.95	19283755191302.61	45284825631990.72	99147375132023.38	113301777116995.42	72970599431338.2	96685434433833.89	96685434433833.89	21185092745508.957	21185092745508.957	59347034021557.66	19015856335900.434	59347034021557.66	19015856335900.434	42730691338396.12	32769650349928.81
3.76e-08	44907782829159.08	70470623724303.23	58959242192032.74	84522083087176.9	19005520724615.21	44568361619759.37	98573129034639.77	112624588397513.44	72670866930095.9	58959242192032.74	84522083087176.9	19005520724615.21	44568361619759.37	98573129034639.77	112624588397513.44	72670866930095.9	96120697079242.39	96120697079242.39	21541050929199.24	21541050929199.24	58705399780787.61	18751678313370.074	58705399780787.61	18751678313370.074	42201508462516.56	32378137687526.59
3.85e-08	44209509471693.12	69201411630406.04	58118750938556.164	83110653097269.1	18687184153199.477	43679086311912.41	97720648470566.03	111629889937429.08	72198323152072.39	58118750938556.164	83110653097269.1	18687184153199.477	43679086311912.41	97720648470566.03	111629889937429.08	72198323152072.39	95280205825768.56	95280205825768.56	21958195874433.48	21958195874433.48	57876484403663.016	18444917618306.332	57876484403663.016	18444917618306.332	41526800292002.5	31795209659332.58
3.95e-08	43348346995646.09	67624198557538.46	57066173096714.61	81342024658606.97	18322957491783.848	42598809053676.21	96483683456751.39	110201509557819.9	71458293952889.14	57066173096714.61	81342024658606.97	18322957491783.848	42598809053676.21	96483683456751.39	110201509557819.9	71458293952889.14	94056056953369.94	94056056953369.94	22425365139107.62	22425365139107.62	56840443536112.04	18097227931181.273	56840443536112.04	18097227931181.273	40694990931662.06	30935700882600.246
4.05e-08	42414008466292.336	65892364881489.44	55906104987921.14	79384461403118.25	17957077131056.266	41435433546253.37	94876290437358.38	108368386958987.19	70419359102122.31	55906104987921.14	79384461403118.25	17957077131056.266	41435433546253.37	94876290437358.38	108368386958987.19	70419359102122.31	92462720359299.58	92462720359299.58	22864421571981.812	22864421571981.812	55696912382769.27	17747884525904.39	55696912382769.27	17747884525904.39	39791245783081.66	29807053004236.105
4.17e-08	41217559047968.09	63642097337419.74	54393386112901.164	76817924402352.81	17527116044403.271	39951654333854.914	92330011224918.2	105505838289851.28	68639568221353.39	54393386112901.164	76817924402352.81	17526289194747.297	39950827484198.945	92330424659166.14	105506251724099.2	68639154805945.336	89934218386214.0	89934631820461.92	23279912817904.105	23280326252152.03	54204864692645.47	17338594624147.576	54204864692645.47	17337767774491.602	38633244789008.19	28021060779301.707
4.3099999999999996e-08	39744528862262.914	60825438739443.86	52485020308359.23	73565930185540.17	17056639381099.754	38137549258280.7	88280521861413.05	101021013307509.36	65592632380249.88	52485020308359.23	73565930185540.17	17056639381099.754	38137549258280.7	88280521861413.05	101021013307509.36	65592632380249.88	85909121040479.58	85909121040479.58	23467193954255.902	23467193954255.902	52325025172994.016	16896644245734.543	52325025172994.016	16896644245734.543	37213132905964.24	25228794180259.438
4.46e-08	38120185434334.15	57653235354354.1	50310822800814.86	69843872720834.805	16628745409169.5	36161795329189.445	82467778572592.4	94658415939073.11	60976338547427.75	50310822800814.86	69843872720834.805	16628745409169.5	36161795329189.445	82467778572592.4	94658415939073.11	60976338547427.75	80129451700237.34	80129451700237.34	23147617117773.406	23147617117773.406	50188449258881.58	16506371867236.223	50188449258881.58	16506371867236.223	35659485020045.81	21322349562418.117
4.64e-08	36187427630861.34	53765808259771.28	47599173920822.97	65177554549732.9	16290564464836.557	33868945093746.49	73868970066569.23	85280716356530.84	53972106900544.44	47599173920822.97	65177554549732.9	16290564464836.557	33868945093746.49	73868970066569.23	85280716356530.84	53972106900544.44	71583561459198.39	71583561459198.39	22189299967219.824	22189299967219.824	47534679760649.625	16226070304663.217	47534679760649.625	16226070304663.217	33837524863317.164	15556736628661.396
4.85e-08	34082271947180.977	49329353897560.04	44410847033364.82	59657928983743.89	16256250270028.518	31503332220407.582	63291513667081.58	73620088753265.42	45465491989929.12	44410847033364.82	59657928983743.89	16255836835780.594	31502918786159.66	63291513667081.58	73620088753265.42	45465078555681.195	61090857027043.73	61090857027043.73	21094552868255.67	21094552868255.67	44441853829548.96	16287257066212.66	44441853829548.96	16286843631964.734	31912622103327.266	8083682055460.786
5.11e-08	31942388653279.035	44354621332082.44	40685895604280.74	53098128283084.15	16934265839169.219	29346498517972.625	52031907450165.125	60775414401166.83	37023784636055.31	40685895604280.74	53098128283084.15	16934265839169.219	29346498517972.625	52031907450165.125	60775414401166.83	37023784636055.31	49971401572578.016	49971401572578.016	20749757145506.586	20749757145506.586	40871523041317.85	17119893276206.328	40871523041317.85	17119893276206.328	30067510212729.03	845865785657.6041
5.4299999999999997e-08	30275875968222.19	39402213669650.1	36785652330604.9	45911990032032.81	18885627731652.598	28011965433080.508	42521912167492.17	49031688529874.875	31131663930922.574	36785652330604.9	45911990032032.81	18885627731652.598	28011965433080.508	42521912167492.17	49031688529874.875	31131663930922.574	40678867391619.414	40678867391619.414	21836235766748.13	21836235766748.13	37186260320388.445	19286235721436.14	37186260320388.445	19286235721436.14	28833439182132.98	9990807557261.695
5.8499999999999994e-08	29557758256678.89	34991805043355.945	33025146441648.758	38459193228325.81	22326970199537.035	27761016986214.086	35935238900091.02	39402627085060.89	28704450842949.17	33025146441648.758	38459193228325.81	22326970199537.035	27761016986214.086	35935238900091.02	39402627085060.89	28704450842949.17	34385311828210.03	34385311828210.03	24256007188975.152	24256007188975.152	33777164932592.047	23078988690480.324	33777164932592.047	23078988690480.324	28759849675741.184	18630545036506.305
6.440000000000001e-08	30124562744832.996	31778259269633.953	30043531610371.824	31697228135172.78	26523638556991.4	28177335081792.355	32357053049548.094	32276021915086.92	28756128861706.496	30043531610371.824	31697228135172.78	26523638556991.4	28177335081792.355	32357053049548.094	32276021915086.92	28756128861706.496	31109752443285.367	31109752443285.367	26989567556604.254	26989567556604.254	31121741753885.277	27601848700504.85	31121741753885.277	27601848700504.85	29955472282083.72	25835287395402.605
7.37e-08	29989786476891.758	31329280659719.723	28818969341402.277	30158463524230.242	26588546151409.918	27928040334237.883	30849708669034.88	29678891533545.402	27448468343553.043	28818969341402.277	30158463524230.242	26588546151409.918	27928040334237.883	30849708669034.88	29678891533545.402	27448468343553.043	29823589978523.938	29823589978523.938	28876021873506.242	28876021873506.242	31471498574567.47	29241075384575.105	31471498574567.47	29241075384575.105	31616197019546.004	30668628914528.31
9.28e-08	29986065662857.07	31413205758562.348	28216610374538.98	29643750470244.258	27185530604923.844	28612670700629.117	31378891563754.31	29609436275436.22	28578356505821.082	28216610374538.98	29643750470244.258	27185530604923.844	28612670700629.117	31378891563754.31	29609436275436.22	28578356505821.082	31573200912764.69	31573200912764.69	28183536444797.707	28183536444797.707	29804159039857.39	28773079270242.254	29804159039857.39	28773079270242.254	31767923677185.863	28378259209218.88
