5A1_4A1	6A1_4A1	5B1_5A1	5B1_6A1	6B1_5A1	6B1_6A1	7B1_4A1	7B1_5B1	7B1_6B1	5B2_5A1	5B2_6A1	6B2_5A1	6B2_6A1	7B2_4A1	7B2_5B2	7B2_6B2	5A2_7B1	5A2_7B2	6A2_7B1	6A2_7B2	7A2_5B1	7A2_6B1	7A2_5B2	7A2_6B2	7A2_5A2	7A2_6A2
Intensities	1.0000000000000001e-16	7.951272039999999e-06	2.5714026809999997e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	2.5713012640000004e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	3.8105928999999994e-09	3.8093584e-09	4.6063368999999995e-07	4.6063368999999995e-07	2.9785397759999993e-07	2.3106287609999998e-07	2.9785397759999993e-07	2.3106287609999998e-07	8.190757802499999e-06	1.0000000000000001e-16
2.12e-08	328399737803981.9	4971011751442.911	25045233876779.46	298383492175759.5	311764377616398.94	11664348436139.99	111395065030605.3	191959438896597.1	94759704843022.4	25045233876779.46	298383492175759.5	311765617881463.0	11663108171075.965	111395065030605.3	191959438896597.1	94760945108086.42	111307005683482.81	111307005683482.81	3297884287972.667	3297884287972.667	26952772812825.55	313671916552445.06	26952772812825.55	313673156817509.06	330219217392905.44	222210095997395.3
2.13e-08	313439985610000.0	5452237441442.441	25750948862314.797	282236799306242.75	297731935739109.5	10255812429448.025	107304646675041.56	180384390072643.62	91596596804151.1	25750948862314.797	282236799306242.75	297733176023013.44	10254572145544.127	107304233259630.78	180384803488054.4	91597423672644.2	107209972549502.92	107209559134092.14	3858073997710.629	3857660582299.8374	27650219320635.54	299631206197430.25	27650219320635.54	299632446481334.2	315244581942782.06	211892683390989.78
2.1400000000000003e-08	299086726631164.06	5949586690319.014	25156031523523.613	267981108417321.4	284357665095723.3	8779474845121.693	102998007520501.77	170932687587138.66	88268945985061.06	25156031523523.613	267981108417321.4	284358905379627.25	8778234561217.795	102998007520501.77	170932687587138.66	88270186268964.95	102896718597715.33	102896718597715.33	4504255921011.215	4504255921011.215	27041245575358.84	286242879147558.56	27041245575358.84	286244119431462.44	300870651760212.8	202478189083508.72
2.15e-08	277061969462997.34	7299829881005.856	16361673422257.688	253400466159733.8	262737650165622.78	7024489416368.695	99237501612705.75	161462794428033.9	84913182315331.19	16361673422257.688	253400466159733.8	262739717280342.78	7022422301648.697	99236674763049.77	161463621277689.88	84914422580395.22	98522277865541.16	98521451015885.19	5238497172599.905	5237670322943.932	27090029629731.97	273466006373097.06	27090029629731.97	273468073487817.06	287075101923307.06	193791321230365.78
2.16e-08	272090130861898.47	6996376584566.009	25275097685664.645	239818656591667.8	259391808672930.22	5701945604402.224	94338012234094.77	152477020942139.06	81639690045126.53	25275097685664.645	239818656591667.8	259393048937994.25	5700705339338.199	94337598799849.58	152477434376384.25	81640516875945.38	94221426620921.66	94221013186676.47	6054596408303.0	6054182974057.817	27141707648489.297	261258418635754.88	27141707648489.297	261259658900818.9	273840155211550.0	185673324998931.34
2.17e-08	259418267805420.97	7544576964866.927	31732782613881.977	220140908226672.06	248179746226488.5	3693944614065.5474	90403454765613.62	137282030425925.36	79164933186681.14	31732782613881.977	220140908226672.06	248180573076144.47	3693117764409.573	90403041350202.83	137282443841336.16	79165346620926.33	90849125976901.22	90848712561490.42	6972397963368.927	6971984547958.136	25380934272141.74	241827897884748.25	25380934272141.74	241828724734404.22	253512090674968.3	169635362661436.03
2.1800000000000003e-08	247271866829628.22	8109727753706.342	25408220254291.19	213753918821630.7	236526973666700.5	2635165409221.3813	86397374943137.69	135466271632199.33	75652481780209.97	25408220254291.19	213753918821630.7	236527800516359.2	2634338559562.666	86396548093481.72	135467098481855.3	75652481780212.72	86263425524855.17	86262598675199.2	7889372706453.1455	7888545856797.171	27254985844198.633	238373739256607.94	27254985844198.633	238374566106266.66	248984683001253.12	170610630182851.1
2.19e-08	235631910430093.34	8690175232935.173	25481396345272.195	201460338851885.97	225782080503772.75	1159654693385.4153	82882856403106.64	127267657681714.52	73033026476786.06	25481396345272.195	201460338851885.97	225782907353431.47	1158827843726.7	82882029553450.67	127268484531370.48	73033026476788.8	82739398242029.27	82738571392373.3	8869187891556.139	8868361041900.164	27316999474238.44	227617683632739.0	27316999474238.44	227618510482397.72	237324055397982.22	163453845047509.1
2.2000000000000002e-08	224481448179446.25	9286746252201.172	25558293212616.363	189636408714628.72	215454332286084.78	259630358839.6947	79718508099168.58	119204646867661.3	70691392205807.1	25558293212616.363	189636408714628.72	215455159135740.75	260457208495.66885	79717681249512.6	119205473717317.28	70691392205807.1	79564714326808.72	79563887477152.73	9859338687947.096	9858511838291.121	27383147333723.73	217279186407192.12	27383147333723.73	217280013256848.1	226152508528193.75	156447132889332.12
2.21e-08	213803943159907.72	9897787131037.746	25640151196733.508	178266004832136.44	205523057809892.22	1616901781022.2556	76909704563510.0	111254087399664.2	68628819213494.51	25640151196733.508	178266004832136.44	205523884659548.2	1617728630678.2297	76909291129264.81	111254500833909.38	68629232628905.3	76745161745616.98	76744748311371.81	10835846474426.191	10835433040181.008	27453016007243.703	207335922620402.4	27453016007243.703	207336749470058.38	215452265152524.9	149542949881334.1
2.2200000000000004e-08	203583271774926.44	10524124700260.994	25726970259954.848	167332176814710.6	195972960365982.28	2913813291316.831	74446937015664.53	103409364499307.05	66836625606720.37	25726970259954.848	167332176814710.6	195973787215638.25	2914640140972.805	74446110166008.56	103410191348963.03	66836625606720.37	74270404906008.75	74269578056352.77	11777213235278.408	11776386385622.436	27527018929046.29	197773009035073.72	27527018929046.29	197773835884729.7	205206788334362.1	142713596663631.75
2.23e-08	193803723956373.75	11164105241721.838	25819577270768.008	156820041443883.9	186793290965324.97	4153672250673.0513	72308707402240.14	95675439283365.6	65298274411191.36	25819577270768.008	156820041443883.9	186793704380733.0	4154085666081.101	72307880552584.17	95676266133021.56	65297860976943.44	72119359151168.34	72118532301512.38	12666488543130.857	12665661693474.883	27605982948787.46	188579696643344.4	27605982948787.46	188580110058752.47	195400781383321.4	135947910775283.9
2.2400000000000002e-08	184449589560783.38	11817315358843.875	25917558776093.41	146714715425846.1	177974127393208.72	5341853191269.203	70467316306842.2	88064714477847.77	63991854139267.54	25917558776093.41	146714715425846.1	177974540808619.5	5342266606679.994	70466489476023.36	88065541308666.61	63991440723859.484	70264738480106.48	70263911649287.63	13492096521628.809	13491269690809.967	27689908028790.215	179746476645905.53	27689908028790.215	179746890061316.3	186019360986744.47	129246719028266.8
2.25e-08	175506812181672.6	12484168485880.514	26021328247850.508	137001315447941.56	169508441474651.97	6485797778859.894	68893410651438.4	80592073282383.69	62895039944417.77	26021328247850.508	137001315447941.56	169508854890060.03	6486211194267.943	68892583801779.68	80592900132042.4	62894626510167.11	68675949568561.17	68675122718902.46	14246595580377.152	14245768730718.438	27778794225571.426	171265907452372.88	27778794225571.426	171266320867780.94	177046817076516.28	122617463088332.27
2.2599999999999997e-08	166960095109814.78	13162597489266.398	26131299063773.08	127666198556775.31	161388378090823.28	7590880470274.876	67555570149082.51	73273225896959.2	61983853130090.984	26131299063773.08	127666198556775.31	161389204940479.25	7591707319930.851	67554743299426.53	73274052746615.17	61983853130090.984	67323225791229.4	67322398941573.43	14927918510467.484	14927091660811.51	27872641501448.61	163129720528498.8	27872641501448.61	163130547378154.78	168469093189637.22	116073785908875.3
2.27e-08	158797035638041.9	13853015784417.803	26248298092356.977	118695721761267.14	153607322519817.88	8663302666193.77	66427335704966.29	66121401840718.65	61237622586742.26	26248298092356.977	118695721761267.14	153607735954065.8	8663716100441.693	66426508855310.32	66122228690374.62	61237209171334.21	66178454391657.0	66177627542001.03	15537305708829.244	15536478859173.27	27973103574581.81	155332128002042.72	27973103574581.81	155332541436290.62	160272959806957.47	109631811124129.7
