R	10B1_10A1	10B1_11A1	11B1_10B1	10B2_10A1	10B2_11A1	11B2_10B2	10A2_11B1	10A2_11B2	11A2_10B1	11A2_10B2
2.59e-08	9027942761857.324	103126995822008.56	127819992347972.31	9028356177265.375	103126582406600.52	127820405763380.36	2661211126301.3286	2661211126301.3286	9020501114950.816	9020914530358.867
2.61e-08	8980398972548.219	104576874273844.16	124025999076187.1	8980812406793.4	104576460839598.98	124026412510432.28	2513205301536.0293	2513205301536.0293	8972543910230.918	8972957344476.102
2.63e-08	8933682051729.477	105912647642637.44	120461869650961.33	8933682051729.477	105912647642637.44	120461869650961.33	2397446538018.896	2397446538018.896	8925826989412.178	8925826989412.178
2.65e-08	8886965130910.736	107146718654399.1	117128844318521.9	8886965130910.736	107146718654399.1	117128844318521.9	2307320057336.5273	2307320057336.5273	8878696634348.254	8878696634348.254
2.67e-08	8840248191257.604	108289422958083.14	114023202227165.36	8840248191257.604	108289422958083.14	114023202227165.36	2237451402650.9443	2237451402650.9443	8831979713532.254	8831979713532.254
2.69e-08	8793117855033.554	109366392817692.7	111137088371080.3	8793117855033.554	109366392817692.7	111137088371080.3	2183292834928.436	2183292834928.436	8784435943060.279	8784435943060.279
2.71e-08	8745160650313.655	110359024144217.19	108460993969800.34	8745160650313.655	110359024144217.19	108460993969800.34	2141950427459.0723	2141950427459.0723	8736478757177.515	8736478757177.515
2.7400000000000004e-08	8671571143919.119	111733245974938.25	104813766276553.55	8671571143919.119	111733245974938.25	104813766276553.55	2100194585744.5254	2100194585744.5254	8662475816537.795	8662475816537.795
2.76e-08	8620719993657.64	112584899670518.89	102613109636512.95	8620719993657.64	112584899670518.89	102613109636512.95	2083244196045.9019	2083244196045.9019	8611624666276.316	8611624666276.316
2.7900000000000002e-08	8540929124263.234	113780522276861.42	99625706857641.45	8540929124263.234	113780522276861.42	99625706857641.45	2070841470037.9404	2070841470037.9404	8531420362633.986	8531420362633.986
2.81e-08	8485530291473.961	114530473653079.23	97825658188552.75	8485116876063.17	114530887068490.02	97825244773141.97	2070428054627.1492	2070428054627.1492	8475608114436.663	8475194699025.871
2.84e-08	8397057528940.673	115597107901406.3	95383561844437.86	8396644113532.623	115597521316814.36	95383148429029.81	2079936797419.2642	2079936797419.2642	8386721917655.451	8386308502247.4
2.8700000000000002e-08	8301969987993.984	116604622502906.67	93215979134144.02	8301969987993.984	116604622502906.67	93215979134144.02	2101848285056.4739	2101848285056.4739	8291220961297.971	8291220961297.971
2.89e-08	8234995260015.59	117247910461828.55	91906251482430.69	8234995260015.59	117247910461828.55	91906251482430.69	2122519488792.5261	2122519488792.5261	8223419383663.603	8223419383663.603
2.92e-08	8127504993060.939	118176874496672.8	90118605539347.22	8127091577652.889	118177287912080.86	90118192123939.16	2163448462013.9658	2163448462013.9658	8115515682463.769	8115102267055.719
