R	10A1_3A1	11A1_3A1	3B1_10A1	3B1_11A1	11B1_3A1	11B1_3B1	3B2_10A1	3B2_11A1	11B2_3A1	11B2_3B2	11A2_3B1	11A2_3B2
Intensities	7.534512644430284e-12	35.69886436359095	27.00030222679526	9.080827241087066	24.43688140882432	28.955868996093127	27.000287699633688	9.080860940288817	24.43690075733426	28.955879116637814	27.08351523617634	27.083510739048414
2.12	11274.154957783176	11709.063689847942	10505.418729238765	10940.327461303532	11331.916290916939	10563.180062372528	10505.423118734849	10940.331850799615	11331.911901420855	10563.180062372528	10505.442871442254	10505.447260938337
2.13	11287.398056958365	11713.738499457628	10527.421060909313	10953.761503408576	11344.86090458311	10584.883908534059	10527.427645153439	10953.768087652701	11344.856515087027	10584.8861032821	10527.447397860858	10527.453982104984
2.15	11311.617082378856	11725.972015332387	10570.690484230581	10985.045417184112	11368.752912794997	10627.826314646722	10570.699263197792	10985.054196151323	11368.735354835619	10627.817535654554	10570.977995974448	10570.986774941659
2.16	11323.181200650026	11728.910780638878	10592.475535994803	10998.205115983656	11379.75517601677	10649.049511361547	10592.482120238928	10998.211700227781	11379.748591772644	10649.049511361547	10592.501872946334	10592.508457190459
2.17	11333.819135946498	11734.386672659777	10613.815054255989	11014.382590969268	11390.044146674147	10670.040064983637	10613.8216385001	11014.389175213379	11390.039757178063	10670.042259731665	10613.70531695374	10613.71190119785
2.19	11353.17240882742	11746.154902324095	10655.97174119373	11048.954234690405	11408.894822627932	10711.694154994242	10655.978325437856	11048.96081893453	11408.888238383806	10711.694154994242	10655.998078145276	10656.004662389401
2.2	11361.914083338459	11752.493329626494	10676.782325626147	11067.361571914182	11417.35995911037	10732.228201398058	10676.788909845316	11067.36815613335	11417.353374866245	10732.228201373102	10676.810857325734	10676.817441544903
2.22	11377.621882592604	11766.16440432037	10717.85700260305	11106.399524330816	11432.525656047495	10772.760776057941	10717.863586847176	11106.406108574942	11432.51907180337	10772.760776057941	10717.885534302637	10717.892118546763
2.23	11384.645070759827	11773.52997290752	10738.116705701352	11127.001607849044	11439.283279901356	10792.75491484288	10738.123289945477	11127.00819209317	11439.278890405272	10792.757109590922	10738.145237400939	10738.151821645064
2.25	11397.188045883813	11789.35848322908	10778.072062125459	11170.242499470725	11451.31048963491	10832.194505876556	10778.078646344627	11170.249083689894	11451.303905390785	10832.1945058516	10778.100593825046	10778.107178044214
2.26	11402.782454199114	11797.81923021542	10797.765520653324	11192.80229666963	11456.6525021251	10851.63556857931	10797.772104897449	11192.808880913755	11456.64591788099	10851.635568579324	10797.79405235291	10797.800636597036
2.28	11412.814639535296	11815.789812928357	10836.570830002194	11239.546003395255	11466.19306429931	10889.949254766208	10836.577414221363	11239.552587614424	11466.186480055185	10889.949254741252	10836.599361701767	10836.605945920935
2.3	11421.578261501782	11835.037737978157	10874.592614874258	11288.052091350633	11474.487010559285	10927.501363931762	10874.599199118384	11288.058675594759	11474.48042631516	10927.501363931762	10874.623341321887	10874.629925566012
2.31	11425.590257752003	11845.276229480485	10893.311606070347	11312.99757779883	11478.268558439857	10945.989906758201	10893.318190314458	11313.00416204294	11478.261974195731	10945.989906758186	10893.342332517976	10893.348916762086
2.33	11433.061174145347	11866.031945211886	10930.152617469445	11363.123388535983	11485.287357086054	10982.378800410152	10930.150422721403	11363.121193787942	11485.291746582137	10982.380995158193	10930.183343917059	10930.181149169017
2.35	11440.04046737669	11887.470227085025	10966.194741205356	11413.624500913691	11491.843064294808	11017.997338123474	10966.190351709287	11413.620111417622	11491.845259042835	11017.995143375432	10966.227662401026	10966.223272904957
2.36	11443.426960934245	11898.362752979607	10983.919512337307	11438.855304382669	11495.023251686202	11035.515803089263	10983.917317589265	11438.853109634627	11495.027641182285	11035.517997837305	10983.95243350802	10983.950238759979
2.38	11450.125326615933	11920.327773933474	11018.758915094877	11488.961362412418	11501.326563044873	11069.960151523817	11018.754525598808	11488.956972916349	11501.330952540957	11069.960151523832	11018.791836290548	11018.787446794478
