10B1_4B1	10B2_4B2	4A2_10B1	4A2_10B2	10A2_4B1	10A2_4B2	10A2_4A2
Intensities	6.346512225e-07	6.346512225e-07	1.338023241e-07	1.338023241e-07	1.355491489e-07	1.355491489e-07	2.6392926681e-06
2.36e-08	495826175333565.2	495826175333565.2	497715937037068.44	497715937037068.44	485892420310852.56	485892420310852.56	487782182014355.8
2.37e-08	496774570290870.4	496774570290870.4	498525834913357.06	498525834913357.06	487221578889541.5	487221578889541.5	488972843512028.2
2.3799999999999998e-08	497958617001894.94	497958617001894.94	499584614111959.7	499584614111959.7	488827731639662.8	488827731639662.8	490453728749727.5
2.4e-08	501010927363348.75	501010927363348.75	502420290226012.25	502420290226012.25	492820995322858.06	492820995322858.06	494230358185521.6
2.41e-08	502859346653834.5	502859346653834.5	504174862239472.3	504174862239472.3	495167590691827.7	495167590691827.7	496483106277465.5
2.4300000000000003e-08	507122162872901.3	507122162872901.3	508273962504309.3	508273962504309.3	500425518794484.25	500425518794484.25	501577318425892.25
2.44e-08	509496044232676.9	509496044232676.9	510576321484350.8	510576321484350.8	503273184213152.8	503273184213152.8	504353461464826.7
2.46e-08	514603485949695.44	514603485949695.44	515557668844729.75	515557668844729.75	509242201816854.06	509242201816854.06	510196384711888.44
2.4700000000000003e-08	517287848833897.94	517287848833897.94	518186632898404.44	518186632898404.44	512305674629301.44	512305674629301.44	513204458693807.94
2.49e-08	522792177716810.9	522792177716810.9	523592153410777.3	523592153410777.3	518460733093926.2	518460733093926.2	519260708787892.6
2.5e-08	525568320755742.6	525568320755742.6	526324473494639.56	526324473494639.56	521510976333080.7	521510976333080.7	522267129071977.6
2.52e-08	531075957034327.25	531075957034327.25	531753559187084.06	531753559187084.06	527476686545811.3	527476686545811.3	528154288698568.1
2.5400000000000002e-08	536428972682686.4	536428972682686.4	537039186700302.06	537039186700302.06	533186900644881.9	533186900644881.9	533797114662497.6
2.55e-08	539020728563238.3	539020728563238.3	539600762618835.7	539600762618835.7	535925422090935.4	535925422090935.4	536505456146532.75
2.57e-08	543995461132271.2	543995461132271.2	544520509781800.0	544520509781800.0	541144488322626.5	541144488322626.5	541669536972155.3
2.59e-08	548658471912895.9	548658471912895.9	549135563358061.1	549135563358061.1	545997260779607.4	545997260779607.4	546474352224772.6
2.61e-08	552983301749132.75	552983301749132.75	553418223932364.75	553418223932364.75	550470096454721.0	550470096454721.0	550905018637952.94
2.63e-08	556957134492145.6	556957134492145.6	557354848506953.2	557354848506953.2	554559687956996.75	554559687956996.75	554957401971804.3
2.65e-08	560575835916142.94	560575835916142.94	560940475997717.0	560940475997717.0	558268515842589.8	558268515842589.8	558633155924163.9
2.67e-08	563840646280402.1	563840646280402.1	564176760097795.0	564176760097795.0	561603194879346.5	561603194879346.5	561939308696739.44
2.69e-08	566758593796030.2	566758593796030.2	567068661895997.9	567068661895997.9	564575300961524.0	564575300961524.0	564885369061491.5
2.71e-08	569338360376661.8	569338360376661.8	569625276721017.0	569625276721017.0	567196409950471.9	567196409950471.9	567483326294827.1
2.7400000000000004e-08	572600276769711.2	572600276769711.2	572857013156746.5	572857013156746.5	570500082180995.4	570500082180995.4	570756818568030.6
2.76e-08	574385855589407.2	574385855589407.2	574624814738798.4	574624814738798.4	572302611394118.0	572302611394118.0	572541570543509.0
2.7900000000000002e-08	576514989871462.0	576514989871462.0	576731210689700.1	576731210689700.1	574444148395848.6	574444148395848.6	574660369214086.6
2.81e-08	577588652341191.9	577588652341191.9	577791230161677.9	577791230161677.9	575518224290037.8	575518224290037.8	575720802110523.8
2.84e-08	578714406250476.2	578714406250476.2	578899620262478.4	578899620262478.4	576634469446160.2	576634469446160.2	576819683458162.5
2.8700000000000002e-08	579300641668259.4	579300641668259.4	579470558984672.1	579470558984672.1	577198793381709.0	577198793381709.0	577368710698121.8
2.89e-08	579413919876068.1	579413919876068.1	579574741863781.1	579574741863781.1	577291400385356.8	577291400385356.8	577452222373069.8
2.92e-08	579200179604585.9	579200179604585.9	579349425712139.4	579349425712139.4	577036731125319.1	577036731125319.1	577185977232872.6
2.96e-08	578267494762628.2	578267081338169.0	578403511301590.0	578403097877130.8	576030043361572.8	576030043361572.8	576166059900534.5
2.99e-08	577138433457669.5	577138433457669.5	577266181516850.0	577266181516850.0	574829459686281.9	574829459686281.9	574957207745462.5
3.02e-08	575688968455366.5	575688968455366.5	575809688303439.9	575809688303439.9	573293175613356.4	573293175613356.4	573413895461429.9
3.06e-08	573326249546587.1	573326249546587.1	573439114334637.6	573439114334637.6	570786171681130.4	570786171681130.4	570899036469180.9
3.09e-08	571291375970718.5	571291375970718.5	571399279669958.5	571399279669958.5	568619415810890.2	568619415810890.2	568727319510130.2
3.13e-08	568301492650899.8	568301492650899.8	568404021836869.8	568404021836869.8	565415792214888.1	565415792214888.1	565518321400858.1
3.17e-08	565097042215375.6	565097042215375.6	565195437156755.4	565195437156755.4	561949230879058.9	561949230879058.9	562047625820438.6
3.2200000000000004e-08	560896239618188.25	560896239618188.25	560990086895216.7	560990086895216.7	557337071269309.06	557337071269309.06	557430918546337.56
3.26e-08	557508228859099.8	557508228859099.8	557600009018532.8	557600009018532.8	553548452528899.0	553548452528899.0	553640232688332.0
3.31e-08	553378535217187.25	553378535217187.25	553467834829864.44	553467834829864.44	548821774442663.6	548821774442663.6	548911074055340.8
3.3599999999999996e-08	549502270561934.5	549502270561934.5	549590329901233.75	549590329901233.75	544241035068310.06	544241035068310.06	544329094407609.3
3.42e-08	545349838584167.9	545349838584167.9	545437071074551.25	545437071074551.25	539120777202455.25	539120777202455.25	539208009692838.7
