12B1_4A1	12B1_5B1	12B1_6B1	12B2_4A1	12B2_5B2	12B2_6B2	5A2_12B1	5A2_12B2	6A2_12B1	6A2_12B2	12A2_5B1	12A2_6B1	12A2_5B2	12A2_6B2	12A2_5A2	12A2_6A2
2.09e-08	959347389057739.9	940306727272627.6	838403880292730.9	959346148784361.9	940306727272627.6	838403053443812.2	959276280107166.1	959275039833788.1	840478442583779.8	840477202310401.8	927359110330263.6	825456263350366.8	927360350603641.5	825456676774826.1	946328663164802.0	827530825641415.6
2.1000000000000003e-08	945820978328458.0	927516211497842.9	827468398595082.4	945819738059781.1	927516211502543.9	827467158326405.5	945744494864614.4	945743254595937.5	829883208948117.1	829881968679440.2	914634742421943.0	814586929519182.5	914635982695320.9	814586929519182.5	932863025788714.5	817001739872217.4
2.11e-08	932903954777269.9	915400403909303.5	817772362448385.6	932902714508590.4	915400403914001.9	817771122179706.1	932822096795458.1	932820856526778.5	820591915022631.4	820590674753951.8	902584255846251.0	804956214385333.1	902585496119628.9	804956214385333.1	920005948732405.5	807775766959578.8
2.12e-08	920576060605680.6	903940700415740.4	809180995577652.0	920574820337003.9	903940700420441.5	809179755308975.1	920488001266381.4	920486760997704.5	812478879870443.6	812477639601766.8	891188219667698.0	796428514829609.6	891189459941075.9	796428514829609.6	907735520518339.0	799726399122401.2
2.13e-08	908821172287986.5	893113122422032.9	801516525611152.2	908819932014608.6	893113122422032.9	801515698762233.6	908726498162039.5	908725257888661.5	805374599604298.9	805373359330921.0	880423482140081.9	788826885329201.4	880424722413459.9	788827298753660.6	896036857880088.5	792684959322348.0
2.1400000000000003e-08	897614070936871.1	882885009414700.2	794616063434167.5	897612830663493.1	882885009414700.2	794614823160789.6	897512782024276.2	897511541750898.2	799120319344680.2	799119079071302.2	870257382754623.2	781988436774090.5	870258623028001.1	781988436774090.5	884885155364199.2	786492692684603.2
2.15e-08	887543885950734.6	873219566654478.5	788306384344021.0	887540991979522.2	873218739800861.5	788304317221727.2	886828662205094.1	886825768233881.8	793544881511193.5	793541987539981.1	860653126762658.5	775739944452201.0	860655193880254.0	775740771301119.6	874262222313274.1	780978441619373.5
2.15e-08	887543885950734.6	873219566654478.5	788306384344021.0	887540991979522.2	873218739800861.5	788304730646186.5	886828662205094.1	886825768233881.8	793544881511193.5	793541987539981.1	860653126762658.5	775739944452201.0	860655193880254.0	775741184725579.0	874262222313274.1	780978441619373.5
2.16e-08	876770053089717.8	864071730898825.2	782432040861568.5	876768812821038.1	864071730903523.5	782431214017348.2	876653467486234.6	876652227217555.0	788486637267215.4	788485396998535.8	851567304628873.8	769927614591617.0	851568544902251.6	769928028016076.2	864149041216283.0	775982210997263.9
2.17e-08	867484547101961.1	856246025520150.4	777081092335503.2	867482893404123.9	856245198671231.9	777079852062125.2	867930218316431.1	867928564618594.0	784053490307279.2	784051836609442.0	843808160531725.8	764643227347078.6	843808987380644.4	764643640771537.9	855492353328006.5	771615625318854.6
2.1800000000000003e-08	857899722045477.6	847154828877796.9	771502347106344.8	857898068347640.5	847154002028878.2	771501520257426.2	857765772628809.8	857764118930972.5	779391719804730.8	779390066106893.5	834768228484706.4	759115746713254.4	834769055333625.0	759116573562173.0	845379172235719.2	767005119411640.4
2.19e-08	849155801671516.1	839305971748210.8	766272945272576.0	849154147973678.9	839305144899292.1	766272118423654.6	849012343501689.0	849010689803851.8	775142133158959.6	775140479461122.4	826977250732404.0	753944224256769.1	826978077581322.5	753945051105685.0	836683622485882.1	762813412143152.8
2.2000000000000002e-08	840848870603083.0	831821754700201.5	761130362504725.8	840847630329705.0	831821341275742.2	761129949080266.5	840695076826477.1	840693836553099.1	770989701185891.2	770988460912513.4	819550086212759.8	748858694017284.0	819550913061678.4	748859520866202.6	828423408339035.4	758718032698449.5
2.21e-08	832961151602537.0	824680266256230.2	756051447051888.4	832959497909400.8	824679439412012.6	756050206783211.5	832796608799391.2	832794955106255.1	766887293530080.9	766885639836944.8	812464823452933.2	743836004248591.4	812465650301851.9	743836417673050.8	820581165996094.2	754671850726783.9
2.2200000000000004e-08	825475280861388.8	817864969452036.2	751028343858736.5	825474040588010.9	817864556027576.9	751027930434277.1	825298748758328.2	825297508484950.2	762805557083129.9	762804316809751.9	805705338903723.6	738868713310423.9	805706165752642.2	738869540159342.5	813139118210015.6	750645926534817.2
2.23e-08	818375548254891.5	811365115265775.2	746066840862999.2	818373894557054.4	811363874992397.4	746066014014080.6	818186200003000.1	818184546305162.9	758733329394036.1	758731675696198.9	799260056703773.0	733961782300996.9	799260470128232.2	733962609149915.5	806081141440997.9	746628270832033.9
2.2400000000000002e-08	811644589974566.9	805169127807899.5	741177273662056.0	811643349701189.0	805168300958980.9	741176860237596.6	811442012149379.9	811440771876002.0	754669370184729.1	754668129911351.2	793118227807745.5	729126373661901.9	793118641232204.8	729127200510820.5	799391112149225.8	742618470184575.1
2.25e-08	805268349598195.1	799269978881391.4	736374938951490.6	805266695900360.6	799268738608016.2	736374112102574.9	805050888506576.4	805049234808741.9	750621534515226.4	750619880817391.9	787272410594169.6	724377370664269.0	787272824018629.0	724378197513187.6	793053320219354.8	738623966228004.6
2.2599999999999997e-08	799229876741754.6	793658159723703.2	731674306582683.4	799228223043917.4	793657332874784.6	731673479733764.8	798997532379008.5	798995878681171.4	746602225109907.5	746600571412070.2	781713096300495.4	719729243159475.4	781713923149414.0	719730070008394.0	787052468955800.6	734657161686699.5
2.27e-08	793515941822553.0	788326228703961.6	727088606119519.2	793514288124715.8	788324988430583.8	727087779265902.2	793267060495540.8	793265406797703.5	742625911815440.4	742624258117603.2	776432843295846.1	715195220711403.8	776433256720305.5	715196047555624.0	781373675087425.2	730732526407324.9
2.29e-08	783005460135216.4	778466476598336.9	718307477572432.1	783003806437381.9	778465236324961.8	718307064143277.2	782720197483997.2	782718543786162.8	734861806629479.2	734860152931644.8	766673553258598.6	706514554232694.0	766673966683058.0	706515794501373.5	770927274144259.1	723068883289741.0
2.2999999999999998e-08	778181213951818.8	773920051430594.8	714128173028321.6	778179560253981.6	773918811157216.8	714127346179403.0	777876106940661.8	777874453242824.6	731100060464815.1	731098406766978.0	762176325559193.1	702384447156920.0	762176738983652.4	702385274005838.6	766132381069260.1	719356334593413.6
2.3100000000000002e-08	773627347143812.0	769615892798516.0	710096047474169.1	773626106870434.0	769615065949597.4	710095634049709.9	773300742079578.1	773299501806200.2	727432574992239.5	727431334718861.6	757920537551236.1	698400692226889.4	757920950975695.5	698401519075808.0	761605386832298.4	715737219744959.8
2.32e-08	769330216722837.6	765543251680262.0	706212754612510.4	769331043571756.1	765544078529180.6	706213581461428.9	768980873332149.0	768981700181067.6	723865138168274.8	723865965017193.4	753897920754941.1	694567423687189.5	753897920754941.1	694567423687189.5	757335542406828.2	712219807242954.0
2.33e-08	765281967628875.5	761695513289193.0	702482015254082.2	765282794477794.0	761696340138111.6	702482842103000.8	764908232213897.8	764909059062816.4	720409325854287.0	720410152703205.6	750096072441238.2	690882574406127.4	750096072441238.2	690882574406127.4	753308791365942.9	708809885006332.1
2.3500000000000002e-08	757880021987137.4	754628027771711.8	695468688293750.8	757880848831354.9	754628854615929.2	695469515137968.4	757452541434770.8	757453368278988.2	713837122444074.4	713837949288291.9	743118713380651.6	683959373902690.8	743118713380651.6	683959373902690.8	745943227043710.6	702327808053014.2
2.36e-08	754504000532664.9	751388436275962.0	692181553022795.1	754504413957127.0	751388849700424.1	692181966447257.2	754047580291655.1	754047993716117.1	710724865583043.1	710725279007505.2	739922531420215.9	680715648167049.0	739922531420215.9	680715648167049.0	742581675435908.9	699258960727297.0
2.37e-08	751330970323137.6	748331578250159.8	689039116199748.4	751331383747597.0	748331991674619.0	689039529624207.6	750844783544571.5	750845196969030.9	707728367476579.2	707728780901038.6	736908256080806.2	677615794030394.9	736908256080806.2	677615794030394.9	739421461375218.0	696305045307225.8
2.3799999999999998e-08	748350182336719.8	745446291238604.8	686123649230876.0	748350595761179.0	745446704663064.0	686124062655335.4	747833815600833.5	747834229025292.9	704847628134073.9	704848041558533.1	734065138331184.5	674742496323455.8	734065138331184.5	674742496323455.8	736452662693413.2	693466475226653.6
2.4e-08	742941767853134.5	740162730842984.9	689401689163727.0	742942181277593.8	740163144267444.2	689402102588186.2	742352225039677.0	742352638464136.2	699422676681524.1	699423090105983.4	728862195639300.2	678101153960042.4	728862195639300.2	678101153960042.4	731051689835992.4	688122141477839.5
2.41e-08	740493056722651.4	737743786250058.1	691197603590204.5	740493470147113.4	737744199674520.1	691198017014666.5	739863411769554.4	739863825194016.4	696872263213986.9	696872676638448.9	726482112917336.1	679935930257482.5	726482112917336.1	679935930257482.5	728601738436832.4	685610589881264.9
2.4300000000000003e-08	736067351398281.6	733308985592287.5	694620341970961.5	736067764822741.0	733309399016746.9	694620755395420.9	735350060530344.6	735350473954803.9	692081090959121.6	692081504383581.0	722122142030270.4	683433498408944.4	722122142030270.4	683433498408944.4	724163216968327.4	680894247397104.5
2.44e-08	734074647084346.4	731275765718957.1	696245925656566.9	734075473933265.0	731276592567875.8	696246752505485.5	733309812441208.9	733310639290127.5	689830823413933.6	689831650262852.1	720125303476445.8	685095463414055.5	720125303476445.8	685095463414055.5	722159350198697.5	678680361171422.1
2.46e-08	730496047809388.0	727540065271718.5	699325935437981.5	730496461233847.2	727540892120637.1	699326348862440.9	729628270555815.6	729628683980275.0	685601494552562.4	685601907977021.6	716458644857487.0	688244515023750.1	716459058281946.4	688244515023750.1	718546850141584.2	674520074138330.9
2.4700000000000003e-08	728896923270371.0	725822701426682.8	700779948104635.9	728897336694830.2	725823528275601.4	700780361529095.2	727972920332656.6	727973333757116.0	683613337907679.4	683613751332138.6	714774354945682.1	689731601623635.2	714774768370141.5	689731601623635.2	716924573851656.0	672564991426678.6
2.49e-08	726045123607106.6	722655045735123.8	703513508457177.8	726045537031565.9	722655459159583.1	703513921881637.0	725003294797232.2	725003708221691.6	679868542122338.8	679868955546798.0	711669953144676.6	692528415866730.6	711669953144676.6	692528415866730.6	714018202206785.1	668883449531891.6
2.5e-08	724780872616808.5	721192351159527.9	704792229298847.8	724781286041267.8	721192764583987.1	704792642723307.0	723677030189758.5	723677443614217.9	678102807662580.6	678103221087040.0	710237438531099.1	693837316670419.0	710237438531099.1	693837316670419.0	712722117561329.8	667147895034151.9
