R	4B1_9A1	4B2_9A1
Intensities	2.30500340311095e-09	2.30500340311095e-09
2.12	2945.705083507404	2945.705083507404
2.13	2879.7353992124117	2879.7353992124117
2.15	2770.56213401242	2770.5840814678813
2.16	2715.3423170891474	2715.3423170891474
2.17	2672.360405561645	2672.360405561645
2.19	2606.5355745375564	2606.537769285598
2.2	2583.277848010519	2583.277848010519
2.22	2555.6701342844317	2555.6723290324735
2.23	2550.6200230591494	2550.6200230591494
2.25	2555.1368109595787	2555.139005682664
2.26	2563.2310352975474	2563.2310352975474
2.28	2587.272286251464	2587.272286251464
2.3	2617.4390741723473	2617.4390741723473
2.31	2633.6121596369194	2633.6121596369194
2.33	2666.2765688324143	2666.2765688324143
2.35	2698.1267271284596	2698.1267271284596
2.36	2713.45922479195	2713.45922479195
2.38	2742.5154710524075	2742.5154710524075
2.4	2769.2496757318295	2769.2496757318295
2.42	2793.650865090007	2793.650865090007
2.44	2815.8638923729013	2815.8638923729013
2.46	2835.906315589804	2835.906315589804
2.48	2853.8549508223077	2853.8549508223077
2.5	2870.1641106155294	2870.1641106155294
2.52	2884.846963332937	2884.846963332937
2.54	2898.04836234526	2898.04836234526
2.56	2909.897797612255	2909.897797612255
2.59	2925.4146539614885	2925.4146539614885
2.61	2934.404334801555	2934.404334801555
2.63	2942.428327277041	2942.428327277041
2.66	2952.802893033164	2952.802893033164
2.68	2958.8581980628223	2958.8581980628223
2.71	2966.405930612629	2966.405930612629
2.73	2970.6264277271403	2970.6264277271403
2.76	2975.8740661513875	2975.8740661513875
2.79	2979.9453205238533	2979.9453205238533
2.82	2982.965291433022	2982.965291433022
2.85	2985.0459109291405	2985.0459109291405
2.88	2986.28155307821	2986.28155307821
2.91	2986.764397272971	2986.764397272971
2.94	2986.5646753509354	2986.5646753509354
2.97	2985.7482297284005	2985.7482297284005
3.01	2983.8036845359748	2983.8036845359748
3.04	2981.749401991372	2981.749401991372
3.08	2978.3848558892787	2978.3848558892787
3.12	2974.3399384933	2974.3399384933
3.16	2969.7134132906067	2969.7134132906067
3.2	2964.5425909979094	2964.5425909979094
3.24	2958.981103853308	2958.981103853308
3.28	2953.055288858275	2953.055288858275
3.33	2945.2463815161464	2945.2463815161464
3.37	2938.738958739341	2938.738958739341
3.42	2930.361612103705	2930.361612103705
3.47	2921.8042962784093	2921.8042962784093
3.53	2911.4143673109647	2911.4143673109647
3.58	2902.7538984275307	2902.7538984275307
3.64	2892.4627330221265	2892.4627330221265
3.7	2882.3888474981213	2882.3888474981213
3.77	2871.028840645071	2871.028840645071
3.83	2861.729700555763	2861.729700555763
3.9	2851.469261622944	2851.469261622944
3.98	2840.6447728677304	2840.6447728677304
4.06	2830.818893672753	2830.818893672753
4.14	2822.0618559503782	2822.0618559503782
4.23	2813.511124369208	2813.511124369208
4.32	2806.2684615725448	2806.2684615725448
4.42	2799.6908069083293	2799.6908069083293
4.53	2794.089814348903	2794.089814348903
4.64	2789.990028251894	2789.990028251894
4.76	2786.923967683775	2786.923967683775
4.89	2784.9596697340166	2784.9596697340166
5.03	2783.991786621409	2783.991786621409
5.19	2783.7986489684554	2783.7986489684554
5.35	2784.132250396229	2784.132250396229
5.54	2784.7160529010725	2784.7160529010725
5.74	2785.1067177529476	2785.1067177529476
5.96	2785.043070084721	2785.043070084721
6.21	2784.2727141460928	2784.2727141460928
6.5	2782.650796641232	2782.650796641232
6.82	2780.3836236863717	2780.3836236863717
7.19	2777.6862804897246	2777.6862804897246
7.62	2774.9757688297977	2774.9757688297977
8.14	2772.3793839432474	2772.3793839432474
8.76	2770.5928604600485	2770.5928604600485
9.55	2769.442813384783	2769.442813384783
10.56	2768.883153083443	2768.883153083443
11.96	2768.6790416902804	2768.6790416902804
14.03	2768.6439257465827	2768.6439257465827
17.58	2768.6417309985263	2768.6417309985263
25.83	2768.643925746568	2768.643925746568
