9A1_5A1	9A1_6A1	7B1_9A1	7B2_9A1
2.5400000000000002e-08	342579772090623.06	351929358803685.6	319806303811305.3	319806717226716.1
2.55e-08	343421090193755.6	350531571823689.7	318744217226674.4	318744630660919.56
2.57e-08	344803167049119.7	347831912235463.3	316682057649775.3	316682057649775.3
2.59e-08	345268269199073.8	345824324660531.94	314703823190550.56	314704236605958.6
2.61e-08	346530039646067.25	342834854766937.7	312808273546267.25	312808273546267.25
2.63e-08	346962894734773.25	340524640726385.3	310992514771378.3	310992928186786.4
2.65e-08	347164232277607.8	338328118315792.94	309249105200142.94	309249518615551.0
2.67e-08	347171673905677.2	336239086172155.25	307575564321261.9	307575977736672.7
2.69e-08	347032349974045.3	334274081288597.1	305991736469980.94	305992149885391.7
2.71e-08	346747914163189.7	332377291360407.2	304441809398097.2	304442222813507.94
2.7400000000000004e-08	346126537691905.0	329689621082775.25	302218001005355.4	302218414420766.1
2.76e-08	345609757542030.7	327993341885440.9	300795408554506.3	300795821988751.5
2.7900000000000002e-08	344717588269802.25	325575224143688.7	298739863793692.2	298740690643350.94
2.81e-08	344061484169461.6	324039353497127.6	297416493132069.75	297416906566317.7
2.84e-08	343003945248521.4	321835802873873.9	295489936691605.06	295490350125850.25
2.8700000000000002e-08	341877777900288.0	319738088818262.9	293624567012684.3	293624980428092.4
2.89e-08	341096406293638.1	318391153007362.8	292409513486506.9	292409926901917.6
2.92e-08	339884660166087.4	316437310565908.75	290622280958831.44	290622694393079.4
2.96e-08	338209465587897.1	313939401973599.3	288294289697764.3	288294289697764.3
2.99e-08	336914207795751.6	312133151941505.25	286579406392579.56	286579406392579.56
3.02e-08	335590423718718.4	310374859114125.6	284884780875717.25	284885194291125.3
3.06e-08	333785413970525.5	308092757905378.7	282649396606623.44	282649396606623.44
3.09e-08	332405817626460.5	306421284122388.75	280987018151014.84	280987018151014.84
3.13e-08	330532592904059.6	304233443642604.0	278780160147974.38	278780160147974.38
3.17e-08	328625880798829.6	302086532117206.4	276582810887720.56	276582810887720.56
3.2200000000000004e-08	326197840880040.1	299447232459705.1	273841395476614.03	273840982061205.97
3.26e-08	324229942013266.1	297369776211253.75	271655208658469.75	271654795243061.7
3.31e-08	321744022712716.7	294807786874181.75	268927849691520.25	268927436257275.06
3.3599999999999996e-08	319232884544740.56	292284659395608.44	266211653129003.3	266211239713595.28
3.42e-08	316203312508746.44	289310899626648.75	262975369036825.28	262974955621417.22
3.48e-08	313170019658709.44	286397913184985.2	259773399139452.53	259773812554863.3
3.54e-08	310152436914478.1	283556449134996.1	256623520676247.9	256623520676247.9
3.61e-08	306674713137060.2	280346624194143.22	253039133481534.0	253039133481534.0
3.6800000000000005e-08	303270165394114.56	277269094953426.47	249583321154079.0	249583321154079.0
3.76e-08	299502631311331.5	273939790416187.34	245837285105850.8	245837285105850.8
3.85e-08	295461823840962.5	270469921682249.56	241950684842089.56	241950684842089.56
3.95e-08	291273837395484.1	266997985833591.78	238138500934378.84	238138500934378.84
4.05e-08	287438915150474.75	263960558735277.66	234976633179408.7	234976633179408.7
4.17e-08	283341468582249.7	260916930292798.03	232229016405299.56	232228602971051.66
4.3099999999999996e-08	279295700032779.22	258214790155598.25	230759707033629.06	230759707033629.06
4.46e-08	275803506414630.56	256270456494610.6	231455913276372.3	231455913276372.3
4.64e-08	272664790393530.0	255086409764620.06	234983247957822.1	234983247957822.1
4.85e-08	270209464473756.62	254962382523377.56	241000222753856.03	241000222753856.03
5.11e-08	268429260177579.66	256017027498776.25	248339741380693.56	248339741380693.56
5.4299999999999997e-08	267246040316079.47	258119702614651.56	255000004116809.5	255000004116809.5
5.8499999999999994e-08	266249688156685.9	260815641370008.88	259872207513273.78	259872207513273.78
6.440000000000001e-08	264828749423983.25	263175052899182.28	262596259119268.16	262596259119268.16
7.37e-08	264335121007978.5	262995626825150.53	263475198815835.38	263475198815835.38
9.28e-08	263809245511885.72	262382105416180.44	262416419610988.47	262416419610988.47
