R	3A2_8B1	3A2_8B2	8A2_3A2
Intensities	6.015353906513488	6.015345179567309	6.105390639389387
2.12	9142.176207208366	9142.176207208366	9285.236355289599
2.13	9147.33166626477	9147.33166626477	9290.620067967611
2.15	9278.573105526651	9278.573105526651	9301.604773180123
2.16	9347.92050436209	9347.92050436209	9346.682667440036
2.17	9478.12163385094	9478.12163385094	9476.607258900272
2.19	9557.420012444825	9557.420012444825	9555.455714495067
2.2	9626.35918844404	9626.356993696012	9624.10957349847
2.22	9761.116611298086	9761.116611298086	9758.206377691167
2.23	9826.533219510922	9826.531024762866	9823.234515825097
2.25	9952.726742270592	9952.726742270592	9948.499660886999
2.26	10013.301740147363	10013.301740147363	10008.51499846243
2.28	10129.043881019374	10129.041686271332	10122.907370362096
2.3	10237.196589203668	10237.196589203668	10229.335007933492
2.31	10288.27930931322	10288.27930931322	10279.416923759738
2.33	10383.564219937922	10383.564219937922	10373.055774651104
2.35	10440.357669959063	10440.357669959063	10457.656660295397
2.36	10454.568652221933	10454.568652221933	10496.411490414364
2.38	10482.130276264084	10482.130276264084	10566.976973464421
2.4	10509.553631279472	10509.553631279472	10628.471570046808
2.42	10537.040633938159	10537.040633938159	10681.599793733767
2.44	10564.600063232268	10564.600063232268	10722.14992637797
2.46	10592.198997966188	10592.198997966188	10745.52616922438
2.48	10619.806711667305	10619.804516919263	10769.03848632457
2.5	10647.385893668848	10647.385893668848	10792.664930248051
2.52	10674.910206994318	10674.910206994318	10816.385748237473
2.54	10702.348925245984	10702.348925245984	10840.183382383402
2.56	10729.673516699331	10729.673516699331	10864.027106188281
2.59	10770.41239752536	10770.41239752536	10899.862923783003
2.61	10797.374855801449	10797.374855801449	10923.76810048314
2.63	10824.155150164763	10824.152955416735	10947.653524450885
2.66	10863.95906907387	10863.956874325828	10983.42130493121
2.68	10890.22798754285	10890.225792794809	11007.192602100637
2.71	10929.200097568159	10929.200097568159	11042.694818217686
2.73	10954.889603003438	10954.887408280352	11066.242251286545
2.76	10992.939919600045	10992.93772487696	11101.323076153974
2.79	11030.393265203558	11030.391070480473	11136.07249431673
2.82	11067.225497635445	11067.223302887403	11170.446610888845
2.85	11103.412474642275	11103.410279894233	11204.392751892345
2.88	11138.9344434917	11138.9344434917	11237.871411962347
2.91	11173.77384624927	11173.771651501229	11270.840890861073
2.94	11207.908735459569	11207.908735459569	11303.26607269475
2.97	11241.457627416967	11241.455432668925	11335.24133155428
3.01	11284.838982788526	11284.838982788526	11376.715452400196
3.04	11316.482834943352	11316.482834943352	11407.053430493615
3.08	11357.463137829342	11357.463137829342	11446.435958078233
3.12	11397.02343990549	11397.02343990549	11484.543338123913
3.16	11435.117651437962	11435.117651437962	11521.311922862602
3.2	11471.679930035447	11471.682124783503	11556.671480506702
3.24	11506.719054715068	11506.719054715068	11590.624205754328
3.28	11540.149430353107	11540.149430353107	11623.11084050822
3.33	11579.55610016617	11579.55610016617	11651.227735330685
3.37	11609.040321970271	11609.040321970271	11668.421377860868
3.42	11643.041331624903	11643.041331624903	11685.652331057834
3.47	11673.24762496064	11673.24762496064	11698.085568829672
3.53	11702.608940974227	11702.608940974227	11706.781153706688
3.58	11718.729352535724	11718.729352535724	11709.173427150192
3.64	11725.570376765245	11725.570376765245	11706.70433755021
3.7	11721.224779112206	11721.224779112206	11699.308042540375
3.77	11707.490056750074	11707.490056750074	11685.641357342582
3.83	11691.321360756629	11691.321360756629	11670.6600190912
3.9	11669.492414056556	11669.492414056556	11650.547364011843
3.98	11642.554097983972	11642.554097983972	11625.481166521204
4.06	11615.119769228375	11615.119769228375	11599.534875739773
4.14	11588.532612542956	11588.532612542956	11573.873902004081
4.23	11560.964404256665	11560.964404256665	11546.468104948071
4.32	11537.03289062994	11537.03289062994	11521.537981736168
4.42	11515.62533520443	11515.62533520443	11497.483562294015
4.53	11498.585324937318	11498.585324937318	11475.810442580085
4.64	11487.63134612255	11487.63134612255	11459.071112520149
4.76	11480.799100910139	11480.799100910139	11445.700718083317
4.89	11477.092174413061	11477.092174413061	11435.769491082188
5.03	11475.108123755883	11475.108123755883	11428.748497662993
5.19	11473.534490658014	11473.534490658014	11423.709360152963
5.35	11471.657982555043	11471.657982555043	11420.57526242052
5.54	11468.324162950477	11468.324162950477	11418.165431017653
5.74	11463.831517278479	11463.831517278479	11416.618134871329
5.96	11457.866196818708	11457.866196818708	11415.487840503483
6.21	11450.502822979586	11450.502822979586	11414.603357766522
6.5	11442.189123987235	11442.186929239193	11413.907623186446
6.82	11434.200247480403	11434.200247480403	11413.407221032307
7.19	11426.975142643118	11426.975142643118	11413.067035360407
7.62	11420.318477124281	11420.318477124281	11414.90403799864
8.14	11415.253002662692	11415.253002662692	11416.262585963137
8.76	11412.059646808004	11412.059646808004	11417.098784293092
9.55	11410.303849772434	11410.303849772434	11417.561875780433
10.56	11409.579583467814	11409.577388744714	11417.761597677498
11.96	11409.373277326624	11409.373277326624	11417.827440068853
14.03	11409.342550878995	11409.342550878995	11417.838413809048
17.58	11409.342550878995	11409.342550878995	11417.834024312964
25.83	11409.34255087898	11409.344745627022	11417.836219060991
