R	3A2_10B1	3A2_10B2	10A2_3A2
Intensities	38.37799193531883	38.37794375538033	40.26564416158168
2.12	10670.966247908407	10670.966247908407	10609.078791751046
2.13	10680.015186920631	10680.01299217259	10617.989461736492
2.15	10698.624440789528	10698.624440789528	10636.35729349553
2.16	10708.186950394243	10708.186950394243	10645.81445529408
2.17	10721.06572169403	10721.06572169403	10658.80076917303
2.19	10737.899425819938	10737.897231096853	10675.305261367233
2.2	10748.164254273812	10748.164254273812	10685.537168600495
2.22	10769.30624538596	10769.304050637918	10706.698912420063
2.23	10780.211939743836	10780.211939743836	10717.666059698138
2.25	10802.793684423174	10802.793684423174	10740.519952910006
2.26	10814.5136296805	10814.5136296805	10752.4637622679
2.28	10838.960908722584	10838.958713974556	10777.602386393992
2.3	10864.970847122342	10864.970847122342	10804.733840169443
2.31	10878.666064019722	10878.666064019722	10819.19502353431
2.33	10907.674025873188	10907.674025873188	10850.266046899575
2.35	10939.201556481654	10939.201556481654	10884.686253130625
2.36	10956.039650053746	10956.039650053746	10903.3130649589
2.38	10992.105916018132	10992.105916018132	10943.643722973662
2.4	11031.543312278824	11031.543312278824	10988.078556556575
2.42	11074.275022754198	11074.275022754198	11036.123747822567
2.44	11119.875266623712	11119.875266623712	11086.857503293024
2.46	11167.56271423347	11167.56271423347	11139.118802202385
2.48	11216.444103829417	11216.444103829417	11191.836608305079
2.5	11265.63495264962	11265.63495264962	11244.11765992186
2.52	11314.413189162486	11314.413189162486	11295.32767531801
2.54	11362.227932058828	11362.227932058828	11345.036484276687
2.56	11408.697295453952	11408.697295453952	11392.976327711556
2.59	11475.386856532525	11475.386856532525	11461.281222075835
2.61	11517.644501780363	11517.644501780363	11504.32458649858
2.63	11558.071728634066	11558.071728634066	11545.366342304755
2.66	11615.271206718462	11615.271206718462	11603.241802261808
2.68	11651.137750760798	11651.137750760798	11639.435363487806
2.71	11701.63008412141	11701.63008412141	11690.28105100857
2.73	11733.186146429478	11733.186146429478	11721.997329798862
2.76	11777.423452838397	11777.423452838397	11766.388268445895
2.79	11818.162333664426	11818.162333664426	11807.190796915223
2.82	11855.595926585476	11855.595926585476	11844.617805592148
2.85	11889.917369204588	11889.917369204588	11878.866821575823
2.88	11921.317604526499	11921.317604526499	11910.133177391981
2.91	11949.985380683094	11949.985380683094	11938.603426374582
2.94	11976.098472165933	11976.096277417892	11964.455343040143
2.97	11999.970727670385	11999.970727670385	11988.000581360946
3.01	12028.230281040698	12028.230281040698	12015.698279656921
3.04	12047.120462434264	12047.120462434264	12034.066111440887
3.08	12069.581496046187	12069.581496046187	12055.666804519366
3.12	12089.323239055928	12089.323239055928	12074.333121812379
3.16	12106.78025112646	12106.78025112646	12090.462312366028
3.2	12122.452934436908	12122.46390815216	12104.521857163767
3.24	12136.672695716872	12136.672695716872	12116.783904738098
3.28	12149.924573859287	12149.926768607329	12127.731299283812
3.33	12165.739915692582	12165.739915692582	12140.142589600175
3.37	12178.217048425242	12178.217048425242	12149.498793113598
3.42	12194.045558721831	12194.045558721831	12161.001458439598
3.47	12210.45567682515	12210.45567682515	12172.747740623527
3.53	12231.114823767479	12231.114823767479	12187.630315312868
3.58	12249.135885610507	12249.135885610507	12200.90414091073
3.64	12271.37744461793	12271.37744461793	12217.748818776847
3.7	12293.998694737049	12293.998694737049	12235.440668713127
3.77	12320.318092361078	12320.318092361078	12256.659475931869
3.83	12342.414798122569	12342.414798122569	12274.935128372977
3.9	12367.285663187256	12367.285663187256	12295.9169030029
3.98	12394.061568054516	12394.061568054516	12318.959544421537
4.06	12411.081825589237	12411.081825589237	12340.593158695658
4.14	12400.68311762964	12400.68311762964	12360.567544773177
4.23	12391.627594398233	12391.627594398233	12380.893090237849
4.32	12385.910280292432	12385.910280292432	12398.900983642525
4.42	12382.780572056072	12382.780572056072	12416.230700426488
4.53	12382.093616468148	12382.093616468148	12432.122858391318
4.64	12383.252442510639	12383.252442510639	12444.988461177927
4.76	12385.603015791246	12385.603015791246	12455.872208080327
4.89	12388.655907921027	12388.655907921027	12464.398797482965
5.03	12391.84267953159	12391.84267953159	12470.173174962969
5.19	12394.937271824252	12394.937271824252	12473.079019073804
5.35	12397.296624072085	12397.296624072085	12472.747612369116
5.54	12398.995357733438	12398.995357733438	12469.113112532446
5.74	12400.00713578191	12400.00713578191	12462.746153505519
5.96	12400.241973622702	12400.241973622702	12454.059347645612
6.21	12399.708650272893	12399.708650272893	12443.559681350947
6.5	12398.446671147336	12398.446671147336	12432.065794967202
6.82	12396.725990055478	12396.725990055478	12421.302759132188
7.19	12394.768276349845	12394.768276349845	12411.738054754504
7.62	12391.750500188718	12391.750500188718	12405.990014201074
8.14	12389.492106250982	12389.492106250982	12401.732206369852
8.76	12388.122584546276	12388.120389798234	12399.015110440858
9.55	12387.400513039596	12387.400513039596	12397.489761774923
10.56	12387.121780237983	12387.121780237983	12396.837922105755
11.96	12387.055937846671	12387.055937846671	12396.642589704774
14.03	12387.05154837553	12387.049353627488	12396.607473761062
17.58	12387.051548350588	12387.049353602546	12396.603084240036
25.83	12387.05154837553	12387.05154837553	12396.603084264978
