R	7A1_4A1	8A1_4A1	5B1_7A1	5B1_8A1	6B1_7A1	6B1_8A1	9B1_4A1	9B1_5B1	9B1_6B1	5B2_7A1	5B2_8A1	6B2_7A1	6B2_8A1	9B2_4A1	9B2_5B2	9B2_6B2	5A2_9B1	5A2_9B2	6A2_9B1	6A2_9B2	9A2_5B1	9A2_6B1	9A2_5B2	9A2_6B2	9A2_5A2	9A2_6A2
2.8700000000000002e-08	218562041472765.0	271474128902211.6	230252022206774.9	283164109636221.5	198896695828067.4	251808783257514.0	297394581655449.2	309084562389459.1	277729236010751.62	230252022206774.9	283164109636221.5	198897109252526.72	251809196681973.3	297394581655449.2	309084562389459.1	277729649435210.94	294929333565400.94	294929333565400.94	255673058608150.78	255673058608150.78	294127290749135.25	262771964370427.78	294127290749135.25	262772377794887.06	279972061925077.1	240715786967826.94
2.89e-08	217981593992708.34	271550198946296.97	229979575704389.34	283548180657978.0	197679161759350.03	251247766712938.7	297302388076257.94	309300369787938.94	276999955842899.66	229979575704389.34	283548180657978.0	197679161759350.03	251247766712938.7	297302388076257.94	309300369787938.94	276999955842899.66	294827631228346.8	294827631228346.8	255137674361242.56	255137674361242.56	294264960985934.25	261964547040894.97	294264960985934.25	261964547040894.97	279792222426342.1	240102265559237.88
2.92e-08	217138622192591.06	271647353618999.88	229533077645701.72	284041809072110.56	195964278461070.2	250473009887479.0	297102704222286.1	309497159675396.75	275928360490765.22	229533077645701.72	284041809072110.56	195964278461070.2	250473009887479.0	297102290797826.8	309496746250937.44	275927947066305.9	294617198343136.8	294616784918677.56	254311239520687.72	254310826096228.4	294360461960799.94	260791662776168.38	294360461960799.94	260791662776168.38	279480500628540.0	239174541806090.88
2.96e-08	216046355636298.44	271732932411546.06	228869531915156.38	284556108690404.0	193855401968113.75	249541978743361.38	296704163358557.2	309527339637415.1	274513209690372.5	228869531915156.38	284556108690404.0	193855815392573.06	249542392167820.7	296704163358557.2	309527339637415.1	274513623114831.8	294209562150708.1	294209562150708.1	253159026464820.38	253159026464820.38	294285632194793.5	259271502247750.88	294285632194793.5	259271915672210.2	278967854708086.5	237917319022198.78
2.99e-08	215238524882306.3	271756497586916.62	228323398632311.75	284841371336922.06	192385265756951.44	248903238461561.78	296294046624073.7	309378920374079.1	273440787498718.8	228323398632311.75	284841371336922.06	192385265756951.44	248903238461561.78	296294046624073.7	309378920374079.1	273440787498718.8	293794484322713.0	293794484322713.0	252249079954015.84	252249079954015.84	294080160398394.1	258142027523033.84	294080160398394.1	258142027523033.84	278495724347028.0	236950319978330.88
3.02e-08	214433174675070.0	271742027740245.88	227737576643686.25	285046429708862.1	190994920405309.94	248303773470485.8	295778093303247.44	309082495271863.7	272339839033487.34	227737576643686.25	285046429708862.1	190994920405309.94	248303773470485.8	295778093303247.44	309082495271863.7	272339839033487.34	293274810191155.06	293274810191155.06	251289109121255.06	251289109121255.06	293746527127751.56	257003870889375.22	293746527127751.56	257003870889375.22	277938842047042.97	235953140977142.94
3.06e-08	213352070569773.7	271657689221077.6	226897085380919.94	285202704032223.9	189242828933901.88	247548447585205.78	294909489205457.56	308454504016603.8	270800247569585.75	226897085380919.94	285202704032223.9	189242828933901.88	247548447585205.78	294909489205457.56	308454504016603.8	270800247569585.75	292402898697693.56	292402898697693.56	249913233611580.53	249913233611580.53	293101585479067.9	255447329032049.8	293101585479067.9	255447329032049.8	277049980160157.6	234560315074044.56
3.09e-08	212532663945027.0	271544411008570.53	226225684595049.97	285237431658593.5	187993874634492.03	247005621698035.56	294110340360409.75	307803361010432.7	269571551049874.8	226225684595049.97	285237431658593.5	187993874634492.03	247005621698035.56	294109926935950.44	307802947585973.44	269571137625415.5	291602923003727.1	291602509579267.9	248793681064484.62	248793267640025.34	292463672046189.6	254231862085631.7	292463672046189.6	254231862085631.7	276263234039484.03	233453992100241.53
3.13e-08	211420139604337.16	271325296219117.34	225274809090991.72	285179965705771.9	186395990368852.97	246301146983633.16	292827898703307.1	306682568189961.7	267803749467822.94	225274809090991.72	285179965705771.9	186395990368852.97	246301146983633.16	292827898703307.1	306682568189961.7	267803749467822.94	290320894771081.06	290320894771081.06	247158588625722.84	247158588625722.84	291398691485404.0	252519872763265.28	291398691485404.0	252519872763265.28	275037018066523.4	231874711921165.2
3.17e-08	210280742701998.97	271027217419064.66	224258612578781.72	285005087295847.44	184855985480492.1	245602460197557.78	291280865603841.9	305258735480624.6	265856108382335.0	224258612578781.72	285005087295847.44	184855985480492.1	245602460197557.78	291280865603841.9	305258735480624.6	265856108382335.0	288767660309430.06	288767660309430.06	245337041906279.3	245337041906279.3	290075320839743.25	250672693741453.6	290075320839743.25	250672693741453.6	273584245668548.66	230153627265397.9
