R	11A1_9A1	11B1_9A1	11B2_9A1
Intensities	7.33256772747371e-05	5.360276596862296e-06	5.360276596862296e-06
2.12	1390.2861859341065	1013.1387870031031	1013.1343975070195
2.13	1390.672461289898	1021.794866415381	1021.7904769192974
2.15	1386.6604650646332	1029.4413625272427	1029.4238045678649
2.16	1389.8604051634466	1040.704800541338	1040.6982162972126
2.17	1388.3855356525746	1044.0430096669443	1044.0386201708607
2.19	1382.5584842195822	1045.2984045234189	1045.2918202792935
2.2	1377.7805215268163	1042.647151010693	1042.6405667665676
2.22	1363.6639133299177	1030.0251650570426	1030.0185808129172
2.23	1354.259425434444	1020.0127324282803	1020.0083429321967
2.25	1331.5898908833915	993.5418972892221	993.5353130450967
2.26	1319.011799840635	977.8450717503147	977.8384875062038
2.28	1293.4013052849477	943.8045566559013	943.7979724117758
2.3	1269.498323307911	908.9475958890398	908.9410116449144
2.31	1258.9350093949324	891.9273383543041	891.9207541101787
2.33	1240.5430353824777	859.7984472566459	859.8028367527295
2.35	1226.340832086833	830.713669296616	830.7158640446432
2.36	1220.737644779365	817.3981434859597	817.4025329820433
2.38	1212.2000816615036	793.1988707729033	793.2032602689869
2.4	1206.7044369331852	772.0656586529076	772.0678534009348
2.42	1203.620818380732	753.6956321208709	753.6978268689127
2.44	1202.3127495962253	737.6871526346222	737.689347382664
2.46	1202.3610340032174	723.8207455147931	723.8229402628349
2.48	1203.3552540923265	711.8725466608157	711.8747414088575
2.5	1204.8849922543159	701.2609482659609	701.2631430140027
2.52	1206.732968632772	691.8827973470034	691.8827973470034
2.54	1208.708240322725	683.5142297035345	683.5164244515763
2.56	1210.668148751458	675.9621076825861	675.9643024306279
2.59	1213.358907703965	665.8267692633381	665.8267692633381
2.61	1214.8820616467856	659.652947939263	659.652947939263
2.63	1216.1220932919387	653.803949025867	653.8061437739088
2.66	1217.4082146459405	645.452939366718	645.452939366718
2.68	1217.7813215135102	639.904620735324	639.904620735324
2.71	1217.7571792850504	631.8455122911691	631.8455122911691
2.73	1217.2743351152458	626.4266836943862	626.4266836943862
2.76	1215.8477500113659	618.1239584422292	618.1239584422292
2.79	1213.5630191220698	609.498605502522	609.498605502522
2.82	1210.4201424224157	600.4518612383399	600.4496664902981
2.85	1206.4257041565288	590.9091043161025	590.9091043161025
2.88	1201.5862885685056	580.8198555807612	580.8198555807612
2.91	1195.9194536177529	570.1489990886184	570.1468043405766
2.94	1189.438367792507	558.8701978382305	558.8701978382305
2.97	1182.180341784493	546.9900361236068	546.987841375565
3.01	1171.3251265567087	530.204616404706	530.204616404706
3.04	1162.3398352127406	516.9264012858039	516.9264012858039
3.08	1149.294263236472	498.3325106531993	498.3325106531993
3.12	1135.116202119374	478.8014633057028	478.8014633057028
3.16	1119.889052287006	458.40129645755223	458.40129645755223
3.2	1103.6632928944018	437.16712600251776	437.2439421090967
3.24	1086.5728034722415	415.3315950832621	415.3337898313039
3.28	1068.7646319646446	392.9364038127678	392.9385985608096
3.33	1045.5617741136812	364.3059383478976	364.3081330959394
3.37	1026.3665229669568	341.03943280375097	341.04162755179277
3.42	1001.7217167508788	311.7000642705534	311.704453766637
3.47	976.515055510361	282.28607437881874	282.28607437881874
3.53	945.7469071002997	247.20963898250193	247.20963898250193
3.58	919.8335375394963	218.41895701044996	218.41895701044996
3.64	888.6264398954954	184.73179605123005	184.73179605123005
3.7	857.4807951716939	152.3307564459974	152.3307564459974
3.77	821.4518398990622	116.76050316462351	116.75830841658171
3.83	791.010708722577	88.31659110859619	88.31659110859619
3.9	756.18008495713	58.09493456152268	58.09493456152268
3.98	717.5262131233176	28.015936537340167	28.015936537340167
4.06	680.1321256670053	10.705972460797057	10.705972460797057
4.14	644.197544460345	23.788855128805153	23.788855128805153
4.23	605.6117097908282	39.07745788137254	39.07745788137254
4.32	569.0121205016039	53.810789778784965	53.810789778784965
4.42	530.700629087718	69.1981560934073	69.1981560934073
4.53	491.39930708080647	84.70623345045897	84.70623345045897
4.64	454.99943968866137	98.61873025420937	98.61873025420937
4.76	418.4613032946654	111.94303503206174	111.94303503206174
4.89	382.50257990944374	124.20727737940615	124.20727737940615
5.03	347.78169344626076	134.9900659218256	134.9900659218256
5.19	312.8281638654007	144.4845384121145	144.4845384121145
5.35	282.61748105855077	151.1982673550665	151.1982673550665
5.54	252.43532992633118	155.99159325916844	155.99159325916844
5.74	226.60536071624665	157.96905967223574	157.96905967223574
5.96	204.42525462899357	157.48621550240205	157.48621550240205
6.21	185.728210888381	155.02371014656092	155.02590489460272
6.5	170.75345688110974	151.3870155368786	151.3870155368786
6.82	160.1506375283352	147.80518957832828	147.80518957832828
7.19	152.8574955516815	144.84228206834814	144.84228206834814
7.62	148.23097034897364	143.81075131244143	143.81075131244143
8.14	145.46997950905643	143.17208013152413	143.17208013152413
8.76	146.13279289347702	142.8362839557085	142.8362839557085
9.55	146.13279289347702	142.68484646562138	142.68484646562138
10.56	146.13718238956062	142.63217253760376	142.63436728564557
11.96	146.13718238956062	142.62339354543656	142.62339354543656
14.03	146.13059814543521	142.62119882233674	142.62119882233674
17.58	146.1284034223645	142.6211988223513	142.6211988223513
25.83	146.12181915328256	142.6190040743095	142.6190040743095
