R	12B1_7A1	12B1_8A1	12B1_9B1	12B2_7A1	12B2_8A1	12B2_9B2	9A2_12B1	9A2_12B2	12A2_9B1	12A2_9B2
Intensities	3.2137561000000003e-09	1.93877776e-08	3.272297616e-07	3.2126224e-09	1.93849929e-08	3.272297616e-07	3.08025e-09	3.08025e-09	1.2005584899999998e-08	1.2005584899999998e-08
2e-08	801102274636223.1	348765837368243.4	665448308433426.8	801101034352321.9	348764597084342.25	665447068149525.6	664859592476472.6	664858352192571.5	651875180777336.8	651875180777336.8
2.0099999999999998e-08	776384059261669.8	352070336434629.44	665975010779172.8	776382818977768.6	352069096150728.3	665973770495271.6	665433011743037.4	665431771459136.2	652473818911325.5	652473818911325.5
2.0200000000000002e-08	752664263142401.1	355313235305223.6	666049840531797.0	752663022877334.4	355311995040156.9	666048600266730.2	665558692664760.1	665557452399693.4	652620584489866.8	652620584489866.8
2.03e-08	729920561413035.1	358493707149204.4	665612024382826.6	729919321147968.4	358492466884137.6	665610784117759.9	665176275348579.1	665175035083512.4	652253877279483.1	652253877279483.1
2.04e-08	708131869435596.1	361610098267256.94	664595001019697.0	708130629151695.0	361608857983355.75	664593760735795.9	664217131367206.8	664215891083305.5	651307549439529.5	651307549439529.5
2.0499999999999998e-08	687277102572105.5	364661168356645.8	662926421238754.6	687275862288201.6	364659928072741.9	662925180954850.8	662609738347813.8	662608498063909.8	649709251766352.1	649709251766352.1
2.0600000000000002e-08	667338896979774.2	367644023452989.5	660535589460317.5	667337656714707.5	367642783187922.75	660534349195250.8	660280506784005.6	660279266518938.8	647388288680272.1	647388288680272.1
2.07e-08	648299475456921.9	370557836725469.2	657355944484827.1	648298648607266.0	370557009875813.2	657355117635171.1	657162875419720.6	657162048570064.6	644278098944056.6	644278098944056.6
2.08e-08	630147675561444.5	373403021608332.8	653345730414068.6	630146435296380.5	373401781343268.8	653344490149004.5	653212607826604.9	653211367561540.9	640333619317372.5	640333619317372.5
2.09e-08	612862412636526.2	376169242471455.25	648472700186788.2	612861172352622.4	376168002187551.4	648471459902884.2	648396630150262.9	648395389866359.0	635525083231428.4	635525083231428.4
2.1000000000000003e-08	596399450310316.6	378871796005225.94	642744295412218.2	596398210026412.6	378870555721322.06	642743055128314.4	642721557093762.1	642720316809858.2	629862826335180.8	629862826335180.8
2.11e-08	580848915025823.4	381505721149377.8	636220049190267.6	580847674760759.4	381504480884313.8	636218808925203.6	636246508341595.5	636245268076531.5	623403901141896.8	623403901141896.8
2.12e-08	566159128801966.5	384071844734735.2	629049207648445.6	566157888536899.6	384070604469668.44	629047967383378.9	629121556870933.5	629120316605866.8	616296726891752.1	616296726891752.1
2.13e-08	552337946682225.9	386576781539706.0	620477685143406.2	552336706398324.75	386575541255804.9	620476444859505.1	621247067439459.0	621245827155557.9	607788044847574.2	607788044847574.2
2.1400000000000003e-08	539382888098793.94	389006061742399.44	612795851342793.1	539381647833729.94	389004821477335.4	612794611077729.1	612951712248712.9	612950471983648.8	600168224677000.8	600168224677000.8
2.15e-08	524811900457643.4	387092589003948.25	604096167367068.5	524809006493264.7	387089695039569.5	604093686818100.6	604292957246212.5	604290063281833.8	591529727481660.1	591530140897070.9
2.16e-08	516150105617116.6	393704213559338.7	595147602021526.0	516148865352049.9	393702973294271.94	595146361756459.2	595385320911565.6	595384080646498.9	582643175766157.4	582643175766157.4
2.17e-08	506289526664105.5	396348474314778.5	575084955791378.6	506287872964790.8	396346820615463.8	575083715526311.9	575374766115583.6	575373112416268.9	562647090810903.3	562647504245151.25
2.1800000000000003e-08	496600518741643.25	398159685425974.06	576914357576176.6	496598865042331.3	398158031726662.06	576912703876864.8	577239722379093.6	577238068679781.6	564527757180210.8	564527757180210.8
2.19e-08	488268782203692.0	400297501605150.5	567797528636380.8	488267128504380.06	400295847905838.56	567795874937068.8	568171677474833.6	568170023775521.8	555468807622174.75	555468807622174.75
2.2000000000000002e-08	480932570994318.25	402374957872439.0	558770412724179.4	480931330729254.2	402373717607374.94	558769172459115.4	559197893280701.56	559196653015637.56	546498744242074.6	546498744242074.6
2.21e-08	474606354935415.5	404393294474066.4	549884274442927.4	474604701254940.7	404391640793591.56	549883034196697.75	550371288080518.7	550369634400043.9	537668831643267.9	537669245077513.06
2.2200000000000004e-08	469287653515684.7	406351684598045.44	541181283068573.44	469286413231783.5	406350444314144.3	541180042784672.25	541733204300586.06	541731964016684.9	529021652517114.0	529021652517114.0
2.23e-08	464950007527289.2	408251368471777.0	532694512512035.44	464948353827977.25	408249714772465.0	532692858812723.5	533319609797354.8	533317956098042.9	520589453943709.3	520589453943709.3
2.2400000000000002e-08	461536777891210.2	410091519283271.0	524449595056142.7	461535537626143.44	410090279018204.25	524448354791075.94	525156963740992.7	525155723475925.94	512398695055539.06	512398695055539.06
2.25e-08	458964866377095.4	411872963863351.9	516468028773124.3	458963212677780.7	411871310164037.2	516466788508057.56	517268417903035.44	517266764203720.75	504470460490587.2	504470873924835.1
2.2599999999999997e-08	457131743778259.94	413596115646262.0	508766350637270.9	457130090078948.0	413594461946950.06	508765110372204.1	509672162919411.2	509670509220099.2	496821287204309.94	496821700638555.1
2.27e-08	455927852694192.06	415261388028580.56	501358203620817.25	455926198994877.4	415259734329265.9	501356549921502.56	502382668630853.4	502381014931538.7	489464818225448.06	489464818225448.06
2.29e-08	454987726236078.1	418420775253414.44	487466325977900.75	454986072536766.2	418419121554102.5	487464672278588.8	488778947593990.06	488777293894678.1	475673402636824.9	475673402636824.9
2.2999999999999998e-08	455069170785950.06	419915716907916.94	481002026271267.3	455067517086638.1	419914063208605.0	481000785987363.4	482487045748729.75	482485392049417.8	469258300399978.06	469258713815386.1
2.3100000000000002e-08	455415620189171.25	421349471782035.6	474875907471292.5	455414379924107.2	421348231516971.6	474874667206228.44	476549448350173.5	476548208085109.5	463180552238968.4	463180552238968.4
2.32e-08	455977050163975.94	422731962090482.06	469108227422813.06	455977877013634.7	422732788940140.75	469109054272471.75	470974010535981.7	470974837385640.44	457462896509931.56	457462896509931.56
2.33e-08	456705916921052.4	424062360945928.7	463791179683562.5	456706743770708.4	424063187795584.7	463792006533218.44	465776028940035.06	465776855789691.06	452191738841841.0	452191738841841.0
2.3500000000000002e-08	458517954881906.6	426563163521454.0	453215376983381.3	458518781731562.6	426563990371110.0	453216203833037.25	456540547272340.56	456541374121996.56	441706062584667.94	441706062584667.94
2.36e-08	459546554121385.5	427733567222698.3	448932716393527.2	459546967555633.44	427733980656946.25	448933129827775.1	452531573466646.06	452531986900893.94	437466811535843.06	437466811535843.06
