R	12B1_4B1	12B2_4B2	4A2_12B1	4A2_12B2	12A2_4B1	12A2_4B2	12A2_4A2
Intensities	3.603566774144331e-08	3.603566774144331e-08	4.8354827815810345e-09	4.8354827815810345e-09	4.810932311110852e-10	4.810932311110852e-10	3.943150049589042e-08
2.0	5927.700297099989	5927.693712799999	5944.724944200003	5944.718359900013	5855.644581299988	5855.644581299988	5872.669228400002
2.01	5822.1220263	5822.115442000009	5840.1891779	5840.18259360001	5750.4481963	5750.4481963	5768.5153479
2.02	5721.236123099996	5721.229538899992	5740.448932200001	5740.442347999997	5649.944179099999	5649.944179099999	5669.156988200004
2.03	5624.908708000003	5624.902123799999	5645.3747172	5645.368132999996	5553.994260300009	5553.994260300009	5574.460269500007
2.04	5533.008096199992	5532.99931720001	5554.826069200004	5554.819484900014	5462.468950099996	5462.466755400004	5484.286923100008
2.05	5445.406992399992	5445.4004080999875	5468.666913699999	5468.660329399994	5375.240953199987	5375.240953199987	5398.500874499994
2.06	5361.991269700011	5361.984685500007	5386.769955399999	5386.763371199995	5292.196142700006	5292.196142700006	5316.974828399994
2.07	5282.655580499995	5282.651190999997	5309.014483599996	5309.010094099998	5213.2291707999975	5213.2291707999975	5239.588073899999
2.08	5207.336276999995	5207.329692800005	5235.325876499992	5235.319292300002	5138.258831999992	5138.258831999992	5166.248431499989
2.09	5135.976295899993	5135.969711599988	5165.633902599991	5165.627318299987	5067.241231199994	5067.241231199994	5096.898837899993
2.1	5068.553689499997	5068.547105199992	5099.903445599994	5099.896861299989	5000.1697843	5000.1697843	5031.519540399997
2.11	5005.127716099989	5005.121131899999	5038.1652321	5038.158647900011	4937.090580899996	4937.090580899996	4970.128096900007
2.12	4945.788360399994	4945.78177619999	4980.467546700005	4980.460962500001	4878.089215999993	4878.089215999993	4912.768402300004
2.13	4890.647554399999	4890.640970100008	4926.845505099991	4926.838920800001	4823.282011400006	4823.282011400006	4859.479962099998
2.14	4839.850151299994	4839.843567100004	4877.360560299989	4877.353976099999	4772.813820299998	4772.813820299998	4810.324229299993
2.15	4793.521251600003	4793.530030599999	4832.039049200001	4832.023686	4726.809743100006	4726.833885300002	4765.327540700004
2.16	4751.816682399993	4751.810098199989	4790.889750799994	4790.88316659999	4685.434385899993	4685.434385899993	4724.507454299994
2.17	4716.569056799999	4716.560277799988	4755.279992100011	4755.271213100001	4650.540114399992	4650.540114399992	4689.251049700004
2.18	4682.394662199993	4682.385883199997	4721.035365599993	4721.026586599997	4616.637868299993	4616.637868299993	4655.278571699993
2.19	4654.538942199986	4654.53016319999	4692.1546989999915	4692.145919999995	4589.089412799993	4589.089412799993	4626.705169599998
2.2	4630.993703799992	4630.989314400009	4667.117033199989	4667.110449	4565.847049399992	4565.849244199999	4601.97037879999
2.21	4611.456072300003	4611.449488100014	4645.722646199996	4645.713867300001	4546.6079033999995	4546.610098100005	4580.874477299993
2.22	4595.561719599995	4595.555135300005	4627.727921400001	4627.721337100011	4531.009841399995	4531.009841399995	4563.176043200001
2.23	4582.922175700005	4582.915591500001	4612.865099499992	4612.8563204999955	4518.660004000005	4518.662198799997	4548.602927799991
2.24	4573.142386100008	4573.137996699996	4600.835694900001	4600.829110699997	4509.167726200001	4509.169920999993	4536.861034999994
