R	9A1_3A1	3B1_9A1	3B2_9A1
Intensities	1.183470821179163	0.3277135891846236	0.3277207185273811
2.12	10318.777503913836	9550.041275369425	9550.045664865509
2.13	10323.06603816773	9563.089042118678	9563.095626362803
2.15	10339.311550267754	9598.384952119479	9598.39373108669
2.16	10339.050375475432	9608.344710820209	9608.351295064334
2.17	10346.001137007202	9625.997055316693	9626.003639560804
2.19	10363.596418104513	9666.395750470823	9666.402334714949
2.2	10374.712808099677	9689.581050387365	9689.587634606534
2.22	10402.500490990453	9742.735611000899	9742.742195245024
2.23	10419.270547473076	9772.7421824146	9772.748766658726
2.25	10457.768592345688	9838.652608587334	9838.659192806503
2.26	10478.807430374785	9873.790496828995	9873.79708107312
2.28	10522.388507643409	9946.144698110307	9946.151282329476
2.3	10565.539414670246	10018.553768042722	10018.560352286848
2.31	10586.341220085553	10054.062568403897	10054.069152648008
2.33	10625.488909829408	10122.580353153506	10122.578158405464
2.35	10661.129394998192	10187.283668826858	10187.279279330789
2.36	10677.625108200242	10218.117659603304	10218.115464855262
2.38	10708.12769227197	10276.761280750914	10276.756891254845
2.4	10735.643226630229	10331.53775889428	10331.535564146237
2.42	10760.608465810787	10382.754358559498	10382.749969063414
2.44	10783.486501201201	10430.80393927166	10430.801744523618
2.46	10804.665803005104	10475.908170508075	10475.905975760033
2.48	10824.585320431506	10518.284332050302	10518.279942554218
2.5	10843.38112775913	10558.50744751087	10558.505252762829
2.52	10861.37804739864	10596.494116464179	10596.67628040188
2.54	10878.77360657393	10632.830336213054	10633.016889646839
2.56	10895.717048027029	10667.513911984483	10667.516106732524
2.59	10920.5615761402	10716.812303383864	10716.814498131906
2.61	10936.868541135467	10748.052322198564	10748.052322198564
2.63	10953.046016146021	10778.129125524618	10778.13132027266
2.66	10977.153109466322	10821.255890298067	10821.258085046109
2.68	10993.034293690958	10848.938225382677	10848.940420130719
2.71	11016.98117060386	10888.625822745395	10888.625822745395
2.73	11032.917223454657	10914.082685062982	10914.082685062982
2.76	11056.767531503676	10950.871022534047	10950.87321728209
2.79	11080.534439177005	10986.114258606816	10986.114258606816
2.82	11104.185025303988	11019.917741137368	11019.91993588541
2.85	11127.677589721716	11052.380233662785	11052.382428410827
2.88	11150.96384794834	11083.57416281855	11083.57416281855
2.91	11173.99771037481	11113.565370995944	11113.565370995944
2.94	11196.735282040288	11142.408726871086	11142.410921619128
2.97	11219.172173473664	11170.16568333919	11170.16568333919
3.01	11248.408388948737	11205.483540820409	11205.48573556845
3.04	11269.829112837542	11230.777991907715	11230.777991907715
3.08	11297.64532742792	11262.977114867826	11262.974920119785
3.12	11324.5573065739	11293.468725224317	11293.468725224317
3.16	11350.501402582318	11322.320860091611	11322.320860091611
3.2	11375.427136323095	11349.557661673214	11349.555466925172
3.24	11399.301586550646	11375.273504060024	11375.271309311982
3.28	11422.124753339842	11399.70980938687	11399.705419890786
3.33	11449.10476960025	11427.98033644748	11427.975946951396
3.37	11469.456652041408	11449.04112195695	11449.036732460867
3.42	11493.374997204839	11473.505958958427	11473.501569462343
3.47	11515.618750960304	11495.99332954685	11495.997719017978
3.53	11540.156014597233	11520.300144839071	11520.304534335155
3.58	11558.888174281572	11538.806245624888	11538.810635120972
3.64	11579.3673520093	11558.837695101567	11558.84208459765
3.7	11597.80102615968	11576.889483417166	11576.891678165208
3.77	11616.897513719407	11594.958829717085	11594.963219213168
3.83	11631.382839287777	11608.649657118367	11608.65404661445
3.9	11646.206155804975	11622.535816970587	11622.538011718629
3.98	11660.759518512714	11635.98302753894	11635.985222286981
4.06	11672.995229135515	11647.127949258633	11647.13233872976
4.14	11683.24688912608	11656.312962524637	11656.31735202072
4.23	11692.734777372258	11664.657387964617	11664.659582712658
4.32	11700.328599556073	11671.18895294491	11671.193342440994
4.42	11706.926006927693	11676.69996088455	11676.704350380634
4.53	11712.307524857679	11681.032390099266	11681.014832114932
4.64	11716.113214966696	11683.89214452618	11683.894339274222
4.76	11718.863232066433	11685.724757693286	11685.726952441328
4.89	11720.456617871707	11686.497308379941	11686.499503127983
5.03	11720.95482530276	11686.258081043095	11686.260275791137
5.19	11720.30956990266	11684.928064803113	11684.930259526198
5.35	11718.707405080262	11682.781602890711	11682.783797638753
5.54	11715.814729482634	11679.460951749425	11679.463146497466
5.74	11712.189008588204	11675.369944644583	11675.372139392624
5.96	11707.612962540574	11670.495413112876	11670.497607860918
6.21	11702.216081399252	11664.819799194898	11664.82199394294
6.5	11696.151997352485	11658.549409006926	11658.551603754968
6.82	11690.16253468921	11652.434845805124	11652.437040553166
7.19	11684.513257722763	11646.693389495806	11646.695584243847
7.62	11679.72432131476	11641.836415923477	11641.838610671519
8.14	11676.017394792725	11638.087789238576	11638.089983986618
8.76	11673.600979120762	11635.651620859193	11635.653815607235
9.55	11672.218288952776	11634.26015169904	11634.262346447082
10.56	11671.623512707723	11633.665375453988	11633.66757020203
11.96	11671.445738266106	11633.485406264328	11633.48760101237
14.03	11671.415011818477	11633.4546798167	11633.4568745398
17.58	11671.410622322393	11633.452485043701	11633.454679791743
25.83	11671.41940131456	11633.4546798167	11633.456874564741
