R	12A1_7A1	12A1_8A1	9B1_12A1	9B2_12A1
Intensities	6.459630182124728e-16	5.354229946599213e-05	3.366182628159424e-06	3.366182628159424e-06
2.0	4251.050198099998	1849.729986899998	3530.9034579	3530.9034579
2.01	4121.176085900006	1868.6201683000108	3535.047139000002	3535.047139000002
2.02	3996.7229969000036	1887.3040435000003	3536.912673300001	3536.912673300001
2.03	3877.5570518000022	1905.7618599000125	3536.1620701000065	3536.1620701000065
2.04	3763.5641236999945	1923.982643700001	3532.439780300003	3532.439780300003
2.05	3654.630085900004	1941.957615899999	3525.3595287999924	3525.3595287999924
2.06	3550.662758899998	1959.6714132999914	3514.5460137000046	3514.5460137000046
2.07	3451.5677687000134	1977.1196464000095	3499.6458812000055	3499.6458812000055
2.08	3357.2682992000045	1994.2869520000095	3480.4199036000064	3480.4199036000064
2.09	3267.665586700008	2011.131629800002	3456.710059300007	3456.710059300007
2.1	3182.524793500008	2027.7348855000018	3428.5558537000034	3428.5558537000034
2.11	3102.2892583000066	2044.0352663999947	3396.238214500001	3396.238214500001
2.12	3026.6802482000057	2060.0327721000067	3360.5450554000126	3360.5450554000126
2.13	2955.702152900005	2075.7252081000042	3317.4358485999983	3317.4358485999983
2.14	2889.376919699993	2091.0708742999996	3279.104604399996	3279.104604399996
2.15	2819.0843594999897	2087.973312899994	3239.9810568999965	3239.9832516000024
2.16	2770.9418251000025	2120.912839700002	3190.316142800002	3190.316142800002
2.17	2718.9987644000066	2135.354270399999	3084.2133276999957	3084.2155225000024
2.18	2672.0794781000004	2149.4862417999975	3098.4418679999944	3098.4418679999944
2.19	2630.322234899999	2163.308753999998	3052.5168017000105	3052.5168017000105
2.2	2593.8609145999944	2176.8218070000003	3007.0789689999947	3007.0789689999947
2.21	2562.781112299999	2190.040764000005	2962.40929760001	2962.4114924000023
2.22	2537.074048900002	2202.9656248999963	2918.7360408999957	2918.7360408999957
2.23	2516.6036501000053	2215.6073635000066	2876.2391683000023	2876.2391683000023
2.24	2501.086793800001	2227.979148499988	2835.0723119999893	2835.0723119999893
2.25	2490.0845305999974	2240.0875637999998	2795.3517933999974	2795.353988200004
2.26	2483.0701214	2251.9523622999986	2757.1829605000094	2757.1851553000015
2.27	2479.4707375	2263.584517700001	2720.6470188999956	2720.6470188999956
2.29	2480.3420518000057	2286.218936300007	2652.7613211000134	2652.7613211000134
2.3	2483.8712038000085	2297.251925900011	2621.541055000009	2621.5432497
2.31	2488.993741699989	2308.1466465999983	2592.3026447999873	2592.3026447999873
2.32	2495.3563111999974	2318.8679822999984	2565.065843199991	2565.065843199991
2.33	2502.746021999992	2329.451048899995	2540.359584100006	2540.359584100006
2.35	2519.913327500006	2350.2748017999984	2491.763511500001	2491.763511500001
2.36	2529.4231633000018	2360.5374355000095	2473.077441500005	2473.077441500005
2.37	2539.41364839999	2370.714474099994	2455.9891467999987	2455.9891467999987
2.38	2549.805772199994	2380.781775399999	2440.7707759999903	2440.7707759999903
2.4	2571.544734199997	2400.7715246000007	2416.4112868000084	2416.4112868000084
2.41	2582.784030099996	2410.667635799997	2407.2240788000054	2407.2240788000054
2.43	2605.7761923999933	2430.249162299995	2394.4682133999886	2394.4682133999886
2.44	2617.467605900005	2439.941161900002	2390.666912700006	2390.666912700006
2.46	2641.069907600002	2459.0969076000038	2387.5130623000005	2387.5130623000005
2.47	2652.9105638000037	2468.5387061999936	2387.783016000001	2387.783016000001
2.49	2676.587486999997	2487.147960100003	2391.505305800005	2391.505305800005
2.5	2688.3644955999916	2496.28907839999	2394.6174560999934	2394.6174560999934
2.52	2711.694648699995	2514.209181900005	2402.7182646	2402.7182646
2.54	2734.5946317000053	2531.5827936999995	2412.6451021999965	2412.6451021999965
2.55	2745.8317327000113	2540.04573540001	2418.077099300004	2418.077099300004
2.57	2767.8428432999935	2556.4843850999896	2429.579764599999	2429.579764599999
2.59	2789.1274929000065	2572.231689799999	2441.5630794000026	2441.5630794000026
2.61	2809.604475900007	2587.23717030001	2453.708805400005	2453.708805400005
2.63	2829.201365599991	2601.456931599998	2465.7733257999935	2465.7733257999935
2.65	2847.8742671999935	2614.8778052999987	2477.576671499992	2477.576671499992
2.67	2865.583674999987	2627.4712594999874	2488.987157399999	2488.987157399999
2.69	2882.3493420000013	2639.2592418999993	2499.9960049000074	2499.9981995999988
2.71	2898.0746993000066	2650.1671310000092	2510.3595970000024	2510.3595970000024
2.74	2919.782934899995	2664.944357799992	2524.7527430999908	2524.7549378999975
2.76	2933.0128657000023	2673.749680000008	2533.549286399997	2533.549286399997
2.79	2951.0185643000004	2685.4125618000107	2545.506264200012	2545.5084589000035
2.81	2961.825495099998	2692.181159400003	2552.6545528999995	2552.6545528999995
2.84	2976.299847000002	2700.872354799998	2562.1643886000093	2562.1643886000093
2.87	2988.7703954000026	2707.875790200007	2570.271781500007	2570.271781500007
2.89	2996.0174476999964	2711.6375853999925	2574.9268383000017	2574.9268383000017
2.92	3005.353898500005	2715.983183000004	2580.8482638999994	2580.8504586000054
2.96	3015.124908999991	2719.50136129999	2586.9364900999935	2586.9364900999935
2.99	3020.5766588000115	2720.5394764000084	2590.2768940000096	2590.2768940000096
3.02	3024.5403705999925	2720.3046384999907	2592.704283400002	2592.704283400002
3.06	3027.6810526000045	2718.1537871000037	2594.7168657	2594.7168657
3.09	3028.565535300004	2715.289643199998	2595.493805899998	2595.4960007000045
3.13	3027.9575905999955	2709.9388516999898	2595.7879019999964	2595.7879019999964
3.17	3025.5192274	2703.034179800001	2595.513558599996	2595.513558599996
3.22	3020.1772149000026	2692.4774501000065	2594.912198100006	2594.912198100006
3.26	3014.3765005000023	2682.7854504999996	2594.648828599995	2594.648828599995
3.31	3005.4811936999904	2669.3909138000017	2595.0065722	2595.0065722
3.36	2995.091264799994	2654.8902249999956	2596.531920900001	2596.529726199995
3.42	2981.051472600011	2636.491666700007	2600.0369307000074	2600.0347359000007
3.48	2965.7650646999973	2617.5378377999878	2604.6963772000017	2604.6963772000017
3.54	2949.6600162999966	2598.573034899993	2608.1092075999914	2608.1092075999914
3.61	2930.324301399989	2577.0908581999975	2604.8434251	2604.845619899992
3.68	2910.863486000002	2557.006734800001	2591.8527217999945	2591.8527217999945
3.76	2888.9884496000013	2536.591204700002	2571.612771400003	2571.61496620001
3.85	2865.3949269000004	2517.7997868999955	2548.798383699992	2548.798383699992
3.95	2840.9103371999954	2502.8425908000063	2527.265727699996	2527.265727699996
4.05	2818.5875724999933	2494.3862334000005	2511.729118599993	2511.729118599993
4.17	2794.6714221	2491.8600804000016	2501.7561915000115	2501.7408282000106
4.31	2771.1217943000083	2497.4588782000064	2501.6288961999962	2501.6288961999962
4.46	2749.975413699998	2509.3631821000017	2511.277000899994	2511.277000899994
4.64	2729.248229699995	2527.017721299999	2530.243998399994	2530.243998399994
4.85	2709.7698562000005	2547.4947042999993	2555.1763162999996	2555.1763162999996
5.11	2690.276119599992	2568.6520586999977	2582.8827937000024	2582.8827937000024
