10A1_7A1	10A1_8A1	11A1_7A1	11A1_8A1	9B1_10A1	9B1_11A1	11B1_7A1	11B1_8A1	11B1_9B1	9B2_10A1	9B2_11A1	11B2_7A1	11B2_8A1	11B2_9B2	9A2_11B1	9A2_11B2	11A2_9B1	11A2_9B2	11A2_9A2
2.17e-08	307321721891179.6	197380669541852.66	382757569419333.94	272816517070006.97	376117151018452.75	451552998546607.06	165355182620552.56	55414130271225.6	234150611747825.7	376117564452700.7	451553411980855.0	165355182620552.56	55414130271225.6	234151025182073.62	234440422072030.7	234440422072030.7	376096066399308.6	376096479833556.56	376385876723513.6
2.1800000000000003e-08	297636434782754.8	199195601467085.6	372271066331342.0	273830233015672.84	377950273617288.2	452584905165875.44	153287332249087.47	54846498933418.266	233601171083620.88	377950273617288.2	452584905165875.44	153287332249087.47	54846498933418.266	233601171083620.88	233926535886537.8	233926535886537.8	377955234696389.6	377955234696389.6	378280599499306.56
2.19e-08	288916079565619.94	200944798967078.4	362922719864509.1	274951439265967.6	368444825998308.6	442451466297197.8	142855401144231.56	54884120545690.07	222384147576920.3	368444825998308.6	442451466297197.8	142855401144231.56	54884120545690.07	222384147576920.3	222758296415373.25	222758296415373.25	368449787096247.25	368449787096247.25	368823935934700.2
2.2000000000000002e-08	281185461729467.97	202627848607588.7	354739402623248.1	276181789501368.84	359023303459329.1	432577244353109.25	133494238535979.89	54936625414100.63	211332080265841.03	359023303459329.1	432577244353109.25	133494238535979.89	54936625414100.63	211332080265841.03	211759560822363.25	211759560822363.25	359028677972678.5	359028677972678.5	359456158529200.7
2.21e-08	274459877964685.6	204246817503336.44	347735170976364.8	277522110515015.62	349737797472197.44	423013090483876.6	125220381398625.73	55007320937276.58	200498300906137.6	349738210906442.6	423013503918121.8	125220381398625.73	55007320937276.58	200498714340382.78	200985314543728.94	200985314543728.94	349743171985544.06	349743585419789.25	350230185623135.44
2.2200000000000004e-08	268737674590792.5	205801705673153.28	341907544450242.5	278971575532603.3	340631304143681.25	413801174003131.3	118035896846891.83	55099927929252.61	189929526399780.6	340631304143681.25	413801174003131.3	118035896846891.83	55099927929252.61	189929526399780.6	190481447631793.22	190481447631793.22	340636678657030.6	340636678657030.6	341188599889043.25
2.23e-08	263991978984544.1	207293339929031.88	337226756419575.5	280528117364063.3	331736483969290.4	404971261404321.75	111916806278415.48	55218167222903.27	179661311263161.75	331736483969290.4	404971261404321.75	111916806278415.48	55218167222903.27	179661311263161.75	180286408548481.1	180286408548481.1	331741858482639.75	331741858482639.75	332366955767959.06
2.2400000000000002e-08	260167805766233.47	208722547158294.28	333632447028987.2	282187188421048.06	323080622931165.94	396545264193919.7	106811018277873.95	55365759669934.78	169723835442806.44	323080622931165.94	396545264193919.7	106811018277873.95	55365759669934.78	169723835442806.44	170431204127656.47	170431204127656.47	323085997444512.6	323085997444512.6	323793366129362.6
2.25e-08	257181643271263.12	210089740757519.62	331034903213200.5	283943000699457.0	314684805667292.06	388538065609229.44	102639568787843.56	55547666274100.07	160142731183872.5	314685219101540.0	388538479043477.4	102639568787843.56	55547666274100.07	160143144618120.4	160943120313783.6	160943120313783.6	314690180180638.7	314690593614886.6	315490569310549.8
2.2599999999999997e-08	254932615992257.44	211396987860259.56	329325807855607.5	285790179723609.6	306567222851268.44	380960414714618.5	99305303152665.84	55769675020667.96	150939910011676.8	306567636285513.6	380960828148863.7	99305303152665.84	55769675020667.96	150940323445922.0	151845722293817.1	151845722293817.1	306572597364617.8	306573010798863.0	307478409646758.06
2.27e-08	253310753113296.62	212644288447685.16	328386094794070.0	287719630128458.56	298741104039921.8	373816445720695.25	96703211673188.48	56036747007577.03	142133562599813.72	298741104039921.8	373816445720695.25	96703211673188.48	56036747007577.03	142133562599813.72	143158027609849.84	143158027609849.84	298746891987516.4	298746891987516.4	299771356997552.5
2.29e-08	251531789101023.53	214964838118359.88	328353434298573.9	291786483315910.25	284010388842846.2	360832034040396.56	93301971366543.78	56735020383880.125	125780571108366.44	284010388842846.2	360832034040396.56	93301557932298.6	56734606949634.94	125780157674121.25	127093192724455.73	127092779290210.55	284016176771603.6	284016176771603.6	285328798387692.94
2.2999999999999998e-08	251193194722445.4	216039740844412.3	329055841904322.5	293902388026289.4	277126050207762.62	354988697389639.7	92334145454363.69	57180691576330.586	118267000939680.9	277126463623170.7	354989110805047.75	92334145454363.69	57180691576330.586	118267414355088.95	119752020417143.38	119752020417143.38	277131838155357.2	277132251570765.25	278616857632819.66
2.3100000000000002e-08	251120432065706.84	217054283658571.25	330155550082388.06	296089401675252.5	270580719347828.12	349615837364509.4	91763206736766.84	57697058329631.26	111223494018888.11	270580719347828.12	349615837364509.4	91763206736766.84	57697058329631.26	111223494018888.11	112897034897769.14	112897034897769.14	270586507295422.66	270586507295422.66	272260048174303.72
2.32e-08	251265130510688.12	218020042437194.22	331517369168264.06	298272281094770.1	264396307769525.2	344648546427101.1	91548639599431.2	58303551525937.3	104679816858268.28	264396307769525.2	344648546427101.1	91548639599431.2	58303551525937.3	104679816858268.28	106545599971436.95	106545599971436.95	264402095717119.75	264402095717119.75	266267878830288.44
2.33e-08	251576025472868.88	218932469497745.16	333113186330142.2	300469630355018.5	258661288235378.97	340198449092652.3	91650341956462.81	59006785981339.11	98735604718972.9	258661288235378.97	340198449092652.3	91650341956462.81	59006785981339.11	98735604718972.9	100720453975445.48	100720453975445.48	258667076182973.53	258667076182973.53	260651925439446.1
2.3500000000000002e-08	252558321188108.12	220603529827655.53	336819120235970.5	304864328875517.94	247255743289582.8	331516542337445.2	92698372115779.31	60743580755326.72	87395794217254.0	247255743289582.8	331516542337445.2	92698372115779.31	60743580755326.72	87395794217254.0	90720964506213.25	90720964506213.25	247261944652588.16	247261944652588.16	250587114941547.44
2.36e-08	253176803713851.22	221363816815164.06	338851513262915.06	307038526364227.9	242562965985992.9	328237675535056.75	93606251512639.6	61793264613952.42	82992413784781.3	242562965985992.9	328237675535056.75	93606251512639.6	61793264613952.42	82992413784781.3	86591270857900.16	86591270857900.16	242569167330158.4	242569167330158.4	246168024403277.25
2.37e-08	253854405848744.0	222076560013357.97	340962043441107.7	309184197605721.7	238139741199442.88	325247378791806.56	94756810878643.69	62978965043257.664	79042146229342.56	238139741199442.88	325247378791806.56	94756810878643.69	62978965043257.664	79042146229342.56	83048226051818.48	83048226051818.48	238145942562448.22	238145942562448.22	242152022384924.16
2.3799999999999998e-08	254575004128095.1	222735971512325.22	343124665091139.94	311285632475370.06	234036093287049.6	322585754250094.44	96147569664818.19	64308537049048.33	75608658823772.69	234036093287049.6	322585754250094.44	96147569664818.19	64308537049048.33	75608658823772.69	80090176407490.72	80090176407490.72	234042294650054.94	234042294650054.94	238523812233772.97
2.4e-08	256098472029811.1	223929940381681.56	347523084406834.2	315354552758704.7	226876000753086.44	318300613130109.56	99598420856657.61	67429889208528.08	70375949579932.95	226876000753086.44	318300613130109.56	99598420856657.61	67429889208528.08	70375949579932.95	75932369889700.66	75932369889700.66	226882202116089.03	226882202116089.03	232438622425856.75
2.41e-08	256882737619676.8	224461190409958.12	349723741065709.2	317302193855990.5	223812527937689.6	316653531383722.0	101635361566129.95	69213814356411.26	68565151884142.75	223812527937689.6	316653531383722.0	101635361566129.95	69213814356411.26	68565151884142.75	74694164629656.39	74694164629656.39	223818729300692.22	223818729300692.22	229947742046205.84
2.4300000000000003e-08	258457056709328.53	225393048390343.94	354062213903763.4	320998205584778.75	218652994784828.12	314258151979262.94	106249174868821.3	73185166549836.7	66445112944320.89	218652994784828.12	314258151979262.94	106249174868821.3	73185166549836.7	66445112944320.89	72751484630311.89	72751484630311.89	218659609582078.66	218659609582078.66	224965981268069.66
2.44e-08	259240082015290.38	225799444308882.2	356179772294617.3	322739134588209.1	216517659135782.47	313457349415109.4	108788012472026.48	75347374765618.3	66065589592518.58	216517659135782.47	313457349415109.4	108788012472026.48	75347374765618.3	66065589592518.58	73896256067555.81	73896256067555.81	216523860498787.8	216523860498787.8	224354526973825.03
2.46e-08	260773058697475.47	226494823701972.16	360272257764903.8	325994022769400.5	213010582242660.66	312509781310088.94	114203868585101.02	79925633589597.7	66441392130286.2	213010582242660.66	312509781310088.94	114203868585101.02	79925633589597.7	66441392130286.2	75294043047554.5	75294043047554.5	213017197021074.06	213017197021074.06	221869847938342.38
2.4700000000000003e-08	261525490603826.8	226795383052867.7	362225686790949.75	327495579239990.7	211583442128118.25	312283638315241.2	117040784952565.02	82310677401605.9	67098736476856.46	211583442128118.25	312283638315241.2	117040784952565.02	82310677401605.9	67098736476856.46	76411941880385.5	76411941880385.5	211590470340779.56	211590470340779.56	220903675744308.62
2.49e-08	262953044133777.28	227268340246304.75	365968828874796.5	330284124987324.0	209252143449587.38	312267928190606.6	122810945568849.53	87126241681377.0	69110044884659.65	209252143449587.38	312267928190606.6	122810945568849.53	87126241681377.0	69110044884659.65	79237282409171.78	79237282409171.78	209258758246837.9	209258758246837.9	219385995771350.06
2.5e-08	263632299986819.12	227451073718960.4	367742418392560.06	331561192124701.3	208299200850054.72	312409319255795.6	125710289000598.53	89529062732739.8	70377189863834.11	208299200850054.72	312409319255795.6	125710289000598.53	89529062732739.8	70377189863834.11	80859558703543.42	80859558703543.42	208306229043878.9	208306229043878.9	218788597883588.22
2.52e-08	264915981902612.62	227715665156904.28	371087019620185.9	333886702874477.5	206714132714872.56	312885170432445.8	131448615933368.67	94248299187660.31	73246766745628.6	206714132714872.56	312885170432445.8	131448615933368.67	94248299187660.31	73246766745628.6	84350512075459.7	84350512075459.7	206721160927533.88	206721160927533.88	217824906257365.0
2.5400000000000002e-08	266090106436728.75	227848787725528.1	374157520648244.0	335916201937043.4	205444507205561.84	313511921417077.1	137013304739704.34	98771986028503.69	76367705508537.42	205444507205561.84	313511921417077.1	137013304739704.34	98771986028503.69	76367705508537.42	87990298102962.86	87990298102962.86	205451535418223.16	205451535418223.16	217074128012648.6
2.55e-08	266629211508488.22	227865324699821.4	375588794973394.75	336824908164727.94	204890105462258.3	313849688927164.9	139703868981712.27	100939982173045.44	77964762935482.34	204890105462258.3	313849688927164.9	139703868981712.27	100939982173045.44	77964762935482.34	89815565658318.16	89815565658318.16	204897547090327.7	204897547090327.7	216748349813163.5
