10A1_7A1	10A1_8A1	11A1_7A1	11A1_8A1	9B1_10A1	9B1_11A1	11B1_7A1	11B1_8A1	11B1_9B1	9B2_10A1	9B2_11A1	11B2_7A1	11B2_8A1	11B2_9B2	9A2_11B1	9A2_11B2	11A2_9B1	11A2_9B2	11A2_9A2
3.76e-08	178947741215309.1	112566709015750.75	310691128551984.2	244310096352425.88	119163717875599.98	250907105212275.1	147947959587949.06	81566927388390.7	88163936248239.94	119164131309847.9	250907518646523.03	147947959587949.06	81566927388390.7	88164349682487.86	81105959486719.17	81105959486719.17	119268314178175.92	119268727612423.84	112210337416655.17
3.85e-08	171972862702975.0	106496402501653.03	301132762649183.3	235656302447861.34	112335604941801.55	241495504888009.88	149247765062622.34	83771304861300.38	89610507301448.89	112335604941801.55	241495504888009.88	149247765062622.34	83771304861300.38	89610507301448.89	83334315561986.06	83334315561986.06	112469140925836.14	112469140925836.14	106192949186373.31
3.95e-08	165881058135479.75	102199272071068.2	291115495959428.1	227433709895016.6	106799855816927.27	232034293640875.66	151455863349563.97	87774077285152.4	92374661031011.47	106799855816927.27	232034293640875.66	151455863349563.97	87774077285152.4	92374661031011.47	87367681366611.44	87367681366611.44	106971840262892.39	106971840262892.39	101964860598492.36
4.05e-08	161519433544724.34	100449661174501.72	281773764271011.4	220703991900788.75	103716538647453.11	223970869373740.12	154639642573334.2	93569870203111.56	96836747676062.95	103716538647453.11	223970869373740.12	154639642573334.2	93569870203111.56	96836747676062.95	93198201894789.42	93198201894789.42	103930692331706.44	103930692331706.44	100292146550432.9
4.17e-08	158396841082503.56	101356300287460.84	271509269948427.2	214468729153384.47	103220429701317.58	216332858567241.2	158076850792936.0	101036309997893.3	102900439411750.02	103217535718101.73	216329964584025.34	158077264227183.94	101036723432141.22	102897958862782.1	100707637815189.6	100708051249437.52	103484607723847.94	103481713740632.08	101291806127287.5
4.3099999999999996e-08	157120187360536.97	105570332450024.62	260833832024777.0	209283977114264.62	106355838304954.36	210069482969194.38	162734487070901.78	111184632160389.4	111970138015319.16	106355838304954.36	210069482969194.38	162734487070901.78	111184632160389.4	111970138015319.16	110901023199189.77	110901023199189.77	106672521195895.28	106672521195895.28	105603406379765.89
4.46e-08	157704355672634.9	112380254747897.55	250800028379568.38	205475927454831.03	112740760595275.75	205836433302209.25	167717074698696.66	122392973773959.33	122753479621337.53	112740760595275.75	205836433302209.25	167717074698696.66	122392973773959.33	122753479621337.53	122147813255850.33	122147813255850.33	113102920123131.52	113102920123131.52	112497253757644.31
4.64e-08	159933125163312.56	121838985427223.97	240433831718787.0	202339691982698.4	122446718907433.9	202947425462908.3	173300781028285.34	135206641292196.77	135814374772406.7	122446718907433.9	202947425462908.3	173300781028285.34	135206641292196.77	135814374772406.7	134996208421980.86	134996208421980.86	122849807446185.38	122849807446185.38	122031641095759.53
4.85e-08	163406714711282.3	132838961304132.38	230239206069722.78	199671452662572.88	134285945753914.98	201118437112355.5	178904745108527.78	148336991701377.88	149783976151160.47	134285945753914.98	201118437112355.5	178904745108527.78	148336991701377.88	149783976151160.47	148152191113996.72	148152191113996.72	134723348487477.23	134723348487477.23	133091563450313.48
5.11e-08	167794798434531.2	144884486791389.38	219875489939072.2	196965178295930.34	147565128856359.97	199645820360900.97	184161846351301.12	161251534708159.28	163932176773129.9	147565128856359.97	199645820360900.97	184161846351301.12	161251534708159.28	163932176773129.9	161088645589578.25	161088645589578.25	148029817572068.94	148029817572068.94	145186286388517.25
5.4299999999999997e-08	172445406499835.62	156586456820964.03	209849954752757.28	193991005073885.66	160447838198464.16	197852386451385.8	188074492350984.94	172215542672113.3	176076924049613.47	160447838198464.16	197852386451385.8	188074492350984.94	172215542672113.3	176076924049613.47	172082006669238.84	172082006669238.84	160920795391898.47	160920795391898.47	156925878011523.88
5.8499999999999994e-08	176865737303169.84	167243704071014.44	200346987682745.66	190724954450590.25	171576802395719.25	195058052775295.06	189655012784804.88	180032979552649.5	184366077877354.28	171576802395719.25	195058052775295.06	189655012784804.88	180032979552649.5	184366077877354.28	179892415355950.8	179892415355950.8	172092342280526.8	172092342280526.8	167618679759123.34
6.440000000000001e-08	180515445526547.44	175958271321714.88	192241807592729.97	187684633387897.4	179462040835049.9	191188402901232.44	188243582813731.47	183686408608898.9	187190178122233.94	179462040835049.9	191188402901232.44	188243582813731.47	183686408608898.9	187190178122233.94	183559073987866.9	183559073987866.9	179990396880110.62	179990396880110.62	176359292745743.6
7.37e-08	182943485445339.7	181939278223628.8	186685387264122.38	185681180042411.53	183697984485250.88	187439886304033.6	185419482568849.1	184415275347138.22	186173981608760.28	183697571051005.72	187439472869788.4	185419482568849.1	184415275347138.22	186173568174515.12	184303237416492.9	184303237416492.9	184229234494690.3	184228821060445.12	182358490302422.94
9.28e-08	184694336644644.47	182888086612550.4	186001170331979.06	184194920299885.03	184509949472674.12	185816783160008.72	185358709222710.44	183552459190616.38	185174322050740.1	184509536057263.3	185816369744597.94	185358709222710.44	183552459190616.38	185173908635329.3	184997789941084.3	184997789941084.3	184767926132201.88	184767512716791.06	184591394022546.06
