4B1_1A1	4B1_1B1	4B2_1A1	4B2_1B2	1A2_4B1	1A2_4B2	2A2_4B1	2A2_4B2	4A2_1B1	4A2_1B2	4A2_1A2	4A2_2A2
2.2400000000000002e-08	1736669094240471.2	1903528727287783.0	1736668680816012.0	1903528313863323.8	1909818562017989.0	1909818148593529.8	1732215276071678.8	1732214862647219.5	1898312141598146.8	1898312141598146.8	1904601976328352.8	1726998690382042.2
2.25e-08	1738398860800484.8	1900810877045887.8	1738398447376025.2	1900810463621428.5	1907260706919589.2	1907260293495129.8	1738398860800484.8	1738398447376025.2	1896008955759784.5	1896008955759784.5	1902458785633485.8	1733596939514381.5
2.2599999999999997e-08	1744143802525922.0	1898038041397924.0	1744143389101462.8	1898037627973464.8	1904640838199312.5	1904640424774853.2	1744143802525922.0	1744143389101462.8	1893631767009032.8	1893631767009032.8	1900234563810421.5	1739737528137031.0
2.27e-08	1749506740361301.8	1895254043298963.8	1749506740361301.8	1895254043298963.8	1902000711699340.0	1902000711699340.0	1749506740361301.8	1749506740361301.8	1891217783504919.5	1891217783504919.5	1897964451905295.5	1745470480567257.2
2.29e-08	1759282153938356.2	1889796017917878.8	1759282153938356.2	1889796017917878.8	1896800249549507.8	1896800249549507.8	1759282153938356.2	1759282153938356.2	1886414208525680.0	1886414208525680.0	1893418440157308.8	1755900344546157.2
2.2999999999999998e-08	1763776074246788.2	1887178629744361.0	1763776074246788.2	1887179043168820.2	1894294485890662.2	1894294485890662.2	1763776074246788.2	1763776074246788.2	1884080429305541.2	1884080842730000.5	1891196285451842.5	1760677873807968.5
2.3100000000000002e-08	1768052533463604.5	1884665424454647.5	1768052533463604.5	1884665424454647.5	1891879675542328.5	1891879675542328.5	1768052533463604.5	1768052533463604.5	1881823960398164.5	1881823960398164.5	1889038211485845.8	1765211069407121.8
2.32e-08	1772139644423825.5	1882271285305773.5	1772139644423825.5	1882271285305773.5	1889571115190699.2	1889571115190699.2	1772139644423825.5	1772139644423825.5	1879661752187577.5	1879661752187577.5	1886961582072503.2	1769530111305629.5
2.33e-08	1776060558883066.2	1880009855309586.2	1776060558883066.2	1880009855309586.2	1887380794145088.5	1887380794145088.5	1776060558883066.2	1776060558883066.2	1877609101378765.8	1877609101378765.8	1884980040214268.0	1773659804952245.8
2.3500000000000002e-08	1783481935460283.0	1875917369836095.5	1783481935460283.0	1875917783260554.8	1883384636490681.0	1883384636490681.0	1783481935460283.0	1783481935460283.0	1873874641204905.0	1873875054629364.2	1881341907859490.5	1781439206829092.5
2.36e-08	1787008856724850.0	1874109879534162.2	1787008856724850.0	1874110292958621.8	1881601124788580.5	1881601124788580.5	1787008856724850.0	1787008856724850.0	1872220117830659.0	1872220531255118.5	1879711363085077.2	1785119095021346.8
2.37e-08	1790433662227901.0	1872456596433297.2	1790433662227901.0	1872456596433297.2	1879955283327977.2	1879955283327977.2	1790433662227901.0	1790433662227901.0	1870705331810810.5	1870705331810810.5	1878204018705490.5	1788682397605414.2
2.3799999999999998e-08	1793775782904925.0	1870947598355876.0	1793775782904925.0	1870948011780335.2	1878437603336916.0	1878437603336916.0	1793775782904925.0	1793775782904925.0	1869321601245811.2	1869322014670270.5	1876811606226851.2	1792149785794860.2
