R	4B1_12A1	4B2_12A1
Intensities	9.624590586158564e-11	9.624590586158564e-11
2.12	4966.541881436409	4966.541881436409
2.13	4913.795543609187	4913.795543609187
2.15	4826.187855543962	4826.209802999423
2.16	4782.325850725698	4782.325850725698
2.17	4747.490837464182	4747.490837464182
2.19	4692.461963470778	4692.46415821882
2.2	4671.414346474485	4671.414346474485
2.22	4641.028083949102	4641.030278697144
2.23	4630.958587946137	4630.958587946137
2.25	4619.161826582218	4619.164021305303
2.26	4616.738826641202	4616.738826641202
2.28	4617.353355593674	4617.353355593674
2.3	4623.67861445772	4623.67861445772
2.31	4628.572898696861	4628.572898696861
2.33	4640.900788662519	4640.900788662519
2.35	4656.046732867282	4656.046732867282
2.36	4664.498700886412	4664.498700886412
2.38	4682.719484651461	4682.719484651461
2.4	4702.35149030904	4702.35149030904
2.42	4723.063311129517	4723.063311129517
2.44	4744.549877409649	4744.549877409649
2.46	4766.523677380639	4766.523677380639
2.48	4788.692809752611	4788.692809752611
2.5	4810.958510988494	4810.958510988494
2.52	4833.072774684391	4833.072774684391
2.54	4854.857826473555	4854.857826473555
2.56	4876.160034043016	4876.160034043016
2.59	4906.96549311986	4906.96549311986
2.61	4926.579940818061	4926.579940818061
2.63	4945.369163876618	4945.369163876618
2.66	4971.868530715248	4971.868530715248
2.68	4988.445449495019	4988.445449495019
2.71	5011.345432390794	5011.345432390794
2.73	5025.367666496779	5025.367666496779
2.76	5044.549749180209	5044.549749180209
2.79	5061.523917080936	5061.523917080936
2.82	5076.342844077095	5076.342844077095
2.85	5089.072372609895	5089.072372609895
2.88	5099.80248727421	5099.80248727421
2.91	5108.618783168742	5108.618783168742
2.94	5115.620023855547	5115.620023855547
2.97	5120.91375193873	5120.91375193873
3.01	5125.483213742278	5125.483213742278
3.04	5127.151220931046	5127.151220931046
3.08	5127.296074176993	5127.296074176993
3.12	5125.219844176943	5125.219844176943
3.16	5121.150784552519	5121.150784552519
3.2	5115.242527491908	5115.242527491908
3.24	5107.797948050109	5107.797948050109
3.28	5098.970678415382	5098.970678415382
3.33	5086.256513118846	5086.256513118846
3.37	5074.955764412996	5074.955764412996
3.42	5059.629850993631	5059.629850993631
3.47	5043.248264614871	5043.248264614871
3.53	5022.547417509646	5022.547417509646
3.58	5004.693156368041	5004.693156368041
3.64	4982.840067464465	4982.840067464465
3.7	4960.804814623174	4960.804814623174
3.77	4935.194320017574	4935.194320017574
3.83	4913.602405931277	4913.602405931277
3.9	4889.008078895175	4889.008078895175
3.98	4861.999530935194	4861.999530935194
4.06	4836.211261912918	4836.211261912918
4.14	4812.106363290775	4812.106363290775
4.23	4787.081865987959	4787.081865987959
4.32	4763.975576950994	4763.975576950994
4.42	4740.720045147027	4740.720045147027
4.53	4717.931994301543	4717.931994301543
4.64	4697.863234133125	4697.863234133125
4.76	4678.736020125754	4678.736020125754
4.89	4660.951990871574	4660.951990871574
5.03	4644.675752298979	4644.675752298979
5.19	4629.1018325755285	4629.1018325755285
5.35	4616.144050421106	4616.144050421106
5.54	4603.364042683359	4603.364042683359
5.74	4592.388116438058	4592.388116438058
5.96	4582.498589599796	4582.498589599796
6.21	4573.401366205522	4573.401366205522
6.5	4565.00865635855	4565.00865635855
6.82	4557.792330513432	4557.792330513432
7.19	4551.440734722797	4551.440734722797
7.62	4546.162369875878	4546.162369875878
8.14	4541.78165625417	4541.78165625417
8.76	4538.840696224594	4538.840696224594
9.55	4536.992719821195	4536.992719821195
10.56	4536.095068595998	4536.095068595998
11.96	4535.770246135435	4535.770246135435
14.03	4535.7131827362755	4535.7131827362755
17.58	4535.71098801319	4535.71098801319
25.83	4535.717572232359	4535.717572232359
