R	12B1_10A1	12B1_11A1	12B1_11B1	12B2_10A1	12B2_11A1	12B2_11B2	11A2_12B1	11A2_12B2	12A2_11B1	12A2_11B2
Intensities	4.241135376e-07	1.3665609999999997e-06	1.9335367840000003e-05	4.241135376e-07	1.3665609999999997e-06	1.9335367840000003e-05	4.2413958759999994e-07	4.2413958759999994e-07	5.0183056e-07	5.0183056e-07
2e-08	192647376661612.22	81720721179587.7	292586872445818.6	192646136377711.06	81719480895686.55	292585632161917.44	192643242413329.62	192642002129428.47	279013744789728.66	279013744789728.66
2.0099999999999998e-08	192974395145001.22	85009923555587.1	296032349143148.56	192973154861100.06	85008683271685.94	296031108859247.4	192970260915558.5	192969020631657.34	282531157275301.25	282531157275301.25
2.0200000000000002e-08	193307614991398.34	88226776709098.6	299419946477558.4	193306374726331.56	88225536444031.83	299418706212491.6	193303480743115.72	193302240478048.94	285990690435628.1	285990690435628.1
2.03e-08	193647449616206.1	91365906145609.94	302747597296648.44	193646209351139.3	91364665880543.17	302746357031581.7	193643315386760.6	193642075121693.84	289389450193304.9	289389450193304.9
2.04e-08	193991831942378.78	94419456783966.72	306010340558991.5	193990591658477.62	94418216500065.56	306009100275090.3	193987697694098.9	193986457410197.75	292722888978823.9	292722888978823.9
2.0499999999999998e-08	194339521629503.84	97379573561854.38	309203628544390.94	194338281345599.94	97378333277950.47	309202388260487.06	194334973965813.16	194333733681909.28	295986459071988.5	295986459071988.5
2.0600000000000002e-08	194688038166287.6	100238401416955.58	312320846474427.94	194686797901220.84	100237161151888.81	312319606209361.2	194683903918005.0	194682663652938.22	299173545694382.6	299173545694382.6
2.07e-08	195036554703065.9	102988085324624.6	315355793042608.56	195035727853409.94	102987258474968.62	315354966192952.56	195032007039375.25	195031180189719.25	302277947501838.0	302277947501838.0
2.08e-08	195385484674094.84	105623250733843.23	318306814474275.0	195384244409030.84	105622010468779.2	318305574209211.0	195381350425812.25	195380110160748.22	305294703377579.0	305294703377579.0
2.09e-08	195733587795465.1	108130254672373.9	321168122916018.44	195732347511561.2	108129014388470.02	321166882632114.5	195729040131774.44	195727799847870.53	308220505960658.56	308220505960658.56
2.1000000000000003e-08	196077556687392.6	110510337405283.39	323937651158930.4	196076316403488.7	110509097121379.5	323936410875026.5	196073009004864.8	196071768720960.9	311056182081892.94	311056182081892.94
2.11e-08	196421938957053.88	112756470682233.34	326621187169442.56	196420698691989.88	112755230417169.31	326619946904378.56	196417391293363.22	196416151028299.2	313805039121071.6	313805039121071.6
2.12e-08	196767561548296.1	114862866649820.36	329225345782479.8	196766321283229.3	114861626384753.6	329224518951658.25	196762600450357.5	196761360185290.72	316472865025786.3	316473278460031.5
2.13e-08	197119798917948.94	116829111817279.61	331748886695298.3	197118558634047.78	116827871533378.45	331747646411397.2	197115251254255.53	197114010970354.38	319059246399466.25	319059246399466.25
2.1400000000000003e-08	197476170517044.53	118620891989808.58	334200905197610.6	197474930251980.5	118619651724744.55	334199664932546.6	197471209419108.7	197469969154044.66	321573278531818.4	321573278531818.4
2.15e-08	197887114099276.16	119853722755340.61	336584295329146.75	197884220134897.44	119850828790961.89	336581814780176.1	197833368965801.56	197830475001422.84	324017855443738.3	324018268859146.4
2.16e-08	198205450670694.62	121797229585506.69	338896989899829.94	198204210405627.88	121795989320439.92	338896163069008.3	198200489572756.03	198199249307689.28	326392563644461.25	326392977078706.44
2.17e-08	198967804772925.88	123531957244771.55	340934344043552.94	198966151073611.2	123530303545456.86	340932690344238.25	198988889392069.97	198987235692755.28	328496479063077.6	328496479063077.6
2.1800000000000003e-08	198964083958888.44	124329452410301.2	343313186492555.75	198962430259576.5	124327798710989.27	343311532793243.8	198959122879787.0	198957469180475.06	330926586096589.9	330926586096589.9
2.19e-08	199352702638072.1	125346062339182.9	345413381059460.44	199351048938760.12	125344408639870.95	345411727360148.5	199347741540133.5	199346087840821.56	333084660045254.44	333084660045254.44
2.2000000000000002e-08	199747109264850.28	126193168371070.14	347438332458338.3	199745868999786.25	126191928106006.11	347437092193274.3	199741734751500.9	199740494486436.88	335166663976233.6	335166663976233.6
2.21e-08	200146476970729.9	126871183959050.72	349385973536789.75	200144823290255.1	126869530278575.9	349384319856314.94	200141102457383.28	200139448776908.47	337170530737130.25	337170530737130.25
2.2200000000000004e-08	200549978924892.2	127380109065442.14	351251756668792.8	200548738640991.03	127378868781540.98	351250516384891.7	200544604411542.78	200543364127641.62	339092126117333.44	339092126117333.44
2.23e-08	200958028542745.1	127723251107713.67	353033201248873.7	200956374843433.16	127721597408401.72	353031547549561.75	200952654029395.72	200951000330083.75	340928142680547.56	340928142680547.56
2.2400000000000002e-08	201368972124976.72	127904330862222.98	354725759613336.25	201367731859909.97	127903090597156.22	354724519348269.44	201363597611630.1	201362357346563.3	342674859612732.6	342674859612732.6
2.25e-08	201783223105832.25	127929963163894.88	356325297589251.8	201781569406517.56	127928309464580.19	356323643889937.1	201777848592485.62	201776194893170.94	344327729306714.75	344327729306714.75
2.2599999999999997e-08	202199127786002.47	127805935922652.39	357826440625594.06	202197474086690.53	127804282223340.45	357824786926282.1	202193753272653.1	202192099573341.16	345881377192633.1	345881377192633.1
2.27e-08	202617099580895.44	127541757900122.05	359224641021003.56	202615445881580.75	127540104200807.34	359222987321688.9	202611311633300.88	202609657933986.2	347331255625634.4	347331255625634.4
2.29e-08	203455937135054.56	126634291937504.2	361685754869534.3	203454283435742.62	126632638238192.25	361684514604467.56	203450149206297.16	203448495506985.2	349892831528458.44	349893244962703.6
2.2999999999999998e-08	203875976063504.66	126013328881627.6	362735025331586.4	203874322364192.72	126011675182315.64	362733371632274.44	203870188115910.1	203868534416598.16	350991299460297.2	350991299460297.2
2.3100000000000002e-08	204295188123464.38	125260070106783.14	363652413452404.4	204293947858400.34	125258829841719.12	363651173187340.4	204289400175869.8	204288159910805.8	351957058220080.25	351957058220080.25
2.32e-08	204711919653287.84	124459680995711.9	364428410564544.75	204712746502946.56	124460507845370.62	364429237414203.5	204706131705693.28	204706958555352.0	352783079651663.25	352783079651663.25
2.33e-08	205129891448183.53	123592730590910.2	365055574964589.56	205130718297839.5	123593557440566.17	365056401814245.56	205124103500588.97	205124930350244.94	353456134122868.1	353456134122868.1
2.3500000000000002e-08	205959633693798.5	121698834645936.1	365819582766127.3	205960460543454.47	121699661495592.06	365820409615783.25	205953432330793.12	205954259180449.1	354310268367413.94	354310268367413.94
2.36e-08	206369750407534.28	120695040858470.4	365940302608745.9	206370163841782.2	120695454292718.33	365940716042993.8	206363549063368.78	206363962497616.72	354474397751061.75	354474397751061.75
2.37e-08	206776146344912.38	119668508752548.67	365873741315012.7	206776559760323.16	119668922167959.47	365874154730423.5	206769944981907.03	206770358397317.8	354450419148701.8	354450419148701.8
2.3799999999999998e-08	207180475148730.6	118630814185685.75	365607909612007.5	207180888564141.4	118631227601096.53	365608323027418.3	207174273785725.25	207174687201136.03	354226756702819.25	354226756702819.25
2.4e-08	207977970295423.12	116553357918400.02	364478021468576.6	207978383710831.2	116553771333808.06	364478434883984.6	207971768932420.5	207972182347828.56	353177486259604.3	353177486259604.3
2.41e-08	208369482938985.47	115528479492953.1	363616858992532.3	208369896373233.4	115528892927201.02	363617272426780.25	208363281575982.84	208363695010230.78	352355185660895.9	352355185660895.9
