5B1_12A1	6B1_12A1	5B2_12A1	6B2_12A1
3.48e-08	773237074762843.9	732411028377275.2	773237074762843.9	732411028377275.2
3.54e-08	767988241997795.9	727232064285747.2	767988241997795.9	727232064285747.2
3.61e-08	761639701035842.4	721054680920102.9	761639701035842.4	721054680920102.9
3.6800000000000005e-08	755148528743635.9	714817351057978.6	755148528743635.9	714817351057978.6
3.76e-08	747669686222846.1	707715964755428.6	747669686222846.1	707715964755428.6
3.85e-08	739314384535617.2	699882817750260.6	739314384535617.2	699882817750260.6
3.95e-08	730234763755008.1	691491548150077.4	730234763755008.1	691491548150077.4
4.05e-08	721492083653665.1	683543055796800.2	721492083653665.1	683543055796800.2
4.17e-08	711538070859019.2	674671800790521.4	711538070859019.2	674670973940865.4
4.3099999999999996e-08	700875862511030.2	665447481583770.8	700875862511030.2	665447481583770.8
4.46e-08	690539845796774.4	656857768405129.0	690539845796774.4	656857768405129.0
4.64e-08	679648187055310.9	648339577599324.5	679648187055310.9	648339577599324.5
4.85e-08	668884689803375.4	640730093040039.1	668884689803375.4	640729679605791.1
5.11e-08	658111270374397.0	634359640609285.5	658111270374397.0	634359640609285.5
5.4299999999999997e-08	648003050354303.5	630103025755351.2	648003050354303.5	630103025755351.2
5.8499999999999994e-08	638727466544209.1	628029290302097.4	638727466544209.1	628029290302097.4
6.440000000000001e-08	630840987820974.6	627321094767594.1	630840987820974.6	627321094767594.1
7.37e-08	627042446923170.2	624812023733177.9	627042446923170.2	624812023733177.9
9.28e-08	625012120992111.2	623981041222496.1	625012120992111.2	623981041222496.1
