R	10A1_2A1	11A1_2A1	2B1_10A1	2B1_11A1	11B1_2A1	11B1_2B1	2B2_10A1	2B2_11A1	11B2_2A1	11B2_2B2	11A2_2B1	11A2_2B2
Intensities	1.1943856206748624e-12	7.5603724530393155	7.078426484892886	2.986190965157487	6.931623035204159	7.407490749849271	7.078389158957868	2.9861890326765326	6.931610321424	7.407464325617982	7.002475899017832	7.002460968241769
2.12	12405.928561280874	12840.837293345641	12067.415281476278	12502.324013541045	12463.689894414638	12125.176614610042	12067.419670972362	12502.328403037129	12463.685504918554	12125.176614610042	12067.439423679767	12067.44381317585
2.13	12431.288854784449	12857.629297283711	12091.032946407577	12517.373388906839	12488.751702409194	12148.495794032322	12091.03733590366	12517.377778402923	12488.74731291311	12148.495794032322	12091.059283359122	12091.063672855205
2.15	12481.342238911122	12895.697171864653	12137.39696199655	12551.75189495008	12538.478069327262	12194.53279241269	12137.403546240661	12551.758479194192	12538.460511367884	12194.521818697423	12137.684473740417	12137.691057984528
2.16	12506.542315932471	12912.271895921323	12160.65029905246	12566.379879041313	12563.116291299215	12217.224274419204	12160.656883296586	12566.386463285438	12563.10970705509	12217.224274419204	12160.676636003991	12160.683220248116
2.17	12531.318806881289	12931.886343594568	12183.405428677317	12583.972965390596	12587.543817608937	12239.630439404966	12183.4098181734	12583.97735488668	12587.539428112854	12239.630439404966	12183.295691375068	12183.300080871151
2.19	12580.37797094381	12973.360464440484	12228.193616420365	12621.17610991704	12636.10038474432	12283.916030220877	12228.198005916449	12621.180499413123	12636.093800500195	12283.913835472835	12228.21995337191	12228.224342867994
2.2	12604.65186504036	12995.231111328394	12250.213506050306	12640.79275233834	12660.09774081227	12305.659381822217	12250.21789554639	12640.797141834424	12660.091156568145	12305.657187074175	12250.242037749893	12250.246427245977
2.22	12652.664135085724	13041.20665681349	12293.469760883323	12682.01228261109	12707.567908540615	12348.373534338214	12293.47415035445	12682.016672082216	12707.56132429649	12348.371339565216	12293.49829258291	12293.502682054037
2.23	12676.393732067329	13065.278634215021	12314.692957598148	12703.577859745841	12731.031941208857	12369.331166739677	12314.699541842274	12703.584443989967	12731.027551712774	12369.33336148772	12314.721489297735	12314.72807354186
2.25	12711.81693737967	13103.987374724937	12356.296568478676	12748.467005823943	12765.939381130767	12410.419012229773	12356.303152722801	12748.473590068068	12765.932796886642	12410.419012229773	12356.325100178263	12356.331684422388
2.26	12702.074458535397	13097.111234551703	12376.668203627254	12771.70497964356	12755.944506461383	12430.53825155324	12376.67478787138	12771.711563887686	12755.937922217272	12430.538251553255	12376.696735326841	12376.703319570966
2.28	12688.041250689203	13091.016424082263	12416.516017447255	12819.491190840316	12741.419675453217	12469.894442211269	12416.52260169138	12819.497775084441	12741.413091209091	12469.894442211269	12416.544549146827	12416.551133390953
2.3	12680.508881375674	13093.968357852049	12455.145747052622	12868.605223528997	12733.417630433178	12508.054496110126	12455.152331296747	12868.611807773123	12733.411046189052	12508.054496110126	12455.17647350025	12455.183057744376
2.31	12678.908911351216	13098.594883079699	12473.998617779405	12893.684589507888	12731.58721203907	12526.67691846726	12474.003007275489	12893.688979003971	12731.580627794945	12526.674723719218	12474.029344227034	12474.033733723118
2.33	12679.512466588436	13112.483237654975	12510.756228827799	12943.726999894337	12731.738649529143	12562.982411768506	12510.760618323882	12943.731389390421	12731.743039025227	12562.991190760673	12510.786955275413	12510.791344771496
2.35	12684.545019829398	13131.974779537733	12546.245276481553	12993.675036189888	12736.347616747516	12598.047873399672	12546.249665977637	12993.679425685972	12736.349811495544	12598.054457643782	12546.278197677224	12546.282587173308
2.36	12688.497757932419	13143.43354997778	12563.524514110482	13018.460306155845	12740.094048684376	12615.12080486244	12563.526708858524	13018.462500903886	12740.09843818046	12615.127389106565	12563.557435281196	12563.559630029238
2.38	12698.865739444416	13169.068186761957	12597.11949572683	13067.321943044371	12750.066975873357	12648.320732155771	12597.123885197972	13067.326332515513	12750.07136536944	12648.329511122996	12597.152416922501	12597.156806393643
2.4	12712.034217236112	13197.496735581692	12629.448108721568	13114.910627067147	12762.857957301414	12680.27184878687	12629.452498217652	13114.91501656323	12762.860152049441	12680.27843303098	12629.481029917239	12629.485419413322
2.42	12727.476452226809	13227.865440147682	12660.532300575083	13160.921288495956	12777.94025388782	12710.996102236095	12660.536690071152	13160.925677992025	12777.942448635862	12711.002686480206	12660.56741649384	12660.571805989908
2.44	12744.716184391	13259.461007870588	12690.420355669412	13205.165179149	12794.835410908985	12740.539582187397	12690.424745165496	13205.169568645084	12794.837605657027	12740.546166431523	12690.45547161311	12690.459861109193
2.46	12763.428591367905	13291.761089165724	12719.147389998165	13247.479887795984	12813.2208006773	12768.93959930756	12719.149584746207	13247.482082544026	12813.222995425342	12768.943988803643	12719.182505941877	12719.184700689919
2.48	12783.374445720881	13324.337708489475	12746.75510369928	13287.718366467874	12832.855001057964	12796.235659036363	12746.759493195364	13287.722755963958	12832.857195806006	12796.242243280489	12746.792414391035	12746.796803887119
2.5	12804.00506093871	13356.808980007074	12773.30056019689	13326.104479265254	12853.184936018719	12822.480435276899	12773.304949692974	13326.108868761337	12853.18713076676	12822.487019521024	12773.335676140603	12773.340065636687
2.52	12825.208504946117	13388.953234291112	12798.79034373509	13362.535073080086	12874.103063005343	12847.684901794317	12798.836433419012	13362.581162764007	12874.103063005343	12847.730991478238	12798.829849149915	12798.875938833837
2.54	12846.78286107305	13420.592696974825	12823.364918063759	13397.174753965533	12895.398686355635	12871.980743346343	12823.413202470765	13397.22303837254	12895.400881103677	12872.031222501391	12823.404423478598	12823.452707885604
2.56	12868.526212674376	13451.58690423351	12847.01769893877	13430.078390497903	12916.880863164639	12895.372349429032	12847.02208840991	13430.082779969045	12916.88305791268	12895.378933648215	12847.055009630523	12847.059399101665
2.59	12901.203790333166	13496.70430390825	12880.935308242711	13476.435821817795	12949.172165467622	12928.903683377168	12880.939697738795	13476.440211313879	12949.172165467622	12928.908072873252	12880.977008430535	12880.981397926618
2.61	12922.833015136159	13525.775913404985	12902.553559305496	13505.496457574322	12970.546799697462	12950.267343866799	12902.55794880158	13505.500847070405	12970.546799697462	12950.271733362883	12902.595259468377	12902.59964896446
2.63	12944.214233585197	13553.99376658746	12923.423401885142	13533.202934887406	12991.675622321389	12970.884790621334	12923.42779135627	13533.207324358533	12991.67781706943	12970.891374840503	12923.46510207298	12923.469491544107
2.66	12975.64300060668	13594.688752477625	12953.381688891837	13572.427440762782	13022.733477198402	13000.47216548356	12953.386078362964	13572.431830233909	13022.733477198402	13000.476554954686	12953.42558380276	12953.429973273887
2.68	12995.970740819379	13620.685522389133	12972.49792915897	13597.212710728723	13042.808821610946	13019.336009950537	12972.502318630111	13597.217100199865	13042.808821610946	13019.340399421679	12972.541824069893	12972.546213541034
2.71	13025.66785300881	13658.037909682564	12999.932257889624	13632.302314563378	13072.126242688682	13046.390647569497	12999.936647385708	13632.306704059461	13072.126242688682	13046.39503706558	12999.978347573531	12999.982737069615
2.73	13044.773119560705	13681.817985844158	13017.424385903869	13654.469252187322	13090.970334423298	13063.621600766463	13017.428775399952	13654.473641683406	13090.970334423298	13063.625990262546	13017.472670310875	13017.477059806959
2.76	13072.301822382244	13715.81899549879	13042.466441191005	13685.983614307552	13118.095203929654	13088.259822738415	13042.470830687089	13685.988003803635	13118.095203929654	13088.264212234499	13042.516920346054	13042.521309842137
2.79	13098.395161157663	13747.829370302017	13066.10605357778	13715.540262722134	13143.76495668247	13111.475849102586	13066.110443073863	13715.544652218217	13143.76495668247	13111.48023859867	13066.156532732814	13066.160922228897
2.82	13122.980709201584	13777.868862911375	13088.35639157737	13743.244545287162	13167.9005817273	13133.276264103086	13088.358586300455	13743.246740010247	13167.898386979257	13133.27626407813	13088.409065505402	13088.411260228488
2.85	13146.012376880011	13805.968199799434	13109.219649912877	13769.1754728323	13190.451599959008	13153.658872991873	13109.221844660919	13769.177667580341	13190.451599959008	13153.661067739915	13109.276713312036	13109.278908060078
