10A1_6A1	11A1_5A1	7B1_10A1	7B1_11A1	11B1_5A1	11B1_6A1	11B1_7B1	7B2_10A1	7B2_11A1	11B2_5A1	11B2_6A1	11B2_7B2	7A2_11B1	7A2_11B2	11A2_7B1	11A2_7B2	11A2_7A2
4.17e-08	266685023769645.66	402221990942317.56	237997109881714.1	351109538754778.4	288789571791664.5	266365033492056.9	237677119604125.34	237996696457254.78	351109125330319.1	288789985216123.8	266365446916516.22	237677119604125.34	260957032432928.22	260957445857387.53	238261287899614.66	238260874475155.38	261541200728417.56
4.3099999999999996e-08	262434196850496.56	387228751397547.8	234979113722173.4	338692758394974.0	289129406429191.1	268048496554940.5	240593413426617.34	234979113722173.4	338692758394974.0	289129406429191.1	268048496554940.5	240593413426617.34	264060607385017.84	264060607385017.84	235295796608786.06	235295796608786.06	258762990567186.6
4.46e-08	260387747403870.66	373016470040423.56	235573204199979.47	328668876910662.9	289933516363052.3	270400466437182.75	245585923233291.56	235573204199979.47	328668876910662.9	289933516363052.3	270400466437182.75	245585923233291.56	268733540338565.38	268733540338565.38	235935363739501.53	235935363739501.53	259082980844775.34
4.64e-08	260295553819978.34	358374641008638.9	240192392016135.34	320693098570817.56	291241590313123.7	273663209679145.38	253560047875302.38	240192392016135.34	320693098570817.56	291241590313123.7	273663209679145.38	253560047875302.38	275749347845649.84	275749347845649.84	240595480544212.78	240595480544212.78	262784780514560.25
4.85e-08	262194410856885.2	344273984170888.25	248232251100151.1	315064742453558.8	292939523222680.75	277692441262085.47	263730281505351.38	248232251100151.1	315064742453558.8	292939523222680.75	277692441262085.47	263730281505351.38	284824834372655.9	284824834372655.9	248669653830138.88	248669653830138.88	269764206697443.38
5.11e-08	266040908969877.84	330533833165417.6	258363622854541.8	310444314359324.0	294820189592783.1	282407956902025.6	274730670786689.53	258363622854541.8	310444314359324.0	294820189592783.1	282407956902025.6	274730670786689.53	294634562161022.75	294634562161022.75	258828311580033.9	258828311580033.9	278732202954367.06
5.4299999999999997e-08	271426171707250.16	317957057671519.9	268306473210655.3	305711021477044.2	296181595260485.25	287055257562604.4	283935559066009.5	268306473210655.3	305711021477044.2	296181595260485.25	287055257562604.4	283935559066009.5	295780987274462.56	295780987274462.56	268779430415931.34	268779430415931.34	280624858624384.38
5.8499999999999994e-08	277789595934788.34	306704893091957.06	276846162066293.78	300327412446908.5	296012918208050.94	290578871431496.94	289635437563002.4	276846162066293.78	300327412446908.5	296012918208050.94	290578871431496.94	289635437563002.4	295260899713744.3	295260899713744.3	277361701957962.4	277361701957962.4	282987164108704.4
6.440000000000001e-08	284105476382422.3	297485534965963.6	283526682600202.9	295253044658419.6	293487310193960.5	291833613668636.0	291254819886416.56	283526682600202.9	295253044658419.6	293487310193960.5	291833613668636.0	291254819886416.56	292409100059879.3	292409100059879.3	284055038640705.06	284055038640705.06	285209318814167.8
7.37e-08	287612966716206.3	292694362711101.2	288092538708127.4	291834440517554.56	291428458022963.06	290088963837495.4	290568535829416.5	288092538708127.4	291834440517554.56	291428458022963.06	290088963837495.4	290568535829416.5	288775928793912.3	288775928793912.3	288623788715143.7	288623788715143.7	286831181679639.5
9.28e-08	288601463813151.0	291335437594850.5	288635778015061.3	289942611696453.2	290692976492922.6	289265836392614.94	289300150594525.3	288635778015061.3	289942611696453.2	290692976492922.6	289265836392614.94	289300150594525.3	289105427829361.25	289105427829361.25	288893754675474.5	288893754675474.5	288699031910310.44
