10A1_6A1	11A1_5A1	7B1_10A1	7B1_11A1	11B1_5A1	11B1_6A1	11B1_7B1	7B2_10A1	7B2_11A1	11B2_5A1	11B2_6A1	11B2_7B2	7A2_11B1	7A2_11B2	11A2_7B1	11A2_7B2	11A2_7A2
2.12e-08	395408761260420.06	800742182210149.1	432281646095330.6	514186340999406.5	729704754019662.0	406276027974008.9	443148912808919.44	432281646095330.6	514186340999406.5	729703927170743.5	406275201125090.25	443148085960000.8	443221262032871.1	443220435183952.5	432286607184138.5	432286607184138.5	432358956408090.1
2.13e-08	398261387763198.1	786539823030646.0	424012336624482.3	504303023718411.1	717060176966161.2	409072428792642.2	434823377653926.3	424012336624482.3	504303023718411.1	717058936692783.2	409071188519264.3	434822137380548.44	434938309564270.6	434937069290892.7	424016884288833.56	424016884288833.56	424131816199177.8
2.1400000000000003e-08	401051173799887.5	773043592268080.9	426207205334441.5	505062483848281.44	704943955953157.1	411806815998803.7	436962847533357.7	426207205334441.5	505062483848281.44	704942715679779.1	411805575725425.8	436961607259979.75	426231183934274.06	426229943660896.2	426212166427953.1	426212166427953.1	415480502828869.5
2.15e-08	412594802392855.2	760390333310336.8	428956475807034.75	506989867149369.44	693106382804732.5	423344243229585.6	439705916643765.2	428956475807034.75	506989867149369.44	693103075413759.1	423340935838612.3	439702609252791.8	417155283982811.5	417151976591838.2	429010220944426.44	429010220944426.44	406459588283472.75
2.15e-08	412594802392855.2	760390746734796.1	428956062382575.44	506989867149369.44	693106796229191.8	423344656654044.94	439705916643765.2	428956062382575.44	506989867149369.44	693103488838218.5	423341349263071.56	439702609252791.8	417155283982811.5	417151976591838.2	429010220944426.44	429010220944426.44	406459588283472.75
2.16e-08	406474471554605.56	747976446921744.8	431749569244096.8	508157790320587.1	682212243524797.0	417118489234148.1	442393586923639.4	431749569244096.8	508157790320587.1	682211003251419.1	417117248960770.2	442392346650261.5	415251879286254.44	415250639012876.56	431754530332904.7	431754530332904.7	404612822695519.75
2.17e-08	409098474514768.56	736408012884724.1	440831257128587.5	516267104652641.1	671550448607607.6	419676757761705.56	451409540375524.5	440831257128587.5	516267104652641.1	671549208334232.4	419675517488330.44	451408300102149.4	426028606113788.2	426027365840413.0	440810172499970.0	440810172499970.0	415429238238233.7
2.1800000000000003e-08	411663771248734.9	725460541887160.8	437071991505978.25	511706623062687.5	661362437739914.5	422200298658197.9	447608518915441.25	437071991505978.25	511706623062687.5	661361197466536.6	422199058384819.94	447607278642063.4	420353533065546.56	420352292792168.6	437076952594788.8	437076952594788.8	409821966744894.1
2.19e-08	414171188605420.2	715119564096478.6	439652584935531.1	513659225236980.56	651596532911320.9	424654797721711.8	450136194051822.75	439652584935531.1	513659225236980.56	651595706062402.2	424653970872793.2	450135367202904.1	422819194580056.8	422818367731138.25	439657546024341.7	439657546024341.7	412340546552575.8
2.2000000000000002e-08	416620313155664.3	705368955963474.5	442178606369379.9	515732547249953.1	642246946188795.9	427052244261559.06	452610537475274.6	442178606369379.9	515732547249953.1	642245705915418.0	427051003988181.1	452609297201896.7	425227390146441.06	425226149873063.2	442183980882647.0	442183980882647.0	414800833553813.44
2.21e-08	419010731484404.44	696192180523873.6	444650882675233.5	517926175691235.5	633297554018434.9	429391397994967.75	455031549185796.9	444650882675233.5	517926175691235.5	633296313745057.0	429390157721589.9	455030308912418.94	427578533179767.5	427577292906389.56	444656257188503.4	444656257188503.4	417203241182474.0
2.2200000000000004e-08	421342030162488.5	687571047110882.6	447069000423940.0	520238870282756.8	624730992591751.5	431671845502174.2	457398815763625.75	447069000423940.0	520238870282756.8	624729752323074.6	431670605233497.4	457397575494948.9	429871796835807.5	429870556567130.6	447074374937209.9	447074374937209.9	419547356009391.6
2.23e-08	423613795765454.44	679488191925414.2	449433373030559.25	522668150477764.06	616533618920395.5	433894000207640.44	459713577472745.25	449433373030559.25	522668150477764.06	616532378651715.9	433892759938960.9	459712337204065.7	432107594534324.8	432106354265645.2	449438747543826.4	449438747543826.4	421832764605405.94
2.2400000000000002e-08	425826028288601.2	671922943749210.1	451743587070623.7	525208228338519.8	608689309455160.8	436057035262447.9	461974594044470.4	451743587070623.7	525208228338519.8	608688482606242.1	436056208413529.25	461973767195551.75	434284686011343.7	434283859162425.06	451748961583890.8	451748961583890.8	424059053550764.1
2.25e-08	427978314312170.5	664854217948951.5	453999642558242.0	527852902507544.8	601184007773832.9	438161364086354.7	464182692332426.2	453999642558242.0	527852902507544.8	601182767505156.0	438160123817677.9	464181452063749.4	436403898106380.56	436402657837703.7	454005017071511.9	454005017071511.9	426226222845466.25
