7A1_2A1	8A1_2A1	2B1_7A1	2B1_8A1	9B1_2A1	9B1_2B1	2B2_7A1	2B2_8A1	9B2_2A1	9B2_2B2	9A2_2B1	9A2_2B2
2.2400000000000002e-08	2132120851602344.0	2183566110216305.5	2063492445822461.5	2114937704436422.8	2146319489966414.5	2077691084186531.8	2063493272671380.0	2114938531285341.5	2146319076541957.8	2077691497610994.0	2115401566312996.2	2115402393161915.0
2.25e-08	2137352733982868.5	2184444636496412.0	2070370169672988.8	2117462072186532.0	2147570097963664.2	2080587533653784.2	2070370996517206.2	2117462899030749.5	2147570097963664.2	2080588360498001.8	2117925107214187.0	2117925934058404.5
2.2599999999999997e-08	2137765744693268.2	2181301372829145.0	2076456186309333.5	2119991814445210.0	2144808011342240.2	2083498452958305.2	2076457426582711.5	2119993054718588.0	2144808011342240.2	2083499693231683.2	2120454022623949.0	2120455262897327.0
2.27e-08	2137901347807770.8	2178567812471902.0	2081859226279648.8	2122525690943780.0	2142464309944480.2	2086422188416358.2	2081860466553026.8	2122526931217158.0	2142463896520023.5	2086423015265279.5	2122987485698057.0	2122988725971435.0
2.29e-08	2137670243718402.5	2174237194697938.5	2091031040630436.2	2127597991609972.5	2138938628953296.5	2092299425865330.2	2091031867474654.0	2127598818454190.0	2138938628953296.5	2092300252709547.8	2128058546095572.5	2128059372939790.0
2.2999999999999998e-08	2137441620171089.2	2172595074048069.8	2094978827656021.2	2130132281533001.8	2137714480097934.0	2095251687582866.0	2094980067929399.0	2130133521806379.5	2137714480097934.0	2095252927856244.0	2130592422594142.5	2130593662867520.5
2.3100000000000002e-08	2137212583208718.8	2171278731618214.2	2098602903593288.2	2132669052002784.0	2136827271918285.2	2098217592302855.0	2098603730442207.0	2132669878851702.8	2136826858493823.2	2098218005727311.5	2133123405121497.2	2133124231970416.0
2.32e-08	2137010832227749.2	2170255920314661.0	2101949985359120.2	2135195073446032.0	2136271216457816.8	2101210369589188.0	2101950398783579.8	2135195486870491.5	2136271216457816.8	2101210783013647.2	2135649013140286.2	2135649426564745.5
2.33e-08	2136869441175517.5	2169512997153755.2	2105071337548854.0	2137714893527091.8	2136108327352508.2	2104310223725844.8	2105071750973313.2	2137715306951551.0	2136108327352508.2	2104310637150304.2	2138168006372427.0	2138168419796886.5
2.3500000000000002e-08	2136834713549148.0	2168789504923635.2	2110774110012355.5	2142728901386842.8	2142137291455789.8	2116076687918997.2	2110774523436814.8	2142729314811302.0	2142137291455789.8	2116077101343456.8	2143181187387957.8	2143181600812417.2
2.36e-08	2136959981056871.5	2168772967954665.2	2113410102272439.0	2145223089170232.5	2147573818779096.8	2124023939994664.2	2113410929121357.5	2145223916019151.2	2147573818779096.8	2124024766843582.8	2145672067775676.0	2145672894624594.5
2.37e-08	2137186124062130.2	2168963969904396.5	2115928268660362.5	2147706114502628.8	2152900788710028.0	2131642933308260.0	2115928682084821.8	2147706527927088.0	2152900788710028.0	2131643346732719.2	2148151785717098.8	2148152199141558.0
2.3799999999999998e-08	2137514796243959.5	2169353828859178.5	2118341011886399.8	2150180044501618.5	2158053707079955.8	2138879922722396.0	2118341838735318.2	2150180871350537.0	2158053707079955.8	2138880749571314.5	2150619100929443.5	2150619927778362.2
2.4e-08	2138470632836831.0	2170639164487499.0	2122906867994324.2	2155075399644992.0	2167693104127450.5	2152129339284943.8	2122907694838541.8	2155076226489209.5	2167693104127450.5	2152130166129161.2	2155513629223898.5	2155514456068116.0
2.41e-08	2139092009305440.2	2171513556523015.2	2125078584953372.0	2157500132170947.0	2172162218982430.5	2158148794630362.2	2125079411802290.8	2157500959019865.5	2172162218982430.5	2158149621479280.8	2157937948325394.0	2157938775174312.5
2.4300000000000003e-08	2140602247656242.2	2173666255975744.8	2129246727041788.0	2162310735361290.8	2180406309584772.0	2169050788970318.0	2129247553890706.5	2162311562210209.2	2180406309584772.0	2169051615819236.5	2162744417275845.8	2162745244124764.5
2.44e-08	2141484494756482.5	2174925132457477.0	2131251420660339.2	2164692058361333.8	2184206917625099.8	2173973843528956.8	2131251834084798.5	2164692471785793.0	2184206917625099.8	2173974256953416.0	2166143177061471.2	2166143590485930.5
2.46e-08	2143475958797037.2	2177754193784881.8	2135129752433184.8	2169407987421029.2	2191238435247532.0	2182892228883679.5	2135130165857644.0	2169408400845488.8	2191238435247532.0	2182892642308139.0	2174039577961562.2	2174039991386021.5
2.4700000000000003e-08	2144591790524002.0	2179321898088505.2	2137002563747965.2	2171732671312468.2	2194533838998268.8	2186944612222232.0	2137003390596884.0	2171733498161387.0	2194533838998268.8	2186945439071150.5	2177631406819212.8	2177632233668131.5
2.49e-08	2146979314881529.8	2182664018765523.8	2140675010304653.2	2176359714188647.2	2200680215553946.5	2194375910977069.8	2140675837153571.8	2176360541037565.8	2200680215553946.5	2194376737825988.5	2184248673462573.8	2184249500311492.5
2.5e-08	2148258862562721.8	2184440088832063.5	2142471338150889.0	2178652564420230.5	2203591961707389.0	2197804437295556.0	2142471751575348.2	2178652977844690.0	2203591961707389.0	2197804850720015.2	2187322068452642.2	2187322481877101.8
