R	12B1_8B1	12B2_8B2	8A2_12B1	8A2_12B2	12A2_8B1	12A2_8B2	12A2_8A2
Intensities	2.724493166915137e-06	2.724493166915137e-06	7.993284164813295e-07	7.993284164813295e-07	7.176362072834912e-07	7.17593146742734e-07	1.0258239174683852e-05
2.12	3276.4818826302653	3276.4752983861545	3133.4217345490324	3133.4151503049216	3208.8463858945324	3208.8463858945324	3065.7862378132995
2.13	3293.769899226405	3293.7633149822796	3150.481497523564	3150.4749132794386	3226.4680039434024	3226.4680039434024	3083.1796022405615
2.15	3206.8140508054057	3206.798687569113	3183.7823831519345	3183.767019915642	3140.1639951666	3140.1639951666	3117.132327513129
2.16	3159.306572385307	3159.2999881411815	3160.54440930736	3160.537825063235	3092.985728703148	3092.985728703148	3094.2235656252014
2.17	3052.797729211248	3052.791144967123	3054.312104161916	3054.3055199177907	2986.830239664283	2986.830239664283	2988.344614614951
2.19	3014.115325652907	3014.1065466856817	3016.0796236026654	3016.07084463544	2948.7228596435743	2948.7228596435743	2950.687157593333
2.2	2966.1930402273138	2966.186455983174	2968.442655172883	2968.4338761807157	2901.103449198141	2901.105643946168	2903.35306414371
2.22	2872.821948347424	2872.815364128255	2875.732181954343	2875.7255977351742	2808.32713358826	2808.32713358826	2811.237367195179
2.23	2827.7681963159703	2827.763806819901	2831.066900001795	2831.0603157576697	2763.563088073657	2763.5652828217135	2766.861791759482
2.25	2741.6353777616314	2741.6287935424625	2745.8624591452244	2745.8558749260555	2677.9965140647837	2677.9965140647837	2682.2235954483767
2.26	2700.7516436896403	2700.7450594455295	2705.5383853745734	2705.5318011304626	2637.391512769449	2637.391512769449	2642.178254454382
2.28	2623.720438075572	2623.7138538314466	2629.8569487328496	2629.8481697406824	2560.9002147243446	2560.9024094723864	2567.036725381622
2.3	2553.374429654941	2553.367845410816	2561.2360109251167	2561.2294266809913	2491.080945409398	2491.080945409398	2498.9425266795733
2.31	2520.859263226448	2520.850484234281	2529.7216487799305	2529.7128697877633	2458.818174830958	2458.818174830958	2467.6805603844405
2.33	2462.029088645024	2462.0334781411075	2472.5375339318416	2472.541923427925	2400.497181370898	2400.497181370898	2411.0056266577158
2.35	2440.8190603934927	2440.8234498895763	2423.5200700571586	2423.524459553242	2379.7634130700026	2379.7634130700026	2362.4644227336685
2.36	2444.084842908589	2444.089232379716	2402.2420047161577	2402.2463941872847	2383.2596439298068	2383.2596439298068	2341.4168057373754
2.38	2450.8249087781296	2450.8271035261714	2365.9782115777925	2365.9804063258343	2390.445243327311	2390.445243327311	2305.598546126974
2.4	2456.838513644907	2456.8407083929487	2337.920574877571	2337.922769625613	2396.8846289896755	2396.8846289896755	2277.96669022234
2.42	2461.945688294305	2461.9478830423614	2317.386528498697	2317.388723246753	2402.397831702314	2402.397831702314	2257.8386719067057
2.44	2466.1639906857454	2466.166185433787	2308.614127540044	2308.616322288086	2407.0024094246037	2407.0024094246037	2249.4525462789024
2.46	2469.5263420148403	2469.528536762882	2316.1991707566485	2316.2013655046903	2410.729088629101	2410.729088629101	2257.4019173709094
2.48	2472.0744424694567	2472.0788319655258	2322.8426678121905	2322.8448625602177	2413.621764251686	2413.6239589997276	2264.3899895944196
2.5	2473.849992212432	2473.852186960474	2328.5709556332295	2328.5731503812713	2415.724331203266	2415.724331203266	2270.4452946240635
2.52	2474.8837177413225	2474.8859124893643	2333.4081764981674	2333.4103712462093	2417.063126460358	2417.063126460358	2275.587585217203
2.54	2475.2085402018856	2475.2107349249854	2337.3740830644674	2337.3762777875672	2417.675460689745	2417.675460689745	2279.8410035523266
2.56	2474.8442123015266	2474.8464070495684	2340.4906228125765	2340.4928175606183	2417.567918110566	2417.567918110566	2283.214328621616
2.59	2473.064273037511	2473.066467785553	2343.613746779869	2343.6159415279108	2416.156696218037	2416.156696218037	2286.7061699603946
2.61	2471.0780276572477	2471.0780276572477	2344.684782975557	2344.684782975557	2414.394314963298	2414.394314963298	2288.001070281607
2.63	2468.4640847863775	2468.4662795344047	2344.965710500255	2344.965710500255	2411.988873006616	2411.991067754643	2288.4904987204936
2.66	2463.3964155767317	2463.3986103247735	2343.934179719392	2343.934179719392	2407.20432606971	2407.206520817752	2287.7420902123704
2.68	2459.263708309023	2459.265903057065	2342.299093751237	2342.299093751237	2403.245003747521	2403.2471984955628	2286.2803891897347
2.71	2451.9530083729915	2451.9530083729915	2338.4582877234643	2338.4582877234643	2396.1713364252646	2396.1713364252646	2282.6766157757374
2.73	2446.3498210904654	2446.3520158135507	2334.997172807358	2334.997172807358	2390.7108076406585	2390.7130023637437	2279.358159357551
2.76	2436.8575433482183	2436.857543323262	2328.474386794289	2328.472192046247	2381.4138623243634	2381.4160570474487	2273.030705770434
2.79	2426.0835337730095	2426.0835337480385	2320.404304659838	2320.4021099117817	2370.817627190758	2370.819821913843	2265.1383980775863
2.82	2414.049739795315	2414.0519345433568	2310.8286265419156	2310.8286265419156	2358.948439191401	2358.950633939443	2255.7273259380017
2.85	2400.784693139707	2400.786887887749	2299.8044158896373	2299.8044158896373	2345.8370247739076	2345.8392195219494	2244.856747523838
2.88	2386.3191203036986	2386.316925555657	2287.3821518330515	2287.3799570850097	2331.5163051838463	2331.5163051838463	2232.579336713199
2.91	2370.6793581639795	2370.6815529120213	2273.6123135521775	2273.6123135521775	2316.0235910381307	2316.0257857861725	2218.9565464263287
2.94	2353.9136911774403	2353.9114964293985	2258.5563539422583	2258.5541591942165	2299.398387826397	2299.398387826397	2204.041050591215
2.97	2336.0616247589205	2336.0616247589205	2242.2779206216073	2242.2757258735655	2281.6933694268373	2281.695564174879	2187.909665289524
3.01	2310.6574363444233	2310.6574363444233	2218.780966732753	2218.780966732753	2256.4932924054883	2256.4932924054883	2164.616822793818
3.04	2290.4723546046735	2290.4723546046735	2199.90175905441	2199.90175905441	2236.4728166440764	2236.4728166440764	2145.902221093813
3.08	2262.1579326082137	2262.1579326082137	2173.1851123593224	2173.1851123593224	2208.397621984477	2208.397621984477	2119.424801735586
3.12	2232.375225320051	2232.375225320051	2144.855327101628	2144.855327101628	2178.880479009662	2178.880479009662	2091.360580791239
