R	4B1_3A1	4B1_3B1	4B2_3A1	4B2_3B2	4A2_3B1	4A2_3B2
Intensities	0.574059139803915	0.5345060520019693	0.5740598330457727	0.5345088763896118	0.5269258641149364	0.526927930432343
2.0	6165.959760700003	5325.4289912000095	6165.959760700003	5325.433380700008	5308.404344099996	5308.408733599994
2.01	6292.822681099991	5456.306102599992	6292.822681099991	5456.312686799996	5438.238950999992	5438.245535199996
2.02	6414.63329540001	5582.429393400002	6414.63329540001	5582.435977600006	5563.216584299997	5563.223168500001
2.03	6531.501341099996	5703.921769599998	6531.501341099996	5703.928353800002	5683.4557604	5683.462344600004
2.04	6643.521192300002	5820.901747399999	6643.523386999994	5820.910526299995	5799.083774399987	5799.090358599991
2.05	6750.7850282	5933.481258900007	6750.7850282	5933.487843100011	5910.2213376	5910.227921800004
2.06	6853.376249299996	6041.759067499996	6853.376249299996	6041.7656518	6016.980381800007	6016.986966100012
2.07	6951.362892599995	6145.825158099993	6951.362892599995	6145.831742299997	6119.466254999992	6119.472839199996
2.08	7044.795437299996	6245.721230700001	7044.795437299996	6245.727814900005	6217.731631200004	6217.738215400008
2.09	7133.693636199998	6341.554827800006	7133.693636199998	6341.559217300004	6311.897221100007	6311.901610600005
2.1	7218.048710200004	6433.266691500001	7218.048710200004	6433.273275700005	6401.916935400004	6401.923519600008
2.11	7297.805790800005	6520.834874100008	7297.805790800005	6520.841458400013	6487.797358099997	6487.803942400002
2.12	7372.8595300000015	6604.169391200005	7372.8595300000015	6604.175975400009	6569.490204899994	6569.496789099998
2.13	7443.1199433	6683.186842199997	7443.1199433	6683.193426400001	6646.988891500005	6646.995475700009
2.14	7508.336829599997	6757.720426500004	7508.336829599997	6757.727010700008	6720.210017500009	6720.216601700013
2.15	7568.545304899992	6827.662601699994	7568.521162699995	6827.645043700002	6789.144804099997	6789.151388300001
2.16	7623.503946900004	6892.839982500009	7623.503946900004	6892.844372000007	6853.766914100008	6853.771303600006
2.17	7673.443204300012	6953.478628100012	7673.443204300012	6953.485212300002	6914.7676928	6914.7742769999895
2.18	7717.592720900007	7008.7994032999995	7717.592720900007	7008.8059875000035	6970.158699899999	6970.165284100003
2.19	7756.874290100008	7059.71093310001	7756.874290100008	7059.7175174	7022.095176300005	7022.101760599995
2.2	7791.2571857	7106.160543899998	7791.254990899994	7106.164933399996	7070.0372145	7070.043798800005
2.21	7821.059645600006	7148.451110299997	7821.0574509	7148.453305099989	7114.184536400004	7114.188925900002
2.22	7846.667945499998	7186.933791999996	7846.667945499998	7186.9403762	7154.76759019999	7154.774174399994
2.23	7868.4990868999885	7222.001448299998	7868.496892099996	7222.005837799996	7192.058524500011	7192.065108800001
2.24	7886.974461299993	7254.035965399991	7886.972266500001	7254.040354800003	7226.342656599998	7226.349240800002
2.25	7902.4979018999875	7283.408254999988	7902.495707199996	7283.410449800009	7257.916276699994	7257.920666200007
2.26	7915.451294500002	7310.458503200003	7915.4490997999965	7310.462892699987	7287.0668971999985	7287.073481399988
2.27	7926.18360389999	7335.491779499993	7926.18360389999	7335.498363699997	7314.064471399994	7314.071055599998
2.29	7942.1986677000095	7380.563089500007	7942.1986677000095	7380.569673700011	7362.610064799999	7362.616649000003
2.3	7948.0059664	7401.035683099995	7948.0059664	7401.042267299999	7384.58825429999	7384.594838499994
2.31	7952.641270599997	7420.377982199992	7952.641270599997	7420.384566399996	7405.2934908000025	7405.3000750000065
2.32	7956.2955232000095	7438.737034999998	7956.2955232000095	7438.7326455	7424.883796299997	7424.879406799999
2.33	7959.13552489999	7456.240136699998	7959.13552489999	7456.2357472	7443.4952448999975	7443.490855399999
2.35	7962.939020199992	7489.099878299996	7962.939020199992	7489.0976836000045	7478.255636799993	7478.253442100002
2.36	7964.106625299988	7504.60795569999	7964.106625299988	7504.603566199992	7494.575770299998	7494.5713808
2.37	7964.938434099997	7519.609046600002	7964.938434099997	7519.606851899996	7510.312101300005	7510.3099065999995
2.38	7965.561742000005	7534.199720000004	7965.561742000005	7534.195330500006	7525.567782800004	7525.563393300006
2.4	7966.349656000006	7562.248577799997	7966.349656000006	7562.244188299999	7554.7666876	7554.762298100002
2.41	7966.634972999993	7575.792357099999	7966.634972999993	7575.790162399993	7568.808674400003	7568.806479699997
2.43	7967.194633299994	7602.096391500003	7967.194633299994	7602.092002000005	7595.981828300006	7595.977438800008
2.44	7967.591882399996	7614.907125700003	7967.591882399996	7614.9049308999965	7609.172253600002	7609.170058799995
2.46	7968.733150400003	7639.9733232	7968.733150400003	7639.971128400008	7634.907848799994	7634.905654000002
2.47	7969.747123299996	7652.259512999997	7969.747123299996	7652.257318300006	7647.4881344999885	7647.485939799997
2.49	7971.856274400008	7676.42147500001	7971.856274400008	7676.419280200003	7672.174640900004	7672.172446099998
2.5	7973.201654000004	7688.321389500008	7973.201654000004	7688.319194700001	7684.307198499999	7684.305003699992
2.52	7976.520110400001	7711.629595199993	7976.520110400001	7711.811759100005	7708.032405999998	7708.21456990001
2.54	7980.718660099999	7734.768805399988	7980.718660099999	7734.953164099992	7731.529359799999	7731.713718500003
2.55	7983.150438900004	7746.218796900008	7983.150438900004	7746.218796900008	7743.139567799997	7743.139567799997
2.57	7988.7009523000015	7768.923447300011	7988.7009523000015	7768.925642000002	7766.136119500006	7766.138314199998
2.59	7995.144727399995	7791.388870399998	7995.144727399995	7791.388870399998	7788.856133199995	7788.856133199995
2.61	8002.464206299992	7813.639208399996	8002.464206299992	7813.639208399996	7811.330335300008	7811.330335300008
2.63	8010.619883499996	7835.696408699994	8010.619883499996	7835.696408699994	7833.585062800004	7833.585062800004
2.65	8019.583227499999	7857.573639900002	8019.583227499999	7857.573639900002	7855.637873700005	7855.637873700005
2.67	8029.310343099991	7879.2840702999965	8029.310343099991	7879.2862650000025	7877.499741599997	7877.501936300003
2.69	8039.485186899998	7900.832089399992	8039.485186899998	7900.834284199998	7899.186029699995	7899.1882245000015
2.71	8050.584019000002	7922.217697400003	8050.584019000002	7922.2198920999945	7920.694543500009	7920.6967382
2.74	8068.370243000012	7954.010792300003	8068.370243000012	7954.012987000009	7952.647854900002	7952.650049600008
2.76	8080.902244299999	7974.999151100012	8080.902244299999	7974.999151100012	7973.730587800004	7973.730587800004
2.79	8100.600092399996	8006.171132799995	8100.600092399996	8006.173327600001	8005.023280499998	8005.0254753000045
2.81	8114.260193299997	8026.738100400005	8114.260193299997	8026.740295099997	8025.662674799998	8025.664869499989
2.84	8135.428521499998	8057.2582425	8135.428521499998	8057.260437199991	8056.274996100008	8056.2771907999995
2.87	8157.279415600002	8087.359188000002	8157.279415600002	8087.361382700008	8086.457147299996	8086.459342000002
2.89	8172.159795500003	8107.184331299999	8172.159795500003	8107.184331299999	8106.330575	8106.330575
2.92	8194.855666999996	8136.541257799996	8194.855666999996	8136.543452499987	8135.748954399998	8135.75114909999
2.96	8225.678683999999	8174.962486499993	8225.678683999999	8174.962486499993	8174.240414999993	8174.240414999993
2.99	8249.00444769999	8203.171560699993	8249.00444769999	8203.1737554	8202.493384100002	8202.495578800008
3.02	8272.431169699994	8230.856090600006	8272.431169699994	8230.856090600006	8230.215224600004	8230.215224600004
3.06	8303.70630450001	8266.942109199998	8303.70630450001	8266.942109199998	8266.3429435	8266.3429435
3.09	8327.038652399991	8293.329543999993	8327.038652399991	8293.329543999993	8292.756715199997	8292.756715199997
