R	4B1_5A1	4B1_6A1	7B1_4B1	4B2_5A1	4B2_6A1	7B2_4B2	4A2_7B1	4A2_7B2	7A2_4B1	7A2_4B2
Intensities	5.5075592223577055e-06	1.4441068644811894e-06	8.813812652560861e-05	5.5075592223577055e-06	1.4440457802802981e-06	8.813812652560861e-05	1.1457273097436508e-06	1.1457273097436508e-06	1.5057752982267183e-06	1.5057752982267183e-06
2.0	3010.755169099997	24.190493699992658	626.501304999998	3010.755169099997	24.190493699992658	626.501304999998	643.5259521000116	643.5259521000116	3021.2855617999885	3021.2855617999885
2.01	2884.752589200012	27.083169300007285	643.4666939000017	2884.752589200012	27.083169300007285	643.4666939000017	661.5338455000019	661.5338455000019	2895.2610344999994	2895.2610344999994
2.02	2763.699162299992	30.24360399998841	658.4765638999961	2763.699162299992	30.24360399998841	658.4765638999961	677.6893730000011	677.6893730000011	2774.181270599991	2774.181270599991
2.03	2647.4632035999966	33.693745199998375	671.2631559000001	2647.4632035999966	33.693745199998375	671.2631559000001	691.7291650999978	691.7291650999978	2657.918974900007	2657.918974900007
2.04	2535.9196123	37.459929799995734	681.530178999994	2535.917417600009	37.457735100004356	681.5279843000026	703.3481520000059	703.3481520000059	2546.349046699994	2546.3468520000024
2.05	2428.9542618999985	41.57288439999684	688.9506162999896	2428.9542618999985	41.57288439999684	688.9506162999896	712.2105375999963	712.2105375999963	2439.352969899992	2439.352969899992
2.06	2326.457414900011	46.06553010000789	693.2128136000101	2326.457414900011	46.06553010000789	693.2106188000034	717.9914992999984	717.9893044999917	2336.82759120001	2336.82759120001
2.07	2228.3412816000055	50.983956500000204	694.0534014000004	2228.3412816000055	50.983956500000204	694.0534014000004	720.4123045000015	720.4123045000015	2238.6785366999975	2238.6785366999975
2.08	2134.5312405000004	56.38742199999979	691.3341108000022	2134.5312405000004	56.38742199999979	691.3341108000022	719.3237102999992	719.3237102999992	2144.831184900002	2144.831184900002
2.09	2045.0075389999984	62.36371619999409	685.1383419999911	2045.0075389999984	62.36371619999409	685.1361472999997	714.7959486999898	714.7937539999984	2055.24822519999	2055.24822519999
2.1	1959.7153082000004	69.03135540000221	675.7689700000046	1959.7153082000004	69.03135540000221	675.7689700000046	707.1187261000014	707.1187261000014	1969.9186838000023	1969.9186838000023
2.11	1878.7181960999878	76.54616669999086	663.8163816999877	1878.7181960999878	76.54616669999086	663.8163816999877	696.8538976999989	696.8538976999989	1888.8842608999985	1888.8842608999985
2.12	1802.0996026999928	85.11226149999129	650.0860487999889	1802.0996026999928	85.11226149999129	650.0860487999889	684.7652350999997	684.7652350999997	1812.2261620999925	1812.2261620999925
2.13	1729.9451233	94.92936170000758	635.6336444000044	1729.9451233	94.92936170000758	635.6314496999985	671.8315950999968	671.8294003999908	1740.0277878000052	1740.0277878000052
2.14	1662.4457009000034	106.26742119999835	621.4687518999999	1662.4457009000034	106.26742119999835	621.4687518999999	658.9791608999949	658.9791608999949	1672.4537440999993	1672.4537440999993
2.15	1552.6535172000004	120.56619320000755	608.6360702000093	1552.6776593999966	120.59033540000382	608.6558229000075	647.153867800007	647.1494783000089	1609.6071837000054	1609.6313259000017
2.16	1541.7500175999885	134.44576889999735	598.1166511999909	1541.7500175999885	134.44576889999735	598.1144563999987	637.1897195999918	637.1875247999997	1551.6592971999926	1551.6592971999926
2.17	1488.5252249999903	151.40237869998964	591.2756268999947	1488.5252249999903	151.40237869998964	591.2734321999887	629.986562200007	629.9843675000011	1454.8051428999897	1454.8051428999897
2.18	1440.7521822999988	171.11120049998863	586.7171388999996	1440.7521822999988	171.11120049998863	586.7127494000015	625.3578422999999	625.3534528000018	1450.5561139999918	1450.5561139999918
2.19	1397.5222645999893	192.7557885999995	586.622764899992	1397.5222645999893	192.7557885999995	586.618375399994	624.2385216999974	624.2341321999993	1407.2669380999869	1407.2669380999869
2.2	1358.8815611000027	216.47660650000034	590.3779757000011	1358.8837559000094	216.47880130000704	590.3757810000097	626.5013050999987	626.4969156000006	1368.5691712999978	1368.5713661000045
2.21	1324.5337815999956	242.05637469999783	597.8028024999949	1324.5359763000015	242.05856940000376	597.8028024000087	632.069376399988	632.0671815999958	1334.1577440999972	1334.1599388000031
2.22	1294.1211820000026	269.22733389999485	608.5746172999934	1294.1211820000026	269.22733389999485	608.5702277999953	640.7408190999995	640.7364296000014	1303.677107399999	1303.677107399999
2.23	1267.2552926000062	297.6756354000099	622.2742237000057	1267.2574873999984	297.67783020000206	622.2720289999997	652.2171474999923	652.2127579999942	1276.7387914000137	1276.7409862000059
2.24	1243.5498378000048	327.09620949999953	638.451698600009	1243.552032599997	327.09840429999167	638.4495040000038	666.1450074000022	666.1406180000049	1252.9587152000022	1252.9609099999943
2.25	1222.6361004000064	357.1971551000024	656.6571193000127	1222.6382950999978	357.1993497999938	656.6549244999915	682.1490976000059	682.1447080999933	1231.9659669000102	1231.9681616000016
2.26	1204.171699700004	387.7063233999943	676.462509799996	1204.1738944000099	387.7085181000002	676.4603150000039	699.8541158000007	699.8497263000027	1213.4159710999957	1213.4181658000016
2.27	1187.8537610000058	418.3888767000026	697.4903742000024	1187.8537610000058	418.3888767000026	697.4859847000043	718.9176823000016	718.9132928000035	1197.0102426000085	1197.0102426000085
2.29	1160.6081803999987	479.4950031999906	741.9098444999981	1160.6081803999987	479.4950031999906	741.9032602999941	759.8628692000057	759.8562850000017	1169.5715243000013	1169.5715243000013
2.3	1149.2459787999978	509.61131180000666	764.7681272000045	1149.2459787999978	509.61131180000666	764.7637377000065	781.2155560000101	781.211166500012	1158.101780099998	1158.101780099998
2.31	1139.1677038000053	539.2776976000023	787.7778474000079	1139.1677038000053	539.2776976000023	787.7734579000098	802.8623387999978	802.8579492999997	1147.8918203000067	1147.8918203000067
2.32	1130.188996699988	568.399786199996	810.7678148999985	1130.188996699988	568.399786199996	810.7678148999985	824.6210535999999	824.6210535999999	1138.7945968999993	1138.7945968999993
2.33	1122.2023149000015	596.9117354000045	833.6107344000047	1122.2023149000015	596.9117354000045	833.6107344000047	846.3556262000056	846.3556262000056	1130.6784251000063	1130.6784251000063
2.35	1108.7924150000035	651.9011040000041	878.4296486000094	1108.7924150000035	651.9011040000041	878.4296486000094	889.2738901000121	889.2738901000121	1116.989792399996	1116.989792399996
2.36	1103.2331226000097	678.3434074000106	900.2761533000012	1103.2331226000097	678.3434074000106	900.2761533000012	910.3083386999933	910.3083386999933	1111.250530800011	1111.250530800011
2.37	1098.3212804000068	704.0351076000079	921.6398138000077	1098.3212804000068	704.0351076000079	921.6398138000077	930.9367591000046	930.9367591000046	1106.1521351999982	1106.1521351999982
