R	10B1_12A1	10B2_12A1
Intensities	4.356638793699366e-09	4.356638793699366e-09
2.12	1768.6977587636502	1768.6977587636502
2.13	1784.486763620458	1784.4889583684999
2.15	1819.675131042095	1819.675131042095
2.16	1829.795106250007	1829.795106250007
2.17	1841.019038824321	1841.019038824321
2.19	1871.7893819574674	1871.7915766805527
2.2	1885.0302863596735	1885.0302863596735
2.22	1910.307179512558	1910.3093742605997
2.23	1922.3256102789019	1922.3256102789019
2.25	1945.0609871963388	1945.0609871963388
2.26	1955.7494016478595	1955.7494016478595
2.28	1975.6864770336397	1975.688671781667
2.3	1993.56488040369	1993.56488040369
2.31	2001.7183629138017	2001.7183629138017
2.33	2016.072003699519	2016.072003699519
2.35	2027.675627385528	2027.675627385528
2.36	2032.3658002564625	2032.3658002564625
2.38	2039.257303616061	2039.257303616061
2.4	2042.6745236212446	2042.6745236212446
2.42	2042.7206132802094	2042.7206132802094
2.44	2039.812574446274	2039.812574446274
2.46	2034.665894382022	2034.665894382022
2.48	2028.0465395299834	2028.0465395299834
2.5	2020.8828876129119	2020.8828876129119
2.52	2013.754351614567	2013.754351614567
2.54	2007.1174388031504	2007.1174388031504
2.56	2001.2618556955276	2001.2618556955276
2.59	1994.3001204235625	1994.3001204235625
2.61	1990.9553270787874	1990.9553270787874
2.63	1988.6464539610606	1988.6464539610606
2.66	1987.0377049194649	1987.0377049194649
2.68	1987.20670036893	1987.20670036893
2.71	1988.8944602651318	1988.8944602651318
2.73	1990.9465480616782	1990.9465480616782
2.76	1995.3053142279095	1995.3053142279095
2.79	2000.9743439267186	2000.9743439267186
2.82	2007.7670836993348	2007.7670836993348
2.85	2015.5013696829265	2015.5013696829265
2.88	2024.025764312566	2024.025764312566
2.91	2033.175661634872	2033.175661634872
2.94	2042.828155859359	2042.8303506074008
2.97	2052.8559517243993	2052.8559517243993
3.01	2066.5775055733247	2066.5775055733247
3.04	2076.9740188098513	2076.9740188098513
3.08	2090.757025578976	2090.757025578976
3.12	2104.1713149267016	2104.1713149267016
3.16	2116.9315699321014	2116.9315699321014
3.2	2128.620788716842	2128.6098150015896
3.24	2139.1731289395248	2139.1731289395248
3.28	2148.2067047154706	2148.2045099674287
3.33	2156.963742462787	2156.963742462787
3.37	2161.7021997157717	2161.7021997157717
3.42	2164.526838198988	2164.526838198988
3.47	2163.848661578275	2163.848661578275
3.53	2158.565907235301	2158.565907235301
3.58	2150.763584137283	2150.763584137283
3.64	2137.9023708218156	2137.9023708218156
3.7	2121.9312020273064	2121.9312020273064
3.77	2100.3502616313053	2100.3502616313053
3.83	2080.108116517338	2080.108116517338
3.9	2055.1582405730587	2055.1582405730587
3.98	2025.8715459429513	2025.8715459429513
4.06	2004.0733257154498	2004.0733257154498
4.14	2008.1906697718368	2008.1906697718368
4.23	2008.820561935645	2008.820561935645
4.32	2004.7866182549187	2004.7866182549187
4.42	1996.1678495343658	1996.1678495343658
4.53	1983.201288387776	1983.201288387776
4.64	1968.0970443458937	1968.0970443458937
4.76	1950.5741898840206	1950.5741898840206
4.89	1931.5172077640746	1931.5172077640746
5.03	1911.7952175116807	1911.7952175116807
5.19	1890.938543420285	1890.938543420285
5.35	1872.1844363054406	1872.1844363054406
5.54	1852.6599732020695	1852.6599732020695
5.74	1835.3126984337869	1835.3126984337869
5.96	1819.587341195307	1819.587341195307
6.21	1805.4312275835691	1805.4312275835691
6.5	1793.0528584379208	1793.0528584379208
6.82	1783.253316219445	1783.253316219445
7.19	1775.4839143170975	1775.4839143170975
7.62	1770.8529996183206	1770.8529996183206
8.14	1767.442363857248	1767.442363857248
8.76	1765.1510487487976	1765.1532434968394
9.55	1763.7573848156317	1763.7573848156317
10.56	1763.0945714561676	1763.0945714561676
11.96	1762.8597335904342	1762.8597335904342
14.03	1762.8136439065274	1762.8158386545692
17.58	1762.8114491834422	1762.813643931484
25.83	1762.8202281506528	1762.8202281506528
