R	10B1_2A1	10B1_2B1	10B2_2A1	10B2_2B2	10A2_2B1	10A2_2B2
Intensities	0.003561992396679815	0.01766684703414594	0.0035615980196171885	0.017666414629188745	0.03224885911919899	0.03224983585715966
2.0	13964.233550199991	11832.728864899997	13964.2313554	11832.72886480001	11180.735581500005	11180.73777620001
2.01	13869.475378699994	11857.764335899992	13869.470989199996	11857.7621412	11189.380687199999	11189.382882000005
2.02	13779.604907300003	11882.7076276	13779.602712499996	11882.709822299992	11198.278188700002	11198.2825782
2.03	13694.477282399996	11907.556545200001	13694.472892899998	11907.554350399994	11207.428086	11207.430280699991
2.04	13613.943261699998	11932.291335999995	13613.938872300001	11932.291336099996	11216.832574	11216.836963499998
2.05	13537.868965599991	11956.907610499999	13537.864576099993	11956.907610499999	11226.500431299995	11226.504820799993
2.06	13466.120514199996	11981.394394899995	13466.116124799999	11981.39439500001	11236.44702159999	11236.451411100003
2.07	13398.568417800008	12005.742910400004	13398.564028399996	12005.74291049999	11246.685513100005	11246.689902600003
2.08	13335.0963549	12029.948767400012	13335.089770599996	12029.946572600005	11257.220295300009	11257.224684800007
2.09	13275.541914000001	12054.003186800008	13275.537524500003	12054.003186800008	11268.071121	11268.075510499999
2.1	13219.8348635	12077.877637099999	13219.828279199995	12077.875442299992	11279.222626999996	11279.227016499994
2.11	13167.843518299997	12101.57431289999	13167.839128799998	12101.57431289999	11290.655060499994	11290.659449999992
2.12	13119.449362500003	12125.088824800012	13119.444973000005	12125.088824800012	11302.333305500011	11302.33769500001
2.13	13074.542658400009	12148.410198900005	13074.536074100004	12148.408004099998	11314.292478000003	11314.296867500001
2.14	13032.636172500002	12171.529656500003	13032.629588299998	12171.527461699996	11326.451372700001	11326.455762099999
2.15	12994.379549799996	12194.449392099996	12994.361991800004	12194.438418300007	11338.816573299991	11338.823157499995
2.16	12959.259219499989	12217.14087409999	12959.252635199999	12217.138679299998	11351.374911599996	11351.379301099994
2.17	12927.114965200002	12239.547038999997	12927.108380899997	12239.544844200005	11367.4711809	11367.475570400013
2.18	12898.014823999998	12261.841271900004	12898.008239799994	12261.839077199998	11377.064417000001	11377.0688065
2.19	12871.660310399995	12283.83262989999	12871.655920899997	12283.83262989999	11390.195584200002	11390.1999737
2.2	12847.996555799997	12305.578176199997	12847.989971600007	12305.575981500006	11403.524278500001	11403.528667999999
2.21	12826.909433399996	12327.066937299998	12826.902849100006	12327.066937200012	11417.0614737	11417.068057900004
2.22	12808.278231999997	12348.292328700001	12808.271647800007	12348.292328700001	11430.820338200007	11430.826922399996
2.23	12791.986630200001	12369.254350599993	12791.980045999997	12369.252155900002	11444.816235399994	11444.820624900007
2.24	12777.9095275	12389.937639700001	12777.905138000002	12389.937639700001	11459.064528300005	11459.068917800003
2.25	12765.9327969	12410.342196099999	12765.926212699997	12410.340001400007	11473.59374879999	11473.598138300003
2.26	12755.933532800002	12430.459240700002	12755.926948499997	12430.459240699987	11488.423649600009	11488.430233899999
2.27	12747.799803000002	12450.288773499997	12747.793218699997	12450.288773499997	11503.595930700001	11503.602515000006
2.29	12736.648296999992	12489.054577499992	12736.639517999996	12489.050187900008	11535.114682399988	11535.1190718
2.3	12733.404462000006	12507.982069500009	12733.397877800002	12507.982069499994	11551.55772160001	11551.564305799999
2.31	12731.57404359999	12526.606686600004	12731.565264599994	12526.602297100006	11568.53188950001	11568.536279000007
2.32	12731.036330700008	12544.908676000006	12731.040720200006	12544.915260299997	11586.1030284	11586.105223199993
2.33	12731.718896899998	12562.912179899999	12731.721091600004	12562.916569400011	11604.3325911	11604.334785900006
2.35	12736.3256693	12597.977641499994	12736.330058799998	12597.984225799999	11643.061084300003	11643.06327910001
2.36	12740.0721012	12615.052767700006	12740.074295999992	12615.059351999997	11663.660973100006	11663.665362600004
2.37	12744.6679	12631.81624	12744.672289499998	12631.822824200004	11685.158513200004	11685.16070790001
2.38	12750.042833700005	12648.254889799995	12750.047223200003	12648.263668799991	11707.591015099999	11707.595404599997
2.4	12762.829425600008	12680.20600640001	12762.833815100006	12680.214785400007	11755.144583100002	11755.1489726
2.41	12770.109399099994	12695.716278499996	12770.111593900001	12695.722862800001	11780.131769800006	11780.136159300004
2.43	12786.135436600001	12725.852339999998	12786.137631300007	12725.858924200002	11832.035325100005	11832.039714600003
2.44	12794.806879199998	12740.482518799996	12794.80907399999	12740.486908299994	11858.670766199997	11858.672960900003
2.46	12813.1900743	12768.88253589999	12813.192269000006	12768.886925400002	11912.584708900002	11912.586903700008
2.47	12822.952305800005	12782.663347900001	12822.954500599997	12782.669932199991	11939.599841200004	11939.604230700003
2.49	12842.90035489999	12809.432668499998	12842.902549699997	12809.439252800003	11993.182377300007	11993.186766800005
2.5	12853.152014799998	12822.427761400002	12853.15420959999	12822.4321509	12019.565422700005	12019.567617400011
2.52	12874.070141799995	12847.630033199996	12874.072336500001	12847.680512300009	12071.135376499995	12071.183660900002
2.54	12895.365765199997	12871.932459000003	12895.365765199997	12871.980743399996	12120.916612100002	12120.964896499994
2.55	12906.08490619999	12883.729220299996	12906.087100899997	12883.7358045	12145.039068600003	12145.0434581
2.57	12927.621951499998	12906.706019300007	12927.624146200003	12906.712603500011	12191.694985400012	12191.69937490001
2.59	12949.137049500001	12928.857593700013	12949.139244199992	12928.864177900003	12236.171519200012	12236.17590870001
2.61	12970.513878400001	12950.223448900011	12970.516073199993	12950.230033200001	12278.464280400003	12278.468669900001
2.63	12991.642701100005	12970.843090400012	12991.642701100005	12970.84747990001	12318.619358700002	12318.6237482
2.65	13012.444506600004	12990.742855100005	13012.444506600004	12990.747244600003	12356.691622800005	12356.696012300003
2.67	13032.844673400003	13009.949080000006	13032.844673400003	13009.953469500004	12392.755694000007	12392.760083500005
2.69	13052.682985200008	13028.481517799999	13052.682985200008	13028.485907299997	12426.897167499992	12426.90155699999
2.71	13072.093321499997	13046.353336900007	13072.093321499997	13046.357726400005	12459.19505400001	12459.199443500009
2.74	13100.139984399997	13071.961636699998	13100.139984399997	13071.966026199996	12504.387075099992	12504.39146459999
2.76	13118.066672299989	13088.229096299998	13118.066672299989	13088.233485799996	12532.427153800003	12532.431543300001
2.79	13143.736424899995	13111.447317400001	13143.736424899995	13111.449512099993	12571.570454100001	12571.572648799993
2.81	13160.001689800003	13126.13675440001	13159.999495099997	13126.138949200002	12595.818011199997	12595.822400699995
2.84	13183.086031300001	13146.99342839999	13183.08383660001	13146.995623199997	12629.588572499997	12629.592961999995
2.87	13204.561623899994	13166.434491199994	13204.561623899994	13166.438880699992	12660.420368499996	12660.424757999994
2.89	13217.97591329999	13178.610943599997	13217.97591329999	13178.615333099995	12679.4400399	12679.444429399999
2.92	13236.730020399991	13195.699238299989	13236.7278257	13195.701433099995	12705.801137799994	12705.805527299992
2.96	13259.3600495	13216.367164199997	13259.357854799993	13216.369359000004	12737.24746269999	12737.251852200003
2.99	13274.310661299998	13230.176508000004	13274.310661299998	13230.178702699995	12758.165589800003	12758.167784499994
3.02	13287.6656926	13242.603161499996	13287.6656926	13242.605356300002	12777.033823599995	12777.036018400002
3.06	13303.042085099994	13257.044592199993	13303.042085099994	13257.046786899999	12799.279772199996	12799.281966900002
3.09	13312.802122000008	13266.326174300004	13312.802122000008	13266.32836900001	12813.997740799998	12813.999935500004
3.13	13323.543210400007	13276.680987400003	13323.543210400007	13276.683182100009	12831.301120699994	12831.3033154
3.17	13331.797651100002	13284.759848400005	13331.799845899994	13284.764237999989	12846.370248699997	12846.37244349999
3.22	13338.748412700006	13291.86863170001	13338.750607499998	13291.873021299994	12862.475297100013	12862.477491900005
3.26	13341.906652699996	13295.367057399999	13341.908847400002	13295.430705000006	12873.743124600005	12873.804577500006
3.31	13343.039141699992	13297.1930862	13343.041336499999	13297.1974758	12886.483626900008	12886.4858217
3.36	13341.31187640001	13296.302019300012	13341.314071100001	13296.306408699995	12898.260635600003	12898.262830299995
3.42	13335.934748	13292.114443400002	13335.939137399997	13292.121027500005	12912.0919268	12912.094121500006
3.48	13327.482780000006	13284.942012400003	13327.482780000006	13284.9464019	12926.335830199998	12926.340219699996
3.54	13316.5463591	13275.434371399999	13316.550748599999	13275.42120299999	12941.657354099996	12941.63979619999
3.61	13301.380662200012	13261.980576600006	13301.380662200012	13261.982771400013	12960.993069000004	12960.99526380001
3.68	13284.441610300011	13246.852190400008	13284.441610300011	13246.852190400008	12981.783900800001	12981.783900800001
3.76	13264.203854599997	13228.534837800005	13264.203854599997	13228.537032499997	13006.463822900012	13006.466017600003
3.85	13241.4355565	13207.904222600002	13241.4355565	13207.906417300008	13034.578523000004	13034.58071770001
3.95	13218.232698599997	13186.942200599995	13218.230503900006	13186.940005900004	13064.918695800006	13064.918695800006
4.05	13196.390583400003	13167.156562699995	13196.390583400003	13167.156562699995	13093.298960300002	13093.298960300002
4.17	13180.619136499998	13153.604004299996	13180.658641899994	13153.643509699992	13123.952981800001	13123.952981800001
4.31	13168.690690399992	13143.907615200005	13168.690690399992	13143.907615200005	13154.514824100013	13154.514824100013
4.46	13163.708616299991	13140.907397000003	13163.708616299991	13140.909591699994	13181.02516460001	13181.027359300002
4.64	13163.971985900003	13143.132869699999	13163.971985900003	13143.135064500006	13204.862304099996	13204.864498900002
4.85	13168.054213900003	13148.731667500004	13168.054213900003	13148.731667500004	13223.140151300002	13223.140151300002
5.11	13173.606922100007	13155.625365600004	13173.606922100007	13155.625365600004	13234.219230600007	13234.219230600007
5.43	13178.321237099997	13161.349264000004	13178.321237099997	13161.351458799996	13234.741580300004	13234.743775099996
5.85	13180.5181782	13164.307782100004	13180.5181782	13164.307782100004	13222.62438600001	13222.62438600001
6.44	13179.295704499993	13163.475973199995	13179.295704499993	13163.475973199995	13199.059395000004	13199.059395000004
