R	10B1_7A1	10B1_8A1	10B1_9B1	10B2_7A1	10B2_8A1	10B2_9B2	9A2_10B1	9A2_10B2	10A2_9B1	10A2_9B2
Intensities	5.90471407517954e-07	2.0282729914504056e-06	2.9200847526533022e-05	5.90471407517954e-07	2.0282729914504056e-06	2.9200847526533022e-05	5.946974319434077e-07	5.946974319434077e-07	5.157378659400343e-07	5.157378659400343e-07
2.12	1257.6883934806974	291.18138110301516	508.8036452233064	1257.6883934806974	291.18138110301516	508.8036452233064	288.61352794099366	288.61352794099366	446.9161890659452	446.9161890659452
2.13	1170.925682762565	291.08481228901655	507.32877573739097	1170.9234880145232	291.08261754097475	507.32658098934917	288.5213485981367	288.5191538500949	445.3030505532515	445.3030505532515
2.15	899.1261062151025	368.15332861981005	504.33514177978213	899.1261062151025	368.15332861981005	504.33733652782394	288.44672723959957	288.44672723959957	442.06799448578386	442.07018923382566
2.16	940.8723755685787	290.97068546574155	502.82954579632496	940.8723755685787	290.97068546574155	502.83174054436677	288.4774536622717	288.4774536622717	440.4570506961609	440.4592454442027
2.17	877.7163560664922	294.19476779301476	534.6204459701112	877.7163560664922	294.19476779301476	534.6204459701112	312.02049723503296	312.02049723503296	472.35549344911124	472.35549344911124
2.19	758.2826518837828	291.37890827700903	498.3281211321737	758.2804571606976	291.37671355392376	498.3281211571302	288.89884496177547	288.8966502386902	435.733956679469	435.7361514275108
2.2	708.5892061863415	291.65764107862196	496.8686148575798	708.5892061863415	291.65764107862196	496.8686148575798	289.18196723451547	289.18196723451547	434.2415291842626	434.2415291842626
2.22	626.5364209966356	292.52676060423255	494.10981876568985	626.5342262485938	292.52456585619075	494.10762401764805	290.05547625620966	290.05328150816786	431.50248579979234	431.50248579979234
2.23	594.0585652598675	293.15226327195705	492.84783961519133	594.0585652598675	293.15226327195705	492.84783961519133	290.68536844495975	290.68536844495975	430.3019595694932	430.3019595694932
2.25	544.81723725966	294.90147608834377	490.6838197683537	544.81723725966	294.90147608834377	490.6860145163955	292.4411654805299	292.4411654805299	428.41008825518657	428.41228300322837
2.26	527.1209978772094	296.0778601151542	489.8388424711884	527.1209978772094	296.0778601151542	489.8388424711884	293.6219390034239	293.6219390034239	427.78897505858913	427.78897505858913
2.28	502.85588277281204	299.19220511522144	488.77219577158394	502.8536880247848	299.1900103671942	488.7700010235567	296.7450629956438	296.74286824761657	427.41367344299215	427.41367344299215
2.3	490.12854898803926	303.56633449280343	488.76341677941673	490.12854898803926	303.56633449280343	488.76561152745853	301.1257766173512	301.1257766173512	428.5264098265179	428.5286045745597
