R	12A1_11A1	11B1_12A1	11B2_12A1
Intensities	0.00013023723199017114	8.739499717141375e-06	8.739499717141375e-06
2.12	630.5506119948986	1007.698010925902	1007.7024004219857
2.13	643.3876831068774	1012.2652779813943	1012.2696674774779
2.15	668.9652564669086	1026.184359004299	1026.201916963677
2.16	677.1231284731039	1026.2787330952124	1026.2853173393378
2.17	686.744896249962	1031.0874222355924	1031.091811731676
2.19	703.3679047136393	1040.6279844098026	1040.634568653928
2.2	710.3559769371495	1045.4893474532728	1045.4959316973982
2.22	721.694036334753	1055.3327846076281	1055.3393688517535
2.23	726.079139452544	1060.3258324587077	1060.3302219547913
2.25	732.4351247392478	1070.4831183334172	1070.4897025775426
2.26	734.4959915030195	1075.6627195933397	1075.6693038374506
2.28	736.6797640572622	1086.2765126863087	1086.283096930434
2.3	736.7412169774616	1097.2919443963328	1097.2985286404582
2.31	736.0257296650088	1103.0334007056372	1103.0399849497626
2.33	734.0811844476266	1114.8257725734584	1114.8213830773748
2.35	731.5791736519895	1127.2063364422065	1127.2041416941793
2.36	730.3018313150969	1133.6413326085021	1133.6369431124185
2.38	728.0039319375501	1147.0051428261504	1147.0007533300668
2.4	726.3973776440253	1161.0361559243029	1161.0339611762756
2.42	725.7916276587785	1175.7168139186397	1175.7146191705979
2.44	726.373235440522	1190.9988324021251	1190.9966376540833
2.46	728.2563277876179	1206.7966162760422	1206.7944215280004
2.48	731.4826048379764	1222.9653122694872	1222.9631175214454
2.5	735.9094081186486	1239.5334521070035	1239.5312573589617
2.52	741.4928427186824	1256.343014004451	1256.343014004451
2.54	748.10122380557	1273.2952344247606	1273.2930396767188
2.56	755.5940876793029	1290.3001287481748	1290.297934000133
2.59	768.1919314544066	1315.7240698950336	1315.7240698950336
2.61	777.2935443697206	1332.5226580772432	1332.5226580772432
2.63	786.8187433076382	1349.1368875737098	1349.134692825668
2.66	801.6574230361439	1373.6126983153663	1373.6126983153663
2.68	811.8059299186862	1389.6826306968724	1389.6826306968724
2.71	827.182322493114	1413.0939894869953	1413.0939894869953
2.73	837.4669036543928	1428.3145550752524	1428.3145550752524
2.76	852.8279330174555	1450.5517245865922	1450.5517245865922
2.79	868.0155774350133	1472.079991054561	1472.079991054561
2.82	882.9574102216575	1492.9256914057332	1492.927886153775
2.85	897.6007575242256	1513.117357364652	1513.117357364652
2.88	911.9346456274943	1532.7010786152387	1532.7010786152387
2.91	925.9349322780181	1551.7053868071525	1551.7075815551943
2.94	939.6169807121041	1570.1851506663807	1570.1851506663807
2.97	952.985180425836	1588.1754860867222	1588.177680834764
3.01	970.3544026495947	1611.4749128015974	1611.4749128015974
3.04	983.0619837269332	1628.47541765387	1628.47541765387
3.08	999.6169550512423	1650.578707634515	1650.578707634515
3.12	1015.7637035642692	1672.0784423779405	1672.0784423779405
3.16	1031.5483189749066	1693.0360748043604	1693.0360748043604
3.2	1047.0366435995966	1713.5328104914806	1713.4559943849017
3.24	1062.2440407245595	1733.4852491135389	1733.483054365497
3.28	1077.1507575924625	1752.9789857443393	1752.9767909962975
3.33	1095.4483574890182	1776.7041932548018	1776.70199850676
3.37	1109.8502827066986	1795.1773728699045	1795.1751781218627
3.42	1127.5465221390477	1817.5681746193732	1817.5637851232896
3.47	1144.9289128261007	1839.157893957643	1839.157893957643
3.53	1165.3861430983816	1863.9234112161794	1863.9234112161794
3.58	1182.105720401014	1883.5203009300603	1883.5203009300603
3.64	1201.7508945468435	1905.6455383911089	1905.6455383911089
3.7	1220.9351719533588	1926.0852106790553	1926.0852106790553
3.77	1242.7136394734407	1947.4049762078794	1947.4071709559212
3.83	1260.8619966529368	1963.5561142669176	1963.5561142669176
3.9	1281.3587323151005	1979.4438827107078	1979.4438827107078
3.98	1303.8285449441464	1993.3388215301238	1993.3388215301238
4.06	1325.2602425731602	1994.6863957793685	1994.6863957793685
4.14	1345.8469628800522	1966.255652211592	1966.255652211592
4.23	1367.9590318279224	1934.493283737378	1934.493283737378
4.32	1388.6949948768452	1903.8963255996641	1903.8963255996641
4.42	1410.32860915098	1871.8310821452906	1871.8310821452906
4.53	1432.442872871834	1839.1359465021815	1839.1359465021815
4.64	1452.8737661925697	1809.2544756270217	1809.2544756270217
4.76	1473.3507491473138	1779.8690174099174	1779.8690174099174
4.89	1493.4897412281134	1751.785043758151	1751.785043758151
5.03	1512.9022722313093	1725.6938997557445	1725.6938997557445
5.19	1532.4750197416724	1700.8186451949587	1700.8186451949587
5.35	1549.394318966326	1680.8135326698102	1680.8135326698102
5.54	1566.2126598559553	1662.656396523118	1662.656396523118
5.74	1580.676037968864	1649.3123390128749	1649.3123390128749
5.96	1593.0302648860816	1639.969304012673	1639.969304012673
6.21	1603.4004411710484	1634.1049419128685	1634.1027471648267
6.5	1611.6044028362085	1630.9708441804396	1630.9708441804396
6.82	1617.2580692987249	1629.6035172487318	1629.6035172487318
7.19	1620.896958681391	1628.9121721647243	1628.9121721647243
7.62	1622.9556306971062	1627.3758497336385	1627.3758497336385
8.14	1623.9322928018664	1626.2301921793987	1626.2301921793987
8.76	1622.115042871068	1625.4115518088365	1625.4115518088365
9.55	1621.417113542935	1624.8650599707908	1624.8650599707908
10.56	1621.074733122994	1624.579742974951	1624.5775482269091
11.96	1620.9540220555937	1624.4678108997177	1624.4678108997177
14.03	1620.9386588442576	1624.448058167356	1624.448058167356
17.58	1620.9408535922994	1624.4480581923126	1624.4480581923126
25.83	1620.9518273325084	1624.4546424114815	1624.4546424114815
