R	9A1_2A1	2B1_9A1	2B2_9A1
Intensities	25.00937676862614	23.237071563757024	23.23708087501075
2.12	11450.551107411535	11112.037827606939	11112.042217103022
2.13	11466.956835993813	11126.700927616941	11126.705317113025
2.15	11509.03670680002	11165.091429885448	11165.098014129559
2.16	11522.411490757877	11176.519473877866	11176.526058121992
2.17	11543.500807941993	11195.587429738021	11195.591819234105
2.19	11590.801980220902	11238.617625697458	11238.622015193541
2.2	11617.450589801578	11263.012230811524	11263.016620307608
2.22	11677.542743483573	11318.348369281171	11318.352758752299
2.23	11711.019208780577	11349.318434311397	11349.325018555523
2.25	11772.397483841545	11416.877114940551	11416.883699184677
2.26	11778.099434711068	11452.693179802925	11452.69976404705
2.28	11797.615118797316	11526.089885555368	11526.096469799493
2.3	11824.470034544138	11599.106900221086	11599.113484465212
2.31	11839.659873684766	11634.749580112955	11634.753969609039
2.33	11871.940202272497	11703.18396451186	11703.188354007943
2.35	11905.6339474509	11767.334204103056	11767.33859359914
2.36	11922.695905198416	11797.72266137648	11797.724856124521
2.38	11956.868105100453	11855.121861382868	11855.12625085401
2.4	11990.792298648506	11908.206190133962	11908.210579630046
2.42	12024.24462176695	11957.300470115224	11957.304859611293
2.44	12057.148258274363	12002.852429552775	12002.856819048859
2.46	12089.400055162507	12045.118853792766	12045.121048540808
2.48	12120.982454397148	12084.363112375548	12084.367501871631
2.5	12151.923987752758	12121.219487010938	12121.223876507021
2.52	12182.22026565834	12155.802104447313	12155.848194131235
2.54	12211.8844566521	12188.466513642808	12188.514798049815
2.56	12240.918755482053	12219.410241746446	12219.414631217587
2.59	12283.345396204284	12263.07691411383	12263.081303609913
2.61	12310.8938517582	12290.614395927536	12290.61878542362
2.63	12337.871673295522	12317.080841595467	12317.085231066594
2.66	12377.280537831684	12355.019226116841	12355.023615587968
2.68	12402.904200875622	12379.431389215213	12379.435778686355
2.71	12440.280730397513	12414.545135278328	12414.549524774411
2.73	12464.543650728912	12437.194917072076	12437.19930656816
2.76	12499.971245487424	12470.135864296186	12470.14025379227
2.79	12534.266351179947	12501.977243600064	12501.981633096148
2.82	12567.44872048896	12532.824402864746	12532.826597587831
2.85	12599.542495642905	12562.74976867577	12562.751963423812
2.88	12630.565234576221	12591.808209659328	12591.81040440737
2.91	12660.536690046196	12620.037036581984	12620.039231330025
2.94	12689.474420012251	12647.460391597371	12647.462586345413
2.97	12717.556198915976	12674.157285585054	12674.159480333095
3.01	12753.205463101884	12708.428249074073	12708.430443822115
3.04	12778.789620706026	12733.211324291988	12733.21351904003
3.08	12811.399161225447	12765.061482588033	12765.063677336075
3.12	12842.314357629512	12795.522366496909	12795.52456124495
3.16	12871.574715283117	12824.598365489728	12824.598365489728
3.2	12899.210960708777	12852.228026671262	12852.230221394348
3.24	12925.273572986654	12878.54084002621	12878.543034774251
3.28	12949.804252404414	12903.545584646563	12903.547779394605
3.33	12978.379849218152	12932.847642488021	12932.847642488021
3.37	12999.627188161423	12954.80168972662	12954.80168972662
3.42	13024.247852149056	12980.427547518615	12980.427547518615
3.47	13046.805454599933	13004.09349685692	13004.095691604962
3.53	13071.301018098937	13029.94980304352	13029.954192539604
3.58	13089.745665989496	13049.597171937392	13049.597171937392
3.64	13109.551056592609	13070.903769002907	13070.910353247033
3.7	13127.082690046649	13089.991477570496	13089.991477570496
3.77	13144.884277285164	13109.458877249752	13109.458877249752
3.83	13158.094455239741	13124.097835056236	13124.097835056236
3.9	13171.333164943819	13138.943099028897	13138.943099028897
3.98	13183.963929889636	13153.307713554808	13153.30990830285
4.06	13194.226563570512	13165.190070042416	13165.190070042416
4.14	13202.48758868473	13174.943522601941	13174.943522601941
4.23	13209.760977904065	13183.746650008237	13183.746650008237
4.32	13215.221506688671	13190.581089968677	13190.581089968677
4.42	13219.558325374499	13196.267677651791	13196.26987237489
4.53	13222.5695172915	13200.639612281346	13200.564990897852
4.64	13224.198019065443	13203.35890293344	13203.361097681467
4.76	13224.871806190073	13204.923757064098	13204.923757064098
4.89	13224.4767518421	13205.400016989777	13205.402211737819
5.03	13223.122593373671	13204.789877533403	13204.789877533403
5.19	13220.686424994303	13203.007743546288	13203.007743546288
5.35	13217.589637953613	13200.404774415612	13200.406969163654
5.54	13213.140887217494	13196.502515517524	13196.504710265566
5.74	13208.281718897095	13191.939637958116	13191.939637958116
5.96	13202.713647533354	13186.619572898446	13186.619572898446
6.21	13196.467399573827	13180.544515161368	13180.54670990941
6.5	13189.716359939135	13173.914186594091	13173.916381342133
6.82	13183.244053106057	13167.516501119535	13167.518695867577
7.19	13177.254590442768	13161.566543896042	13161.566543896042
7.62	13172.241789909225	13156.56252232971	13156.56252232971
8.14	13168.405373377536	13152.72391104998	13152.72391104998
8.76	13165.92750481033	13150.239458238648	13150.24165298669
9.55	13164.522867161926	13148.828236371075	13148.830431119117
10.56	13163.925896168832	13148.229070629939	13148.229070629939
11.96	13163.745926979173	13148.04910144028	13148.051296188321
14.03	13163.717395279586	13148.020569740693	13148.020569740693
17.58	13163.715200506587	13148.018374967694	13148.018374967694
25.83	13163.719590027627	13148.020569740693	13148.022764488735
