R	9A1_1A1	1B1_9A1	1B2_9A1
Intensities	8.692078373067035e-12	0.0007253275598159235	0.0007254781567529946
2.12	12106.303991175824	13115.413223969314	13115.413223969314
2.13	12052.739012953083	13053.611362885757	13053.611362885757
2.15	11964.931602990779	12948.461067651238	12948.461067651238
2.16	11918.5500294175	12892.615748060241	12892.617942808283
2.17	11883.067566007856	12847.276678983064	12847.278873731091
2.19	11826.359711110403	12769.731902726591	12769.731902726591
2.2	11805.349404780907	12737.778591347465	12737.778591347465
2.22	11778.25526169721	12687.87664471088	12687.87664471088
2.23	11771.976092517085	12669.794129947666	12669.796324695708
2.25	11783.849670037467	12646.00308007082	12646.00308007082
2.26	11822.437699479968	12639.3705567555	12639.3705567555
2.28	11901.64828817718	12633.984649329432	12633.984649329432
2.3	11980.850097907154	12635.91602608352	12635.918220831561
2.31	12019.72124962238	12638.742859289821	12638.742859289821
2.33	12094.891310394742	12646.687840910701	12646.690035658743
2.35	12166.134970040555	12656.807816093671	12656.810010841713
2.36	12200.186458900149	12662.542688183792	12662.544882931834
2.38	12265.164117854074	12674.811320002249	12674.81351475029
2.4	12326.136364801918	12688.001745274363	12688.003940022405
2.42	12383.373153578039	12702.100795511884	12702.10299023497
2.44	12437.289291162975	12717.121639153163	12717.123833901205
2.46	12488.077915284564	12732.917228279039	12732.917228279039
2.48	12535.95411107615	12749.35148856089	12749.353683308931
2.5	12581.488512579279	12766.681205369809	12766.68340011785
2.52	12624.779883331037	12784.69787774168	12784.700072489723
2.54	12666.041113766667	12803.333468562123	12803.335663310165
2.56	12705.452173100784	12822.504577505344	12822.506772253386
2.59	12761.479656629483	12852.113899847987	12852.11609459603
2.61	12796.962120064069	12872.29898156278	12872.301176310822
2.63	12831.092619778268	12892.756211835062	12892.758406583103
2.66	12879.952061893811	12923.77017177621	12923.774561272294
2.68	12911.229391425208	12944.710246243252	12944.712440966337
2.71	12955.980268501473	12975.961238823118	12975.965628294245
2.73	12984.599760226134	12996.765238986467	12996.769628457594
2.76	13025.836848483217	13027.772614708447	13027.777004204516
2.79	13065.175481131955	13058.452973221807	13058.45736271789
2.82	13102.753927298967	13088.69657724927	13088.700966720397
2.85	13138.677534740476	13118.422221138273	13118.426610634357
2.88	13173.042872295468	13147.55528350531	13147.559673001393
2.91	13205.931145591545	13176.040895749175	13176.045285245244
2.94	13237.41917076023	13203.837357632117	13203.841747128201
2.97	13267.770317341914	13231.021485310644	13231.025874806728
3.01	13305.95012399809	13265.920146240387	13265.92453573647
3.04	13333.147420139896	13291.170702416755	13291.175091912839
3.08	13367.585184330339	13323.613442209826	13323.617831705895
3.12	13400.003781944848	13354.607649468497	13354.61203896458
3.16	13430.495392301338	13384.153324167826	13384.15771366391
3.2	13459.123663018152	13412.186818664559	13412.191208160628
3.24	13485.980773488074	13438.831038724195	13438.837622943363
3.28	13511.125981858291	13464.04428423378	13464.048673729863
3.33	13540.27440746162	13493.598737900349	13493.603127371476
3.37	13561.835595100289	13515.699833132938	13515.704222629021
3.42	13586.699875945822	13541.44640196739	13541.452986211516
3.47	13609.365020975863	13565.18038847002	13565.18697268919
3.53	13633.834247498366	13591.117900259283	13591.124484503409
3.58	13652.16915808669	13610.763074380156	13610.763074380156
3.64	13671.724347612733	13632.008218575385	13632.016997542596
3.7	13688.920184866001	13650.957658116182	13650.957658116182
3.77	13706.24551215388	13670.354825932984	13670.354825932984
3.83	13718.983819678848	13684.870877948968	13684.870877948968
3.9	13731.634337357056	13699.562509658557	13699.562509658557
3.98	13743.551809763405	13713.744960246782	13713.744960246782
4.06	13753.077008701322	13725.436373804521	13725.436373804521
4.14	13760.591820055459	13735.00107818222	13735.00107818222
4.23	13767.026816196798	13743.591315203186	13743.591315203186
4.32	13771.675288854953	13750.217254274394	13750.217254274394
4.42	13775.149572234339	13755.679977807042	13755.679977807042
4.53	13777.243360218723	13759.812685099721	13759.707337268599
4.64	13778.024689897546	13762.272995707535	13762.272995707535
4.76	13777.886420895724	13763.583259240098	13763.583259240098
4.89	13776.70564737283	13763.815902332819	13763.815902332819
5.03	13774.614054161444	13762.962146043501	13762.962146043501
5.19	13771.458008973554	13760.921031987149	13760.921031987149
5.35	13767.759861443687	13758.08761451178	13758.08761451178
5.54	13762.681218518803	13753.906622812094	13753.906622812094
5.74	13757.312869077054	13749.128660119328	13749.128660119328
5.96	13751.336574877088	13743.611067910606	13743.611067910606
6.21	13744.741362253495	13737.367014699135	13737.367014699135
6.5	13737.70061612691	13730.585248616815	13730.585248616815
6.82	13731.02200312767	13724.071241595899	13724.071241595899
7.19	13724.887687218434	13718.031299777576	13718.031299777576
7.62	13719.778317845936	13712.970214812085	13712.970214812085
8.14	13715.884837915073	13709.0942928406	13709.0942928406
8.76	13713.38063237138	13706.59228206989	13706.59228206989
9.55	13711.965021007723	13705.174475958192	13705.174475958192
10.56	13711.363660518546	13704.570920720973	13704.570920720973
11.96	13711.183691328886	13704.390951531313	13704.393146279355
14.03	13711.155159629314	13704.362419831741	13704.362419831741
17.58	13711.152964881258	13704.360225083685	13704.360225083685
25.83	13711.157354377341	13704.364614579768	13704.364614579768
