R	12B1_12A1	12B2_12A1
Intensities	4.329839079999768e-09	4.329839079999768e-09
2.12	21.005916833426454	21.01250107753731
2.13	23.400385049913893	23.4069692940393
2.15	32.91241549956612	32.92777873585874
2.16	30.75497989685391	30.761564140979317
2.17	31.16539745616319	31.171981700288597
2.19	38.153469679673435	38.16224864689866
2.2	40.642311962132226	40.651090954299434
2.22	45.67486525300774	45.68144947217661
2.23	48.23613419584581	48.24271843997121
2.25	53.4925515872892	53.49913580645807
2.26	56.20964749135601	56.21623173546686
2.28	61.88306666127755	61.89184565344476
2.3	67.96470866742311	67.97129291154852
2.31	71.24585439385555	71.25463338602276
2.33	78.15272098976129	78.14833149367769
2.35	85.70045351462613	85.69606401854253
2.36	89.75195517968677	89.7475657085597
2.38	98.40803459197923	98.40583984393743
2.4	107.82569097568921	107.82349622764741
2.42	118.00931380194379	118.00711905388744
2.44	128.92378715197265	128.92159240393084
2.46	140.5032686344639	140.5010738864221
2.48	152.60948922263924	152.607294474612
2.5	165.28195438125113	165.27975963320932
2.52	178.37361604141188	178.37142129337008
2.54	191.78790541410854	191.78571069100872
2.56	205.44142214862222	205.43922740058042
2.59	226.21030639321543	226.20811164517363
2.61	240.14694540045457	240.14694540045457
2.63	254.09894764398632	254.09894764398632
2.66	274.95342698732566	274.95342698732566
2.68	288.85275527785416	288.85275527785416
2.71	309.3714384453924	309.3714384453924
2.73	322.8932703972532	322.8932703972532
2.76	342.93130411804304	342.93349886608485
2.79	362.6598786145769	362.66207336263324
2.82	382.08777285405085	382.08777285405085
2.85	401.22157110553235	401.22157110553235
2.88	420.0898050436663	420.0919997917081
2.91	438.70783790471614	438.70783790471614
2.94	457.1042013882834	457.1063961363252
2.97	475.3074272188969	475.3096219669387
3.01	499.31136748107383	499.31136748107383
3.04	517.1392916960904	517.1392916960904
3.08	540.7174511876074	540.7174511876074
3.12	564.0958887570887	564.0958887570887
3.16	587.3075256501324	587.3053309020906
3.2	610.3721144992742	610.3150511001004
3.24	633.2808763872017	633.2808763872017
3.28	656.066732459687	656.0645377116452
3.33	684.3701807658508	684.3657912697672
3.37	706.8729145655961	706.8685250695125
3.42	734.7725295316195	734.7681400355359
3.47	762.415359176448	762.4175539244898
3.53	795.2070636585267	795.2070636585267
3.58	822.1804956748238	822.1804956748238
3.64	854.0657699395233	854.0679646875651
3.7	885.367241674423	885.367241674423
3.77	920.9199369714624	920.9199369714624
3.83	950.7838498872588	950.7838498872588
3.9	984.6202535635675	984.6224483115948
3.98	1021.8914352543361	1021.8936300023779
4.06	1057.4946097313805	1057.4946097313805
4.14	1091.6207199494966	1091.6229146975384
4.23	1128.1456878801982	1128.1456878801982
4.32	1162.3266667494463	1162.3266667494463
4.42	1197.7147560931044	1197.7147560931044
4.53	1233.4715628082631	1233.4693680602213
4.64	1265.936250081737	1265.936250081737
4.76	1297.700813279036	1297.700813279036
4.89	1327.9180803549534	1327.9180803549534
5.03	1355.8089163288241	1355.8089163288241
5.19	1382.1283139528532	1382.1283139528532
5.35	1402.9652353368147	1402.9652353368147
5.54	1421.247471997107	1421.247471997107
5.74	1434.1196590278269	1434.1218537758687
5.96	1442.2380255942408	1442.2380255942408
6.21	1446.1007791024313	1446.1007791024313
6.5	1446.4234068149526	1446.4234068149526
6.82	1444.4634983612777	1444.4634983612777
7.19	1441.3996325162443	1441.3996325162443
7.62	1438.230418865045	1438.230418865045
8.14	1435.4672332770715	1435.4672332770715
8.76	1433.4941563601024	1433.4941563601024
9.55	1432.2716826493852	1432.2716826493852
10.56	1431.6944643886673	1431.6944643886673
11.96	1431.496937214688	1431.496937214688
14.03	1431.4640160190174	1431.4640160190174
17.58	1431.4640160190174	1431.4640160190174
25.83	1431.4706002631428	1431.4727950111846
