R	12A1_2A1	2B1_12A1	2B2_12A1
Intensities	0.39935926316575093	0.3245948304461994	0.3245982477829179
2.12	13471.38790534054	13132.874625535944	13132.879015032027
2.13	13501.016980390588	13160.761072013716	13160.7654615098
2.15	13564.662428331561	13220.71715141699	13220.7237356611
2.16	13589.395024394427	13243.503007514417	13243.509591758542
2.17	13618.63123984453	13270.717861640558	13270.722251136642
2.19	13676.728369154123	13324.54401463068	13324.548404126763
2.2	13705.587088265544	13351.14872927549	13351.153118771574
2.22	13762.900693148244	13403.706318945842	13403.71070841697
2.23	13791.357773667565	13429.656999198385	13429.66358344251
2.25	13836.422499464185	13480.90213056319	13480.908714807316
2.26	13831.607226054723	13506.20097114658	13506.207555390705
2.28	13827.696188139525	13556.170954897578	13556.177539141703
2.3	13830.70957482951	13605.346440506459	13605.353024750584
2.31	13834.620612744708	13629.710319172897	13629.71470866898
2.33	13846.564422102601	13677.808184341964	13677.812573838048
2.35	13863.553953189723	13725.254209841878	13725.258599337962
2.36	13873.735381292878	13748.762137470942	13748.764332218983
2.38	13897.072118699507	13795.325874981922	13795.330264453063
2.4	13923.894113225717	13841.308004711173	13841.312394207256
2.42	13953.65706780646	13886.712916154735	13886.717305650804
2.44	13985.83424331111	13931.538414589522	13931.542804085606
2.46	14020.017416953342	13975.736215583602	13975.738410331644
2.48	14055.820313327451	14019.20097130585	14019.205360801934
2.5	14092.718388125722	14062.013887383902	14062.018276879986
2.52	14130.446077009794	14104.027915798768	14104.07400548269
2.54	14168.693920780395	14145.275977771103	14145.32426217811
2.56	14207.180991912814	14185.672478177206	14185.676867648348
2.59	14264.896235362656	14244.627753272202	14244.632142768285
2.61	14303.069457774705	14282.790001944042	14282.794391440126
2.63	14340.812509895099	14320.021678195044	14320.026067666171
2.66	14396.346175513769	14374.084863798926	14374.089253270053
2.68	14432.491452307819	14409.01864064741	14409.023030118551
2.71	14485.220232175678	14459.484637056492	14459.489026552576
2.73	14519.284889498551	14491.936155841715	14491.940545337799
2.76	14568.646928516246	14538.811547325007	14538.81593682109
2.79	14615.84494773703	14583.555840157147	14583.56022965323
2.82	14660.826273133032	14626.201955508819	14626.204150231904
2.85	14703.56895732366	14666.776230356525	14666.778425104567
2.88	14744.08616877222	14705.329143855328	14705.33133860337
2.91	14782.391075941967	14741.891422477755	14741.893617225796
2.94	14818.529768516863	14776.515740101982	14776.517934850024
2.97	14852.721721126305	14809.322807795383	14809.325002543424
3.01	14894.884992308187	14850.107778280377	14850.109973028419
3.04	14924.1914396457	14878.613143231662	14878.615337979703
3.08	14960.310379513161	14913.972700875747	14913.974895623789
3.12	14993.194263313155	14946.402272180552	14946.404466928594
3.16	15023.01208654503	14976.03573675164	14976.03573675164
3.2	15049.910897202775	15002.92796316526	15002.930157888346
3.24	15074.090417183455	15027.35768422301	15027.359878971052
3.28	15095.719641961521	15049.46097420367	15049.463168951712
3.33	15119.389980820852	15073.85777409072	15073.85777409072
3.37	15135.843993835078	15091.018495400276	15091.018495400276
3.42	15153.516091038982	15109.695786408542	15109.695786408542
3.47	15168.249422936395	15125.537465193382	15125.539659941423
3.53	15182.434068297618	15141.082853242202	15141.087242738286
3.58	15191.684923930006	15151.536429877902	15151.536429877902
3.64	15199.928391034948	15161.281103445246	15161.287687689372
3.7	15205.498657171702	15168.40744469555	15168.40744469555
3.77	15209.049756657667	15173.624356622255	15173.624356622255
3.83	15209.967160615255	15175.97054043175	15175.97054043175
3.9	15208.87198221605	15176.481916301127	15176.481916301127
3.98	15205.3186879571	15174.662471622272	15174.664666370314
4.06	15199.618931810677	15170.582438282581	15170.582438282581
4.14	15192.532096025127	15164.988029942338	15164.988029942338
4.23	15183.331719522816	15157.317391626988	15157.317391626988
4.32	15172.92862206712	15148.288205347126	15148.288205347126
4.42	15160.587563613197	15137.296915890489	15137.299110613589
4.53	15146.41169724414	15124.481792233986	15124.407170850493
4.64	15132.071224946674	15111.232108814671	15111.234303562698
4.76	15116.683858632052	15096.735809506077	15096.735809506077
4.89	15100.469072979657	15081.392338127334	15081.394532875376
5.03	15083.806559051241	15065.473843210973	15065.473843210973
5.19	15065.989608601376	15048.310927153361	15048.310927153361
5.35	15049.60143797849	15032.416574440489	15032.41876918853
5.54	15031.78887699978	15015.15050529981	15015.152700047853
5.74	15015.563117582205	14999.221036643226	14999.221036643226
5.96	15000.169167048429	14984.07509241352	14984.07509241352
6.21	14985.596051633256	14969.673167220797	14969.675361968839
6.5	14972.074219656453	14956.27204631141	14956.274241059451
6.82	14960.652759933117	14944.925207946595	14944.927402694637
7.19	14951.00904467584	14935.320998129115	14935.320998129115
7.62	14943.428390955305	14927.74912337579	14927.74912337579
8.14	14937.80764568846	14922.126183360902	14922.126183360902
8.76	14934.175340574875	14918.487294003193	14918.489488751235
9.55	14932.072773598338	14916.378142807487	14916.380337555529
10.56	14931.137811681387	14915.440986142494	14915.440986142494
11.96	14930.837131424327	14915.140305885434	14915.142500633476
14.03	14930.786652269278	14915.089826730386	14915.089826730386
17.58	14930.784457521251	14915.087631982358	14915.087631982358
25.83	14930.793236513418	14915.094216226484	14915.096410974525
