3A1_2A1	2B1_3A1	3B1_2A1	3B1_2B1	2B2_3A1	3B2_2A1	3B2_2B2
2.92e-08	280418559982385.9	272689595845545.9	291403239150073.25	283674275013233.25	272690422695201.88	291402825734665.2	283674688447481.2
2.96e-08	281912261371821.7	273813696060219.38	291465666195523.9	283367100883921.56	273814522909878.1	291465666195523.9	283367927733580.3
2.99e-08	282874299317572.8	274560753472063.97	291507835452649.2	283194289607140.4	274561166887472.0	291507422037238.4	283194289607137.6
3.02e-08	283726779900483.7	275238355625793.88	291558273206337.0	283069848931647.2	275238769060041.8	291558273206337.0	283070262365895.1
3.06e-08	284709075615717.44	276044532684456.94	291634343242862.3	282969800311601.8	276044946099867.72	291634343242862.3	282970213727012.6
3.09e-08	285343268247260.75	276588598835317.84	291693049474278.25	282938380062335.4	276589012250728.66	291693049474278.25	282938793477746.1
3.13e-08	286063866507772.0	277236434457930.38	291772426909427.5	282944994859585.9	277236847873341.2	291772840324838.25	282945821690407.44
3.17e-08	286659610658547.6	277799104678964.75	291851390891491.6	282990884911908.75	277799518113209.94	291851804325739.56	282991711780401.9
3.2200000000000004e-08	287249980333650.9	278419240885185.38	291939450238614.1	283108710790148.6	278419654319430.56	291939863672862.06	283109537658641.75
3.26e-08	287617100959442.5	278850442255739.53	292000637018998.0	283233978315295.06	278862018132091.53	291960534876595.4	283205452049244.44
3.31e-08	287959416133218.2	279323399449173.84	292025442471013.9	283389425786969.56	279323812883419.03	292026269320669.9	283390666070870.75
3.3599999999999996e-08	288199202137980.5	279720700059167.88	292073813091144.56	283595311012331.94	279721113474575.94	292074639940800.56	283596551277396.0
3.42e-08	288368292600727.06	280113866402042.2	292111021250331.3	283856595051646.44	280114279817452.97	292112261534235.25	283858248750961.1
3.48e-08	288431959930081.56	280418559982385.9	292165593252301.75	284152193304606.1	280419386832041.9	292164766402645.8	284152193304606.1
3.54e-08	288415009521545.8	280670748694319.1	292161459004021.9	284417198176795.2	280667441314529.6	292161872419429.94	284414304212413.75
