R	8B1_1A1	8B1_1B1	8B2_1A1	8B2_1B2	1A2_8B1	1A2_8B2	2A2_8B1	2A2_8B2	8A2_1B1	8A2_1B2	8A2_1A2	8A2_2A2
Intensities	3.055808971092018	3.2367997719612167	3.0558320742364304	3.23681001455872	2.9849274317757404	2.985139524397852	1.4923790913631827	1.4921687127942829	2.6583216593619334	2.6583107195193585	2.7625409467998985e-09	4.934329704339459
2.12	10829.652989641138	11838.762222434627	10829.652989641138	11838.762222434627	11860.549468946876	11860.549468946876	10173.900105876848	10173.900105876848	11981.82237051586	11981.82237051586	12003.609617028109	10316.960253958081
2.13	10769.62887307354	11770.501223006213	10769.62887307354	11770.501223006213	11793.2497684119	11793.2497684119	10183.84669611427	10183.84669611427	11913.789624709054	11913.789624709054	11936.538170114742	10327.13509781711
2.15	10780.830858217349	11764.360322877808	10780.830858217349	11764.360322877808	11789.07316623327	11789.07316623327	10324.93596202659	10324.93596202659	11787.39199053128	11787.39199053128	11812.10483388674	10347.96762968006
2.16	10795.47201077189	11769.537729414631	10795.47201077189	11769.539924162673	11795.242598061246	11795.242598061246	10399.333472112266	10399.333472112266	11768.299892492578	11768.30208724062	11794.004761139193	10398.095635190213
2.17	10874.234871242981	11838.44398421819	10874.234871242981	11838.446178966216	11865.143072953899	11865.143072953899	10534.668113177118	10534.668113177118	11836.929609267521	11836.931804015549	11863.628698003231	10533.15373822645
2.19	10860.017304711044	11803.389496327232	10860.017304711044	11803.389496327232	11832.070440972078	11832.070440972078	10624.459573821543	10624.459573821543	11801.425198377474	11801.425198377474	11830.10614302232	10622.495275871785
2.2	10886.650551055427	11819.079737621985	10886.6483563074	11819.077542873958	11848.739539119662	11848.737344371635	10698.751736076098	10698.74954132807	11816.830122676416	11816.830122676416	11846.489924174093	10696.502121130528
2.22	10945.116397761449	11854.737780775118	10945.116397761449	11854.737780775118	11886.302622050382	11886.302622050382	10844.403879547812	10844.403879547812	11851.827547168199	11851.827547168199	11883.392388443463	10841.493645940893
2.23	10976.310326892257	11874.128364322838	10976.3081321442	11874.128364322823	11906.612804303732	11906.610609555675	10915.35344315575	10915.351248407693	11870.829660637013	11870.831855385055	11903.314100617907	10912.054739469924
