R	10B1_4A1	10B1_5B1	10B1_6B1	10B2_4A1	10B2_5B2	10B2_6B2	5A2_10B1	5A2_10B2	6A2_10B1	6A2_10B2	10A2_5B1	10A2_6B1	10A2_5B2	10A2_6B2	10A2_6A2
2.21e-08	483575178054982.7	475294292708676.0	406665473504334.2	483575178054982.7	475295119557594.6	406665886928793.44	483410635251837.06	483410635251837.06	417501319982526.7	417501319982526.7	463496821699885.44	394868002495543.6	463497648548804.06	394868415920002.94	405703848973736.1
2.2200000000000004e-08	474223524205460.1	466613212796107.56	399776587202807.8	474223524205460.1	466614039645026.2	399777414051726.44	474046992102399.56	474046992102399.56	411553800427201.1	411553800427201.1	454820702880825.94	387984077287526.2	454821529729744.5	387984904136444.8	399761290511919.5
2.23e-08	465342347019158.9	458331914030042.56	393033639627266.56	465342347019158.9	458332327454501.9	393034466476185.1	465152998767267.5	465152998767267.5	405700128158303.5	405700128158303.5	446550979985518.25	381252705582742.2	446551393409977.56	381253532431660.8	393919194113779.1
2.2400000000000002e-08	456918830347245.3	450443368180578.0	386451514034734.44	456918830347245.3	450443781605037.25	386452340883653.06	456716252522058.3	456716252522058.3	399943610557407.6	399943610557407.6	438682691920450.9	374690837774607.3	438683105344910.2	374691664623525.94	388182934297280.5
2.25e-08	448943052007400.06	442944681290596.3	380049641360695.6	448943052007400.06	442945094715055.56	380050468209614.2	448725590915781.3	448725590915781.3	394296236924431.25	394296236924431.25	431214598416946.8	368319558487046.1	431215011841406.1	368320385335964.75	382566154050781.8
2.2599999999999997e-08	441403436128860.25	435831719110808.94	373847865969789.0	441403436128860.25	435832545959727.5	373848692818707.6	441171091766114.2	441171091766114.2	388775784497013.06	388775784497013.06	424143392074633.44	362159538933613.56	424144218923552.06	362160365782532.1	377087457460837.6
2.27e-08	434291300797988.7	429101587679397.4	367863965094954.94	434291300797988.7	429102001103856.7	367864791939175.25	434042419470976.44	434042419470976.44	383401270790876.1	383401270790876.1	417470313171589.7	356232690587147.25	417470726596049.0	356233517431367.56	371769996283068.5
2.29e-08	421319705260495.8	416780721723616.3	356621722697711.56	421319291836036.5	416780721723616.3	356622549541931.9	421034442609276.7	421034029184817.4	373176051754758.6	373175638330299.3	405316057141248.06	345157058115343.4	405316470565707.4	345158298384022.94	361711387172390.4
2.2999999999999998e-08	415446188626956.44	411185026105732.4	351393147703459.25	415446188626956.44	411185439530191.7	351393974552377.9	415141081615799.44	415141081615799.44	368365035139952.8	368365035139952.8	399837773975763.2	340045895573490.06	399838187400222.44	340046722422408.6	357017783009983.6
2.3100000000000002e-08	409974933677282.44	405963479331986.5	346443634007639.6	409974933677282.44	405963892756445.8	346444460856558.25	409648328613048.6	409648328613048.6	363780161525710.06	363780161525710.06	394760512225461.3	335240666901114.5	394760925649920.6	335241493750033.06	352577194419184.9
2.32e-08	404901806157473.2	401114841114897.6	341784344047145.94	404901806157473.2	401114841114897.6	341784344047145.94	404552462766784.7	404552462766784.7	359436727602910.4	359436727602910.4	390089232960351.6	330758735892600.0	390089232960351.6	330758735892600.0	348411119448364.44
2.33e-08	400226392657169.9	396639938317487.44	337426440282376.6	400226392657169.9	396639938317487.44	337426440282376.6	399852657242192.2	399852657242192.2	355353750882581.4	355353750882581.4	385825176472610.75	326611678437499.9	385825176472610.75	326611678437499.9	344538989037704.7
2.3500000000000002e-08	392060439221210.1	388808445005784.5	329649105527823.6	392060439221210.1	388808445005784.5	329649105527823.6	391632958668843.5	391632958668843.5	348017539678147.2	348017539678147.2	378538162736518.6	319378823258557.7	378538162736518.6	319378823258557.7	337747257408881.25
2.36e-08	388563697918664.25	385448133661961.4	326241250408794.5	388563697918664.25	385448133661961.4	326241250408794.5	388107277677654.44	388107277677654.44	344784562969042.5	344784562969042.5	375514378639248.75	316307495386081.9	375514378639248.75	316307495386081.9	334850807946329.9
2.37e-08	385457229000060.56	382457836927082.6	323165374876671.25	385457229000060.56	382457836927082.6	323165374876671.25	384971042221494.44	384971042221494.44	341854626153502.2	341854626153502.2	372904845525753.7	313612383475342.3	372904845525753.7	313612383475342.3	332301634752173.25
2.3799999999999998e-08	382742272724682.06	379838381626567.06	320515739618838.4	382742272724682.06	379838381626567.06	320515739618838.4	382225905988795.9	382225905988795.9	339239718522036.2	339239718522036.2	370707496264334.9	311384854256606.2	370707496264334.9	311384854256606.2	330108833159804.06
2.4e-08	378463746394971.5	375684709384821.9	324923667705564.0	378463746394971.5	375684709384821.9	324923667705564.0	377874203581513.94	377874203581513.94	334944655223361.06	334944655223361.06	367494777344331.25	316733735665073.3	367494777344331.25	316733735665073.3	326754723182870.44
2.41e-08	376876197731410.1	374126927258816.9	327580744598963.25	376876197731410.1	374126927258816.9	327580744598963.25	376246552778313.06	376246552778313.06	333255404222745.56	333255404222745.56	366435171296810.06	319888988636956.44	366435171296810.06	319888988636956.44	325563648260738.75
2.4300000000000003e-08	374721431161087.75	371963065355093.6	333274421733767.6	374721431161087.75	371963065355093.6	333274421733767.6	374004140293150.7	374004140293150.7	330735170721927.75	330735170721927.75	365266421276676.5	326577777655350.56	365266421276676.5	326577777655350.56	324038526643510.7
2.44e-08	374109563440933.75	371310682075544.56	336280842013154.3	374109563440933.75	371310682075544.56	336280842013154.3	373344728797796.25	373344728797796.25	329865739770521.0	329865739770521.0	365087822056020.5	330057981993630.25	365087822056020.5	330057981993630.25	323642879750996.9
2.46e-08	373681256044349.56	370725273506680.06	342511143672943.2	373681256044349.56	370725686931139.4	342511143672943.2	372813478790777.25	372813478790777.25	328786702787523.94	328786702787523.94	365363989373838.75	337149859540101.8	365364402798298.0	337149859540101.8	323425418654682.56
2.4700000000000003e-08	373809830952446.0	370735609108757.8	345692855786710.9	373809830952446.0	370736022533217.1	345692855786710.9	372885828014731.7	372885828014731.7	328526245589754.4	328526245589754.4	365753434904161.3	340710681582114.4	365753848328620.56	340710681582114.4	323544071385157.8
2.49e-08	374609393217254.75	371219315345271.94	352077778067325.9	374609393217254.75	371219315345271.94	352077778067325.9	373567564407380.44	373567564407380.44	328432811732486.9	328432811732486.9	366887870722387.25	347746333444441.2	366887870722387.25	347746333444441.2	324101367109602.2
