R	3A2_3B1	3A2_3B2
Intensities	7.816152520370923e-14	7.816152520370923e-14
2e-08	165976559102851.16	165975732253932.53
2.0099999999999998e-08	165837235172916.03	165835994899538.1
2.0200000000000002e-08	165689642753797.56	165688402485120.72
2.03e-08	165532955015375.94	165531714741998.0
2.04e-08	165366758509694.72	165365518236316.8
2.0499999999999998e-08	165190226406636.88	165188986133258.97
2.0600000000000002e-08	165003358701495.8	165002118428117.9
2.07e-08	164805328540660.12	164804088271983.25
2.08e-08	164600683593179.34	164599443319801.44
2.09e-08	164376194295154.6	164375367446235.97
2.1000000000000003e-08	164143849932408.53	164142609659033.38
2.11e-08	163899102845288.25	163897862571910.34
2.12e-08	163641953033793.72	163640712760415.8
2.13e-08	163372400502623.28	163371160229245.34
2.1400000000000003e-08	163090031822622.0	163088791549244.1
2.15e-08	162794846989080.7	162793606715705.5
2.15e-08	162794846989080.7	162793606715705.5
2.16e-08	162486846016110.66	162486019167192.03
2.17e-08	162167269158282.88	162166028884904.97
2.1800000000000003e-08	161835289580779.2	161834049307404.0
2.19e-08	161490907283602.3	161489667010224.4
2.2000000000000002e-08	161135362526026.97	161134122252651.8
2.21e-08	160768241902398.12	160767415053479.53
2.2200000000000004e-08	160390372247528.47	160389131974150.56
2.23e-08	160001753561420.7	160000513288042.78
2.2400000000000002e-08	159603212697694.53	159601972429017.7
2.25e-08	159195576505265.78	159194749656347.2
2.2599999999999997e-08	158779258403895.5	158778018130520.3
2.27e-08	158355498666958.78	158354258398281.94
2.29e-08	157485654300494.84	157484414027116.94
2.2999999999999998e-08	157042463628076.8	157041223354698.88
2.3100000000000002e-08	156593898447092.7	156592658173717.5
2.32e-08	156141199026216.56	156142025875135.2
2.33e-08	155686019053886.34	155686845902804.94
2.3500000000000002e-08	154769871180896.06	154770284605355.34
2.36e-08	154313037515426.9	154313864364345.53
2.37e-08	153857030698879.12	153857444123338.44
2.3799999999999998e-08	153399370184491.4	153400197033410.0
2.4e-08	152491904220445.44	152492731064662.97
2.41e-08	152042098761382.34	152042512185838.9
2.4300000000000003e-08	151158611397163.5	151159438241381.03
2.44e-08	150725756326825.9	150726169751285.22
2.46e-08	149879477131031.47	149879890555490.78
2.4700000000000003e-08	149467293274254.22	149467706698713.5
2.49e-08	148668144429203.66	148668557853662.97
2.5e-08	148281592865392.4	148282006289851.72
2.52e-08	147571743633021.78	147537429431111.44
2.5400000000000002e-08	146866855484757.94	146832127858388.3
2.55e-08	146529914823147.47	146529914823147.47
2.57e-08	145888280565434.4	145887867145676.16
2.59e-08	145288815579056.78	145288815579056.78
2.61e-08	144732760123294.78	144732760123294.78
2.63e-08	144220114198137.47	144220114198137.47
2.65e-08	143750050959378.22	143750050959378.22
2.67e-08	143321743562794.03	143321330143033.06
2.69e-08	142933538305846.66	142933124881387.34
2.71e-08	142585021759375.66	142584608339617.44
2.7400000000000004e-08	142131908914040.28	142131495489580.97
2.76e-08	141873105409406.84	141873105409406.84
2.7900000000000002e-08	141546500345175.78	141546086920716.47
2.81e-08	141366660846440.75	141366247421981.44
2.84e-08	141148372905906.16	141147959481446.84
2.8700000000000002e-08	140987137493736.6	140986724069277.3
2.89e-08	140908173483137.16	140908173483137.16
2.92e-08	140827969203860.84	140827555779401.53
2.96e-08	140804817452946.8	140804817452946.8
2.99e-08	140811432239594.62	140811018815135.3
3.02e-08	140846159865961.53	140846159865961.53
3.06e-08	140929258116452.97	140929258116452.97
3.09e-08	141014423484539.84	141014423484539.84
3.13e-08	141151266872420.22	141151680296879.53
3.17e-08	141302580106971.34	141302993531430.66
3.2200000000000004e-08	141517560656532.56	141517974080991.88
3.26e-08	141697400150566.53	141657298010929.75
3.31e-08	141885094704623.47	141885921553539.34
3.3599999999999996e-08	142110410856265.16	142111237705181.03
3.42e-08	142368387516678.28	142369627790056.2
3.48e-08	142648275654624.78	142647448805706.2
3.54e-08	142867390444077.97	142867803863836.22
3.61e-08	143090226048963.84	143089812624504.56
3.6800000000000005e-08	143233270799032.72	143232857374573.4
3.76e-08	143434608350841.78	143433781501923.2
3.85e-08	143560702712185.12	143559875863266.53
3.95e-08	143638013024947.38	143637186176028.78
4.05e-08	143657857384885.28	143657030535966.7
4.17e-08	143618995513925.34	143618168665006.75
4.3099999999999996e-08	143509851541307.53	143509438116848.22
4.46e-08	143342001347191.25	143341587922731.94
4.64e-08	143082784413397.47	143082370988938.16
4.85e-08	142779744529238.0	142779331104778.72
5.11e-08	142437429344955.53	142437015920498.97
5.4299999999999997e-08	142078163776648.6	142077750352189.28
5.8499999999999994e-08	141701534390458.5	141701120965999.22
6.440000000000001e-08	141409243532833.34	141408830108374.06
7.37e-08	141219481856482.66	141219068432023.34
9.28e-08	141155401117010.5	141154987692551.22
1e-06	138772148809093.02	138772148809093.02
