R	8B1_4B1	8B2_4B2	4A2_8B1	4A2_8B2	8A2_4B1	8A2_4B2	8A2_4A2
Intensities	9.63012377682593e-06	9.63012377682593e-06	1.7912362521282485e-06	1.7912362521282485e-06	1.8264438172430862e-06	1.8264438172430862e-06	4.08608887861692e-05
2e-08	542514162470112.56	542514162470112.56	545721093457088.06	545721093457088.06	569119245587211.4	569119245587211.4	572326176574186.9
2.0099999999999998e-08	518755504498307.1	518755504498307.1	522158811948281.2	522158811948281.2	545380018546186.25	545380018546186.25	548783325996160.25
2.0200000000000002e-08	495927050826399.06	495927050826399.06	499546165670154.6	499546165670154.6	522572236078436.4	522572236078436.4	526191350922191.9
2.03e-08	474003995991547.6	474003995991547.6	477859176013481.9	477859176013481.9	500671919574737.94	500671919574737.94	504527099596672.2
2.04e-08	452963601686094.1	452963188261637.56	457073450972769.8	457073450972769.8	479655503869117.0	479655090444660.44	483765353155792.7
2.0499999999999998e-08	432783129569486.1	432783129569486.1	437164598509628.8	437164598509628.8	459500664045477.8	459500664045477.8	463882132985620.44
2.0600000000000002e-08	413443148710946.1	413443148710946.1	418110707151221.06	418110707151221.06	440187969182442.1	440187969182442.1	444855527622717.0
2.07e-08	394925468453066.3	394925468453066.3	399890692268934.56	399890692268934.56	421699642037662.0	421699642037662.0	426664865853530.25
2.08e-08	377216032364235.75	377216032364235.75	382488430308859.2	382488430308859.2	404021626184227.75	404021626184227.75	409294024128851.2
2.09e-08	360308225671912.6	360308225671912.6	365894825956392.94	365894825956392.94	387146893425135.4	387146893425135.4	392733493709615.7
2.1000000000000003e-08	344199154400175.25	344199154400175.25	350104504693567.5	350104504693567.5	371073376623987.94	371073376623987.94	376978726917380.2
2.11e-08	328896260184598.3	328896260184598.3	335119533628581.75	335119533628581.75	355808930854911.6	355808930854911.6	362032204298895.0
2.12e-08	314416079984741.44	314416079984741.44	320948594684472.1	320948594684472.1	341368852794691.5	341368852794691.5	347901367494422.25
2.13e-08	300773083656674.75	300773083656674.75	307591687851844.9	307591687851844.9	327768852577479.5	327768852577479.5	334587456772649.6
2.1400000000000003e-08	298886215924386.6	298886215924386.6	305952047748729.06	305952047748729.06	315039937004810.4	315039937004810.4	322105768829152.8
2.15e-08	298858929928882.3	298863064173472.6	306114523429578.2	306114110009819.94	303201537007464.44	303206084671812.94	310457130508160.3
2.15e-08	298858929933580.6	298863064173472.6	306114110009819.94	306114110009819.94	303201950431921.0	303206084671812.94	310457130508160.3
2.16e-08	299951609909631.5	299951609909631.5	307311799718593.94	307311799718593.94	299713891033618.3	299713891033618.3	307074080842580.75
2.17e-08	313374664599326.4	313374251174867.1	320666639424229.1	320666225999769.8	313084854283758.75	313084854283758.75	320376829108661.5
2.1800000000000003e-08	305107835675233.9	305107835675233.9	312386580926843.75	312386580926843.75	304782470884378.0	304782470884378.0	312061216135987.9
2.19e-08	308977485543838.9	308977485543838.9	316063161728121.94	316063161728121.94	308603336704401.9	308603336704401.9	315689012888684.94
2.2000000000000002e-08	313569387369191.5	313569800793648.06	320373935146845.75	320373935146845.75	313141906816822.1	313142320241278.7	319946454594476.4
2.21e-08	318775224027589.75	318775224027587.0	325230014985400.56	325229601560938.56	318288210400102.25	318288623824561.56	324743001357913.06
2.2200000000000004e-08	324484197857980.75	324484197857980.75	330543341923280.5	330543341923280.5	323932276642105.25	323932276642105.25	329991420707405.0
2.23e-08	330590058849562.4	330590472274021.7	336230404271437.06	336230404271437.06	329964961565517.6	329965374989976.94	335605306987392.4
2.2400000000000002e-08	336992758367821.5	336993171792280.8	342209344057457.8	342209344057457.8	336285389677505.6	336285803101964.94	341501975367141.94
2.25e-08	343601343106936.56	343601343106936.56	348403264393039.8	348402850968580.5	342800953988510.8	342801367412970.1	347602875274614.06
2.2599999999999997e-08	350333128236182.56	350333128236182.56	354739402625073.7	354738989200614.4	349427315965272.75	349427729389732.06	353833590354163.9
2.27e-08	357116591380523.75	357116591380523.75	361152851174568.2	361152851174568.2	356092126379135.94	356092126379135.94	360128386173180.3
