R	1B1_2A1	2B1_1A1	2B1_1B1	1B2_2A1	2B2_1A1	2B2_1B2	1A2_2B1	1A2_2B2	2A2_2B1	2A2_2B2
Intensities	3.5068686295736946e-11	3.814347026242832e-11	7.395630595514601e-12	3.5068686295736946e-11	3.814347026242832e-11	7.395630595514601e-12	3.814347026242832e-11	3.814347026242832e-11	1.0752958786372107e-10	1.0752958786372107e-10
2.0	1079.5935103000083	322.07243529999687	3211.0981956000032	1079.5935103000083	322.07024059999094	3211.0960008999973	322.07243529999687	322.07024059999094	3223.0551734000037	3223.0529786999978
2.01	1075.4256869999954	323.17419790000713	3087.136729799997	1075.4256869999954	323.17200310000044	3087.13453499999	323.17419790000713	323.17200310000044	3099.769689499997	3099.7674946999905
2.02	1070.9944942000002	324.3220503000048	2967.8917739000026	1070.9944942000002	324.3176608000067	2967.8873844000045	324.3220503000048	324.3176608000067	2981.229247199997	2981.224857699999
2.03	1066.2889582000062	325.5094079999981	2853.209695400001	1066.2889582000062	325.5072133000067	2853.2075007000094	325.5094079999981	325.5072133000067	2867.2802138999978	2867.2780192000064
2.04	1061.295910300003	326.74943959999655	2742.9478360000066	1061.295910300003	326.7450500999985	2742.9434465000086	326.74943959999655	326.7450500999985	2757.775542000003	2757.771152500005
2.05	1055.9955979000079	328.03556099999696	2636.956953000001	1055.9955979000079	328.0311714999989	2636.9525635000027	328.03556099999696	328.0311714999989	2652.5703782000055	2652.5659887000074
2.06	1050.3704632000008	329.3699668000045	2535.096582500002	1050.3704632000008	329.36557729999186	2535.0921929999895	329.3699668000045	329.36557729999186	2551.526453300001	2551.5220637999882
2.07	1044.4117270999996	330.7592411000078	2437.237234500004	1044.4117270999996	330.7548516000097	2437.232845000006	330.7592411000078	330.7548516000097	2454.505498300001	2454.501108800003
2.08	1038.0930523999996	332.2055790000013	2343.2406398999883	1038.0930523999996	332.20118950000324	2343.2362503999902	332.2055790000013	332.20118950000324	2361.3714390999958	2361.3670495999977
2.09	1031.4473605999956	333.7002011999866	2252.986087799989	1031.4473605999956	333.69581169998855	2252.981698299991	333.7002011999866	333.69581169998855	2272.0057592999947	2272.0013697999966
2.1	1024.3912511999952	335.2584710999945	2166.348477599997	1024.3912511999952	335.2540815999964	2166.3440880999988	335.2584710999945	335.2540815999964	2186.278968800005	2186.2745793000067
2.11	1016.9466719000047	336.87380430000485	2083.215877300012	1016.9466719000047	336.8694148000068	2083.211487800014	336.87380430000485	336.8694148000068	2104.074746099999	2104.070356600001
2.12	1009.1026485000039	338.55278529999487	2003.463186199995	1009.104843299996	338.5483957999968	2003.4609914999892	338.55278529999487	338.5483957999968	2025.2701854999905	2025.2657959999924
2.13	1000.8657657000003	340.2954139000067	1926.9982252000045	1000.8657657000003	340.2910244000086	1926.9938357000065	340.2954139000067	340.2910244000086	1949.7665233000007	1949.7621338000026
2.14	992.5871827000083	342.1038847000018	1853.693698700008	992.5871827000083	342.0994953000045	1853.6893093000108	342.1038847000018	342.0994953000045	1877.438658900006	1877.4342695000087
2.15	983.5250751999993	343.9803929000045	1783.4552328999998	983.5250751999993	343.9738087000005	1783.4486486999958	343.9803929000045	343.9738087000005	1808.1878289000015	1808.1812446999975
2.16	974.0635238999967	345.9293275999953	1716.181869299995	974.0635238999967	345.92493809999723	1716.177479799997	345.9293275999953	345.92493809999723	1741.9064906999993	1741.9021012000012
2.17	964.2091130000044	347.9506890000048	1651.7770392000093	964.2091130000044	347.94629949999216	1651.7726496999967	347.9506890000048	347.94629949999216	1678.4958806000068	1678.4914910999942
