R	8B1_4A1	8B1_5B1	8B1_6B1	8B2_4A1	8B2_5B2	8B2_6B2	5A2_8B1	5A2_8B2	6A2_8B1	6A2_8B2	8A2_5B1	8A2_6B1	8A2_5B2	8A2_6B2	8A2_5A2	8A2_6A2
Intensities	1.1296246783833852e-06	3.114620111276535e-05	2.329963181587993e-07	1.1296246783833852e-06	3.114620111276535e-05	2.329963181587993e-07	1.1430084513999945e-06	1.1429541071772353e-06	9.048522891735008e-07	9.048522891735008e-07	1.8665747535758376e-06	1.7252524986134805e-08	1.8665747535758376e-06	1.7252524986134805e-08	6.459630182124728e-16	3.796567507120841e-05
2.12	1610.3599816700444	1522.060948545768	1019.0975231938064	1610.3599816700444	1522.0675327649515	1019.0997179418337	1609.8925007115613	1609.8925007115613	1036.64671460721	1036.64671460721	1665.121096627001	1162.1576712750393	1665.1276808461844	1162.1598660230666	1752.9526487927942	1179.706862688443
2.13	1530.6709382741537	1447.2991105597466	961.1276891707967	1530.6709382741537	1447.3056948038575	961.1298839188385	1530.168341371973	1530.168341371973	981.650761834404	981.650761834404	1590.5875122625876	1104.4160908736376	1590.5940965066984	1104.4182856216794	1673.4567430748139	1124.939163537245
2.15	1504.6785578587296	1428.6591302681773	977.9635880697024	1504.6785578587296	1428.6701040083863	977.967977565786	1500.883841514864	1500.883841514864	1005.821502847888	1005.821502847888	1451.6907979216485	1000.9952557231736	1451.7017716618575	1000.9996452192572	1523.9155091683351	1028.8531705013593
2.16	1494.995337186614	1427.6100415279507	994.2881110493036	1494.995337186614	1427.616625772076	994.2903057973308	1494.3764187131164	1494.3764187131164	1026.4828445133317	1026.4828445133317	1426.3722046058974	993.0502741272503	1426.3787888500228	993.0524688752776	1493.1385817910632	1025.2450075912784
2.17	1552.212373205417	1492.5767267416813	1072.3881581110327	1552.212373205417	1492.581116237765	1072.39035285906	1554.5783097223175	1554.5783097223175	1109.4574231317238	1109.4574231317238	1491.0623517910135	1070.8737831603648	1491.066741287097	1070.875977908392	1553.0639347716497	1107.943048181056
2.19	1493.6016732784046	1441.3447638651123	1053.6976986394584	1493.6016732784046	1441.349153361196	1053.6998933875002	1492.840096306987	1492.840096306987	1100.8430439072545	1100.8430439072545	1439.3804659153539	1051.7334006897	1439.3848554114375	1051.7355954377417	1490.8757983572286	1098.878745957496
2.2	1497.4293108179263	1449.5399465381051	1074.3173401170643	1497.427116069899	1449.5421412861615	1074.3195348651207	1496.6128651953914	1496.610670447364	1126.7234922723874	1126.7212975243601	1447.290331592536	1072.067725171495	1447.2947210886196	1072.0721146675787	1494.3632502498222	1124.4738773268182
2.22	1509.1931509861752	1468.8273770526575	1114.057611382872	1509.1931509861752	1468.8295718006993	1114.0598061309138	1508.2559943211963	1508.2559943211963	1176.6473863644496	1176.6473863644496	1465.9171434457385	1111.147377775953	1465.9193381937803	1111.1495725239947	1505.3457607142773	1173.7371527575306
2.23	1516.556524825297	1479.3731330062728	1132.767823586808	1516.5543300772406	1479.3753277543	1132.7700183348352	1515.5535257689771	1515.5513310209208	1200.0828873580613	1200.080692610005	1476.074429320448	1129.469119900983	1476.0788188165316	1129.4735093970667	1512.2548220831522	1196.7841836722364
2.25	1533.1136909225897	1501.3030380413838	1167.4470098621532	1533.1136909225897	1501.3074275374674	1167.4513993582368	1531.9614490992972	1531.9614490992972	1243.1503940092516	1243.1503940092516	1497.0759566577908	1163.2199284785602	1497.0803461538744	1163.2243179746438	1527.7343677157041	1238.9233126256586
2.26	1541.9475447764999	1512.3996753291285	1183.3742837706814	1541.9475447764999	1512.4018700771558	1183.378673266765	1540.7119026024884	1540.7119026024884	1262.6946097950859	1262.6946097950859	1507.6129336441954	1178.5875420857483	1507.6151283922227	1178.591931581832	1535.9251609175553	1257.9078681101528
2.28	1559.9664118964283	1534.2659327209403	1212.3932193393994	1559.9642171483865	1534.2659327209403	1212.3954140874266	1558.5508005327574	1558.5486057847156	1297.817134825411	1297.814940077369	1528.1294220636628	1206.2567086821218	1528.1316168117046	1206.2610981781909	1552.4142898754799	1291.6806241681334
2.3	1577.5990036854928	1555.0040905179194	1237.6042701009428	1577.5990036854928	1555.0062852659612	1237.6086595970264	1575.9770861556754	1575.9770861556754	1327.7710323360225	1327.7710323360225	1547.1425092477439	1229.7426888307673	1547.1447039957857	1229.747078326851	1568.1155048854998	1319.909451065847
2.31	1585.9434291005164	1564.6741427017841	1248.716270600009	1585.9434291005164	1564.6785321978678	1248.7206600960926	1584.2095795204077	1584.2095795204077	1340.8187990852603	1340.8187990852603	1555.8117571483017	1239.8538850465266	1555.8161466443853	1239.8582745426102	1575.3471939669253	1331.9564135317778
2.33	1600.4770391008497	1581.4639519167686	1267.1258025718416	1600.4770391008497	1581.4617571687268	1267.1258025718416	1598.4929884436715	1598.4929884436715	1362.3624287645798	1362.3624287645798	1570.9555066299508	1256.617357285024	1570.953311881909	1256.617357285024	1587.9845431568538	1351.853983477762
2.35	1582.401108581762	1565.1613763926289	1251.1063493453694	1582.401108581762	1565.1613763926289	1251.1063493453694	1580.1295461557747	1580.1295461557747	1348.6847698515194	1348.6847698515194	1582.460366728963	1268.4053396817035	1582.460366728963	1268.4053396817035	1597.4285364921088	1365.9837601878535
2.36	1561.2130277856922	1544.6975618762226	1230.3901390038664	1561.2130277856922	1544.6975618762226	1230.3901390038664	1558.7922226176597	1558.7922226176597	1328.8947424597427	1328.8947424597427	1586.540400068654	1272.2329771962977	1586.540400068654	1272.2329771962977	1600.635060810091	1370.737580652174
2.38	1521.817331712824	1506.4189916829491	1191.499234581206	1521.817331712824	1506.4189916829491	1191.499234581206	1519.07389883227	1519.07389883227	1290.956357913412	1290.956357913412	1591.2656888832862	1276.3459317815432	1591.2656888832862	1276.3459317815432	1603.9205960326071	1375.803055113749
2.4	1487.0986399727408	1472.3653080753284	1202.9009415971523	1487.0986399727408	1472.3653080753284	1202.9009415971523	1483.9689317613374	1483.9689317613374	1256.1454868304572	1256.1454868304572	1591.283246842664	1321.818880364488	1591.283246842664	1321.818880364488	1602.8868705286732	1375.063425597793
2.42	1456.8484517261095	1442.3082574816508	1216.5654320469184	1456.8484517261095	1442.3082574816508	1216.5654320469184	1453.2797942308534	1453.2797942308534	1224.5169978869671	1224.5169978869671	1586.867417277259	1361.1245918425266	1586.867417277259	1361.1245918425266	1597.8389540264616	1369.0761576825753
2.44	1430.7178022838925	1415.8747330343322	1229.9204632973415	1430.7178022838925	1415.8747330343322	1229.9204632973415	1426.6575216266647	1426.6575216266647	1195.9040903814603	1195.9040903814603	1573.4245961800334	1387.4703264430427	1573.4245961800334	1387.4703264430427	1584.207384772366	1353.4539535271615
2.46	1408.364311226178	1392.6872383947048	1242.9111666474346	1408.364311226178	1392.6872383947048	1242.9111666474346	1403.7553439828625	1403.7553439828625	1170.0916791557102	1170.0916791557102	1546.0144096528966	1396.2383379056264	1546.0144096528966	1396.2383379056264	1557.0825152410544	1323.418850413902
2.48	1389.4675455884571	1372.3924193527055	1255.4958419342875	1389.4653508404153	1372.3924193527055	1255.4936471862457	1384.2572178559785	1384.2550231079367	1146.855900084105	1146.8537053360633	1521.6241940099717	1404.7276165915537	1521.6263887580135	1404.7276165915537	1533.4889925132447	1296.0876747413713
2.5	1373.7158513735048	1354.6742324898369	1267.6152310107136	1373.7158513735048	1354.6742324898369	1267.6152310107136	1367.8536840217566	1367.8536840217566	1125.966304797068	1125.966304797068	1499.9532690690394	1412.8942675899161	1499.9532690690394	1412.8942675899161	1513.1327206009591	1271.2453413762705
2.52	1360.8217168623669	1339.2627239467838	1279.2100756796135	1360.8217168623669	1339.2627239467838	1279.2100756796135	1354.2747886457946	1354.2747886457946	1107.2056134131562	1107.2056134131562	1480.7382651899388	1420.6856169227685	1480.7382651899388	1420.6856169227685	1495.7503298889496	1248.6811546563113
2.54	1350.510798749543	1325.997677316118	1290.1399122659204	1350.510798749543	1325.9998720641597	1290.1399122659204	1343.2505779935018	1343.2505779935018	1105.1644993568043	1105.1644993568043	1463.8321344535361	1427.9743694033386	1463.834329201578	1427.9743694033386	1481.08503513092	1242.9989564942225
2.56	1342.5153379736294	1315.3597420196456	1299.676084944047	1342.5153379736294	1315.3597420196456	1299.676084944047	1334.53743518205	1334.53743518205	1110.4011640408426	1110.4011640408426	1449.7133315085957	1434.0296744329971	1449.7133315085957	1434.0296744329971	1468.8910246710002	1244.7547535297927
2.59	1334.2191969656124	1318.1646277954424	1297.000689227818	1334.2191969656124	1318.1646277954424	1297.0028839509177	1325.1965949298756	1325.1965949298756	1116.533285202022	1116.533285202022	1447.6151540530846	1426.4512154854601	1447.6151540530846	1426.45341020856	1454.6471211875178	1245.9838114596641
2.61	1330.766861041673	1326.969949924809	1289.2005608528998	1330.766861041673	1326.969949924809	1289.2005608528998	1321.1011983289354	1321.1011983289354	1119.5664245744847	1119.5664245744847	1453.3631946064997	1415.5938055345905	1453.3631946064997	1415.5938055345905	1447.4944430106261	1245.9596692561754
2.63	1328.6730730822455	1335.6721190210083	1282.0478826760082	1328.6708783342183	1335.669924272981	1282.045687927981	1318.4214131166227	1318.4192183685955	1121.8511554887082	1121.848960740681	1459.1704933071305	1405.5462569621304	1459.1704933071305	1405.5462569621304	1441.919787402745	1245.3495297748304
2.66	1327.5361944952456	1347.938556091438	1272.8255587182648	1327.5339997472038	1347.9363613433961	1272.8255587182648	1316.5317365503724	1316.5295418023306	1124.1029652073048	1124.100770459263	1467.4007919487776	1392.2877945756045	1467.4007919487776	1392.2899893236463	1435.9939724077121	1243.5652010646445
2.68	1327.792979816426	1355.5323783002095	1267.5845045630995	1327.7907850683841	1355.5301835521677	1267.5845045630995	1316.3781043122435	1316.3759095642017	1124.9698899848736	1124.9676952368318	1472.4969928579958	1384.5491191208857	1472.4969928579958	1384.5513138689275	1433.3427188700298	1241.9345045426599
2.71	1329.2502913429635	1366.038628838971	1260.8685808721057	1329.2502913429635	1366.038628838971	1260.8685808721057	1317.3328189366148	1317.3328189366148	1125.5580819858005	1125.5580819858005	1479.533349488498	1374.3633015216328	1479.533349488498	1374.3633015216328	1430.827539586142	1239.0528026353277
2.73	1330.714187113641	1372.4692354592844	1257.0387485595857	1330.7119923905557	1372.4670407361991	1257.0365538365004	1318.5311503939156	1318.5289556708303	1125.5997821486671	1125.5975874255819	1483.821883742392	1368.3913968426932	1483.821883742392	1368.3913968426932	1429.8837986770232	1236.9524304317747
2.76	1333.356661659156	1381.2833366057748	1252.0917904173693	1333.3544669360708	1381.2811418826896	1252.0917904173693	1320.8597762190911	1320.8575814960059	1125.2925176724384	1125.2903229493531	1489.6664931597043	1360.4749469712988	1489.6664931597043	1360.477141694384	1429.2429327730206	1233.6756742263678
2.79	1336.2668952411186	1389.153696843161	1247.9305514251027	1336.2647005180334	1389.1515021200757	1247.9283567020175	1323.5395614563458	1323.5373667332606	1124.6933519313025	1124.6911572082172	1494.8329259563325	1353.6097805382742	1494.8329259563325	1353.6097805382742	1429.2187905695173	1230.372581044474
2.82	1339.234192247197	1396.139574318644	1244.3904256543901	1339.231997499155	1396.1373795706022	1244.3904256294481	1326.3378629880172	1326.3356682399753	1123.9164117485634	1123.9142170005216	1499.3606875720434	1347.6115389077895	1499.3606875720434	1347.6137336308893	1429.5589762414165	1227.1375250019628
2.85	1342.1115046584455	1402.2958377082832	1241.3419230456493	1342.1093099104037	1402.2936429602414	1241.3419230456493	1329.0900748607382	1329.0878801126964	1123.034123759644	1123.0319290116022	1503.276114958353	1342.322200295719	1503.276114958353	1342.324395043761	1430.070352110808	1224.0144010097138
2.88	1344.8000688629254	1407.683939857423	1238.679695767758	1344.8000688629254	1407.683939857423	1238.679695767758	1331.686459722332	1331.686459722332	1122.092577573625	1122.092577573625	1506.62090832807	1337.616664238405	1506.62090832807	1337.616664238405	1430.6234281929792	1221.0295460442721
2.91	1347.240626763305	1412.3587494671228	1236.3137592508574	1347.2384320152632	1412.356554719081	1236.3115645028156	1334.0611752313998	1334.058980483358	1121.1203049649193	1121.1181102168775	1509.4257940789248	1333.3808038626594	1509.4257940789248	1333.3808038626594	1431.1282198432018	1218.1873495767213
2.94	1349.3870886507793	1416.370745717344	1234.1738816324796	1349.3870886507793	1416.370745717344	1234.1760763555649	1336.1681316790782	1336.1681316790782	1120.1260848758247	1120.1260848758247	1511.7280829525262	1329.5312188676617	1511.7280829525262	1329.533413590747	1431.5254689142603	1215.4834221110068
2.97	1351.2306755331374	1419.7769919823186	1232.2051941866375	1351.2284807850956	1419.7747972342768	1232.2029994385957	1337.9787973907223	1337.9766026426805	1119.116501600336	1119.1143068522942	1513.5606961196318	1325.9888983239507	1513.5606961196318	1325.9888983239507	1431.7625015280355	1212.9002057376492
3.01	1353.1949734828959	1423.4378288204316	1229.7580520670745	1353.1949734828959	1423.4378288204316	1229.7580520670745	1339.9123688679101	1339.9123688679101	1117.7382009284192	1117.7382009284192	1515.314298432102	1321.634521678745	1515.314298432102	1321.634521678745	1431.7888384795806	1209.6146705400897
3.04	1354.2945413781563	1425.577706463766	1228.0044497795316	1354.2945413781563	1425.577706463766	1228.0044497795316	1340.9921840557508	1340.9921840557508	1116.6759437248838	1116.6759437248838	1516.1483020140295	1318.575045329795	1516.1483020140295	1318.575045329795	1431.5627796060144	1207.2465392751474
