R	10B1_1A1	10B1_1B1	10B2_1A1	10B2_1B2	1A2_10B1	1A2_10B2	2A2_10B1	2A2_10B2	10A2_1B1	10A2_1B2	10A2_1A2	10A2_2A2
Intensities	0.22769106453237628	0.29912767066909174	0.22768827518035004	0.29912458475397113	0.23519529367716807	0.23520204831110542	0.061016807201482386	0.06100447762640675	0.3779231060448909	0.3779233247876313	3.013346424029183e-10	0.4038776359227444
2.12	12358.44303034118	13367.552263134668	12358.44303034118	13367.552263134668	13389.339509646918	13389.339509646918	11702.69014657689	11702.69014657689	13305.664806977307	13305.664806977307	13327.452053489556	11640.802690419529
2.13	12302.3123937294	13303.184743662074	12302.310198981359	13303.182548914032	13325.933289067762	13325.93109431972	11716.53021677013	11716.528022022088	13241.159018477934	13241.159018477934	13263.907563883622	11654.50449158599
2.15	12200.882193480225	13184.411658140685	12200.882193480225	13184.411658140685	13209.124501496146	13209.124501496146	11744.987297289466	11744.987297289466	13122.144510846687	13122.144510846687	13146.857354202148	11682.720149995468
2.16	12155.738456804043	13129.804175446785	12155.738456804043	13129.806370194827	13155.5090440934	13155.5090440934	11759.59991814442	11759.59991814442	13067.43168034662	13067.433875094663	13093.136548993236	11697.227423044256
2.17	12117.178959086072	13081.38807206128	12117.178959086072	13081.390266809307	13108.08716079699	13108.08716079699	11777.612201020209	11777.612201020209	13019.12311954028	13019.125314288307	13045.82220827599	11715.347248499209
2.19	12040.496718086157	12983.868909702345	12040.494523363071	12983.86671497926	13012.549854347191	13012.547659624106	11804.938987196656	11804.93679247357	12921.27474524964	12921.27474524964	12949.955689894487	11742.344822743951
2.2	12008.4556168852	12940.884803451758	12008.4556168852	12940.884803451758	12970.544604949435	12970.544604949435	11820.55680190587	11820.55680190587	12878.25771777844	12878.25771777844	12907.917519276118	11757.929716232553
2.22	11953.306031849323	12862.927414862992	11953.30383710128	12862.92522011495	12894.492256138255	12894.490061390214	11852.593513635686	11852.591318887644	12800.320081897094	12800.320081897094	12831.884923172358	11789.986180669788
2.23	11929.989047125171	12827.807084555752	11929.989047125171	12827.809279303794	12860.291524536646	12860.291524536646	11869.032163388663	11869.032163388663	12765.261204510054	12765.263399258096	12797.745644490948	11806.486283342965
2.25	11902.813698463768	12764.96710849712	11902.813698463768	12764.96710849712	12799.18978755419	12799.18978755419	11902.813698463768	11902.813698463768	12702.693376983952	12702.693376983952	12736.916056041024	11840.5399669506
2.26	11920.196089175763	12737.128946451296	11920.196089175763	12737.128946451296	12772.16587638286	12772.16587638286	11920.196089175763	11920.196089175763	12675.079079038696	12675.079079038696	12710.11600897026	11858.146221763163
2.28	11956.042880485751	12688.379241638002	11956.040685737724	12688.377046889975	12724.891041080453	12724.888846332426	11956.042880485751	11956.040685737724	12627.02071930941	12627.02071930941	12663.532518751861	11894.68435815716
2.3	11993.524757788837	12648.590685965202	11993.524757788837	12648.592880713244	12686.351296044959	12686.351296044959	11993.524757788837	11993.524757788837	12588.353679012303	12588.355873760345	12626.11428909206	11933.287750835938
2.31	12012.96362576852	12631.985235435961	12012.96362576852	12631.985235435961	12670.270389898302	12670.270389898302	12012.96362576852	12012.96362576852	12572.514194950549	12572.514194950549	12610.79934941289	11953.492585283107
2.33	12053.443526525327	12605.240057041286	12053.443526525327	12605.242251789328	12644.354825589471	12644.354825589471	12053.443526525327	12053.443526525327	12547.832078067673	12547.834272815715	12586.946846615858	11996.035547551714
2.35	12096.37934839385	12587.052194446966	12096.37934839385	12587.054389195007	12626.680533637526	12626.680533637526	12096.37934839385	12096.37934839385	12532.536891095937	12532.539085843979	12572.165230286497	12041.864045042821
2.36	12118.860134738148	12581.216364021791	12118.860134738148	12581.218558769833	12620.97199849892	12620.97199849892	12118.860134738148	12118.860134738148	12528.489778926945	12528.491973674987	12568.245413404074	12066.133549643302
2.38	12166.110827837067	12575.758029985242	12166.110827837067	12575.760224733283	12615.507080218245	12615.507080218245	12166.110827837067	12166.110827837067	12527.295836940772	12527.298031688813	12567.044887173775	12117.648634792597
2.4	12216.563655757884	12578.429036230329	12216.563655757884	12578.43123097837	12617.811563839903	12617.811563839903	12216.563655757884	12216.563655757884	12534.96428050808	12534.966475256122	12574.346808117654	12173.098900035635
2.42	12270.06498633734	12588.792628271185	12270.06498633734	12588.79482299427	12627.446500105012	12627.446500105012	12270.06498633734	12270.06498633734	12550.641353339553	12550.643548062639	12589.29522517338	12231.913711405708
2.44	12326.162701753448	12605.995049743637	12326.162701753448	12605.997244491678	12643.573495885677	12643.573495885677	12326.162701753448	12326.162701753448	12572.977286412948	12572.97948116099	12610.555732554989	12293.14493842276
2.46	12384.029382693378	12628.868695687852	12384.029382693378	12628.868695687852	12665.042504206445	12665.042504206445	12384.029382693378	12384.029382693378	12600.424783656767	12600.424783656767	12636.59859217536	12355.585470662292
2.48	12442.745430476469	12656.142807961209	12442.745430476469	12656.14500270925	12690.61568809535	12690.61568809535	12442.745430476469	12442.745430476469	12631.53531243687	12631.537507184912	12666.008192571011	12418.13793495213
2.5	12501.400025339331	12686.592718129861	12501.400025339331	12686.594912877903	12719.1013003392	12719.1013003392	12501.400025339331	12501.400025339331	12665.075425402101	12665.077620150143	12697.58400761144	12479.882732611572
2.52	12559.251343067925	12719.169337478568	12559.251343067925	12719.17153222661	12749.489757612624	12749.489757612624	12559.251343067925	12559.251343067925	12700.083823634093	12700.086018382135	12730.40424376815	12540.16582922345
2.54	12615.733139091812	12753.025493887268	12615.733139091812	12753.02768863531	12780.982172277407	12780.982172277407	12615.733139091812	12615.733139091812	12735.834046105127	12735.836240853168	12763.790724495266	12598.54169130967
