R	10A1_1A1	11A1_1A1	1B1_10A1	1B1_11A1	11B1_1A1	11B1_1B1	1B2_10A1	1B2_11A1	11B2_1A1	11B2_1B2	1A2_11B1	1A2_11B2	2A2_11B1	2A2_11B2	11A2_1B1	11A2_1B2	11A2_1A2	11A2_2A2
Intensities	4.138205035138108	1.2301719718838334e-11	0.9001233795547844	3.3521739591705235	0.966359065653381	1.1409453650749173	0.9001219327633647	3.3521755413147463	0.9663667109682368	1.140949654447257	0.9590497419352689	0.9588752213974742	3.3033565084157184	3.3035288126879516	0.9030634393420809	0.9030586088388992	4.11733469192782	2.5018302726493453e-09
2.12	13061.681445045164	13496.59017710993	14070.790677838653	14505.69940990342	13119.442778178927	14128.552010972417	14070.790677838653	14505.69940990342	13119.438388682844	14128.547621476333	14150.339257484666	14150.334867988582	12463.689894414638	12463.685504918554	14070.814820042142	14070.814820042142	14092.602066554391	12405.952703484363
2.13	13017.071031743719	13443.411474242981	14017.943381676392	14444.283824175654	13074.533879368464	14075.406229301138	14017.943381676392	14444.283824175654	13074.52948987238	14075.401839805054	14098.154774706825	14098.150385210742	12488.751702409194	12488.74731291311	14017.969718627937	14017.969718627937	14040.718264033625	12431.315191735994
2.15	12937.237135101881	13351.592068055412	13920.76659976234	14335.121532715872	12994.372965518021	13977.902430178481	13920.76659976234	14335.121532715872	12994.355407558643	13977.884872219103	14002.615273533942	14002.597715574564	12538.478069327262	12538.460511367884	13921.054111506208	13921.054111506208	13945.766954861669	12481.629750654989
2.16	12902.680854592094	13308.410434580946	13876.746573234836	14282.476153223688	12959.254829958838	13933.32054860158	13876.748767982877	14282.47834797173	12959.248245714713	13933.316159105496	13959.025417248195	13959.01883300407	12563.116291299215	12563.10970705509	13876.772910186366	13876.775104934408	13902.477778832981	12506.568652884001
2.17	12870.885564947152	13271.45310166043	13835.09467792236	14235.662214635639	12927.1105756748	13891.319688650008	13835.096872670387	14235.664409383666	12927.106186178717	13891.317493901952	13918.018777385718	13918.014387889634	12587.543817608937	12587.539428112854	13834.98494062011	13834.987135368137	13861.68402935582	12531.20906957904
2.19	12815.93570183331	13208.918195329985	13759.307893449499	14152.290386946173	12871.658115633822	13815.03030725001	13759.307893449499	14152.290386946173	12871.651531389696	13815.023723005885	13843.711251894856	13843.70466765073	12636.10038474432	12636.093800500195	13759.334230401044	13759.334230401044	13788.01517504589	12580.404307895355
2.2	12792.550680019689	13183.129926307724	13724.979866586247	14115.559112874282	12847.9965557916	13780.425742358158	13724.979866586247	14115.559112874282	12847.989971547475	13780.419158114033	13810.085543855836	13810.07895961171	12660.09774081227	12660.091156568145	13725.008398285834	13725.008398285834	13754.668199783511	12604.680396739946
2.22	12753.376653299361	13141.919175027127	13662.99803631303	14051.540558040797	12808.280426754252	13717.901809767922	13662.99803631303	14051.540558040797	12808.273842510127	13717.895225523796	13749.466651043185	13749.46006679906	12707.567908540615	12707.56132429649	13663.026568012618	13663.026568012618	13694.591409287881	12652.692666785311
2.23	12737.350615803836	13126.235517951529	13635.168653234417	14024.05355538211	12791.988824945365	13689.806862375946	13635.17084798246	14024.055750130152	12791.984435449282	13689.804667627905	13722.29130235684	13722.286912860756	12731.031941208857	12731.027551712774	13635.197184934004	13635.199379682046	13667.681624914898	12676.422263766915
