R	3A2_9B1	3A2_9B2	9A2_3A2
Intensities	0.019271492055883997	0.019270849916557954	4.238163362492036e-12
2.12	10162.1626026851	10162.1626026851	10382.352719967414
2.13	10172.68641118324	10172.68641118324	10391.493838322494
2.15	10194.289299009746	10194.287104261704	10410.177713549929
2.16	10205.357404597919	10205.355209849877	10419.709496731972
2.17	10186.44527572392	10186.44527572392	10409.045224458998
2.19	10239.571304687764	10239.569109939723	10449.000580858163
2.2	10251.295639416232	10251.295639416232	10458.982287039296
2.22	10275.19642662027	10275.19642662027	10479.25076912975
2.23	10287.364100128645	10287.364100128645	10489.526571298877
2.25	10312.10986465482	10312.107669906778	10510.352518942644
2.26	10324.674787209311	10324.674787209311	10520.891690677076
2.28	10350.188712951	10350.188712951	10542.21584572694
2.3	10376.207430342925	10376.205235594884	10563.84507050499
2.31	10389.437361029879	10389.437361029879	10574.768322847187
2.33	10417.060437967288	10417.060437967288	10596.816744176715
2.35	10475.298031051672	10475.298031051672	10619.117561331339
2.36	10515.507977974106	10515.507977974106	10630.363441361129
2.38	10590.759244374058	10590.759244374058	10653.02200214703
2.4	10657.964570843076	10657.964570843076	10675.882479627966
2.42	10717.19857873967	10717.19857873967	10698.925121046603
2.44	10769.157002643944	10769.157002643944	10727.58850773207
2.46	10814.840646864148	10814.840646864148	10767.844544338397
2.48	10855.423700704021	10855.423700704021	10803.728646340125
2.5	10892.010121529966	10892.010121529966	10836.36013433995
2.52	10925.55023447024	10925.55023447024	10866.60373834247
2.54	10956.792448057953	10956.792448057953	10895.09154530942
2.56	10986.303006813585	10986.300812065543	10922.275672987933
2.59	11028.20071368209	11028.20071368209	10961.307041210355
2.61	11054.965644784199	11054.965644784199	10986.467612766966
2.63	11081.012893875682	11081.012893875682	11011.103639990863
2.66	11119.032484049632	11119.032484049632	11047.284032753581
2.68	11143.800196056196	11143.800196056196	11070.974124320346
2.71	11180.217621382792	11180.217621382792	11105.958380323878
2.73	11204.067929431796	11204.067929431796	11128.954932058608
2.76	11239.223375657777	11239.223375657777	11162.958136486239
2.79	11273.669918840373	11273.669918840373	11196.392901620347
2.82	11307.411948475681	11307.411948475681	11229.243864249642
2.85	11340.431906554411	11340.431906554411	11261.484687397577
2.88	11372.699066653891	11372.69687190585	11293.078060397384
2.91	11404.173923334325	11404.173923334325	11323.982283036268
2.94	11434.810386936777	11434.810386936777	11354.151265680237
2.97	11464.687468340795	11464.685273592768	11383.657434939785
3.01	11502.834353776372	11502.834353776372	11421.470718947588
3.04	11530.237956084326	11530.237956084326	11448.749220692058
3.08	11565.048827117382	11565.048827117382	11483.575454961392
3.12	11597.724210053086	11597.724210053086	11516.48567576283
3.16	11628.07974613084	11628.07974613084	11547.317471791219
3.2	11655.928881916872	11655.931076664914	11575.888679108888
3.24	11681.109206230787	11681.111400978843	11602.056639242845
3.28	11703.460502540474	11703.460502540474	11625.639188230445
3.33	11727.24716294618	11727.24716294618	11661.5891326235
3.37	11742.92643052571	11742.92643052571	11690.623431453467
3.42	11758.539855663985	11758.539855663985	11724.679309759216
3.47	11770.398069923132	11770.398069923132	11756.191477131404
3.53	11781.891956331834	11781.891956331834	11790.559009459379
3.58	11792.36748039804	11792.365285649998	11816.307773041859
3.64	11809.062915497154	11809.062915497154	11843.551158867587
3.7	11828.87708511739	11828.87708511739	11866.808885419596
3.77	11851.671720182043	11851.671720182043	11888.826580301495
3.83	11868.847804727891	11868.847804727891	11903.305321650696
3.9	11885.075758868537	11885.075758868537	11915.1657306579
3.98	11898.009398819471	11898.009398819471	11922.390835470229
4.06	11904.762633177234	11904.762633177234	11923.367497550047
4.14	11905.557131344322	11905.557131344322	11918.923136310012
4.23	11899.99564419972	11899.99564419972	11908.631970904607
4.32	11888.690506022758	11888.690506022758	11894.078608196854
4.42	11870.989877119267	11870.989877119267	11874.49708169431
4.53	11847.253695893538	11847.253695893538	11850.482167691938
4.64	11821.101098945976	11821.101098945976	11825.44011237986
4.76	11791.656382606612	11791.656382606612	11798.234037245857
4.89	11760.37027410799	11760.37027410799	11770.018378836394
5.03	11728.616684625944	11728.616684625944	11741.774188702388
5.19	11695.811811680585	11695.811811680585	11712.717942416988
5.35	11667.244993834058	11667.244993834058	11687.236937870955
5.54	11638.761576363191	11638.761576363191	11661.306010350774
5.74	11615.09343227683	11615.09343227683	11638.803276551014
5.96	11595.349494544018	11595.349494544018	11618.77402179742
6.21	11579.270783145403	11579.270783145403	11600.919760655815
6.5	11566.730002794415	11566.732197542457	11585.337061915256
6.82	11557.904927932672	11557.904927932672	11572.93455059106
7.19	11551.66745894037	11551.66745894037	11563.066971233202
7.62	11547.787147497744	11547.787147497744	11555.058341969037
8.14	11545.421210980843	11545.423405703928	11549.41564924673
8.76	11544.130700155714	11544.130700155714	11545.989650249408
9.55	11543.483249982615	11543.483249982615	11544.126310659616
10.56	11543.233048905546	11543.233048905546	11543.351565199962
11.96	11543.169401262276	11543.169401262276	11543.125506351353
14.03	11543.158427547009	11543.16062229505	11543.088195659599
17.58	11543.158427522067	11543.158427522067	11543.088195634657
25.83	11543.16062229505	11543.16062229505	11543.088195659599
