R	4A1_3A1	3B1_4A1	5B1_3A1	5B1_3B1	6B1_3A1	6B1_3B1	3B2_4A1	5B2_3A1	5B2_3B2	6B2_3A1	6B2_3B2	5A2_3B1	5A2_3B2	6A2_3B1	6A2_3B2
Intensities	1.0335408291399565e-14	0.001743680545097673	0.005858292915737348	0.007207360775263702	6.410244170598833e-06	6.6132383300660165e-06	0.0017436614417885158	0.0058582345565088385	0.0072073305674329674	6.416423153104212e-06	6.6141533993397265e-06	0.0010942536982476542	0.0010942200688186397	0.00011268386689283318	0.00011269573820739303
2.12	7431.766520709105	6663.030292164694	7520.065553833381	6751.329325288971	8023.028979185343	7254.292750640932	6663.034681660778	7520.058969614198	6751.327130565871	8023.026784437316	7254.294945388989	6663.4977731231775	6663.502162619261	7236.743559227529	7236.747948723612
2.13	7509.284960014033	6749.30796396498	7592.65678772844	6832.679791679388	8078.82820911739	7318.8512130683375	6749.314548209106	7592.650203484329	6832.679791679402	8078.826014369348	7318.855602564421	6749.810560867161	6749.817145111287	7298.32814040473	7298.334724648856
2.15	7650.532247635594	6909.605649487319	7726.5516752261465	6985.6250770778715	8177.247217424621	7436.320619276346	6909.61442845453	7726.5407014859375	6985.622882304873	8177.242827928538	7436.3250087474735	6913.400365831185	6913.409144798396	7408.462704498161	7408.471483465371
2.16	7720.977019643207	6990.2713549879845	7788.362315301871	7057.656650646648	8221.684245780518	7490.978581125295	6990.27793923211	7788.355731057745	7057.656650646648	8221.68205103249	7490.982970621393	6990.890273461482	6990.8968577056075	7458.783847661267	7458.790431905392
2.17	7784.956069036911	7064.951987346401	7844.591715500646	7124.587633810137	8264.780284131295	7544.776202440786	7064.958571590512	7844.587326004563	7124.589828558164	8264.778089383268	7544.780591936869	7062.586050829501	7062.592635073612	7507.706937420095	7507.7135216642055
2.19	7903.652338426749	7206.45167079306	7955.909247840042	7258.708580206352	8343.556313065696	7646.355645432006	7206.458255037185	7955.904858343958	7258.710774954394	8343.554118317654	7646.36003492809	7207.213247764477	7207.219832008603	7599.21030016421	7599.216884408335
2.2	7958.584643556271	7273.452885843959	8006.474007836092	7321.34225012378	8381.696614257133	7696.564856544821	7273.459470063128	8006.469618340008	7321.344444846865	8381.69222476105	7696.567051267906	7274.269331466494	7274.275915685663	7644.158704389498	7644.165288608667
2.22	8060.168476068517	7400.403596078962	8100.534250002034	7440.76937001248	8455.30401567182	7795.539135682266	7400.410180323088	8100.532055253992	7440.773759508564	8455.301820923778	7795.543525178349	7401.340752743941	7401.347336988067	7732.949360700688	7732.955944944813
2.23	8107.048257022951	7460.519891964475	8144.231648841975	7497.7032837834995	8490.83695826144	7844.308593202964	7460.526476208601	8144.227259345891	7497.705478531541	8490.832568765356	7844.310787951006	7461.522891020795	7461.529475264921	7776.993529431711	7777.0001136758365
2.25	8193.551987696817	7574.436003938463	8225.362640578023	7606.246656819669	8559.218668757254	7940.102684998899	7574.442588157632	8225.35825108194	7606.248851542754	8559.21427926117	7940.104879721985	7575.588245761755	7575.594829980924	7864.399300851801	7864.40588507097
2.26	8233.406385760944	7628.389452215153	8262.954255208315	7657.9373216625245	8591.979646766762	7986.962713220972	7628.396036459279	8262.952060460288	7657.941711158623	8591.975257270678	7986.964907969013	7629.625094389165	7629.63167863329	7907.642387196567	7907.648971440693
2.28	8306.899660352341	7730.655850819239	8332.600139527829	7756.356329994727	8654.47285290937	8078.229043376268	7730.662435038408	8332.597944779787	7756.360719465854	8654.468463413301	8078.231238099368	7732.07146218291	7732.078046402079	7992.805127890257	7992.811712109426
2.3	8372.840812947761	7825.855166320238	8395.435726115335	7848.450079487811	8712.835546532311	8165.849899904788	7825.861750564363	8395.433531367293	7848.454468983895	8712.831157036228	8165.85209465283	7827.477083850055	7827.483668094181	8075.683137669708	8075.689721913834
2.31	8403.253412424674	7870.974760743018	8424.522698823406	7892.24404714175	8740.480570925181	8208.201919243525	7870.981344987129	8424.518309327323	7892.246241889778	8740.476181429098	8208.204113991553	7872.708610323127	7872.715194567238	8116.099390758274	8116.105975002385
2.33	8459.454280923877	7956.545724247975	8478.467368107958	7975.558811432056	8792.805517452885	8289.896960776983	7956.543529499933	8478.469562856	7975.558811432056	8792.805517452885	8289.894766028941	7958.529774905153	7958.5275801571115	8194.660334584245	8194.658139836203
2.35	8510.128778247134	8036.2830520758	8527.368510436267	8053.522784264933	8841.423537483526	8367.577811312192	8036.278662579731	8527.368510436267	8053.518394768864	8841.423537483526	8367.573421816123	8038.554614501787	8038.550225005718	8269.999390806042	8269.995001309973
2.36	8533.614758420736	8074.107309823798	8550.130224330205	8090.622775733267	8864.437647202561	8404.930198605623	8074.105115075756	8550.130224330205	8090.620580985225	8864.437647202561	8404.928003857582	8076.52811499183	8076.525920243788	8306.425595149747	8306.423400401705
2.38	8577.28143078809	8145.915019267035	8592.679770817966	8161.31335929691	8907.599527919709	8476.233116398653	8145.910629770966	8592.679770817966	8161.308969800841	8907.599527919709	8476.228726902584	8148.658452147589	8148.65406265152	8376.775993066447	8376.771603570378
2.4	8616.982196614103	8212.876728878153	8631.715528511515	8227.610060775565	8901.179894989691	8497.074427253741	8212.874534130111	8631.715528511515	8227.607866027523	8901.179894989691	8497.0722325057	8216.006437089556	8216.004242341514	8443.829882020436	8443.827687272395
2.42	8653.217458027939	8275.36335077665	8667.757652272398	8289.903545021109	8893.50047770713	8515.646370455841	8275.358961280566	8667.757652272398	8289.899155525025	8893.50047770713	8515.641980959757	8278.932008271906	8278.927618775822	8507.694804615792	8507.690415119709
2.44	8686.366906116338	8333.684344186797	8701.209975365899	8348.527413436357	8887.16424510289	8534.481683173348	8333.682149438755	8701.209975365899	8348.525218688315	8887.16424510289	8534.479488425306	8337.744624844025	8337.742430095983	8568.498056089229	8568.495861341187
2.46	8716.889242920457	8388.131610423428	8732.56631575193	8403.808683254902	8882.3423874992	8553.584755002172	8388.129415675387	8732.56631575193	8403.80648850686	8882.3423874992	8553.58256025413	8392.740577666744	8392.738382918702	8626.404242493896	8626.402047745854
2.48	8745.271702081256	8438.970713700051	8762.346828317008	8456.045839935803	8879.243405735426	8572.942417354221	8438.966324203968	8762.344633568966	8456.039255691678	8879.243405735426	8572.938027858138	8444.18104143253	8444.176651936446	8681.582359204403	8681.57796970832
2.5	8771.327730164907	8486.454049916647	8790.369349048575	8505.495668800315	8877.428350527698	8592.554670279438	8486.451855168605	8790.369349048575	8505.493474052273	8877.428350527698	8592.552475531396	8492.316217268395	8492.314022520353	8734.203596493084	8734.201401745042
2.52	8795.524808104994	8530.640877170532	8817.083801020577	8552.199870086115	8877.136449287747	8612.252518353285	8530.823041108233	8817.083801020577	8552.382034023816	8877.136449287747	8612.434682290987	8537.187805387104	8537.369969324805	8784.256980619743	8784.439144557444
2.54	8818.075826336688	8572.132555975812	8842.588947770113	8596.645677409237	8878.44671282031	8632.503442459434	8572.319109409596	8842.586753022071	8596.83003609498	8878.44671282031	8632.689995893219	8579.392776731853	8579.579330165638	8817.47885536855	8817.665408802335
2.56	8839.178312034011	8610.975175991465	8866.333907987995	8638.130771945449	8882.017565063594	8653.814429021048	8610.977370739507	8866.333907987995	8638.13296669349	8882.017565063594	8653.81662376909	8618.953078783044	8618.955273531086	8843.089349924252	8843.091544672294
2.59	8868.618638902233	8664.869366145896	8884.673208072403	8680.923935316066	8905.837146640028	8702.087873883691	8664.871560893938	8884.673208072403	8680.926130064108	8905.834951916928	8702.087873908633	8673.891968181633	8673.894162929675	8882.555277909487	8882.557472657529
2.61	8887.052313052598	8698.236094115695	8890.849224169462	8702.033005232559	8928.618613241371	8739.802394304468	8698.236094115695	8890.849224169462	8702.033005232559	8928.618613241371	8739.802394304468	8707.901756828433	8707.901756828433	8909.436530582883	8909.436530582883
2.63	8904.750747232989	8729.833856611585	8897.751701294226	8722.834810672823	8951.375937639226	8776.459047017823	8729.836051359627	8897.751701294226	8722.837005420864	8951.375937639226	8776.461241765865	8740.085516577208	8740.08771132525	8936.655774205123	8936.657968953165
2.66	8930.332710089104	8774.435490920849	8909.930348492911	8754.033129324656	8985.043345866085	8829.14612669783	8774.43768566889	8909.930348492911	8754.035324072698	8985.041151118043	8829.14612669783	8785.439948865722	8785.442143613764	8977.86872020879	8977.870914956831
2.68	8946.712101719851	8802.61603341157	8918.972703236068	8774.876634927787	9006.920576973178	8862.824508664897	8802.618228159612	8918.972703236068	8774.878829675828	9006.918382225136	8862.824508664897	8814.030908915753	8814.033103663794	9005.439123243123	9005.441317991164
2.71	8971.345934220677	8842.990586362212	8934.55759672467	8806.202248866204	9039.727644691535	8911.37229683307	8842.990586362212	8934.55759672467	8806.202248866204	9039.727644691535	8911.37229683307	8854.90805876856	8854.90805876856	9046.682795719375	9046.682795719375
2.73	8987.701183622936	8868.866645231261	8945.946135277292	8827.111596885617	9061.376622176991	8942.542083785316	8868.866645231261	8945.946135277292	8827.111596885617	9061.376622176991	8942.542083785316	8881.049681950986	8881.049681950986	9073.981050196235	9073.981050196235
2.76	9012.29770540708	8906.401196437451	8964.371030460461	8858.474521490833	9093.562576648867	8987.666067679238	8906.403391185493	8964.371030460461	8858.476716238874	9093.560381925781	8987.666067704195	8918.898081877516	8918.900276625558	9114.465340424169	9114.46753517221
2.79	9037.102728105383	8942.682547535194	8984.21592650334	8889.795745933152	9125.439071921399	9031.01889135121	8942.682547535194	8984.21592650334	8889.795745933152	9125.439071921399	9031.01889135121	8955.409881319967	8955.409881319967	9154.25609084501	9154.25609084501
2.82	9062.190873051499	8977.923588884878	9005.285490980052	8921.01820681343	9157.034639644306	9072.767355477685	8977.92578363292	9005.285490980052	8921.020401561473	9157.032444921206	9072.767355502627	8990.819918144058	8990.8221128921	9193.241369383511	9193.243564131553
2.85	9087.586282498785	9012.288926439855	9027.401949448948	8952.104593390017	9188.355864111581	9113.05850805265	9012.291121187896	9027.401949448948	8952.106788138059	9188.35366936354	9113.05850805265	9025.310356237562	9025.312550985604	9231.366307338656	9231.368502086698
2.88	9113.27578793405	9045.88610280426	9050.391916939552	8983.002231809762	9219.396161029217	9152.006475899427	9045.88610280426	9050.391916939552	8983.002231809762	9219.396161029217	9152.006475899427	9058.999711944853	9058.999711944853	9268.59359409356	9268.59359409356
2.91	9139.22427343858	9078.791934059715	9074.106150734762	9013.673811355897	9250.151140951028	9189.718801572162	9078.791934059715	9074.106150734762	9013.673811355897	9250.151140951028	9189.718801572162	9091.97138559162	9091.97138559162	9304.9122558581	9304.9122558581
2.94	9165.385649328397	9111.059094159195	9098.401992261832	9044.07543709263	9280.598856346696	9226.272301177494	9111.061288907236	9098.401992261832	9044.077631840672	9280.596661623611	9226.27230120245	9124.278051130896	9124.280245878937	9340.320097934149	9340.32229268219
2.97	9191.737968173038	9142.731478038564	9123.191651723857	9074.185161589383	9310.763449519538	9261.756959385064	9142.731478038564	9123.191651723857	9074.185161589383	9310.763449519538	9261.756959385064	9155.98335618098	9155.98335618098	9374.845651971365	9374.845651971365
3.01	9226.924140846648	9183.99929271832	9156.681285509112	9113.756437380784	9350.36106226247	9307.43621413414	9184.001487466361	9156.681285509112	9113.758632128825	9350.36106226247	9307.438408882183	9197.281897333305	9197.284092081347	9419.456065272796	9419.458260020838
3.04	9253.324744098296	9214.273623168468	9182.041579012686	9142.990458082859	9379.61483569692	9340.563714767093	9214.273623168468	9182.041579012686	9142.990458082859	9379.61483569692	9340.563714767093	9227.575980490874	9227.575980490874	9451.892220821741	9451.892220821741
3.08	9288.416542681007	9253.748330120914	9215.9899147892	9181.321702229106	9417.961443029562	9383.29323046947	9253.746135372872	9215.9899147892	9181.319507481065	9417.961443029562	9383.291035721428	9267.059466435487	9267.057271687445	9493.811875170664	9493.809680422622
3.12	9323.286671886206	9292.198090536622	9249.94922428095	9218.860642931366	9455.535499700476	9424.446918350892	9292.198090536622	9249.94922428095	9218.860642931366	9455.535499700476	9424.446918350892	9305.507032103138	9305.507032103138	9534.243491495508	9534.243491495508
3.16	9357.799057460128	9329.618514969421	9283.739538298309	9255.558995807602	9492.26896852041	9464.088426029703	9329.618514969421	9283.739538298309	9255.558995807602	9492.26896852041	9464.088426029703	9342.918677543785	9342.918677543785	9573.219991041842	9573.219991041842
3.2	9391.852741067763	9365.983266417883	9317.251119563967	9291.381644914087	9528.137707310801	9502.268232660921	9365.981071669841	9317.251119563967	9291.379450166045	9528.139902058843	9502.268232660921	9379.311960691819	9379.309765943777	9610.756737021016	9610.754542272975
3.24	9425.335790608879	9401.307708118256	9350.295219871143	9326.26713738052	9563.058315671049	9539.030233180427	9401.305513370215	9350.295219871143	9326.264942632479	9563.058315671049	9539.028038432385	9414.62103918087	9414.618844432829	9646.91079283219	9646.908598084148
