R	10B1_8B1	10B2_8B2	8A2_10B1	8A2_10B2	10A2_8B1	10A2_8B2	10A2_8A2
Intensities	8.989206605065585e-06	8.989206605065585e-06	1.7032234808345508e-06	1.7032234808345508e-06	1.8444177052807345e-06	1.8444177052807345e-06	3.6529073805420985e-05
2.12	1528.7900407000416	1528.7900407000416	1385.7298926188087	1385.7298926188087	1466.9025845426804	1466.9025845426804	1323.8424364614475
2.13	1532.6835206558608	1532.681325907819	1389.3951189530198	1389.392924204978	1470.6577954717213	1470.6577954717213	1327.3693937688804
2.15	1420.0513352628768	1420.0513352628768	1397.0196676094056	1397.0196676094056	1357.7841879688785	1357.7841879688785	1334.7525203154073
2.16	1360.266446032154	1360.266446032154	1361.5042829542072	1361.5042829542072	1297.8939509319898	1297.8939509319898	1299.131787854043
2.17	1242.9440878430905	1242.9440878430905	1244.4584627937584	1244.4584627937584	1180.6791353220906	1180.6791353220906	1182.1935102727584
2.19	1180.479413375113	1180.4772186520277	1182.4437113248714	1182.4415166017861	1117.8852489224082	1117.8852489224082	1119.8495468721667
2.2	1121.8050658297725	1121.8072605777998	1124.0546807753417	1124.0546807753417	1059.1779801564553	1059.1801749044826	1061.4275951020245
2.22	1008.1896340878739	1008.187439339832	1011.0998676947929	1011.0976729467511	945.5823011219763	945.5823011219763	948.4925347288954
2.23	953.6787202329142	953.6809149809706	956.9774239187391	956.9774239187391	891.1328401872161	891.1350349352724	894.4315438730409
2.25	850.0669421525818	850.0669421525818	854.2940235361748	854.2940235361748	787.7932106394146	787.7932106394146	792.0202920230076
2.26	801.2118895331369	801.2118895331369	805.9986312180699	805.9986312180699	739.1620221205376	739.1620221205376	743.9487638054707
2.28	709.9170277032099	709.9170277032244	716.0535383604874	716.0513436124602	648.5585053746181	648.5607001226599	654.6950160318956
2.3	627.7742579186743	627.7742579186743	635.6358391888498	635.6358391888498	567.5372509657755	567.5372509657755	575.398832235951
2.31	590.386754706502	590.386754706502	599.2491402599844	599.2491402599844	530.9157142210897	530.9157142210897	539.7780997745722
2.33	524.1098059352662	524.1098059352662	534.6182512220839	534.6182512220839	466.70182696165284	466.70182696165284	477.2102722484706
2.35	498.84388652259076	498.84388652259076	481.54489618625666	481.54489618625666	444.32858317156206	444.32858317156206	427.02959283522796
2.36	501.4709978318133	501.4709978318133	459.6281596393819	459.6281596393819	448.7444127369672	448.7444127369672	406.90157454453583
2.38	509.97563975404773	509.97563975404773	425.12894255371066	425.12894255371066	461.5134467095777	461.5134467095777	376.6667495092406
2.4	521.9896809993515	521.9896809993515	403.0717422320158	403.0717422320158	478.52492527710274	478.52492527710274	359.606986509767
2.42	537.2343888160394	537.2343888160394	392.6752290204313	392.6752290204313	499.0831138844078	499.0831138844078	354.52395408879966
2.44	555.2752033914439	555.2752033914439	397.7253402457427	397.7253402457427	522.2574400607555	522.2574400607555	364.70757691505423
2.46	575.3637162672821	575.3637162672821	422.03654500909033	422.03654500909033	546.9198042361968	546.9198042361968	393.592632978005
2.48	596.6373921621125	596.6395869101543	447.4056175048463	447.4056175048463	572.0298966377741	572.0320913858159	422.79812198050786
2.5	618.2490589807712	618.2490589807712	472.9700224015687	472.9700224015687	596.7317662530113	596.7317662530113	451.4527296738088
2.52	639.5029821681674	639.5029821681674	498.02744092501234	498.02744092501234	620.4174683236924	620.4174683236924	478.9419270805374
2.54	659.8790068128437	659.8790068128437	522.0445496754255	522.0445496754255	642.6875590307027	642.6875590307027	504.8531018932845
2.56	679.0237787546212	679.0237787546212	544.6701892656711	544.6701892656711	663.302811012225	663.302811012225	528.9492215232749
2.59	704.9744590071641	704.9744590071641	575.5239327495219	575.5239327495219	690.8688245504745	690.8688245504745	561.4182982928323
2.61	720.2696459789149	720.2696459789149	593.8764012972242	593.8764012972242	706.9497306971316	706.9497306971316	580.5564860154409
2.63	733.9165784693032	733.9187732173305	610.4182041831809	610.4182041831809	721.2111921399919	721.2133868880192	597.7128178538696
2.66	751.3121376445924	751.3143323926342	631.8499017872527	631.8499017872527	739.282733187938	739.2849279359798	619.8204973305983
2.68	760.9097632179473	760.9119579659891	643.9451486601611	643.9451486601611	749.2073759449559	749.2095706929977	632.2427613871696
2.71	772.4299865532521	772.4299865532521	658.9352659037249	658.9352659037249	761.0809534404107	761.0809534404107	647.5862327908835
2.73	778.2965434260404	778.2987381491257	666.9438951429329	666.9438951429329	767.1077267954242	767.1099215185095	655.7550785123167
2.76	784.4835332383518	784.4857279614371	676.1003766844224	676.1003766844224	773.44834884585	773.4505435689352	665.0651922919205
2.79	787.7690684608679	787.7712631839531	682.0898393476964	682.0898393476964	776.7975317116652	776.7997264347505	671.1183025984938
2.82	788.370428950031	788.3726236980729	685.1493156966317	685.1493156966317	777.392307956703	777.3945027047448	674.1711947033036
2.85	786.504894562313	786.5070893103548	685.5246173122432	685.5246173122432	775.4543469335476	775.4565416815894	674.4740696834779
2.88	782.3831610347988	782.3831610347988	683.4461925641517	683.4461925641517	771.1987339002808	771.1987339002808	672.2617654296337
2.91	776.2115344338235	776.2137291818653	679.1444898220216	679.1444898220216	764.8295801253116	764.8317748733534	667.7625355135096
2.94	768.1897367063648	768.187541958323	672.8323994711827	672.8302047231409	756.5466075805743	756.5466075805743	661.1892703453923
2.97	758.5131002534181	758.5152950014599	664.7293961161049	664.7293961161049	746.5429539439792	746.545148692021	652.759249806666
3.01	743.3912982521724	743.3912982521724	651.514828640502	651.514828640502	730.8592968683952	730.8592968683952	638.9828272567247
3.04	730.6376274909126	730.6376274909126	640.067031940649	640.067031940649	717.5832764975348	717.5832764975348	627.0126809472713
3.08	712.1183582168451	712.1183582168451	623.1455379679537	623.1455379679537	698.203666690024	698.203666690024	609.2308464411326
3.12	692.299799150438	692.299799150438	604.7799009320152	604.7799009320152	677.3096819068887	677.3096819068887	589.7897836884658
3.16	671.6625996884977	671.6625996884977	585.468328263858	585.468328263858	655.3446609280654	655.3446609280654	569.1503895034257
3.2	650.7730044014606	650.7817833686568	565.7814539302053	565.7924276454578	632.8419271283201	632.8397323802637	547.8503766570648
3.24	629.9536410018045	629.9536410018045	546.0484899625444	546.0484899625444	610.0648500230309	610.0648500230309	526.1596989837708
3.28	609.77514350618	609.7773382542218	526.8137333510676	526.8159280991094	587.5818689307052	587.5818689307052	504.62045877559285
3.33	586.1838155264122	586.1838155264122	514.5121803618968	514.5121803618968	560.5864894340048	560.5864894340048	488.9148542694893
3.37	569.1767264549708	569.1767264549708	509.7956705643737	509.7956705643737	540.4584711433272	540.4584711433272	481.07741525273013
3.42	551.0042270969279	551.0042270969279	508.3932276639971	508.3932276639971	517.9601268146944	517.9601268146944	475.34912738176354
3.47	537.2080518645089	537.2080518645089	512.3701079954772	512.3701079954772	499.50011566288595	499.50011566288595	474.6621717938542
3.53	528.5058827932517	528.5058827932517	524.3336700607906	524.3336700607906	485.0213743386412	485.0213743386412	480.84916160618013
3.58	530.4065330747835	530.4065330747835	539.9624584603152	539.9624584603152	482.17478837500676	482.17478837500676	491.7307137605385
3.64	545.8070678526856	545.8070678526856	564.6731070677197	564.6731070677197	492.1784420116019	492.1784420116019	511.044481226636
3.7	572.7739156248426	572.7739156248426	594.6906521966739	594.6906521966739	514.2158896009205	514.2158896009205	536.1326261727518
3.77	612.8280356110045	612.8280356110045	634.6767350184964	634.6767350184964	549.1694191817951	549.1694191817951	571.018118589287
3.83	651.0934373659402	651.0934373659402	671.7547790313693	671.7547790313693	583.6137676163489	583.6137676163489	604.275109281778
3.9	697.7932491307001	697.7932491307001	716.738299175413	716.738299175413	626.4244889463444	626.4244889463444	645.3695389910572
3.98	751.5074700705445	751.5074700705445	768.5804015333124	768.5804015333124	676.4054464375658	676.4054464375658	693.4783779003337
4.06	795.9620563608623	795.9620563608623	811.546949849464	811.546949849464	725.4733894672827	725.4733894672827	741.0582829558844
4.14	812.1505050866836	812.1505050866836	826.8092156255589	826.8092156255589	772.0349322302209	772.0349322302209	786.6936427690962
4.23	830.6631901415676	830.6631901415676	845.1594894501613	845.1594894501613	819.9286859811837	819.9286859811837	834.4249852897774
4.32	848.8773896624916	848.8773896624916	864.3722985562636	864.3722985562636	861.8680930125847	861.8680930125847	877.3630019063567
4.42	867.1552368516423	867.1552368516423	885.2970097620564	885.2970097620564	900.605365222058	900.605365222058	918.7471381324722
4.53	883.5082915308303	883.5082915308303	906.2831738880632	906.2831738880632	933.5375334540004	933.5375334540004	956.3124158112332
4.64	895.6210963880876	895.6210963880876	924.1813299904898	924.1813299904898	957.3571150553762	957.3571150553762	985.9173486577783
4.76	904.8039148811076	904.8039148811076	939.9022977079294	939.9022977079294	975.0731071701885	975.0731071701885	1010.1714899970102
4.89	911.5637335079664	911.5637335079664	952.8864168388391	952.8864168388391	987.3066230699042	987.3066230699042	1028.6293064007768
5.03	916.7345557757071	916.7345557757071	963.0941818685969	963.0941818685969	995.0650512070861	995.0650512070861	1041.4246772999759
5.19	921.4027811662381	921.4027811662381	971.2279116712889	971.2279116712889	999.5445284157904	999.5445284157904	1049.3696589208412
5.35	925.6386415170418	925.6386415170418	976.7213616515655	976.7213616515655	1001.0896298140724	1001.0896298140724	1052.172349948596
5.54	930.6711947829608	930.6711947829608	980.8299267157854	980.8299267157854	1000.7889495819691	1000.7889495819691	1050.9476815147937
5.74	936.1756185034319	936.1756185034319	983.3890009105817	983.3890009105817	998.9146362270403	998.9146362270403	1046.12801863419
5.96	942.3757768039941	942.3757768039941	984.7541331192187	984.7541331192187	996.1931508269045	996.1931508269045	1038.5715071421291
6.21	949.2058272933064	949.2058272933064	985.1052925063705	985.1052925063705	993.0568583713612	993.0568583713612	1028.9563235844253
6.5	956.2575471601012	956.259741908143	984.5390479608905	984.5390479608905	989.8766709799675	989.8788657280093	1018.1581717807567
6.82	962.5257425750751	962.5257425750751	983.3187690231716	983.3187690231716	987.1025116517849	987.1025116517849	1007.8955380998814
7.19	967.7931337067275	967.7931337067275	981.7012409894378	981.7012409894378	984.762912111386	984.762912111386	998.6710193940962
7.62	971.4320230644371	971.4320230644371	976.8464621900785	976.8464621900785	985.6715370767924	985.6715370767924	991.0859762024338
8.14	974.2391035882902	974.2391035882902	973.2295202878449	973.2295202878449	986.4792037071602	986.4792037071602	985.469620406715
8.76	976.062937738272	976.0607429902302	971.0238002531842	971.0216055051424	986.9554636328539	986.9554636328539	981.9163261477661
9.55	977.0966632671625	977.0966632671625	969.8386372591631	969.8386372591631	987.1859120024892	987.1859120024892	979.9278859944898
10.56	977.5421967701695	977.5443914932694	969.3601825604856	969.3601825604856	987.258338637941	987.2605333610409	979.0763244282571
11.96	977.6826605200476	977.6826605200476	969.2284977778181	969.2284977778181	987.2693123781501	987.2693123781501	978.8151496359205
14.03	977.7089974965347	977.7068027484929	969.213134566482	969.2109398184402	987.2649228820665	987.2649228820665	978.7690599520138
17.58	977.7089974715927	977.7068027235509	969.2175240376237	969.2153292895819	987.2605333610409	987.2605333610409	978.7690599270718
25.83	977.7089974965493	977.7068027485075	969.2153293145384	969.2153293145384	987.2605333859974	987.2583386379556	978.7668652039865
