R	12B1_1A1	12B1_1B1	12B2_1A1	12B2_1B2	1A2_12B1	1A2_12B2	2A2_12B1	2A2_12B2	12A2_1B1	12A2_1B2	12A2_1A2	12A2_2A2
2.52e-08	2711525676149709.5	2741653959711241.5	2711526089574169.0	2741655199984619.5	2747367067781524.5	2747367481205984.0	2711525676149709.5	2711526089574169.0	2730756926464795.0	2730757753313713.5	2736470034535077.5	2700628642903262.5
2.5400000000000002e-08	2718387689880191.0	2744253570651819.0	2718387689880191.0	2744254397496037.0	2749521420932091.5	2749521420932091.5	2718387689880191.0	2718387689880191.0	2733410695962522.5	2733411522806740.0	2738678546242794.5	2707544815190894.0
2.55e-08	2721731050830587.5	2745637714641275.0	2721731464255049.5	2745638541490196.5	2750672393709882.5	2750672807134344.5	2721731050830587.5	2721731464255049.5	2734818818551810.5	2734819231976270.0	2739853497620418.5	2710912154741123.0
2.57e-08	2728250335957028.0	2748550701072791.0	2728250749376789.0	2748551941341470.5	2753104981300558.5	2753105394720319.5	2728250335957028.0	2728250749376789.0	2737781002451666.0	2737781829300584.5	2742335282679434.0	2717480637335903.0
2.59e-08	2734539757262777.5	2751616654427298.5	2734540170687236.5	2751617481276217.0	2755676065972254.0	2755676479396713.5	2734539757262777.5	2734540170687236.5	2740892845888238.0	2740893259312697.0	2744952257433193.5	2723815948723716.5
2.61e-08	2740599314752533.5	2754794232296473.0	2740599314752533.5	2754794645720932.5	2758353400640651.5	2758353400640651.5	2740599314752533.5	2740599314752533.5	2744112593019346.0	2744113006443805.0	2747671761363524.0	2729917675475406.5
2.63e-08	2746427768152922.0	2758046226511899.0	2746428181577381.0	2758047466785276.5	2761105151659997.5	2761105565084457.0	2746427768152922.0	2746428181577381.0	2747404689374411.0	2747405516223329.5	2750463614522510.0	2735786231015434.0
2.65e-08	2752026357742021.0	2761342043687095.0	2752026357742021.0	2761342457111554.0	2763906100147686.0	2763906100147686.0	2752026357742021.0	2752026357742021.0	2750736887873811.0	2750737301298270.5	2753300944334402.5	2741421201928737.5
2.67e-08	2757395496930187.0	2764651503860043.0	2757395496930187.0	2764652330708962.0	2766731854088818.5	2766731854088818.5	2757395496930187.0	2757395496930187.0	2754080248824210.5	2754081075673129.0	2756160599052986.0	2746824241894354.5
2.69e-08	2762536839429357.5	2767951041850672.0	2762536839429357.5	2767951868699590.5	2769561742265144.5	2769561742265144.5	2762536839429357.5	2762536839429357.5	2757411207050235.5	2757412033899154.0	2759021907464708.0	2751997004628921.0
