12B1_2A1	12B1_2B1	12B2_2A1	12B2_2B2	12A2_2B1	12A2_2B2
3.13e-08	2718369085793628.0	2709541653744718.5	2718369085793628.0	2709542067169178.0	2699478083545230.0	2699478496969689.0
3.17e-08	2719486571223128.5	2710626065240988.0	2719486571223128.5	2710626478665447.5	2700620787843239.5	2700621201267699.0
3.2200000000000004e-08	2720153424344647.0	2711322684904764.5	2720153837769106.5	2711323511753683.0	2701387689608673.5	2701388103033133.0
3.26e-08	2720159625706835.5	2711392967006422.0	2720160039131295.0	2711404956306337.0	2701533214900800.0	2701544790776255.5
3.31e-08	2719548998269462.0	2710912981590039.0	2719549411693921.0	2710913808438957.5	2701159066061360.5	2701159479485819.5
3.3599999999999996e-08	2718303764785484.5	2709825262702801.5	2718304591634403.0	2709826502976179.5	2700190413324359.0	2700190826748818.5
3.42e-08	2716057218055726.5	2707802791851307.0	2716058044904645.0	2707804032124685.0	2698329591309493.5	2698330004733953.0
3.48e-08	2713084285124630.5	2705070885191901.5	2713083871700171.0	2705071298616358.0	2695779177841959.0	2695780004690875.0
3.54e-08	2709485014640813.0	2701740753814795.0	2709485428060573.5	2701737859843582.5	2692651210865580.0	2692647903474607.0
3.61e-08	2704611570979676.5	2697189780977997.5	2704611570979676.5	2697190194402457.0	2688360281811492.5	2688360695235952.0
3.6800000000000005e-08	2699137835483244.0	2692057120387771.5	2699137835483244.0	2692057120387771.5	2683514950990081.0	2683514950990081.0
3.76e-08	2692341969619229.5	2685623000638817.0	2692341969619229.5	2685623414063276.5	2677410743696334.0	2677411157120793.0
3.85e-08	2684142115396419.5	2677825821519628.0	2684142115396419.5	2677826234944087.0	2670051794156048.0	2670052207580507.5
3.95e-08	2674633360379320.5	2668739172541625.5	2674633360379320.5	2668739172541625.5	2661500529429652.5	2661500529429652.5
4.05e-08	2664924921508246.5	2659418112078583.5	2664924921508246.5	2659418112078583.5	2652738418393593.0	2652738418393593.0
4.17e-08	2653289926180305.5	2648201088549849.5	2653298608089247.0	2648209770458791.0	2642229176974933.0	2642229176974933.0
4.3099999999999996e-08	2640096321886842.5	2635427936597649.0	2640096321886842.5	2635427936597649.0	2630312639820604.5	2630312639820604.5
4.46e-08	2626706341120981.5	2622411277822306.5	2626706341120981.5	2622411691246766.0	2618231146433973.0	2618231559858432.0
4.64e-08	2611963223181300.5	2608037761053007.0	2611963223181300.5	2608038174477466.5	2604972221118263.5	2604972634542722.5
4.85e-08	2596927814374597.5	2593288028321982.5	2596927814374597.5	2593288028321982.5	2591466895026998.5	2591466895026998.5
5.11e-08	2581617478528152.5	2578230294617982.5	2581617478528152.5	2578230294617982.5	2577792891887994.5	2577792891887994.5
5.4299999999999997e-08	2567568499700796.0	2564371490896137.0	2567568499700796.0	2564371904320596.5	2565253737991676.0	2565254151416135.5
5.8499999999999994e-08	2555934331221773.0	2552880780591642.5	2555934331221773.0	2552880780591642.5	2554597317583061.0	2554597317583061.0
6.440000000000001e-08	2548269861255270.5	2545289900117771.0	2548269861255270.5	2545289900117771.0	2546748873877934.5	2546748873877934.5
7.37e-08	2544397317415447.5	2541443402000074.5	2544397317415447.5	2541443402000074.5	2541940751229642.5	2541940751229642.5
9.28e-08	2542995396188350.5	2540039413650681.0	2542995396188350.5	2540039413650681.0	2539914972987175.0	2539914972987175.0
