R	5A1_1A1	6A1_1A1	1B1_5A1	1B1_6A1	7B1_1A1	7B1_1B1	1B2_5A1	1B2_6A1	7B2_1A1	7B2_1B2	1A2_7B1	1A2_7B2	2A2_7B1	2A2_7B2	7A2_1B1	7A2_1B2	7A2_1A2	7A2_2A2
Intensities	4.2665211389915616e-11	10.682703877416571	9.4768634284159	4.3153708621843645	3.2165378105240667	4.629825301811215	9.476738086244431	4.3154751905622755	3.2165183012428704	4.629808458151808	3.4363370482403197	3.4358748736034874	6.542041065654369	6.542523036802208	4.203623715362682	4.2036308022387106	11.130706007223315	6.466668595171174e-09
2.12	9245.65410578296	10962.58657829529	10254.76333857645	11971.695811088779	10766.850324274244	11775.959557067734	10254.76333857645	11971.695811088779	10766.850324274244	11775.959557067734	11797.746803579983	11797.746803579983	10111.097440509955	10111.097440509955	11775.599618663458	11775.599618663458	11797.386865175707	10110.73750210568
2.13	9267.871522561938	10902.834610260223	10268.743872494611	11903.706960192896	10766.148005450028	11767.020355382701	10268.743872494611	11903.706960192896	10766.148005450028	11767.020355382701	11789.76890078839	11789.76890078839	10180.365828490758	10180.365828490758	11766.432163381774	11766.432163381774	11789.180708787462	10179.777636489831
2.15	9314.872014583772	10746.90885939238	10298.401479244232	11730.43832405284	10660.073722038782	11643.603186699242	10298.401479244232	11730.43832405284	10660.073722038782	11643.603186699242	11668.316030054702	11668.316030054702	10204.178825848023	10204.178825848023	11763.339765837154	11763.339765837154	11788.052609192615	10323.915404985935
2.16	9337.58983351689	10744.841408359556	10311.655552159631	11718.907127002298	10610.68754076767	11584.753259410412	10311.657746907673	11718.90932175034	10610.68754076767	11584.755454158454	11610.458128057027	11610.458128057027	10214.549002108048	10214.549002108048	11728.818601296007	11728.820796044049	11754.523469942622	10358.614343993642
2.17	9362.048086299183	10699.118258724498	10326.25719927439	11663.327371699706	10530.68245392834	11494.891566903549	10326.259394022418	11663.329566447734	10530.68245392834	11494.893761651576	11521.590655639258	11521.590655639258	10191.115695862478	10191.115695862478	11629.607289544801	11629.609484292829	11656.306378280511	10325.83141850373
2.19	9412.522861700418	10617.236663732285	10355.895053316606	11560.608855348473	10481.987617741222	11425.359809357411	10355.895053316606	11560.608855348473	10481.987617741222	11425.359809357411	11454.040754002257	11454.040754002257	10246.429886851722	10246.429886851722	11570.355723663874	11570.355723663874	11599.03666830872	10391.425801158184
2.2	9438.495489433364	10580.852159601374	10370.924675999922	11513.281346167932	10445.192696051003	11377.621882617561	10370.924675999922	11513.281346167932	10445.192696051003	11377.621882617561	11407.281684115238	11407.281684115238	10257.293881071673	10257.293881071673	11522.966761588075	11522.966761588075	11552.626563085752	10402.638760042188
2.22	9491.766371618229	10516.614130138434	10401.387754631898	11426.235513152104	10380.057015362865	11289.678398376534	10401.387754631898	11426.235513152104	10380.057015362865	11289.678398376534	11321.243239651798	11321.243239651798	10279.344497149228	10279.344497149228	11435.789243789608	11435.789243789608	11467.354085064871	10425.455342562302
2.23	9518.994394207679	10488.525766965642	10416.81243163826	11386.343804396223	10351.479223751187	11249.297261181768	10416.814626386302	11386.345999144265	10351.479223751187	11249.29945592981	11281.781701162661	11281.781701162661	10290.522340014679	10290.522340014679	11395.82730317126	11395.829497919302	11428.311743152153	10437.05238200417
2.25	9585.881482460245	10451.274338032192	10448.034892493597	11313.427748065544	10313.156758647005	11175.310168680357	10448.034892493597	11313.427748065544	10313.156758647005	11175.310168680357	11209.532847737428	11209.532847737428	10313.156758647005	10313.156758647005	11322.755419854424	11322.755419854424	11356.978098911495	10460.602009821072
2.26	9646.891040099814	10463.310326757914	10463.823897375347	11280.243184033447	10324.606750069928	11141.539607345461	10463.823897375347	11280.243184033447	10324.606750069928	11141.539607345461	11176.576537277026	11176.576537277026	10324.606750069928	10324.606750069928	11289.487455446666	11289.487455446666	11324.52438537823	10472.554598171133
2.28	9763.403536935424	10487.729074075483	10495.739898087675	11220.065435227734	10347.743765579478	11080.08012673173	10495.739898087675	11220.065435227734	10347.743765579478	11080.08012673173	11116.59192617418	11116.59192617418	10347.743765579478	10347.743765579478	11229.12534795521	11229.12534795521	11265.637147397661	10496.78898680296
2.3	9873.013556621285	10512.606523384296	10528.07948479765	11167.672451560662	10371.179266548133	11026.245194724499	10528.081679545692	11167.674646308704	10371.179266548133	11026.24738947254	11064.005804804256	11064.005804804256	10371.179266548133	10371.179266548133	11176.528252870034	11176.530447618075	11214.28886294979	10521.462324693668
2.31	9925.382398109825	10525.230704110945	10544.404007777266	11144.252313778386	10382.9957806444	11002.017390311841	10544.404007777266	11144.252313778386	10382.9957806444	11002.017390311841	11040.302544774182	11040.302544774182	10382.9957806444	10382.9957806444	11152.97643030509	11152.97643030509	11191.261584767431	10533.95482063765
2.33	10025.528671753025	10550.777551023362	10577.325202268985	11102.574081539322	10406.81097272475	10958.60750324071	10577.327397017027	11102.576276287364	10406.81097272475	10958.609697988752	10997.722271788894	10997.722271788894	10406.81097272475	10406.81097272475	11111.050191761955	11111.052386509997	11150.16496031014	10559.253661245995
2.35	10119.915931152515	10576.767736715687	10610.58877720563	11067.440582768802	10430.852223703609	10921.525069756724	10610.590971953672	11067.442777516844	10430.852223703609	10921.527264504766	10961.153408947284	10961.153408947284	10430.852223703609	10430.852223703609	11075.637960189837	11075.640154937879	11115.266299380397	10584.965114136721
2.36	10165.079420511189	10589.929630288229	10627.435649794832	11052.285859571872	10442.92771786914	10905.283947152784	10627.437844542874	11052.288054319913	10442.92771786914	10905.286141900826	10945.039581629913	10945.039581629913	10442.92771786914	10442.92771786914	11060.303267803247	11060.305462551289	11100.058902280376	10597.947038519604
