9A1_8A1	9B1_9A1	9B2_9A1
4.17e-08	95588206804736.2	97452336218592.94	97449442235377.08
4.3099999999999996e-08	101350925755277.08	102136431610206.81	102136431610206.81
4.46e-08	108262963825592.4	108623469672970.61	108623469672970.61
4.64e-08	116629841370330.64	117237574850540.58	117237574850540.58
4.85e-08	125606932963089.36	127053917412871.97	127053917412871.97
5.11e-08	134860605304386.39	137541247369357.02	137541247369357.02
5.4299999999999997e-08	143279987717535.2	147141369095035.3	147141369095035.3
5.8499999999999994e-08	150269749504853.4	154602847829558.22	154602847829558.22
6.440000000000001e-08	155027847837107.03	158531617350442.06	158531617350442.06
7.37e-08	157321938337616.75	159080644599238.8	159080231164993.62
9.28e-08	156668728220491.97	158290591080615.66	158290177665204.88
