7A1_1A1	8A1_1A1	1B1_7A1	1B1_8A1	9B1_1A1	9B1_1B1	1B2_7A1	1B2_8A1	9B2_1A1	9B2_1B2	1A2_9B1	1A2_9B2	2A2_9B1	2A2_9B2	9A2_1B1	9A2_1B2	9A2_1A2	9A2_2A2
2.13e-08	2096821045589025.0	2262582210722556.5	2285354025290556.5	2451115190424088.0	2221854972709926.8	2410387952411458.0	2285354025290556.5	2451115190424088.0	2221854972709926.8	2410387952411458.0	2414676814347947.5	2414676814347947.5	2111500909638152.8	2111500909638152.8	2451598069806982.5	2451598069806982.5	2455886931743472.0	2152711027033677.2
2.1400000000000003e-08	2102293954236536.2	2252670780597135.5	2289267498118929.0	2439644324479528.5	2212201519240220.5	2399175063122613.5	2289267498118929.0	2439644324479528.5	2212201519240220.5	2399175063122613.5	2403647898797727.0	2403647898797727.0	2114437047815881.5	2114437047815881.5	2440115627986967.5	2440115627986967.5	2444588463662081.0	2155377612680235.5
2.15e-08	2128912680351390.0	2228958012707394.5	2314179195990825.0	2414224528346829.5	2203311246725219.2	2388577762364654.5	2314179195990825.0	2414224528346829.5	2203310833305461.2	2388577348944896.0	2393236638900691.5	2393236225480933.0	2117424037164488.0	2117423623744729.8	2429238439095757.5	2429238439095757.5	2433897315631794.5	2158084713895591.0
2.15e-08	2128912680351390.0	2228957599282935.2	2314179195990825.0	2414224114922370.0	2203310833305461.2	2388577348944896.0	2314179609415284.0	2414224528346829.5	2203310833305461.2	2388577762369355.5	2393236225480933.0	2393236225480933.0	2117424037169189.0	2117424037169189.0	2429238025671298.0	2429238439095757.5	2433896902207335.0	2158084713895591.0
2.16e-08	2112545632414543.8	2234991524475027.2	2296029876629954.5	2418475768690438.0	2195089894454036.2	2378574138669447.0	2296029876629954.5	2418475768690438.0	2195089894454036.2	2378574138669447.0	2383419882910619.5	2383419882910619.5	2120459810561678.2	2120459810561678.2	2418945418504740.5	2418945418504740.5	2423791162745913.0	2160831090396972.0
2.17e-08	2117179290077370.5	2227120342438744.8	2298807259942269.5	2408748312303644.0	2181837583924971.8	2363465553789871.0	2298807259942269.5	2408748312303644.0	2181837583924971.8	2363465553789871.0	2368498579165342.0	2368498579165342.0	2117863920441231.5	2117863920441231.5	2405390481511275.0	2405390481511275.0	2410423506886746.0	2159788848162635.5
2.1800000000000003e-08	2121424742478548.5	2219865575786967.5	2301124502198139.5	2399565335506558.5	2180570852387917.8	2360270612107508.5	2301124502198139.5	2399565335506558.5	2180570438963458.5	2360270198683049.0	2365490505188121.0	2365490091763661.5	2126673161828040.5	2126672748403581.2	2400033331623023.5	2400033331623023.5	2405253224703636.0	2166435881343555.8
2.19e-08	2125233619003356.0	2213204899608295.2	2302936540164424.0	2390907820769363.0	2174228099369236.0	2351931020530304.0	2302936540164424.0	2390907820769363.0	2174228099369236.0	2351931020530304.0	2357336954471834.5	2357336954471834.5	2129847018886483.5	2129847018886483.5	2391375403461369.5	2391375403461369.5	2396781337402900.0	2169291401817549.0
2.2000000000000002e-08	2128558375867192.5	2207115989005436.2	2304200377734966.5	2382757990873210.5	2168466207250372.0	2344108209118146.0	2304200791159423.0	2382758404297667.0	2168466207250372.0	2344108622542602.5	2349698530218059.0	2349698530218059.0	2133063458621922.8	2133063458621922.8	2383224333291838.5	2383224746716295.0	2388814654391751.5	2172179582795615.2
2.21e-08	2131363045175012.0	2201576105647240.8	2304884594674368.5	2375097655146597.0	2163263264558487.8	2336784814057844.0	2304884594674368.5	2375097655146597.0	2163263264558487.8	2336784814057844.0	2342556214929870.0	2342556214929870.0	2136320827350615.5	2136320827350615.5	2375563584140766.0	2375563584140766.0	2381334985012792.0	2175099597433537.2
2.2200000000000004e-08	2133626542293492.8	2196562511207247.8	2304972654013670.5	2367908622927425.5	2158596119542669.5	2329942231262847.0	2304972654013670.5	2367908622927425.5	2158596119542669.5	2329942231262847.0	2335891817935768.0	2335891817935768.0	2139617471374730.2	2139617471374730.2	2368373725077377.0	2368373725077377.0	2374323311750297.5	2178048965189260.0
2.23e-08	2135353001462530.0	2192051640514794.0	2304476131628320.0	2361174770680584.0	2154440793603087.0	2323563923768877.0	2304476545052779.0	2361175184105043.0	2154440380178627.8	2323563923768877.0	2329686321729428.5	2329685908304969.5	2142950910147508.2	2142950496723049.0	2361639459401375.0	2361639872825834.0	2367761857361926.5	2181026445780006.2
2.2400000000000002e-08	2136574669771136.5	2188019928385098.0	2303434302818448.5	2354879561432410.0	2150773308135207.0	2317632941182519.0	2303434302818448.5	2354879561432410.0	2150772894710750.5	2317632527758062.0	2323922775912724.5	2323922362488268.0	2146319489966414.5	2146319076541957.8	2355343423308983.5	2355343423308983.5	2361633258039189.0	2184029972092879.0
2.25e-08	2139503366313301.8	2186595268826845.2	2301915382558705.0	2349007285072248.5	2149720730294097.2	2312132746539500.5	2301915382558705.0	2349007285072248.5	2149720730294097.2	2312132746539500.5	2318582576413202.0	2318582576413202.0	2149720730294097.2	2149720730294097.2	2349470320099903.0	2349470320099903.0	2355920149973604.5	2187058303854500.0
2.2599999999999997e-08	2146111537627960.2	2189647165763836.8	2300005776499962.0	2343541404635838.5	2153153804276932.0	2307048043148934.0	2300005776499962.0	2343541404635838.5	2153153804276932.0	2307048043148934.0	2313650839950322.5	2313650839950322.5	2153153804276932.0	2153153804276932.0	2344003612814577.5	2344003612814577.5	2350606409615966.5	2190109373942576.0
2.27e-08	2152053682670018.8	2192720147334150.0	2297800985607680.5	2338467450271812.0	2156616644806728.0	2302363947744390.0	2297800985607680.5	2338467450271812.0	2156616231382271.5	2302363534319933.5	2309110616144766.0	2309110202720309.5	2156616644806728.0	2156616231382271.5	2338929245026089.0	2338929245026089.0	2345675913426465.0	2193181942088426.8
