7A1_1A1	8A1_1A1	1B1_7A1	1B1_8A1	9B1_1A1	9B1_1B1	1B2_7A1	1B2_8A1	9B2_1A1	9B2_1B2	1A2_9B1	1A2_9B2	2A2_9B1	2A2_9B2	9A2_1B1	9A2_1B2	9A2_1A2	9A2_2A2
3.17e-08	2366619566488373.0	2427366041205439.0	2357849186967828.5	2418595661684894.5	2447619689390216.0	2438849309869671.5	2357850013816747.5	2418596488533813.0	2447619689390216.0	2438850136718590.0	2447619689390216.0	2447619689390216.0	2435297996585516.5	2435297996585516.5	2423665895228790.0	2423666722077709.0	2432436274749334.5	2420114581944635.0
3.2200000000000004e-08	2373928078277545.0	2435656848729364.0	2365059717240080.0	2426788487691899.0	2454035205057309.0	2445166844019844.0	2365060544088998.5	2426789314540817.5	2454035205057309.0	2445167670868762.5	2454035205057309.0	2454035205057309.0	2441567986960485.5	2441567986960485.5	2430177325295205.0	2430178152144123.5	2439045686332670.0	2426578468235847.0
3.26e-08	2379465067669229.5	2441926839109031.5	2370584303902689.0	2433046075342491.0	2458529125370439.5	2449648361603899.0	2370585130751607.5	2433046902191410.0	2458529125370439.5	2449649188452817.5	2458529125370439.5	2458529125370439.5	2446043303182352.0	2446043303182352.0	2434868862335312.5	2434869689184231.0	2443749626101853.0	2431263803913766.0
3.31e-08	2385998409213180.5	2449307700117453.5	2377168496622213.0	2440477787526486.5	2463319470771687.5	2454489558180720.5	2377169323471132.0	2440478614375405.0	2463319470771687.5	2454490385029639.0	2463319470771687.5	2463319470771687.5	2450909718627686.0	2450909718627686.0	2440963560880596.0	2440964387729515.0	2449793473471563.5	2437383721327561.5
3.3599999999999996e-08	2392104270204762.0	2456187904510036.0	2383385568704011.0	2447469203009284.5	2467180852160508.5	2458462150659757.5	2383386808977386.0	2447470443282660.0	2467181265584968.0	2458463804357592.0	2467180852160508.5	2467181265584968.0	2454936883093027.5	2454937296517487.0	2447957456910150.0	2447958697183525.5	2456676158410901.0	2444432189343420.5
3.42e-08	2398873676931590.0	2463778371564149.0	2390349698191302.0	2455254392823860.5	2470645346383440.5	2462121367643152.5	2390350525040220.5	2455255219672779.5	2470645759807900.0	2462122607916530.5	2470645346383440.5	2470645759807900.0	2458690360777913.5	2458690774202372.5	2455744713842321.5	2455745540691240.0	2464268692582609.5	2452313706977082.0
3.48e-08	2405042791813722.5	2470638318167632.5	2396763973589715.0	2462359499943625.0	2473057262760559.5	2464778444536552.0	2396765213858392.0	2462360740212302.0	2473057262760559.5	2464779684805228.5	2473057262760559.5	2473057262760559.5	2461465263548171.0	2461465263548171.0	2462849407537626.5	2462850647806303.5	2471128225761634.0	2459536226549245.5
3.54e-08	2410633112918339.0	2476767330914832.0	2402637076794091.0	2468771294790584.0	2474971003063895.0	2466974966939647.0	2402630462007446.0	2468764680003939.0	2474971003063895.0	2466968352153002.0	2474971003063895.0	2474971003063895.0	2463789947434906.0	2463789947434906.0	2469259962115906.0	2469253347329261.0	2477255998240154.0	2466074942611165.0
3.61e-08	2416436760869976.0	2482975307667924.5	2408795029229928.5	2475333576027876.5	2477747559527289.0	2470105827887241.0	2408795029229928.5	2475333576027876.5	2477747146102829.5	2470105414462782.0	2477747559527289.0	2477747146102829.5	2467091139123372.0	2467090725698913.0	2475816868835230.5	2475816868835230.5	2483458600475278.0	2472802180071361.5
3.6800000000000005e-08	2421495831967574.0	2488151791217924.0	2414234450524450.5	2480890409774800.5	2481587856287495.0	2474326474844372.0	2414234450524450.5	2480890409774800.5	2481587856287495.0	2474326474844372.0	2481587856287495.0	2481587856287495.0	2471486664490424.5	2471486664490424.5	2481365847522128.5	2481365847522128.5	2488627228965252.0	2478526037168181.5
3.76e-08	2426421367068267.5	2492802399269476.0	2419604829990693.0	2485985862191901.5	2486205390405814.0	2479388853328239.0	2419604829990693.0	2485985862191901.5	2486204976981354.5	2479388439903780.0	2486205390405814.0	2486204976981354.5	2476750380526103.5	2476749967101644.5	2486446830097259.5	2486446830097259.5	2493263367174834.5	2483808357295124.0
3.85e-08	2430950014998368.5	2496426475202042.0	2424634961394952.0	2490111421598625.5	2490587272770416.0	2484272219166999.5	2424634961394952.0	2490111421598625.5	2490587272770416.0	2484272219166999.5	2490587272770416.0	2490587272770416.0	2481855341696369.0	2481855341696369.0	2490548410904154.0	2490548410904154.0	2496863464507570.5	2488131533433524.0
3.95e-08	2434841576344506.5	2498523362395083.5	2429068935203804.0	2492750721254381.0	2493922778660789.5	2488150137520086.5	2429068935203804.0	2492750721254381.0	2493922778660789.5	2488150137520086.5	2493922778660789.5	2493922778660789.5	2485967671529800.5	2485967671529800.5	2493157117173431.5	2493157117173431.5	2498929758314134.5	2490974651183145.5
4.05e-08	2437676425614344.5	2498746197999967.0	2432420151209530.5	2493489923595153.0	2495479320518112.0	2490223046113298.5	2432420151209530.5	2493489923595153.0	2495479320518112.0	2490223046113298.5	2495479320518112.0	2495479320518112.0	2488258454643786.0	2488258454643786.0	2493861591892535.0	2493861591892535.0	2499117866297349.0	2491897000423023.0
4.17e-08	2439896513197517.0	2496937054004900.0	2435215311759487.0	2492255852566870.5	2495072924594363.0	2490391723156333.0	2435215311759487.0	2492255852566870.5	2495075818565578.0	2490394617127548.5	2495072924594363.0	2495075818565578.0	2488664437138377.5	2488667331109592.5	2492584524748699.5	2492584524748699.5	2497265726186729.5	2490857238730744.0
4.3099999999999996e-08	2441186809909941.5	2492736664827468.5	2437105073462990.5	2488654928380517.0	2491951158980170.0	2487869422533219.0	2437105073462990.5	2488654928380517.0	2491951158980170.0	2487869422533219.0	2491951158980170.0	2491951158980170.0	2486383162782252.5	2486383162782252.5	2488938537338597.5	2488938537338597.5	2493020273785548.5	2487452277587631.0
4.46e-08	2441420394546065.5	2486744495472856.0	2437891819583664.0	2483215920510454.5	2486383989631171.0	2482855414668769.5	2437891819583664.0	2483215920510454.5	2486383989631171.0	2482855414668769.5	2486383989631171.0	2486383989631171.0	2481585789165198.5	2481585789165198.5	2483461081022034.0	2483461081022034.0	2486989655984435.5	2482191455518463.0
4.64e-08	2440641503480716.5	2478735643204475.5	2437674358492048.0	2475768498215807.0	2478127909728914.5	2475160764740246.0	2437674358492048.0	2475768498215807.0	2478127909728914.5	2475160764740246.0	2478127909728914.5	2478127909728914.5	2474106119781538.0	2474106119781538.0	2475978931096318.5	2475978931096318.5	2478946076084987.0	2474924286137610.5
4.85e-08	2439027909095026.0	2469595662508839.5	2436523385709555.5	2467091139123369.5	2468148678048594.0	2465644154663124.0	2436523799134015.0	2467091552547828.5	2468148678048594.0	2465644568087583.0	2468148678048594.0	2468148678048594.0	2464763147840962.5	2464763147840962.5	2467275939710912.0	2467276353135371.5	2469780463096382.5	2466394932888751.0
5.11e-08	2436670151279758.5	2459580462933475.5	2434586907079768.0	2457497218733485.0	2456899820864703.0	2454816576664712.5	2434587320504227.0	2457497632157944.5	2456899820864703.0	2454816990089172.0	2456899820864703.0	2456899820864703.0	2454090603892535.0	2454090603892535.0	2457660107838791.0	2457660521263250.0	2459743352038781.0	2456934135066613.5
5.4299999999999997e-08	2433917573411493.5	2449776523082838.0	2432162174549114.5	2448021124220459.0	2445915141698715.0	2444159742836336.5	2432162587973574.0	2448021537644918.5	2445915141698715.0	2444160156260795.5	2445915141698715.0	2445915141698715.0	2443552422789936.0	2443552422789936.0	2448154660217366.0	2448155073641825.5	2449910059079745.0	2447547340170965.5
5.8499999999999994e-08	2431008307800108.5	2440630341029717.5	2429513779564657.0	2439135812794266.0	2436297242713696.5	2434802714478245.0	2429513779564657.0	2439135812794266.0	2436297242713696.5	2434802714478245.0	2436297242713696.5	2436297242713696.5	2434288001435497.5	2434288001435497.5	2439276377002277.0	2439276377002277.0	2440770905237728.5	2438761663959530.0
6.440000000000001e-08	2428445491612898.0	2433002665811878.5	2427096902098730.5	2431654076297711.0	2429498896298228.0	2428150306784060.5	2427096902098730.5	2431654076297711.0	2429498896298228.0	2428150306784060.5	2429498896298228.0	2429498896298228.0	2427687685180865.0	2427687685180865.0	2431781410927731.0	2431781410927731.0	2433130000441898.5	2431318789324535.5
7.37e-08	2426580121933684.0	2427584329150674.5	2425293546036689.5	2426297753253680.0	2425825622892624.0	2424539046995629.5	2425293546036689.5	2426297753253680.0	2425826036317081.0	2424539460420086.0	2425825622892624.0	2425826036317081.0	2424098336869967.5	2424098750294424.0	2426409791192812.0	2426409791192812.0	2427696367089806.5	2425969081067149.5
9.28e-08	2424510520731445.5	2426316770760001.0	2423231799894474.0	2425038049923029.5	2424694907894529.5	2423416187057557.5	2423231799894474.0	2425038049923029.5	2424695321318988.5	2423416600482017.0	2424694907894529.5	2424695321318988.5	2422977957478651.0	2422978370903110.5	2423592719160618.0	2423592719160618.0	2424871439997590.0	2423154489581712.0
