4B1_4A1	5B1_4B1	6B1_4B1	4B2_4A1	5B2_4B2	6B2_4B2	4A2_5B1	4A2_6B1	4A2_5B2	4A2_6B2	5A2_4B1	5A2_4B2	5A2_4A2	6A2_4B1	6A2_4B2	6A2_4A2
Intensities	1.1067460804e-06	1.47384584649e-05	1.355049721e-07	1.1067460804e-06	1.47384584649e-05	1.355123344e-07	1.7962164528999998e-06	1.47719716e-08	1.7962164528999998e-06	1.47719716e-08	1.0981363263999998e-06	1.0981363263999998e-06	1.0000000000000001e-16	6.594739263999999e-07	6.594739263999999e-07	2.5258263577599997e-05
2.33e-08	94227214549679.08	184267269503535.78	97813668896789.97	94227214549679.08	184267269503535.78	97813668896789.97	186668023440178.56	100214422833432.77	186668023440178.56	100214422833432.77	94600949972723.95	94600949972723.95	97001703909366.75	139099856334374.14	139099856334374.14	141500610271016.94
2.3500000000000002e-08	103058367432392.48	181374127453626.53	106310361649205.12	103058367432392.48	181374127453626.53	106310361649205.12	183416856091859.03	108353090287437.64	183416856091859.03	108353090287437.64	103485847970077.56	103485847970077.56	105528576608310.08	147101266971469.88	147101266971469.88	149143995609702.38
2.36e-08	107262477417916.23	180122279164838.75	110378041667478.42	107262477417916.23	180122279164838.75	110378041667478.42	182012040880364.62	112267803383004.31	182012040880364.62	112267803383004.31	107718897655897.1	107718897655897.1	109608659371422.98	151041612349874.03	151041612349874.03	152931374065399.9
2.37e-08	111317341294770.77	178982882278613.0	114316733365402.3	111317341294770.77	178982882278613.0	114316733365402.3	180734146893328.56	116067997980117.88	180734146893328.56	116067997980117.88	111803528063869.02	111803528063869.02	113554792678584.58	154919944135909.94	154919944135909.94	156671208750625.5
2.3799999999999998e-08	115216344284537.23	177442877383769.28	118120235379979.62	115216344284537.23	177442877383769.28	118120235379979.62	179068874492175.62	119746232488385.95	179068874492175.62	119746232488385.95	115732711019000.78	115732711019000.78	117358708127407.1	158718898486793.84	158718898486793.84	160344895595200.16
2.4e-08	122547180961727.23	176087259660898.7	125326217966268.44	122547180961727.23	176087259660898.7	125326217966268.44	177496622536083.75	126735580841453.5	177496622536083.75	126735580841453.5	123136723768337.39	123136723768337.39	124546086643522.45	166066272138271.7	166066272138271.7	167475635013456.75
2.41e-08	125983148935102.16	175278602053262.22	128732419408525.98	125983148935102.16	175278602053262.22	128732419408525.98	176594117633730.22	130047934988994.0	176594117633730.22	130047934988994.0	126612793884114.92	126612793884114.92	127928309464582.94	169603942431006.72	169603942431006.72	170919458011474.72
2.4300000000000003e-08	132400731720916.89	173847741143522.25	135159097521724.78	132400731720916.89	173847741143522.25	135159097521724.78	174999540774590.38	136310897152792.9	174999540774590.38	136310897152792.9	133118022582804.22	133118022582804.22	134269822213872.34	176386992162140.97	176386992162140.97	177538791793209.1
2.44e-08	135386480800476.44	173215202230133.53	138185362159094.98	135386480800476.44	173215202230133.53	138185362159094.98	174295479488369.72	139265639417331.17	174295479488369.72	139265639417331.17	136151315432838.48	136151315432838.48	137231592691074.67	179630304466980.34	179630304466980.34	180710581725216.53
2.46e-08	140922229906510.84	172092342280524.06	143878212454955.75	140922229906510.84	172092342280524.06	143877799020707.84	173046525163957.9	144832395338389.6	173046525163957.9	144831981904141.66	141790007160971.28	141790007160971.28	142744190044405.1	185816783160006.0	185816783160006.0	186770966043439.8
