R	12A1_5A1	12A1_6A1	7B1_12A1	7B2_12A1
Intensities	2.440077159999336e-05	6.459630182124728e-16	1.7438635742617384e-06	1.7438635742617384e-06
2.12	4881.486683321869	3164.5542108095397	3360.290464830585	3360.290464830585
2.13	4818.92763478792	3183.9645470896357	3320.6511518998304	3320.6511518998304
2.15	4705.685309938548	3273.6484651299397	3360.4836024835386	3360.4836024835386
2.16	4647.943729537161	3240.692154694494	3374.8460222863796	3374.8460222863796
2.17	4596.14991161121	3259.079739185894	3427.515543982052	3427.515543982052
2.19	4499.7632383432065	3295.0494363113394	3430.2984823024017	3430.2984823024017
2.2	4454.990413811509	3312.6337436434987	3448.2932071938703	3448.2932071938703
2.22	4371.846839743652	3346.9990812234464	3483.5561959990155	3483.5561959990155
2.23	4333.320263196394	3363.788890438431	3500.8354336528864	3500.8354336528864
2.25	4261.9932031998615	3396.6003476279147	3534.717927013102	3534.717927013102
2.26	4229.054450723808	3412.6351640657085	3551.338740753694	3551.338740753694
2.28	4168.325820583967	3444.0002834439074	3583.9855919399124	3583.9855919399124
2.3	4114.076081571242	3474.4831148082303	3615.9103716443933	3615.9103716443933
2.31	4089.2995905724965	3489.451284571376	3631.6862080379215	3631.6862080379215
2.33	4043.9868584718206	3518.7379792014835	3662.7045575000957	3662.7045575000957
2.35	4004.1390446268633	3547.2872390636912	3693.2027520757692	3693.2027520757692
2.36	3986.146514483422	3561.296304706382	3708.29821712547	3708.29821712547
2.38	3953.780590772003	3588.717464973728	3737.571743267341	3737.571743267341
2.4	3925.9226759938174	3615.469227612528	3719.7043136624416	3719.7065083855414
2.42	3902.1886895161297	3641.439660597447	3702.6401611668844	3702.642355914926
2.44	3882.1967454542755	3666.536584535701	3688.6640167198493	3688.6640167198493
2.46	3865.549594787095	3690.6744043535145	3677.4773948622314	3677.4795896102733
2.48	3851.8126777018915	3713.72362999132	3668.7181623668585	3668.7203571149003
2.5	3840.74018261765	3735.5986663753138	3662.201960597915	3662.201960597915
2.52	3831.9260814711597	3756.1941656494164	3657.5666564030544	3657.568851151096
