R	12B1_10B1	12B2_10B2	10A2_12B1	10A2_12B2	12A2_10B1	12A2_10B2	12A2_10A2
Intensities	3.9520365246541766e-05	3.9520365246541766e-05	9.967120931575668e-06	9.967120931575668e-06	9.585534277132726e-06	9.585534277132726e-06	0.00018844235547249477
2.12	1747.6918419302237	1747.685257686113	1809.579298087585	1809.572713843474	1680.0563451944909	1680.0563451944909	1741.943801351852
2.13	1761.0863785705442	1761.0819890744606	1823.1121037546836	1823.1055195105582	1693.7844832875417	1693.7866780355835	1755.810208471681
2.15	1786.762715542529	1786.7473523062363	1849.0298628365272	1849.0144996002346	1720.1126599037234	1720.1126599037234	1782.3798071977217
2.16	1799.040126353153	1799.0335421090276	1861.4126214533171	1861.4060372091917	1732.7192826709943	1732.7192826709943	1795.0917777711584
2.17	1809.8536413681577	1809.8470571240323	1872.1185938891576	1872.1120096450322	1743.8861518211925	1743.8861518211925	1806.1511043421924
2.19	1833.635912277794	1833.629328033654	1896.2300767304987	1896.2212977632735	1768.2434462684614	1768.2456409915467	1830.8376107211661
2.2	1844.3879743975413	1844.379195405374	1907.0150600708585	1907.0062810786912	1779.2983833683684	1779.2983833683684	1841.9254690416856
2.22	1864.6323142595502	1864.6279247884231	1927.2396472254477	1927.2330630062788	1800.1374995003862	1800.139694248428	1862.7448324662837
2.23	1874.089476083056	1874.0828918389307	1936.6353561287542	1936.6287718846288	1809.884367840743	1809.884367840743	1872.430247886441
2.25	1891.5684356090496	1891.5618513898808	1953.8421671222168	1953.835582903048	1827.929571912202	1827.929571912202	1890.203303425369
2.26	1899.5397541565035	1899.5331699123926	1961.5896215691027	1961.583037324992	1836.1796232363122	1836.1796232363122	1898.2294906489115
2.28	1913.8034103723621	1913.7968261282222	1975.161932700954	1975.1531537087867	1850.9831870211347	1850.985381769162	1912.3417093497264
2.3	1925.600171736267	1925.5935874921415	1985.8371786891657	1985.8305944450403	1863.3066874907236	1863.3066874907236	1923.5436944436224
2.31	1930.4725085199461	1930.463729527779	1989.9435490053584	1989.9347700131912	1868.431420124456	1868.431420124456	1927.9024606098683
2.33	1937.9192827097577	1937.9236722058413	1995.327261683371	1995.3316511794546	1876.3873754356318	1876.3873754356318	1933.7953544092452
2.35	1941.975173870902	1941.9795633669855	1996.4904772219306	1996.4948667180142	1880.9195265474118	1880.9195265474118	1935.4348298984405
2.36	1942.6138450767758	1942.6182345479028	1995.3404301716218	1995.344819642749	1881.7886460979935	1881.7886460979935	1934.5152311928396
2.38	1940.8492690240819	1940.8514637721237	1989.311462068552	1989.3136568165937	1880.4696035732632	1880.4696035732632	1928.9317966177332
2.4	1934.8488326455554	1934.8510273935972	1978.3135883678042	1978.315783115846	1874.894947990324	1874.894947990324	1918.3597037125728
2.42	1924.7112994782656	1924.713494226322	1962.8625744098972	1962.8647691579536	1865.1634428862744	1865.1634428862744	1903.314717817906
2.44	1910.8887872943014	1910.8909820423432	1943.90655062499	1943.9087453730317	1851.7272060331597	1851.7272060331597	1884.7449693638482
2.46	1894.1626257475582	1894.1648204956	1922.6065377786435	1922.6087325266853	1835.365372361819	1835.365372361819	1863.8092843929044
2.48	1875.4370503073442	1875.4392450553714	1900.0445458316826	1900.0467405797099	1816.9843720895733	1816.9843720895733	1841.5918676139117
2.5	1855.6009332316607	1855.6031279797025	1877.1182259594207	1877.1204207074625	1797.4752722224948	1797.4752722224948	1818.9925649502547
2.52	1835.380735573155	1835.382930321197	1854.46624941763	1854.4684441656718	1777.5601442921907	1777.5601442921907	1796.6456581366656
2.54	1815.329533389042	1815.3317281121417	1832.520981171183	1832.5231758942828	1757.796453876901	1757.796453876901	1774.987901659042
