R	3A2_12B1	3A2_12B2	12A2_3A2
Intensities	25.95455067393771	25.9546156741199	23.8979484665397
2.12	12418.658089838631	12418.65150559452	12351.022593102898
2.13	12441.101565491175	12441.09498124705	12373.799670208173
2.15	12485.387156332057	12485.371793095765	12418.737100693252
2.16	12507.227076747396	12507.220492503271	12440.906233065238
2.17	12530.919363062188	12530.912778818063	12464.951873515223
2.19	12571.535338097732	12571.526559130507	12506.1428720884
2.2	12592.552228671353	12592.543449679186	12527.46263764218
2.22	12633.93855964551	12633.931975426342	12569.443744886346
2.23	12654.301415826892	12654.294831582767	12590.09630758458
2.25	12694.362120032223	12694.355535813054	12630.723256335375
2.26	12714.053383837003	12714.046799592892	12650.693252916812
2.28	12752.764319094946	12752.755540102778	12689.944095743718
2.3	12790.571018858609	12790.564434614484	12728.277534613066
2.31	12809.138572539669	12809.129793547501	12747.097484144178
2.33	12845.593308582946	12845.59769807903	12784.06140130882
2.35	12881.176730352556	12881.18111984864	12820.121083029066
2.36	12898.653495130522	12898.65788460165	12837.82829615174
2.38	12932.955185042214	12932.957379790256	12872.575519591395
2.4	12966.392144924379	12966.39433967242	12906.438260269148
2.42	12998.986322232464	12998.98851698052	12939.438465640473
2.44	13030.764053918014	13030.766248666056	12971.602472656872
2.46	13061.725339981029	13061.72753472907	13002.92808659529
2.48	13091.881154136761	13091.883348884789	13033.42847591899
2.5	13121.23588588128	13121.238080629322	13063.110224872114
2.52	13149.79392473564	13149.796119483683	13091.973333454676
2.54	13177.55746544787	13177.55966017097	13120.024385935729
2.56	13204.517729000858	13204.5199237489	13147.241434809897
2.59	13243.476670562872	13243.478865310914	13186.569093743397
2.61	13268.452883458696	13268.452883458696	13211.769170764746
2.63	13292.61923495114	13292.61923495114	13236.144023171379
2.66	13327.355484650601	13327.355484650601	13271.16339514358
2.68	13349.491695851873	13349.491695851873	13293.472991290371
2.71	13381.15310594115	13381.15310594115	13325.371433993423
2.73	13401.239424093903	13401.239424093903	13345.600410644096
2.76	13429.797462948263	13429.795268200221	13374.353781924408
2.79	13456.476798976568	13456.474604228511	13401.210892394316
2.82	13481.27523743076	13481.27523743076	13426.173936826846
2.85	13504.197167781982	13504.197167781982	13449.249499416183
2.88	13525.253563795399	13525.251369047357	13470.450748675546
2.91	13544.45320441325	13544.45320441325	13489.797437287401
2.94	13561.822426637009	13561.820231888967	13507.307123285966
2.97	13577.519252175887	13577.517057427845	13523.150996843804
3.01	13595.496419132949	13595.496419132949	13541.332275194014
3.04	13606.955189548025	13606.955189548025	13552.955651587428
3.08	13619.621070437555	13619.621070437555	13565.860759813819
3.12	13629.39866522554	13629.39866522554	13575.903918915152
3.16	13636.404295408429	13636.40649015647	13583.210229330158
3.2	13640.701608654475	13640.75867205365	13587.838949255936
3.24	13642.564948269195	13642.564948269195	13590.018332339052
3.28	13642.06454611507	13642.066740863112	13589.939321484431
3.33	13638.333477389519	13638.337866885602	13586.798639507862
3.37	13633.046333575418	13633.050723071501	13582.033845328304
3.42	13623.7998673892	13623.804256885283	13573.507255925666
3.47	13611.888979226977	13611.886784478935	13562.393060653616
3.53	13594.473667344253	13594.473667344253	13546.033421755244
3.58	13577.718974072966	13577.718974072966	13530.235637881327
3.64	13555.214045500223	13555.21185075218	13508.977325197848
3.7	13530.562655089932	13530.562655089932	13485.673509011845
3.77	13499.74841702092	13499.74841702092	13456.399982845032
3.83	13471.739064752648	13471.739064752648	13429.935731975042
3.9	13437.823650196748	13437.82145544872	13397.920967700673
3.98	13398.041678743131	13398.03948399509	13360.482985308496
4.06	13357.660541573307	13357.660541573307	13322.505095322369
4.14	13317.25306745198	13317.250872703939	13284.586463508444
4.23	13272.30246845368	13272.30246845368	13242.530734905726
4.32	13228.370231797904	13228.370231797904	13201.543847775625
4.42	13181.233665497333	13181.233665497333	13157.714764153017
4.53	13131.82334204766	13131.825536795703	13111.947719557138
4.64	13085.413236774795	13085.413236774795	13069.1369982022
4.76	13038.476392396231	13038.476392396231	13026.032180884198
4.89	12992.255035330149	12992.255035330149	12983.785509376583
5.03	12947.828980714447	12947.828980714447	12943.37145098616
5.19	12903.747501291684	12903.747501291684	12903.420484083093
5.35	12866.515825040711	12866.515825040711	12869.711375668398
5.54	12830.4078589384	12830.4078589384	12836.83407611253
5.74	12801.20017518787	12801.197980439829	12809.715790825343
5.96	12777.591289223768	12777.591289223768	12786.945297939237
6.21	12759.03909875403	12759.03909875403	12767.938794999282
6.5	12745.076122770304	12745.076122770304	12752.46144408983
6.82	12735.515807913645	12735.515807913645	12740.93463653537
7.19	12728.852558150698	12728.852558150698	12732.28075187112
7.62	12724.373080941994	12724.373080941994	12726.133267473648
8.14	12721.467236831159	12721.467236831159	12721.956665270045
8.76	12719.779476934971	12719.779476934971	12719.459043970492
9.55	12718.886215205843	12718.886215205843	12718.1180539903
10.56	12718.521887305484	12718.521887305484	12717.56717265617
11.96	12718.418734222418	12718.418734222418	12717.409150921987
14.03	12718.40117626304	12718.40117626304	12717.382813995384
17.58	12718.398981515013	12718.398981515013	12717.382813970442
25.83	12718.40117626304	12718.398981514998	12717.385008743426
