R	3A2_7B1	3A2_7B2	7A2_3A2
Intensities	1.88183307601e-05	1.8877287040000003e-05	5.5651599999999996e-11
2e-08	1287141047065336.2	1287141047065336.2	1738246307285933.0
2.0099999999999998e-08	1314850799467041.0	1314850799467041.0	1739021064114169.5
2.0200000000000002e-08	1341288445810469.8	1341288445810469.8	1739823520339963.5
2.03e-08	1366425873282651.5	1366425873282651.5	1740652022320514.5
2.04e-08	1390229181047680.5	1390229181047680.5	1741504916299996.2
2.0499999999999998e-08	1412657026754596.0	1412657026754596.0	1742380135201363.0
2.0600000000000002e-08	1433669308204486.5	1433668894770238.5	1743276852118447.8
2.07e-08	1453232538089871.8	1453232538089871.8	1744193413427284.0
2.08e-08	1471333073400839.8	1471333073400839.8	1745128165372048.8
2.09e-08	1487993652474683.8	1487993239059275.8	1746081108009250.0
2.1000000000000003e-08	1503272154655495.0	1503272154655495.0	1747051001017318.5
2.11e-08	1517271109168789.8	1517271109168789.8	1748037017565427.0
2.12e-08	1530125292263680.5	1530125292263680.5	1749037503973103.0
2.13e-08	1542017850809393.8	1542017437393982.8	1750052460202672.8
2.1400000000000003e-08	1553107126298494.0	1553107126298494.0	1751081059460991.5
2.15e-08	1563569650784126.0	1563568823934470.0	1752122474841892.0
2.16e-08	1573557564358169.2	1573557150923924.0	1753176292948797.5
2.17e-08	1583371839805777.8	1583371426390367.0	1746034804503845.0
2.1800000000000003e-08	1592601946978960.0	1592601120129304.0	1755323204455358.0
2.19e-08	1601829986999745.2	1601829160150089.2	1756414644155698.2
2.2000000000000002e-08	1610931519249157.2	1610930692399501.2	1757519313450542.2
2.21e-08	1619929282045646.5	1619928868611401.5	1758636385452554.5
2.2200000000000004e-08	1628829476733386.8	1628828649883731.0	1759765860161740.2
2.23e-08	1637627142252111.0	1637626315402455.0	1760908564484264.2
2.2400000000000002e-08	1646310289272385.0	1646309462441566.0	1762064911779023.0
2.25e-08	1654864861406560.0	1654864034556901.2	1763235728914515.2
2.2599999999999997e-08	1663274735058079.5	1663273908208423.5	1764420602456487.5
2.27e-08	1671527507576289.8	1671526680726633.8	1765622012991590.0
2.29e-08	1687515032160097.2	1687513791895030.2	1768073618097331.5
2.2999999999999998e-08	1695234074119897.0	1695233247270241.2	1769326293216938.0
2.3100000000000002e-08	1702763354394377.2	1702762527544721.5	1770597985840968.8
2.32e-08	1710099565603751.0	1710099565603751.0	1771889936253324.8
2.33e-08	1717244361428493.2	1717244361428493.2	1773202971284825.0
2.3500000000000002e-08	1730960533830249.8	1730960533830249.8	1775898083190523.5
2.36e-08	1737540178884986.8	1737540178884986.8	1777281400329791.5
2.37e-08	1743934196502692.2	1743934196502692.2	1778690763204976.5
2.3799999999999998e-08	1750654819169536.0	1750654819169536.0	1780128652327377.8
2.4e-08	1762092197761172.2	1762092197761172.2	1783091663088481.2
2.41e-08	1767805305826515.8	1767805305826515.8	1784618024954573.2
2.4300000000000003e-08	1778775101738064.2	1778774688303819.2	1787772037666063.2
2.44e-08	1784040471458565.8	1784040471458565.8	1789400928757685.5
2.46e-08	1794161921035483.5	1794161921035483.5	1792768268303767.2
2.4700000000000003e-08	1799028749918598.2	1799028336503190.2	1794508370457544.5
2.49e-08	1808401901818607.2	1808401901818607.2	1798106814115249.8
2.5e-08	1812918973862200.0	1812918560446792.0	1799966395827738.8
2.52e-08	1821638088814268.2	1821637675380023.0	1803807519454588.0
2.5400000000000002e-08	1829968585049478.5	1829968171634067.5	1807811118728096.0
2.55e-08	1833997403209250.2	1833996989775005.0	1809871624605685.8
2.57e-08	1841809465576437.0	1841809465576437.0	1814110048786017.5
2.59e-08	1849314353833149.2	1849313940417741.2	1818491104315442.2
2.61e-08	1856538940527285.8	1856538940527285.8	1822998667616240.2
2.63e-08	1863508444526276.0	1863508031110868.0	1827613307768587.5
2.65e-08	1870244777317754.5	1870244363902346.2	1832312699869428.0
2.67e-08	1876766956424985.0	1876766543009574.2	1837074932449967.0
2.69e-08	1883093172483887.8	1883092759068477.0	1841878094003727.5
2.71e-08	1889238722184857.5	1889238308769446.8	1846703580460535.8
2.7400000000000004e-08	1898148839049637.8	1898148425634227.0	1853948424924163.2
2.76e-08	1903899155311842.2	1903898741877597.0	1858761095239552.8
2.7900000000000002e-08	1912266446290831.2	1912265619441172.5	1865929456251244.0
2.81e-08	1917684369537462.8	1917683956103215.0	1870663575962303.2
2.84e-08	1925590279199364.0	1925589865765118.8	1877682277449917.2
2.8700000000000002e-08	1933248547794190.8	1933248134378782.8	1884590181253113.0
2.89e-08	1938225760908639.0	1938225347493228.2	1889129164784343.0
2.92e-08	1945508640418783.5	1945508226984535.5	1895833250495736.0
2.96e-08	1954921894442360.8	1954921894442360.8	1904594121270684.2
2.99e-08	1961732230174476.0	1961732230174476.0	1910986898623317.5
3.02e-08	1968354044486344.0	1968353631070936.0	1917241178875146.0
3.06e-08	1976899934689708.5	1976899934689708.5	1925362895920615.0
3.09e-08	1983105430905992.8	1983105430905992.8	1931290984538702.2
3.13e-08	1991114283189995.0	1991114283189995.0	1938974885454038.0
3.17e-08	1998819268724477.8	1998819268724477.8	1946397915726633.2
3.2200000000000004e-08	2008053923523676.5	2008054336939084.5	1955330357494458.8
3.26e-08	2015123476180389.0	2015123889595797.2	1962191130961427.5
3.31e-08	2023569731160279.2	2023570144594524.5	1970411242946470.0
3.3599999999999996e-08	2031589745905225.5	2031590159320633.5	1978237775192061.8
3.42e-08	2040661098189269.5	2040661511604677.5	1987115231561340.5
3.48e-08	2049142494232463.5	2049142080817052.8	1995440353283206.8
3.54e-08	2057049644178271.2	2057049644178271.2	2003227196801804.0
3.61e-08	2065559566468673.2	2065559566468673.2	2011643685250574.0
3.6800000000000005e-08	2073314576322598.8	2073314576322598.8	2019359833227161.0
3.76e-08	2081279192215918.5	2081279192215918.5	2027360003599192.8
3.85e-08	2089121434567305.0	2089121434567305.0	2035368029033539.0
3.95e-08	2096475422997196.2	2096475422997196.2	2043114356975488.2
4.05e-08	2102411780111851.2	2102411780111851.2	2049740305535633.5
4.17e-08	2107653171248827.2	2107653584683075.0	2056352197651621.2
4.3099999999999996e-08	2111130481610837.0	2111130481610837.0	2062434493476321.8
4.46e-08	2111758472879372.2	2111758472879372.2	2067288506199180.8
